http://movie.douban.com/subject/5031426/	真相
(5星)	今年我看过的最好看的港剧了。接档《怒火》，两者虽是相同的编剧，亦是相同的律政题材，相比起来，《真相》无论是在庭辩还是案件剧情上都远胜过《怒火》，有种再回顾当年《壹号皇庭》的精彩程度。选角到位，演技好的演员为配，当得起今年港剧好剧。
(5星)	第一个案子就感动得热泪盈眶········陈展鹏你终于演好人了···最后不要腹黑呀。。。。。
(5星)	5244 = 我爱CC
(4星)	好久没看tvb了，这个还好，杨怡真的进步了好多
(5星)	陈展鹏展翅高飞,马国明也很迷人 黄浩然依然可有可无
(4星)	陈展鹏的戏很好…
(5星)	见鬼了，明明造型没多大改变，但杨怡比起阿sir里靓了不是一点点啊。庭战戏也比怒火更有看头，专业性和技术性绝对高出一筹
(4星)	三星半 前20集精彩紧凑 后五集严重烂尾
(5星)	这部剧的专业性极强，看了很长知识啊，主角的组合很新鲜，配角的卡死也很强，里面每个律师的个性都十分鲜活，每件案子都很具有争议性，在理性的法律面前探讨人性，也给我们都提出了这样一个问题，法律是否可以真实的还原真相，这点和《刑警2010》也有相似之处，总之值得一看。
(5星)	没有拖拖踏踏~有实在的法律剧的样子，不错
(3星)	看不下去了。剧情对白什么的太拖拉了，法庭戏又太没劲，搜证打官司什么的哪儿那么容易。
(3星)	黄浩然还是帅。。。陈展鹏演技居然很好。。。
(4星)	TVB近年来难得的好剧，尽管后来的故事稍显急躁，不过不影响整体水平。看完之后突然觉得好失落。觉得那些人就这样离我们远去了。波澜之后，一切归于平静。鸟儿早已飞过，而天空却未留下痕迹。
(4星)	陈展鹏展翅飞男一。。。黄浩然再次走谐星路线
(3星)	觉得男主没气场。我只为看杨怡和黄浩然搭配而来，可惜貌似他俩不是一对呀。碧血盐枭之后二少依然杯具么？
(3星)	法证警匪剧的没落是不是代表香港的治安越来越好了呢，哈哈哈
(5星)	三天内看完，史上最唏嘘、最令人心痛、结局最让人无语的TVB剧……把大C还给我啊还给我啊还给我啊呜呜呜呜呜呜呜
