http://movie.douban.com/subject/1790376/	巴黎恋人 파리의연인
(3星)	 猴子脸女人与面包脸男人的故事            
(2星)	 大叔和大婶的装嫩爱情故事            
(4星)	 朴信阳太帅啦～            
(NA)	 妈妈说姜苔玲的扮演者看起来太老。一个劲的扮纯情。这话。我深表认同。            
(4星)	 女人常常会幻想，华丽的人群中，自己却象朵凋零的花去其中，这时候突然有个白马王子出现，叫着我的名字，搂着我的肩膀，轻轻抚摸我凌乱的头发，而且还送到家门口，那岂不是太完美了吗？             
(4星)	 当时挺喜欢看的一部童话剧            
(5星)	 韩社长教你如何把西装领带搭配到完美:)            
(3星)	 剧情和人物都有些250            
(5星)	 我超喜欢朴信阳啊，哈哈，不过貌似最近他没什么新作……            
(3星)	 这年头想让新戏取得收视率，真是噱头多多，不是去外国拍摄，就是加大人物设计。两个人有缘分，即使在他国也能相遇。命中注定的爱情，苦恋的三角关系，一切由选择来改变。            
(4星)	 劳资以前一度痴迷于这个。。            
(3星)	 我妈很爱第一男主角。            
(1星)	 好难看……女主角也好难看……            
(3星)	 有钱的好男人            
(5星)	 苔铃和我太相似。            
(3星)	 就那样儿。            
(3星)	 演员通通很丑啊。。            
(4星)	 唯一看过的韩剧……=。=            
(3星)	 又一个灰姑娘的童话            
(NA)	 在寝室。            
(5星)	 大叔很帅            
(NA)	 主角都不好看，但是歌儿很好听            
(3星)	 陪我妈,看到睡着.不过还可以            
(4星)	 很早第一次看见女主角的时候觉得她长得真幽默，后来反而越看越顺眼。在巴黎的日子真够吸引人的，后面的后面，无趣多了。又是一个灰姑娘嫁给多金王子的故事。他跑去化妆品专柜说要给熬夜的女朋友买口红的时候，还真是温柔。            
(4星)	 某些场景还是很赞的            
(3星)	 上大学那会我究竟看过多少韩剧，我也记不清咯都 ...            
(NA)	 当时看完之后超迷这个男人！斯文儒雅啊~~~            
(NA)	 我怎么看过这么多韩剧？？？！！！            
(2星)	 李东健我以前还觉得像小田切让呢 我操            
(4星)	 灰姑娘的故事，可是这两个男人都太赞了            
(NA)	 当时很喜欢这个戴着眼镜的大叔            
(NA)	 真是想不明白            
(3星)	 剧情就不谈了，灰姑娘的故事在任何地方永远都有市场。只是真的很受不了金贞恩瞪大的眼睛，不管什么事情发生，瞪眼是唯一且永恒的表情。表现还不如8年前妙手晴天里的那个残疾女孩。            
(2星)	 断断续续看完了。男主角也太丑了，好叫好伐。想到自己连这都看过就觉得自己很2。            
(NA)	 不知道哪里好看，那女的长的那么假~~            
(4星)	 感觉一般般， 但这部当年人气超高的            
(4星)	 看的都想吐了..            
(5星)	 这么恶心的大婶，两个大叔抢着要，我不服啊啊啊啊 啊            
(4星)	 高二            
(NA)	 我爱寒社长            
(4星)	 面盆佬，我的最爱            
(NA)	 理想让人变得美丽  实现理想的过程即是自信的又是变得更强大的            
(3星)	 男女主都不大喜欢            
(4星)	 里面的音乐不错            
(5星)	 经典。            
(5星)	 虽然仍是灰姑娘的故事·            
(3星)	 不喜欢            
(4星)	 那时我无聊            
(2星)	 除了歌 其他忽略            
(5星)	 居然又开始看了！还是觉得企柱很可爱~~            
(2星)	 丑男丑女            
(2星)	 灰姑娘老了点, 王子丑了点.             
(NA)	 男主角刚毅个性、着装风格，十分出色。宽领带，宽领西服。            
(3星)	 美女哈可爱！小兔子一样的~恩我喜欢这类型的。。。            
(5星)	 ~好看~            
(2星)	 演技真烂。。            
(NA)	 挺逗的 男主角怎么看怎么像周笔畅            
(5星)	 我以前喜欢的要死- -            
(3星)	 曾经无聊的夏天~            
(5星)	 虽然男女主角都不怎么好看，但还是很好看呢～配角帅！！！            
(5星)	 非常喜欢男主角，那种对爱情的执着，不为任何事情和困难所改变。            
(4星)	 我就喜欢像韩启柱那种自信沉稳略带霸气的男人！            
(4星)	 很弱智的情节，但我蛮喜欢女主弯弯的眼睛            
(4星)	 越看越有魅力的男主角            
(2星)	 做作！            
(4星)	 很喜欢女主角的小脸和大眼            
(NA)	 我喜欢里面的弟弟,妈妈好偏心啊            
(1星)	 此女在夏娃诱惑里面我还挺注意，有点好感的说。。。岂料后来此女走了装B路线            
(5星)	 看了两遍 还是觉得 朴信阳和金正恩很配：）            
(4星)	 喜欢这个可爱的结局            
(4星)	 至少那时很喜欢            
(4星)	 高考完的那个暑假...啧啧...原来我也有这种时期━━┓__ ━━┓            
(4星)	 以前有一段时间我很爱看 啧 当时我还是有少女心的吧乛-乛             
(3星)	 男主和女主也太老了吧。。。。。。            
(5星)	 觉得小时候还蛮爱韩剧的嘛。。。这部看了不知道多少遍。。。            
(3星)	 因为主演不给力，哪怕是金编剧也只打三颗星            
(NA)	 高中陪着我妈才有电视看 什么都不挑的。。。还得跟她讨论剧情才行。。不然会被赶去做作业。。            
(4星)	 其实我觉得女主挺漂亮的~虽然就这一部剧比较红            
(NA)	 我记得超清楚这部剧是和我外婆一起看的!!! 刚上初一的时候貌似!!! 华娱!!!! 话说我跟我外婆还真是看过不少韩剧日剧中国剧各种剧╮(╯▽╰)╭            
(NA)	 哎~百看不厌的灰姑娘剧情，没办法，偶就吃这一套            
(NA)	 气场和长相无关的典型            
(3星)	 首尾不错，中间实在太戏剧，反而抹煞            
(NA)	 原来我从小到大看过那么多韩剧..            
(4星)	 为了朴信阳也得给四星            
(4星)	 我喜欢女主角的宝丽来，但是我觉得男主角实在是太丑了            
(5星)	 哇 第一部看完的韩剧 很不错哈哈 特别是巴黎拍摄那段            
(4星)	 让我恶俗一回 。            
(4星)	 朴信阳。            
(NA)	 我被朴信阳的大叔魅力征服了果然還是大叔控一个以及那句&#34;我爱你的小酒窝胜过一卡车的钻石&#34;非常非常地暖人~~            
(5星)	 还算喜欢的。            
(2星)	 讨厌棒子- -            
(3星)	 为了金贞恩看的，里面的男人都好丑= =            
(2星)	  电视抢不过妈妈，只好看之22            
(NA)	 朴信阳一点也不美型啊            
(3星)	 = =            
(2星)	 实在呆B死了。            
(3星)	 宝丽来。。。。            
(NA)	 只看了一半。            
(NA)	 啧啧  老男人和老女人的故事            
(NA)	 女的烂演技直接砸了这剧现在她做音乐节目做的high            
(NA)	 韩剧 巴黎恋人 爱情             
(4星)	 男主长成这样，最后还是爱了他的成熟责任。。。            
(4星)	 挺好看。            
(3星)	 好吧，算是经典。慢慢接受男主角，人家是实力派。            
(3星)	 男主角太丑。            
(3星)	 我有点不太明白结局的意思            
(3星)	 男2号怎么那么倒霉～            
(3星)	 人不好看!!            
(3星)	 慢            
(2星)	 之前有集没集的看过。金贞恩还是在《夏娃的诱惑》里那样的戏路来得好。            
(4星)	 很好看            
(4星)	 俺娘很爱这剧            
(NA)	 有史以来看过的唯一的韩剧。            
(3星)	 第一部还行，后面一部完全不知道再说什么            
(NA)	 不错            
(4星)	 中学时候好喜欢~            
(4星)	 那个男人都是抬起头走路的他活得很辛苦吧            
(3星)	 夫妻的iq都是成反比的组合吗？            
(5星)	 最爱            
(5星)	 最喜欢的韩剧之一阿 哭得稀里哗啦的...            
(NA)	 女主角太愣了...            
(NA)	 李东健 的成名作            
(4星)	 看过的少量韩剧之一。            
(NA)	 还不错            
(5星)	 那小歌。。。            
(NA)	 好吧，我承认虽然朴信阳有点大叔了，但是还是很有魅力的。            
(3星)	 挺好挺好 真是灰姑娘。。            
(5星)	 经典韓劇之一            
(5星)	 希望可以这样遇到你            
(1星)	 我很想不给星。。            
(NA)	 cute!            
(NA)	 06年的暑假~里面的男主角很像我复读时的班主任~~            
(4星)	 童话爱情故事            
(3星)	 好像一直对韩剧没兴趣            
(NA)	 又一个灰姑娘变公主的故事。            
(3星)	 男主太丑啦！！！李东健！！爱！            
(4星)	 属于比较经典的韩剧，朴信阳真是让人大跌眼镜地帅！            
(3星)	 除了女主角太难看，别的都满意。            
(4星)	 女主角说话实在是太有特色了。 朴信阳还是有一定杀伤力的            
(4星)	 灰姑娘的传说，标准的韩剧。            
(4星)	 编剧不错            
(NA)	 我认为的好演员都在这部剧中了            
(3星)	 。。            
(4星)	 唯一完整看过的韩剧~            
(3星)	 又一个灰姑娘+王子的韩国故事。。。那个矮矮的男主角还真像一个住在我隔壁隔壁楼的令人厌烦的男人            
(NA)	 又是变凤凰。            
(NA)	 男女主角都很喜欢呢            
(5星)	 暑假和好友们 一起看的片子~~(*^__^*) 嘻嘻……            
(NA)	 韩剧典范的傻子女主人翁和白马王子。            
(NA)	 看过n遍            
(3星)	 主要是演员不出彩我觉得。            
(4星)	 还行,可就觉得女主有点丑~~            
(4星)	 除了结尾太突兀，其他还蛮好的。            
(2星)	 不好看啊`~谁说好看的~~男主角很是无语~            
(5星)	 女主角如果肉毒菌打得水准高点就更好了。            
(3星)	 无聊            
(3星)	 纯粹是为了李东健同学看的            
(3星)	 没什么感觉            
(4星)	 馒头/包子。。。            
(3星)	 我只是为了攒到更多Cinderalla标签的剧而已，相信我！！            
(3星)	 部分垃圾时间            
(4星)	 恩，喜欢社长。难得喜欢不帅的男人。            
(4星)	 帮我妈和外婆收藏起 哈哈            
(4星)	 大叔啊大叔!            
(4星)	 不知道现实社会中还有没有像男主角那样霸道的人物            
(3星)	 男主角都不太帅啦            
(NA)	  巴黎恋人             
(5星)	 从现在开始去巴黎留学，当保姆，下一个苔英出现了！哈哈~拿着几袋子硬币为可爱的存钱猪。            
(NA)	 灰姑娘            
(NA)	 男主脸好大            
(NA)	 给我个启柱吧            
(NA)	 还是喜欢像韩启柱这样的男子，内敛，却温柔            
(3星)	 傻大姐型女主角            
(4星)	 10集以后是看分集介绍的~哎！也给我个多金又温柔的老男人吧！            
(5星)	 最爱的韩剧            
(4星)	 女主角有点显老。            
(NA)	 现在的我对韩剧完全失去兴趣...            
(2星)	 讨厌那女主角老巴巴的脸            
(NA)	 又一个灰姑娘的故事            
(NA)	 韩剧最喜欢的电视剧,三角恋,两个男主角从舅舅外甥的关系变化成兄弟的关系.其实这些剧情都很泛滥了.但是真的印象深刻.两种个性,两种选择.都是典型的现实中的爱情故事...            
(NA)	 都看熟了            
(4星)	 王子的出现，点亮了灰姑娘            
(NA)	 挺好            
(4星)	 吾乃大叔控也            
(5星)	 我很喜欢            
(NA)	 你为什么不说你是我的女人。            
(NA)	 韩社长是个性很强的一个人!            
(3星)	 女主很彪悍阿~            
(4星)	 命中注定            
(NA)	 不错。韩剧必看。音乐也好听            
(NA)	 少数喜欢的韩剧            
(3星)	 男女主角都感覺太老了~            
(5星)	 最喜欢的韩剧            
(NA)	 很喜欢的一部韩剧……            
(NA)	 天啊，我居然看过那么多连续剧            
(4星)	 金正恩            
(5星)	 最爱            
(NA)	 2004            
(NA)	 最喜欢李东健            
(4星)	 没看完^_^            
(5星)	 是怕太体贴不能承受            
(4星)	 好男人和傻女人的爱情            
(NA)	 那女主角很像小猴子..是它陪我过没有电脑的日子的..很多感谢            
(4星)	 ...            
(5星)	 看了一遍又一遍呀看了一遍又一遍！            
(4星)	 爱你,只是因为你是你.            
(NA)	 又开始相信童话了吗？如果你在...            
(NA)	 沒看完整            
(NA)	 呵呵，李东健            
(NA)	 有那么点真实            
(3星)	 前边两星后边三星，情节比较白痴一点，有点侮辱观众的智慧，总体还成            
(5星)	 灰姑娘梦想成真            
(4星)	 哦，我不可告人的大学时代。。。            
(2星)	 男女主角真的太丑了，剧情也很无聊，可是我竟然可以看下来，真搞不懂。            
(NA)	 【2004-06-12】            
(4星)	 mbd，我真是看过不少韩剧啊            
(4星)	 我都忘记我喜欢看这个片子的理由了。            
(4星)	 当年这部剧坚定了韩剧的道路            
(5星)	 第一次想买拍立得的冲动是看这部电视剧里来的啊啊啊啊            
(NA)	 雖然男主角年齡比較大，長的也不帥，但是靠譜。            
(5星)	 当年爱死了            
(1星)	 女主都，，，，，，，，            
(NA)	 完全看不出好在哪里            
(5星)	 有点印象模糊了，但却是我人生第一部韩剧~~~            
(2星)	 傻女人傻男人的爱情故事。            
(5星)	 为了编剧，忍过了猴子脸女主和饼干脸大叔。            
(4星)	 每看一次感觉都是不同的            
(3星)	 学舍友，宅着的时候看着韩剧吃薯片            
(3星)	 消遣泡泡剧            
(NA)	 这男主选的 当时就很费解了            
(5星)	 难以超越的大叔`即便是拖上了俗不可耐的灰姑娘情节。            
(5星)	 我看过的一致手数的过来的韩剧中最有爱的一部之一~小时候的记忆总是最米好的            
(4星)	 看了n遍            
(5星)	 韩启柱绝对是完美男人一号。            
(5星)	 从此之后我就认定我要找一个韩启柱这样的男人.            
(5星)	 除了冬季恋歌和巴黎恋人，再没有哪一部韩剧是我从头看到尾，且一看好几遍的            
(5星)	 百看不厌的韩剧之一            
(4星)	 结局非常creepy。讲了20集小女佣和雇主少爷之间的狗血爱情故事，最后告诉你那一切不过是女佣YY出来的。金恩淑你果然不是从秘花开始变态的，你根本从来都是个恶趣味怪咖。            
(NA)	 唔……当时就是冲着巴黎去看的……如宝推荐的            
(NA)	 =========    ==========            
(NA)	 我到底看过多少韩剧…= =            
(5星)	 很爱很爱 很想看了再看的韩剧            
(NA)	None
(NA)	 还是喜欢男二号。。            
(2星)	 舅舅和侄子爭女人...            
(5星)	 没有办法超越的经典 韩启柱一直是我的最爱 梦幻的巴黎 梦幻的爱情~            
(5星)	 尾段稍嫌拖沓，结局奇怪，待研究。            
(3星)	 大叔當時還很年輕。金正恩的眼睛看著彆扭。兒子當成弟弟，外公變成爸爸，家庭倫理悲劇，編劇挺敢編的。愛情部份到後面幾集有點拖。            
(2星)	 总之男女主都不是我爱的款            
(4星)	 韩剧灰姑娘系列中比较有代表性的一部            
(NA)	 女主角太难看了！！太难看了！！！            
(4星)	 其实。。已经不记得是讲啥内容了。。            
(4星)	 喜欢舅舅这样的男人            
(2星)	 什么跟什么。。女主倒霉相，男主无爱大叔            
(4星)	 哎呦 这结局 是要告诉丑小鸭们快做你们的王子梦吧 王子总会来的吗？哈哈哈……            
(5星)	 经典，唯一一部看过三遍以上的韩剧。            
(5星)	 如果韩剧还有神马最爱男猪脚的话。。。在我心里只有朴信阳！！！            
(3星)	 主人公绝对三个纠结处女座！！神经一样哭吧兮兮的            
(3星)	 俩人超级难看！！            
(5星)	 突然想起初中看过这样一部电视剧啊。巴黎恋人为什么这么好看，是因为有一个悲惨的修赫，怎么追都追不到，怎么努力都奋斗不到男主角的阶级。后来大家都意识到爱情剧都要有一个悲惨男二号。现实中其实是不也是随处可见么。            
(4星)	 实习看的~            
(3星)	 男主不萌所以我弃了，可没想到结局如此出乎意料&gt;&lt;            
(3星)	 咋回事 重温还能看的心潮澎湃...【捂脸            
(3星)	 几年前看过的 肥皂剧            
(3星)	 灰姑娘的爱情故事……            
(3星)	 朴大叔真帅            
(NA)	 我就不明白朴信阳到底是哪里吸引我了&gt;.&lt;            
(5星)	 赞~！！！            
(5星)	 神马叫做人格魅力 朴大叔来告诉你            
(NA)	 灰姑娘呀，灰姑娘，童话呀，童话。。。。。            
(4星)	 很喜欢女主角@@            
(3星)	 和老妈一起看的 只是感觉结局很奇怪 男主角不高不帅但是很有魅力            
(1星)	 贼鄙视女猪 hi丑            
(3星)	 我妈看了无数遍……半夜一个人在客厅哭~            
(3星)	 女主角的眼泪啊。。。            
(4星)	 3.5            
(3星)	 断断续续 居然就把这个剧看完了            
(4星)	 带着高二的心重温。叔控。            
(3星)	 大学韩剧时光            
(3星)	 我妈很喜欢。记得我还买书看来着- -            
(5星)	 韩剧看的不多也不哈,不过这个,永远都忘不了.它是我心目中的经典.            
(3星)	 女主角太老了。。。。。。。。            
(3星)	 除了羡慕就是羡慕了。倒是能嫁啊。。。            
(5星)	 韩剧我只看这一部            
(NA)	 看了无数遍了~            
(3星)	 我妈貌似比较喜欢这出...            
(5星)	 最爱的韩剧，之后食之无味(⊙o⊙)…            
(4星)	 有点矫情            
(4星)	 男一号这样的男人超有安全感            
(5星)	 重温            
(3星)	 灰姑娘的故事。            
(4星)	 高中时代的经典了……            
(4星)	 巴黎恋人。跟巴黎有关的一切名字都变得好听。            
(5星)	 这男人太正了            
(4星)	 以前看的，就记得男主角太难看了            
(NA)	 有人说我长得像女猪，啊哈哈哈哈～            
(3星)	 又一灰姑娘的故事~            
(NA)	 无厘头            
(5星)	 我喜欢修赫.            
(4星)	 小学看的            
(4星)	 我竟然也看过韩剧，仅此留念            
(5星)	 女主角很漂亮啊啊啊啊啊啊啊啊啊啊啊啊啊啊！            
(4星)	 真的，只看了一点我就知道结局了。            
(NA)	 给有钱人当保姆            
(4星)	 好多朋友说我长得像女主角囧            
(3星)	 前5集很好看，后面就不爱看了=3=~还是三顺经典啊~            
(NA)	 妈妈看了好多遍。            
(4星)	 当时非常喜欢~            
(3星)	 大叔。。长得这么XX还出来演剧。。。            
(3星)	 女主角有点做作~            
(3星)	 记得金正恩的僵脸            
(5星)	 喜欢上李东健的片子，所以想要打鼓，戴着护腕，还有西装外套。            
(3星)	 补            
(2星)	 可能是年代久远的缘故，说实话我看不下去了...虽然够经典            
(3星)	 那似乎已经是童年的记忆了            
(NA)	 老妈的最爱~            
(4星)	 俗套~男主也不帅~但是我喜欢~            
(3星)	 男猪脚啊%……有点儿丑啊……            
(3星)	 剧本就是本台小言            
(4星)	 女猪脚好显老 白瞎李东健了             
(3星)	 音乐不错 都世界名曲            
(5星)	 mrs kim 是我最喜欢的韩国女            
(4星)	 虽然主角长得都不怎么样，但男主角散发出来的魅力还是挡不住            
(3星)	 老姐那时候把这部剧吹得呦。            
(2星)	 男女主角太丑了            
(4星)	 我怎么突然觉得这部还挺好看的，囧。            
(NA)	 被理想化的感情也是值得期待的。            
(4星)	 我很喜欢的一部韩剧            
(3星)	 其实还好了 主角没有互相猜疑 也没有最后得病死掉            
(5星)	 很久以前看嘀~            
(5星)	 我喜欢朴信阳大叔。            
(3星)	 女人能一直纯粹，是很难能可贵的，需要坚持和保护。简单一点，生活会回到最初的美好。            
(NA)	 貌似也看过哦。。            
(4星)	 除了男猪脚长得难看了点以外都还行吧            
(2星)	 男主太丑，剧情太白。轻雷            
