http://movie.douban.com/subject/3348511/	暗香
(4星)	最大的败笔就是 黄晓明那一口难听的 外语
(2星)	黄晓明除了装逼 还会别的吗？
(2星)	前三四集好看。後面的越看越不想看。這戲令我討厭了王絡丹。
(NA)	心里内个堵啊~你们俩直到大结局都没亲一下！堵啊我堵啊
(3星)	借鉴了港剧的特点（剧情跌宕、节奏明快、人物关系复杂多变）和韩剧的优点（人物靓丽、布景精致、服饰时尚、言情桥段细腻），同时有意识地注入一定的历史感和时代色彩，内地都市偶像剧在进步，但对勾心斗角的设计太过，结尾处几乎失控。
(4星)	黄晓明在里面还蛮帅的 就为这个给四星我俗么俗么
(4星)	跟其他内地剧比起来确实很豪门
(4星)	黄晓明咋越看越帅喃
(3星)	越后面越觉得这一切真的太离谱了。陈远太神了，剧情也太神了。就是部神剧，囧。
(4星)	黄晓明演技日渐成熟
(4星)	程先生，你敢不敢再帅点？！
(1星)	大小BUG不断，结局真把我雷到了
(NA)	前面的编剧真的有问题！故事都编不圆！但是后面挺好看！是打发时间的好东西！
(4星)	虽然剧情有些老套，有的地方还挺假。但也有很出彩的地方，晓明的演技不错。
(4星)	黄晓明的英文　　好别扭～·怎么不找人给他配音啊
(1星)	黄晓明不是一般的二
(3星)	小明哥講英文了
(4星)	爱恨情仇。
(2星)	我觉得前两集最好看 看来 我还真是喜欢看年代剧呢啊
(4星)	黄晓明你敢不敢再帅点~王珞丹你敢不敢再傻点~雷人的剧情~
(2星)	烂啊~~黄晓明和王子这个词汇的差距恐怕没办法用测量工具测了 给自己增点内涵至少把美式口语练好吧兄弟！话说这片到位之处在于点明了 中国内地果然是不可能存在前面好几代都有钱的中国人的 另 这片连个高潮都没有！每次快高潮就又压下去了 只能说国产片，还是有进步
(3星)	结尾太扯了
(2星)	结局还能更狗血吗？那可怕的英语，那女一的容装，靠，胡子都有。冲着杨冥坚持看的。编剧明显在玩弄观众的智商，以为黄晓明能一俊遮百丑？
(3星)	节奏有点慢 商战 
(2星)	看了一半实在看不下去，就看了个结尾。
(2星)	黄晓明做作的演技 故作的忧郁 耍帅的傻逼风范真让人无力接受
(NA)	教主真让我憋笑内伤
(3星)	卧床看完这部电视剧，感觉大陆还是拍不出来这种豪华的情节，有其是开始和后面的脱节，还有结尾的仓促。。。。
(NA)	王珞丹的米莱模式已经定型了么？黄晓明啊我承认你挺帅的，可这是电视剧啊，这不是你的MV，你可不可以演演戏别光摆POSE啊
(3星)	编辑太烂了
(2星)	制作粗糙，前段用不着两集
(4星)	某西同学大力推荐霸蛮规定要我看的电视剧，终于追完了，好久没看这么长的剧了，累。四星原因是它与其他内地剧相比有了一点突破，我给点鼓励同情分吧。嘿，看完我明白某西为啥迷得七荤八素了，亦邪亦正的程远不就是你那道菜么？哈，可惜黄同学的气场不吸引我。伍月的角色又成功贴上了王珞丹的标签。
(5星)	黄晓明不要太帅。。
(3星)	黄晓明好帅，一个男人怎么可以把西装穿那么好看
(5星)	很喜欢 因为王络丹去看  最后因为黄晓明出不来。。。
(4星)	黄晓明在里面好帅啊 哈哈哈哈哈哈！！！！
(3星)	里面的衣服都好华丽奥！！
(NA)	黄晓明 您那英语是海归说的？ 王洛丹，您那英语是哪国空姐说的？
(3星)	程远是个命犯天煞孤星的可怜小伙 身边的人一个个都去见上帝了；皮皮是个敢爱敢恨绝种痴情的好小伙 对丽达一往情深；费丽达是个娇弱又能干的漂亮小姑娘 对孩子气的程远小盆友爱得至死不渝；最后说说没心没肺的北京丫头小伍月 她的爱埋藏得很深 心中熟知相爱不如相知的伟大(狗屁)真理 因此在婚礼
(3星)	我想知道王珞丹这种要脸没脸要胸没胸要演技没演技的妞是怎么红的啊。。。假死了。对比来看，小明真是帅死啊！
