http://movie.douban.com/subject/2303265/	少年杨家将
(4星)	 推荐16至18岁男性集体观看,加强性别自觉教育;16至30岁女性自己在家观看,HC专用;大陆自产偶像剧先驱者是也.            
(4星)	 只看一个男人——耶律斜            
(5星)	 我怎麼能只有簡簡單單看過兩個字去詮釋我的整個心情。我怎能以這麼一種雲淡風輕無關痛癢的口吻去談起我這麼熱愛的楊家兒郎。如果說有時光穿梭機，我真的只想去到這個年代啊。哪怕只是做楊家的一個丫鬟呢。畢竟，我可以朝朝暮暮看到生動鮮活的他們啊。            
(5星)	 怎么办~我越来越爱这个彭于晏了 太可爱了也~            
(4星)	 彭于晏死的时候哥都快飙泪了            
(5星)	 萌点是胡歌和彭于晏！！！！！简直是热血+催泪巨作！！！我从08年拖到2010终于看完了！！！尤其记得七郎死的那集是第39集，看一遍哭一遍~~~~(&gt;_&lt;)~~~~ 后面的几集都是在催泪~~~~            
(5星)	 超级帅哥秀~~连配角都帅到……好久没有被这种题材的戏感动了，杨业死的那段和五郎六郎夜雨里哭的那段，我自己也哭得死去活来的，真丢人，但是很爽。            
(3星)	 喜欢老七            
(5星)	 今年看过最好的电视剧，那个荡气回肠            
(NA)	 回家的那段看得我。。。。            
(4星)	 哭死我了            
(4星)	 耶律斜啊~            
(4星)	 萌上了胡帅锅=v=            
(5星)	 演员选的很不错            
(4星)	 最初只是冲这歌歌去看的。最后看得我气贯长虹啊!!            
(4星)	 當時大結局哭得那個淒慘呀...對我來說太不容易了...- -            
(5星)	 《少年杨家将》这又是一部看似偶像剧般的电视剧，一大堆帅哥美女，但是还是觉得我家六郎胡歌最出彩！绝对值得一看哦！很好看！            
(5星)	 最后几集哭的简直要脱水了。老胡还是适合杨六郎这种不断成长最终成为智慧大义的英雄角色而不是景天那种不学无术的小混混。            
(4星)	 帅哥太少            
(4星)	 杨家一门忠烈，父子八人同上战场，只有两个人活着回来，何其惨烈！那个昏君！看潘仁美那一脸奸诈，真有一股冲动，想要抓起遥控器，照着他的脸砸去！！            
(4星)	 就算我脑子错乱了吧，可它还是看得我少女坏春，爷们儿差点掉眼泪．            
(4星)	 最后死的真壮丽。。            
(4星)	 之前难得看完全剧的国内电视剧，算是国内近年来的高质量，最初就是冲着小彭同志去的，果然不负众望，虽然知道结局，但还是在死的一刻哭了，话说演员都找的不错            
(NA)	 林家宇……            
(4星)	 小七死的时候哭死了哭死了。            
(5星)	 TT TT TT 坏人才一生平安 吧 !!!卧槽!!!            
(5星)	 开玩笑，杨家将的故事是我最喜欢的，那种听上去就让人有种热血沸腾的感觉。看这部剧，更让我有这种感觉，不过，金沙滩一役，杨家七子去，六子回，注定是一场悲剧。。一场用血泪写下的悲剧。            
(NA)	 某人 你长的也太像那个人了吧            
(4星)	 穆桂英老了就是佘赛花。            
(4星)	 荡气回肠哟～在電視剧中很少看到这样的呢～            
(5星)	 带些偶像剧风格的古装电视剧。            
(3星)	 纯偶像剧 爱看帅哥天经地义 所以我一点都木觉得不好意思 嘿嘿（邪恶的笑……）            
(4星)	 訣別詩，兩三行            
(4星)	 很多时候萌点就是泪点..八人去一子还...大郎横死马下，二郎死于刀下，三郎被踏成肉泥，四郎远赴他乡，五郎出家为僧，七郎万箭穿心，老令公碰头自尽。可怜多年后十二寡妇征西，成全杨家天波府一门忠烈。小时候听外婆说隋唐开国，杨家将的故事，只是觉得精彩。现在隋唐仍旧有一股豪气，杨家却是悲凉            
(4星)	 從37集開始伴著‘當我們談起明天總是覺得希望無限總說再過二十年還是條好漢’這歌，我是幾度以淚洗面啊！！！淚洗面啊！！！直到最後啊！！！啊！！！！楊業啊，這昏君不值得你為他賣命啊！不值得你拉上全家為他賣命啊！不值得啊！！！最後看著老四把遼公主摟在懷電腦前想著羅氏女的我心裡真難受啊啊！            
(4星)	 金豆豆掉了一天TAT 后几集泪点戳得太密集了吧！！！！            
(4星)	 拖得让我看不下去，但还是看完，是个好剧。。只是台拖了！受不了。。。了。。。            
(3星)	 那时候彭于晏多嫩- -。看完电视剧在看原著，有种说不出的愤怒，去的你杨四郎！            
(4星)	 结尾不咋好看。前面都不错。集体死的那集太惨了。哭的我稀里哗啦的。。。潘仁美死的太舒服了。不平衡。我觉得关红跟耶律耶应该比跟杨五郎更幸福。            
(4星)	 全是美男啊！            
(5星)	 力荐力荐力荐力荐！！！！！！！！            
(5星)	 悲剧啊~七郎啊好喜欢七郎，但是最后几集看的人真的太纠结了~~金娥最后在大树后面望着七郎~~·            
(4星)	 大爱多得眼花缭乱呀 ~&gt; &lt;~            
(5星)	 看的我最后哭的不行了~~~~            
(NA)	 补遗               
(4星)	 给个续集诶……            
(NA)	 看的时候是高三，杨家将们一个一个死掉的时候莫名其妙哭到不行。后来一直没有再看一遍是真的有那么悲壮还是心情宣泄。            
(5星)	 各种帅哥。            
(5星)	 拖了一星期终于看完了啊。。。哭了一晚上有木有啊。。。明天没法见人了。。。TAT            
(4星)	 对片尾曲情有独钟的，演员都还算卖力。彭于晏万箭穿心，我都[伤心](；′⌒`) 的不得了。            
(5星)	 醉卧沙场君莫笑，古来征战几人回。即便如此，也只为一个男人唏嘘——耶律斜。             
(5星)	 读书的时候看的~真是虐心额，全部阵亡~            
(5星)	 当初看得差点得抑郁症            
(NA)	 片子很唐人的感觉！真正拍出了少年的感觉，说实在的，最后他们都为国捐躯的时候，哭倒了很多人！特别是小七            
(5星)	 杨家上下义胆忠肝！杨门少将忠心报国！杨门女将热血巾帼！只可惜忠臣难侍昏君，尽管早就知道结局就是如此，可一幕幕看下来一定都不觉得乏味无聊啊！强烈建议多翻拍几部革命电影，请让彭小晏去演在烈火中永生吧！！请让袁小洪去演铁道游击队吧！！老娘誓言到时一定会站对主旋律！！            
(5星)	 竟然真的会看到想哭  昨天还是一家人团团圆圆热热闹闹的 转眼就空剩回忆 不失为一部好剧            
(4星)	 今天看了步步惊心的片花又把少杨最后几集看完了。然后就深深感叹唐人颜控的时代一去不复返。当年的胡歌真是帅毙了！现在瘦的剩把骨头了。还有彭于晏简直属萌系的。            
(5星)	 真愛&gt;&lt;            
(NA)	 除了帅锅还是帅锅            
(3星)	 剧情太弱智 制作也很糙 演员很养眼 最后几集眼睛都哭泡了= =http://www.tudou.com/programs/view/O3W3OXd-s34/ 《夜雨寄北》            
(2星)	 秀雯是唯一一个再次出演自己电视剧的演员            
(5星)	 金沙滩一役哭得我眼睛肿到第二天早晨...最爱小七O(∩_∩)O~觉得耶律斜很浪漫，真是英雄气概、儿女情长啊！            
(3星)	 深情款款，我好久没看到耶律斜这样的电视剧男子了。。。            
(4星)	 美好只是虚幻 其乐融融的大家庭            
(1星)	 很讨厌 胡歌  何润东！！            
(5星)	 潘仁美这个贱人!!!...掐死编剧！！            
(3星)	 那时候的LSS真没演技呀            
(4星)	 这故事怎样拍都是赚人眼泪，只为故事里那些人和事            
(NA)	 看得真tm来气            
(4星)	 太惨烈了！！第39集啊！！真不忍心再看第二遍！！！胡歌那时候的眼睛真好看，可惜现在。。。还有袁弘和演潘豹的也很帅，哈哈。彭于晏也很可爱。大陆偶像剧啊亲！            
(4星)	 彭于晏萌 袁弘帅呆            
(4星)	 当真“儿女情长诀别诗”            
(3星)	 第一次发现彭于晏长得这样周正这样帅~~~~            
(5星)	 唯一一部全帅哥明星电视剧 大爱！！！！！！！！！！！！！            
(2星)	 我就冲着小彭看的            
(4星)	 老胡车祸前的最后一个片子，仿佛还是昨天看的预告，一转眼都是五年前的事儿了            
(2星)	 这三个男猪脚            
(NA)	 诀别诗            
(3星)	 男猪们比女猪们好看多了……            
(NA)	 哎呀。。            
(5星)	 感人至深！金沙滩一役，值得细细思考生死的意义。            
(NA)	 就一句话：我超爱耶律斜！！！其他的不多说了，不过何润东在里面表现也很不错！            
(4星)	 袁弘在这里比杨康讨喜多了，乍一看以为是张智霖。六郎明明就是李逍遥的样子嘛，八妹可爱，彭于晏本色。            
(5星)	 我喜欢彭于晏！            
(4星)	 有彭于晏！！！！            
(NA)	 初是狗狗 后是诗诗            
(3星)	 许是关于杨家将的版本太多，这个版本也就失了很大的兴趣。            
(5星)	 当年的最爱啊            
(5星)	 7.5 胡歌不是很男主 不过其他几位也还行 最不爽的是画面颜色            
(3星)	 我就是为了欣赏古装扮相的袁弘~太喜欢他了~            
