http://movie.douban.com/subject/2208933/	武则天
(5星)	 其实刘晓庆的演技没的说            
(3星)	 小时候看的电视剧，刘晓庆很强悍，少女到老妇都可以演。            
(NA)	 毛戈平化妆术            
(3星)	 cctv放的是删节版的！！！地方台提前放了，跟白马寺和尚那有露骨描写！！！我还想央视重看一遍的时候再看一遍那是神马的！结果被坑爹了！！！我幼小的心灵啊!!!            
(4星)	 第一次对刘晓庆这个人有了深刻的印象            
(5星)	 很小的时候了吧            
(4星)	 化妆技术这么牛，毛戈平自己出的彩妆为什么卖不走。            
(4星)	 印象不深。。就记得那几个月天天陪爷爷一起看。。            
(3星)	 化妆师真厉害!            
(4星)	 我当年为了看这剧还大哭来着。            
(3星)	 陈宝国好嫩~            
(4星)	 首播时我三年级，记得那时还有去小蓓家玩，在她家也要打开电视继续追。后来香港国际台重播，还有点评，我又重看一遍。            
(4星)	 刘晓庆16岁的样子            
(5星)	 我当时好像一集都没有落下。            
(5星)	 陈宝国、刘晓庆真的是不可多得的好演员啊！演历史剧就是好看，小学时候看的，到现在还喜欢！            
(NA)	 给我推荐这个。我还真看过！！！！            
(4星)	 我到现在还记着那个演上官婉儿的女的。= =            
(4星)	 晓庆大妈多牛逼            
(NA)	 喜欢武则天．．．牛人            
(4星)	 没啥特别的印象了 觉得不如宝宝演的那个出色 刘阿姨很辛苦 很敬业 但是我不爱看她            
(4星)	 好美腻呀。            
(4星)	 CCAV-1 晚8点。            
(NA)	 刘晓庆太嗲了 以至于我7岁之前的梦想是：武媚娘死了，我就是天下第一了            
(4星)	 重口味。1，太子恋童癖，喜欢搞小正太。2，公主光明正大搞和尚，而且还是驸马配置家当。3，武则天当尼姑的时候，被同寺的尼姑性骚扰            
(NA)	 我就记得刘晓庆一手搂一男人            
(5星)	 绝无仅有的武媚娘！            
(3星)	 我只记住了主演是刘晓庆...            
(4星)	 那时候我还小            
(4星)	 刘 氏 靠 边 站 。            
(5星)	 真强的女人~~            
(4星)	 胡媚娘和刘晓庆，当时对她还是有很多赞叹的。            
(4星)	 全凭当年的感觉  哈哈            
(5星)	 我喜欢的唯一一部刘晓庆同志的片子            
(NA)	 囧，水痘时期排解无聊之极品。            
(4星)	 千娇百媚的她，被那个时代逼迫成为杀子的恶母，但为了地位她放弃了许多，选择了许多，用计谋稳固了自己的位置，成为一代女皇后，一统江山。刘晓庆的扮相很讨巧，娇媚，俊朗，早期的内地影视剧经典很多，不象现在都是粗制滥造。            
(2星)	 善于计谋，是慧根            
(5星)	 美女，不过也演出来真正的女皇的感觉了~那种坚强，不服输，和犀利！            
(3星)	 小庆殿的大制作            
(5星)	 拿剪刀杀人的媚娘            
(3星)	 小的时候还看过书，厚厚的一大本。            
(5星)	 很经典的一片            
(4星)	 重温            
(3星)	 有了潘版，这个版实在是不咋的。当然是偏见。            
(5星)	 精良制作，经典。            
(4星)	 赞那时候的刘小庆.             
(5星)	 小时候特别喜欢~            
(4星)	 陪着妈妈看电视的日子  那时我很小很小  却依然清晰            
(4星)	 其实对这部片子没什么好感，但客观分析还是上乘之作，因为刘演的就是自己。            
(3星)	 俺还是喜欢少女武媚娘……大眼睛里有着扑朔迷离的朦胧和未经世事的纯真            
(4星)	 刘阿姨当年那个霸气啊！光头都很美啊！！！            
(2星)	 我外公超级喜欢刘晓庆，囧。。。            
(4星)	 对我自身意义重大。            
(4星)	 小时候都没发现老尼姑想跟她搞拉拉            
(4星)	 当年的刘晓庆确实有惊艳的感觉～            
(NA)	 刘阿姨妖孽。。            
(4星)	 小时候好爱看            
(4星)	 我从小就觉得这宫里头好多断臂蕾丝色情暴力SM片段儿啊每次我问我妈为什么她老胡说            
(NA)	 其实她演的真的挺好的            
(NA)	 其实我一直觉得这部拍很好~当年觉得刘阿姨无比强大。。。            
(NA)	 刘阿姨很辛苦 很敬业             
(3星)	 陈宝国崛起之作            
(5星)	 啥也不说了，当年看的时候，觉得刘晓庆演的真是好。            
(5星)	 刘晓庆绝对塑造了我心目中的武则天            
(NA)	 那时候狂迷啊，还经常扮女皇...            
(4星)	 去了乾陵了!            
(3星)	 刘晓庆就是个不老妖精~~            
(5星)	 小时候很热爱的追着看。            
(4星)	 我看的时候大概只有2 -3岁            
(3星)	 歷史劇裏比較細膩的            
(5星)	 正！            
(4星)	 记得挺香艳的            
(4星)	 其实刘晓庆挺吊的，能把一女人的年轻－中年－老年都演全了，不容易。            
(5星)	 经典哟~            
(5星)	 媚娘是小朋友们心中的偶像。            
(NA)	 娥..眉..耸参天...            
(NA)	 都是央视1晚8点的错。            
(4星)	 唐服！            
(1星)	 刘晓庆是个老神经病！            
(4星)	 那时候的刘晓庆真美呀            
(3星)	 一个女人的成长，有许多的偶然，也有很多的必然。            
(3星)	 我还是喜欢那个版本的            
(2星)	 偶八喜欢刘奶奶            
(4星)	 同样对主题曲印象深刻            
(NA)	 最爱还是这个版本。            
(NA)	 忘掉。别来无恙。相视无语。电视剧，弹出。            
(3星)	 丑不垃圾的刘大娘~            
(4星)	 儿时看过的东东,还是记忆深刻呵~~            
(5星)	 豆瓣果然是吮么都找得到。            
(4星)	 老久以前看过...同&lt;封神&gt;的炮烙一样...&#34;请君入瓮&#34;之刑的恐怖还藏在我的脑海里...            
(4星)	 经典的.从此知道有个小才女叫上官婉儿.那部以她为主角的反倒不出彩.            
(4星)	 经典            
(3星)	 很小的时候看得……            
(5星)	 真是几多辛酸几多泪            
(5星)	 一部经典，剧情引人入胜。。。            
(5星)	 还是刘晓庆演得最好            
(NA)	 小学看时候没看懂~            
(4星)	 小时候我看不懂。只以为她年轻时候的脸庞应该是代表了最美好的时光。也只有小时候和她老的时候想的是一样。            
(4星)	 刘晓庆扮演的武则天还是没得说滴            
(4星)	 服装大赞            
(3星)	 还行。。。            
(4星)	 儿时的记忆            
(5星)	 女神！！！            
(5星)	 这部&lt;武则天&gt;是我小时候,我父母鼓励我看得.因为是历史剧.最主要的,是这部史剧还是比较附和真相的.因此值得一看.刘晓庆也是当时大陆的一姐,演出也是很精彩的.            
