http://movie.douban.com/subject/3035773/	新鲜人
(5星)	 http://www.tvpad.cn/gangtai/g0634a.html            
(4星)	 想当年我也是个爱看BG的主儿...            
(4星)	 當年哭死了，不過我不愛容豬兒            
(3星)	 小温情，颇老套            
(4星)	 改个名字也可以叫“爱的教育”，因为里面充满了爱也充满了教育意义。结尾那段幻想的乌托邦可以把整个剧提升一个档次。Stephen演技了不得。Joey当年青涩模样，谁料想她今日的天后地位。            
(3星)	 貌似徐子淇有份啊？怎么不见了！！            
(4星)	 触及特殊题材之余剧本又特别 最紧要系演员新 新尝试            
(4星)	 这不是一部非常商业的电视剧，内地也甚少人看过。但是温情却处处可见，小人物的故事总能暖心。            
(4星)	 TVB现在很少这个题材的戏了！！！！            
(NA)	 中学的时候还是跟了不少剧的            
(4星)	 主题音乐很感人，主角配角们各有亮点，温情片总是能打动我            
(4星)	 我那时真的不觉得容祖儿丑，因为她演的那个女生真的很好，她为了说服冯德伦自毁手掌，勇啊`            
(4星)	 当年的容祖儿丑到阿妈都唔认得            
(5星)	   是徐子其的经典电视剧呀~            
(3星)	 当时就很中意bowie            
(4星)	 励志！            
(4星)	 当年把Green Hope写在书包上            
(4星)	 德伦            
(5星)	 我要打10颗星。。。。这个超级感人又不失真实，人物各个鲜活有趣的港剧。。太劲爆啦，就是结局有点仓促老套~            
(5星)	 由此开始留意卓韵芝~            
