http://movie.douban.com/subject/2189642/	北京人在纽约
(5星)	 冯小刚领先这个时代近20年啊            
(4星)	 千万里，我追寻着你。time and time again, i ask myself。呵呵。歌不错。姜文不错。            
(5星)	 发现小时候真是看了无数国产电视剧啊。            
(5星)	 第一部反映在外国的中国人生活的作品，拍得很经典。            
(4星)	 我已经变得不再是我，可是你却依然是你            
(5星)	 很久以前，小学。            
(5星)	 为了晚点睡假装看得懂            
(5星)	 经典            
(NA)	 结尾设计得很电影，姜文真是容易让人迷恋            
(4星)	 这是好小的时候看的连续剧了，貌似那时这片儿很流行。我始终记得姜文在片中纽约的饭店里洗盘子时说的那句话：“我这双手可是艺术家的手啊！”。。。多么戏谑。。。            
(NA)	 阳光灿烂的日子，风雨前夜。            
(5星)	 经典            
(5星)	 钱可以毁了一切也可以成就一切，纽约人告诉你只能靠自己            
(3星)	 一年级的记忆。在大床上叼着一颗冰棍看它。            
(4星)	 千万里~我追寻到你~很小的时候看得电视剧~王姬~姜文的最初印象            
(NA)	 不错            
(5星)	 这事儿还没完呢！            
(3星)	 记得我爸喜欢王姬，我还替我妈嫉妒来着。            
(4星)	 很多年以前的，都老了。            
(5星)	 太有默契了            
(5星)	 他成名了……            
(5星)	 比现在的什么《奋斗》好多了就凭那句“纽约不是天堂，也不是地狱，而是战场！”            
(4星)	 划时代意义的一部老片，从此美国人不需要我们拯救了。            
(4星)	 从广播剧到连续剧，又悲又笑的海外生活~~            
(5星)	 很喜欢电视剧里的王姬。最后一切归于平淡，我觉得也很可惜。            
(5星)	 姜文跟洋妞搞的那段在我六岁的小脑袋瓜里扎根开始了性启蒙            
(5星)	 我五六岁时看这电视，就迷上姜文和王姬了，当年剧中的王姬是我心目中的大女人，不管外形打扮还是性格            
(4星)	 time and time again。。。==            
(NA)	 就记着当时马晓晴在米国的家里哭到眼妆花掉的时候，我暗暗告诉自己，以后睫毛膏一定买防水的            
(4星)	 闪亮的名字：王启明            
(4星)	 小学根爸妈一起看的/当时剧里的喝多接吻镜头带给我幼小心灵的巨大冲击            
(5星)	 基本上是这样的            
(NA)	 总觉得王姬是坏女人 -_-            
(5星)	 什么叫绝路啊？！丫又有钱又他妈爱你，这叫绝路啊？！            
(4星)	 经典            
(4星)	 重温            
(3星)	 哈哈哈             
(5星)	 牛逼剧            
(4星)	 马晓晴            
(4星)	 现在只记得刘欢的歌            
(4星)	 王姬很妖娆 王启明的女儿很开放 当时的我看到这些 惊讶的张大了嘴巴            
(5星)	 记得有马晓晴            
(5星)	 经典剧，姜文很痞            
(NA)	 看过而已            
(4星)	 time time again～～            
(5星)	 千万里！我追寻着你！~！！！！！！！！！！！！！！！！！！！！！！！！            
(4星)	 最后很好看～            
(4星)	 除了片头曲真是想不起什么了……            
(5星)	 怀着对老姜的爱 复习一遍            
(4星)	 当年我躲喜欢的一部呀            
(5星)	 初中看的吧，那时有个同桌张的像姜文那小子，我晚自习就臭他。那个年代，能拍出这样有内涵的剧集，也算个开创者了，而且能在CCAV1黄金时段播出，也是改革开放后国人逐步跨出国门这个现象的投影，姜文实在很赞。想重温一遍。  H2 2010.10.17 回顾            
(4星)	 千万里千万里~小时候感同身受的片儿~            
(3星)	 姜文~            
(5星)	 大一时又看了一遍，依然经典。            
(4星)	 現在回頭想想覺得很神奇 幾歲的我跟到一大家子人看這電視劇 看得很煽情...            
(3星)	 话说那个时候我还没有记忆的呢吧...            
(5星)	 谁想移民先把这个认真看了再说吧！            
(4星)	 老顽童说，人不断地涌出，不会改变            
(NA)	 补遗            
(3星)	 做不成美国人，也不再是中国人，辛苦吗？觉得幸福吗？ 当失去一切之后重新站起来的那一刻------觉得这一切都值得吗？            
(4星)	 小时候有记忆的时候看过...记得那外国媳妇买钟送给岳父的那一段            
(5星)	 出色            
(4星)	 某人也能拍一部了~            
(NA)	 悲欢岁月 浮沉人生            
(5星)	 太吊了            
(3星)	 我不觉得那个年代的艺术家都是一副地痞相 而且马晓晴演12岁小孩儿太扯淡了            
(NA)	 曾经的经典，现在什么都不记得            
(5星)	 郭燕那部分要多糟心就有多糟心/&#34;555&#34;的广告强奸眼球            
(4星)	 最早的美国梦。            
(5星)	 喜欢            
(4星)	 当年啊。            
(5星)	 有空定当再看一遍又一遍。            
(4星)	 time and time again, i ask myself,问自己，是否离得开你？            
(4星)	 .            
(3星)	 送你去纽约，坏蛋            
(3星)	 2008年的时候住在北影家属区重看过一遍            
(4星)	 小学            
(4星)	 小时候看过的，当时的电视剧中算大片吧。可惜，可惜，没机会去亲身体验一把了。NY再地狱，也是个美好的地狱，因为它曾经天堂过。            
(5星)	 真是..全年龄娱乐。            
(4星)	 幼儿园时代对电视剧的全部理解            
(5星)	 看了又看还想看            
(4星)	 小时候的模糊记忆.             
(3星)	 国外闯。            
(NA)	 宁宁真时髦            
(5星)	 王启明..我X你姥姥..冯小刚语            
(4星)	 南京人在广州。。。。            
(3星)	 地下室墙上的画。            
(4星)	 不错，满有趣的，爱她就带她去纽约，恨她就带她去纽约，换成哈根达斯一样合适            
(NA)	 难过疯了            
(4星)	 还有那首&#34;千万里我追寻着你&#34;~            
(4星)	 看见这画了吧，特现代吧，这都是爸爸一个画家朋友艾未未送的~你知道我跟你未未叔叔花了多少工夫弄这个这个艾未未叔叔还挺神的，哪天带我见见他 - -！            
(3星)	 當時印象最深的是王姬。            
(4星)	 想再看一遍。            
(5星)	 德行。             
(5星)	 小时候爱看，不懂，但就是爱看。            
(5星)	 想再看一遍...            
(NA)	 噢.            
(5星)	 经典，全是经典             
(3星)	 还不错            
(NA)	 中国最好的电视剧吧            
(4星)	 我竟然没马克这个！            
(4星)	 天堂地狱就是那个年代国人对纽约的印象～            
(3星)	 还是有些夸大吧。。更悲剧的是多数wsn是不是还没来得及思考这些问题就已然蹉跎一生了。。。ps，唯一一个皮挨着地还一路悲催最后给撞死了，擦！            
(4星)	 海外拍摄电视剧的经典之作            
(4星)	 喜欢            
(4星)	 哈，最近每晚等着看这部老片，小时候跟着老妈看，如今长大了再看，是完全不一样的 感受。那时候的编剧，真的是有功力的。            
(5星)	 至今会唱主题歌            
(NA)	 千万里我追寻着你            
(4星)	 其实没怎么看完,本人讨厌姜文            
(4星)	 既是地狱也是天堂~            
(5星)	 这是我爸妈心目中永恒的经典。我也无比喜欢，我可真爱姜文。            
(4星)	 激励我学英文的一个电视            
(5星)	 王启明，阿春~            
(5星)	 time and time again,             
(5星)	 很喜欢严晓频            
(NA)	 千万里我追寻着你……            
(4星)	 姜文比姜武帅            
(5星)	 天堂地狱。我他妈还是那么想去。            
(5星)	 千万次的问            
(NA)	 怀旧中呢~~~            
(5星)	 那时候中文都还没说溜，，就天天鹦鹉学舌的唱那片尾曲            
(5星)	 这是一部大陆电视剧            
(4星)	 给当时的中国人一个复杂的梦！            
(4星)	 现在就不是那么回事了            
(4星)	 有多么北京人还在纽约。这个冬天。            
(3星)	 记得了那首主题歌，还有，应该是第一次接触时尚的内容，记得那里面某个女子穿风衣的走路的样子，对当时的我很有吸引力，还有，第一次在电视剧里看到外国女子，呵呵            
(NA)	 time  and time  again you ask me             
(NA)	 他梦想成为一个拉大提琴的艺术家，可是他最后经营的是一家制衣厂。            
(5星)	 你以为它已经过时了？不，关于爱与人性的探讨永远没有一个令人满意的答案。            
(5星)	 还真是影响我甚深的片子~            
(5星)	 时代剧。            
(4星)	 有点忘记了。以后有空记得重温。            
(5星)	 几年前看的            
(5星)	 小时候那样爱它            
(4星)	 很小很小的时候跟着爸妈一起看的 只记得姜文很酷 王姬很美 北京人在纽约很辛酸            
(4星)	 幼儿园的时候看得了吧那时候家里出了事 半夜就自己在家看着东西啥子都没看懂只记得那句话“我这暴脾气”            
(4星)	 当年就喜欢王姬这个角色多点 哎 么办法 从小这口味。其实也就那时敢看有时间看这类片子了，现在一定觉得太耗费感情就pass了~            
(3星)	 记忆深处，纽约在哪里？            
(3星)	 对于“外国”的第一印象            
(5星)	 精彩。            
(4星)	 如果你爱一个人，就把他送到纽约，如果你恨一个人，也把他送到纽约。            
(5星)	 励志。姜文太他妈有味儿了，我爱死王启明了。            
(3星)	 一开始是听广播剧来着……觉着比这个好。            
(NA)	 北京人在巴黎……            
(5星)	 我靠。经典            
(NA)	 补注。            
(3星)	 第一次知道王姬            
(2星)	 我不喜欢姜文。            
(4星)	 小时候            
(4星)	 主题曲更有名吧            
(NA)	 很久很久以前……=。=            
(4星)	 Big apple,long long ago...            
(5星)	 是我那时候每级必看的电影，深有感触，虽然还很小            
(5星)	 记得看的那时候也不大吧            
(5星)	 同是中国人在海外,感同身受,看到17集男主角自己终于有钱请乐团,演奏Dvorak 9的第4乐章时,我哭了            
(4星)	 美国是个梦。            
(NA)	 好久好久以前了。            
(5星)	 思绪又仿佛被带到千万里～            
(3星)	 为啥豆瓣老给我推荐这怀旧的呢            
(NA)	 可以用一个电影的名字来形容--“历史照进现实”，70年代人的北漂生活，只是换了一代人，漂泊的地点换成北京            
(4星)	 好棒的基调。            
(4星)	 觉得里面的姜文跟我老爸很像            
(5星)	 喜欢王姬的表演。八十年代初的她，很有气质和魅力。欣赏阿春那样的女人。            
(NA)	 还行。            
(4星)	 打开国人眼界的电视剧            
(3星)	 全家都在看。            
(5星)	 一听到刘欢的歌就想起小时候看的这部剧，什么都好奇的年纪            
(NA)	 我们家的最爱            
(4星)	 年纪小的时候看不懂             
(NA)	 很真实            
(5星)	 你搞清楚了，这可是美国，New York!            
(5星)	 最好的电视. 立志            
(5星)	 同样,小时候跟着父母一起看.整个电视剧很多的情节都不怎么记得了,但是对那首片头曲印象很深可.            
(5星)	 好            
(5星)	 大爱。            
(4星)	 关于性爱场面的最初启蒙之一            
(NA)	 其实当爹妈的都不容易，看了这个片子没多久。我也单亲了            
(NA)	 北京人在纽约            
(5星)	 千万里我追寻着你            
(4星)	 东西文化的碰撞            
(4星)	 那个时候的经典 模模糊糊断断续续看完的            
(3星)	 还记得那经典的片头曲和片尾曲            
(5星)	 小时候的经典            
(NA)	 经典中的经典            
(5星)	 姜哥！            
(4星)	 刘欢 ask me             
(5星)	 一个大时代的来临啊            
(4星)	 姜文演和导都一样锋芒毕露。            
(NA)	 01            
(NA)	 当年貌似也轰动了俺先看的小说            
(NA)	 小时候一直抽风的琢磨歌词里唱的千万里追寻着你是追寻的什么            
(NA)	 不错~但不喜欢姜文。            
(5星)	 郭燕就一败家媳妇儿啊。            
(5星)	 经典            
(NA)	 王姬那时候多风情万种啊            
(5星)	 小时候看过一遍，今天脑子发热又开始再看一遍，味道不同了。起码人家近20年前就能拉一票人去美国拍出个电视连续剧啊，还有姜文王姬马晓晴呢，我喜欢马晓晴。            
(4星)	 發現哎喂喂也是導演之一啊            
(4星)	 冯老师最后的客串是亮点            
(4星)	 要再看一遍。            
(4星)	 姜文大叔超帥的~~~！！！！！！！！            
(5星)	 If you love him， bring him to Newyork for it&#39;s heaven 。if you hate him， bring him to Newyork for it&#39;s hell            
(5星)	 will u miss me?            
(NA)	 以前的国产电视剧其实还挺不错的嘛            
(3星)	 小时候看的，印象已经不深，但是主题曲仍然会唱            
(4星)	 还记得姜文有多男人，王姬有多风情，马晓晴有多讨厌            
(4星)	 那时太小了吧。。。            
(NA)	 小时候看过的             
(5星)	 部分台词回响在耳边十年之久            
(5星)	 冯小刚，姜文的影视艺术体系超前二十年。            
(NA)	 初看的时候还小，除了主题曲没有留下太深刻的印象~~前两年姐姐重看跟着一起看，结果各种感慨呀~~            
(NA)	 可以不要找一个三十岁大妈演他女儿吗，乱伦啊！            
(NA)	 重温，太帅了，我恨纽约，我恨他妈纽约！！            
(4星)	 姜文好帅            
(3星)	 多年之后早忘记剧情发现冯小刚编剧            
(5星)	 其实我不想标的。可是。。            
(5星)	 以前在国内看，不明白，在国外待了很久，体会到了            
(4星)	 上小学的时候，班主任跟我们说：你看咱们中国的小孩一去美国就学坏了。。。那会儿天天琢磨着怎么快点写完作业好去跳皮筋儿，知道什么叫好什么叫坏啊。。。            
(NA)	 姜文！            
(4星)	 怀旧经典...            
(NA)	 北京人在扭腰 小时候印象很深刻            
(3星)	 ( ^_^ )            
(NA)	 小时候看的，印象已经很淡了。想来其中应该有很多案例，改天认真地研究一下。            
(3星)	 记得王姬和姜文，不记得演些啥了            
(5星)	 电视剧是我还在幼稚园的时候看的，小说是我在高中的时候看的。。童年记忆中的背景画。。            
(4星)	 不管是电影还是电视剧里，姜文这时候就老霸气了            
(4星)	 宁宁给王启民也上了一课：每个人都应该是独立的个体            
(4星)	 环境对人的改变总是在不知不觉中进行，且毫无回头路可走            
(4星)	 是不是应该回顾一下...            
(4星)	 小时候跟爸妈一起看，就记得演餐馆老板娘的王姬勾搭姜文，使劲儿往他饭碗里添饭；而姜文的女朋友最后跟了她的外国老板，老板从了她一只狗，由此单纯幼小的我以为这女人就是被一只狗收买的。。。            
(NA)	 我想重温一遍~time and time again             
(5星)	 打算重新看一次            
(5星)	 很给力，结尾偏向狗血。北京人如今在哪里？            
(NA)	 NB            
(5星)	 小时候超讨厌王姬            
(4星)	 我对姜文没偏见，只是不喜欢他导的片子而已...            
(4星)	 王启明啊            
(4星)	 time and time again 。。。            
(NA)	 突然想起来就...马克            
(4星)	 人是好人，钱是王八蛋。            
(4星)	 小时候看不懂，记得吵来吵去。还有歌和片头的天堂地狱            
(5星)	 30岁的姜文……            
(4星)	 当年最好看的一部电视剧， 至今还念念不忘！            
(NA)	 2010-11-27            
(3星)	 那个时候看，我还不懂爱~            
(4星)	 很酷的姜文和王            
(4星)	 新东方口语老师力荐的，说这是大陆拍过的最好的一部电视剧，受他忽悠，自己也开始断断续续的在睡前看一点点。本来没什么太深的感受，当再上课听老师讲他从为了省水到学校去刷牙的穷学生到花旗的顶级秘书的成长经历，听他讲绿卡的6种办理方法时，顿悟了，因为老师和剧中的人物有着无比类似的奋斗历程            
(4星)	 真他妈开放            
(5星)	 年代记忆。            
(4星)	 歌经典            
(NA)	 那是多少年前了            
(5星)	 越来越觉得这部片子的真实            
(NA)	 爸爸喜欢            
(NA)	 神马也不说……            
