http://movie.douban.com/subject/5384548/	步步惊心
(5星)	 都有人看宫为毛我不能给步步打五星类？            
(5星)	 被垃圾湖南台的“雷宫”雷焦了不给5星對的起自己雙眼？            
(5星)	 刚刚忍不住上网看了片花，很忠于原著，很仔细，细节很成功。。            
(5星)	 希望能拍出小说的那种意境。。。我真是被宫打击到了            
(1星)	 刘诗诗太丑了，脸比男主还大。前半段装可爱太作了，毫无演技跟个木头一样！女配都比她好看。            
(1星)	 苦闷的剧情，实在看不出若曦的对四和八的感情转变是为了什么？多年以前看的小说果然有硬伤。            
(5星)	 刘诗诗演技越来越好了，灰常期待这部新作            
(1星)	 原著中女主角真的没这么丑吧。。。。。            
(5星)	 我最喜欢的书配合我最喜欢的明星刘诗诗。。。不喜欢都不行！            
(2星)	 看了片花刘诗诗演技真的太差了            
(2星)	 拜托 女主角也太难看了吧            
(1星)	 作为书友真的很郁闷啊！那个叫什么刘诗诗的演技不是一般的差好吧！整个一呆头鹅！我们女主有这样呆头呆脑吗？就算有这么呆头呆脑也没这么丑好吧！那个叫什么唐人的公司脑子坏了还是眼睛瞎了！小帅虎虽然不是当年的那个他了好歹人家还是一个帅哥！唉！这叫人怎么看啊！            
(1星)	 吴奇隆咋弄得还个太监似的            
(1星)	 终于知道唐人的粉有多厉害了！不认为步步会大火，今年轻松的有还珠，精美的有倾世皇妃，小说看的多的有甄嬛，步步看了片花，太压抑，而且主要是女主角太木，面无表情，男主角太老，衣服倒是好看点。恩，等到年底就知道是不是了。            
(3星)	 女主眼睛无神。带了美瞳也不管用....似乎没见过其他演员这样的。            
(1星)	 看过片花，本来看评论好的跟什么似的，其实就是一个玛丽苏剧啊，都不会比宫好看，演员就不够养眼，桑心            
(1星)	 一日为枪终身失业            
(1星)	 原著就很无聊。。。。电视剧也不会好到哪里去            
(3星)	 吴奇隆还可以，女主角不咋滴            
(2星)	 。。。这三星是看了片花给出的，相比较而言，除了剧本比较占优势，在选角上面，唐人还不如芒果台呢。我反倒觉得玉檀比若曦要漂亮得多得多，而传说中以美艳闻名彪悍的八福晋却只剩一个彪悍而已。失望至极  看完了我要给两星。刘小姐的先天条件就那样没办法改了，但是！造型师也不知道给她弄个好点的造            
(5星)	 看了片花，至少细节上和演员上步步很用心。至少比宫要用心诚意的多（又比较了，但是我真的是对宫无奈了无奈了！！！！！）看了片花真的是很期待的，宫里面是有很多人的，过节什么的也是要排场的，没有什么死而复生的嫔妃神马的，礼节对白的至少是那么回事！！最后，十三党表示对袁弘挺满意。            
(5星)	 原来觉得吴奇隆不适合我的四阿哥，但看了片花之后，发现他的一颦一笑都是那么得符合原著！！ 唐人拍的真好            
(5星)	 国立大叔上马就是不一样，雷国台靠边站~~~            
(5星)	 期待啊，光看看剧照就知道这个质量很高了啊            
(5星)	 在尊重历史的基础上，非常唯美的一部小说，有功底的作者确实不一样            
(5星)	 尔穿吾穿大家穿！杨幂穿完诗诗穿！（但是别把她们比来比去好不？她们两个俺都喜欢）清穿好热门啊！俺也想穿越去清朝啊！俺赶紧去找本清朝的史书摸一摸！没准就进去了！剧照已经很销魂了！俺感脚这一定是部好剧！再次感谢唐人电影！再次感谢李国立！再次顺带感谢没有任何关系的CCTV！            
(5星)	 ‘宫’的脑残粉 玛丽苏剧完全是在形容宫呢好么亲 别丢人现眼了。倒戈了 本来就很喜欢刘诗诗啊!!演技真的有比原来好 最起码表情没那么木了。太子真够不错猥琐的出彩。原来我真看见吴奇隆就莫名其妙的恨得牙痒痒 看到第12集 我居然开始喜欢上吴奇隆了卧槽 真挺忠于原作的 可以把函数的‘宫’爆出120条街            
(5星)	 光看剧照就可以了。。。真的！            
(5星)	 不要侮辱步步，不想再看到和宫的比较了。            
(4星)	 大一的下学期疯狂的迷恋穿清小说，看了不下五十本。步步惊心被誉为清穿三座大山之一。记住了第一最好不相见，成为了四爷党，还特意去了雍和宫，整天想穿越。。。o(╯□╰)o结局很虐，虽然后来《清殇夜未央》和步步的情节极为相似。。步步中若曦喜欢老四太突然了点。。还是这么觉得            
