http://movie.douban.com/subject/3032433/	施公奇案
(3星)	 =-=            
(3星)	 当年看KK和杨怡的古装都很美 现在怎么看怎么变妞            
(3星)	 为了可盈跟BOB            
(3星)	 最后十集 如此撕破脸 如此拖沓 图个什么阿            
(3星)	 Bobby古裝扮相更帥氣啊            
(4星)	 还挺好看的啊，我喜欢这种破案又带点神话色彩的剧。            
(3星)	 原来真的有施公这个人啊~~            
(NA)	 最近只能看些不费脑的剧            
(NA)	 看过一点            
(3星)	 剧情算连贯 中规中矩的TVB            
(2星)	 头一次见李枫 很喜欢            
(3星)	 古装的破案剧 。逃课4天的成果。无奈中。继续寻觅tvb  吼吼。。08 11 26 看完 、大学末尾。            
(5星)	 破案的无条件喜欢            
(3星)	 每次都是要结案了有分支。。。尼玛。。。。            
(NA)	 过往的记忆……            
(NA)	 快进了好几集 没有看点            
(1星)	 這個垃圾片占據我吃飯的美好時間！！！害我吃飯的時候沒有好看的電視劇！！！            
(4星)	 还挺好笑的            
(4星)	 坐等明天开播的第二部~            
(NA)	 你们俩搭戏 都快看腻了。。。            
(3星)	 看在郭可盈的份上勉强给三星。相当烂的编剧！            
(5星)	 一开始还好，是为了这个阵容看下去的~~后来越来越精彩~~故事一层一层的~~编得蛮好的，虽然最后格格没被株连九族灭掉很不合理            
(2星)	
(NA)	 挺好的剧，就是同类太多了            
(4星)	 发生在古代的破案剧 还满好玩的            
(5星)	 笑4了，推理也不错            
(NA)	 还行            
(2星)	 我实在不知道为什么看这个电视剧，而且还看完了。            
(NA)	 【2006】            
(NA)	 节奏好慢- -~            
(3星)	 对破案片总是无法抗拒~            
(2星)	 我有点受不了郭可盈装嫩以及杨怡那张脸，剧情也很鬼扯。。。总之很失望            
(3星)	 瘦的kk简直没法看            
(3星)	 两星半，不知道该说什么。            
(3星)	 那个仙枕的构思 有点莫名            
(4星)	 第一部真的还OK的~            
(3星)	 依然TVB虎头蛇尾的风格            
(3星)	 死胖子的一般产品，周末看消磨时光刚刚好，╮(╯▽╰)╭，怎么这么多需要消磨的时光啊            
(3星)	 恍惚中还以为是洗冤录~~            
(4星)	 对断案片悬疑片一向没有抵抗力。            
(3星)	 好牵强…            
(NA)	 竟然现在才看...演员阵容..欧阳震华,郭可盈还有陈浩民和杨怡...真怀念啊~~终于补完了,赶紧去追施公2~~            
(3星)	 因为很无聊还是看完了，从配乐上还是很TVB滴~~~~            
(3星)	 前面还好，后面的剧情真是越来越狗血啊==            
(3星)	 因为欧阳正华才看此剧的            
(4星)	 TVB+欧阳震华的片子，尤其是破案剧，一般都还不错，好久前看的，现在都不记得剧情了，目前正在追第二部，感觉没印象中的这个第一部好看了            
(2星)	 我妈说，腻歪死了            
(3星)	 欧阳胖子真可耐，不过不太习惯他傻呵呵的，还是陈小生或者鉴证实录那种比较好。            
(NA)	 难为了我刚重温过法证先锋又被拖来看施公奇案结果看到欧阳震华如此别扭/____\            
(NA)	 花了两晚上，OVER掉了            
(3星)	 看过很久了 竟然还有续集…… TVB不行了。。像古灵精探……            
(3星)	 20            
(3星)	 最近又开始迷欧阳啦 都是破案的让我长了不少知识~            
(3星)	 好运的天霸，数次成为杀人犯又数次被还清白……戏剧……            
(3星)	 灭门惨案原来是曾雄正格之真假引起的，孤魂野鬼原来是外公。。。            
(4星)	 欧胖子的。。还是不错的            
(4星)	 欧阳震华的嘛            
(NA)	 断断续续的也算看完了吧,这类片太滥了,那时候正是看到要吐的时候,没仔细看,其实还算好看了.            
(4星)	 最近天冷，都猫在家里看电视剧。TVB是最好的选择            
(3星)	 居然把欧阳震华的名字,说成欧振华.              
(4星)	 挺娱乐的啊            
(2星)	 情节拖沓            
(4星)	 构思有点意思~~~            
(3星)	 最近流行梦枕·            
(NA)	 听说要有续集了。。囧。            
(4星)	 看过比较好的古装破案剧吧，有点玄幻啊。            
(2星)	 很扯，但是很可爱。            
(3星)	 还是喜欢可盈的现代剧            
(3星)	 可能还行吧，剧情忘记得一点印象也没有了，看来不够经典。            
