http://movie.douban.com/subject/2228525/	男才女貌
(3星)	 让年幼无知的我对上海地铁产生了幻想。            
(NA)	 我也不知道为什么挺爱看的            
(4星)	 这部戏第一次认识了曾黎 很不错            
(2星)	 有人后来成为了马景涛的女人            
(3星)	 算是我们内地比较具有开创性的偶像剧            
(3星)	 颜如玉姑娘            
(3星)	 唉，尼玛我又看过……            
(3星)	 陆毅自从永不瞑目后不知道还演过什么            
(NA)	 这个年代工作就难成这样，我们还怕什么            
(NA)	 IT业巨子邱石！            
(4星)	 看过N+1遍 我理想中的女人形象啊            
(5星)	 好看！            
(NA)	 這個我也看過！            
(3星)	 大陆             
(4星)	 有教主老婆哦            
(4星)	 挺好看的。            
(4星)	 中央八台放的。天天守到电视看。            
(NA)	 曾黎是美女。            
(3星)	 看过一点点            
(NA)	 很久。            
(2星)	 看不下去            
(3星)	 陆毅在里面还是灰常帅气的，不过我却不喜欢。            
(4星)	 稀罕的一对儿。            
(3星)	 过。            
(1星)	 林心如里眼睛够大了没必要还往死里瞪大 累不累呀 不过里有进步没有情深深里面瞪那么巨大 以至于隐形眼镜都掉出了 这就是境界呀            
(3星)	 剧情有点不敢恭维            
(NA)	 阿杜唱的主题曲很亮            
(3星)	 本子很一般，林心如和曾黎挺漂亮            
(NA)	 ........这个我看过...........            
(NA)	 那年我16岁。懵懂期。            
(NA)	 补遗            
(3星)	 親愛的心如 即使我不再關注妳了 妳在我心中也是美麗的 ～ 層那麼那麼喜歡妳！            
(1星)	 赠黎没有红阿可惜 小时候很喜欢看GAMEGOGOGO            
(4星)	 比较养眼            
(2星)	 虽然我会看，但是确实是垃圾~~没什么意思的……            
(4星)	 很喜欢里面的那个警察            
(NA)	 诡异的很。。。            
(NA)	 这是一份回忆            
(3星)	 每次电视里重播都会看，也不知道是为什么            
(2星)	 终于让我看见了号称96班公认最美的曾黎，五官确实标致，但很不幸地没有特点还有些三俗。            
(3星)	 绝对的偶像剧　无厘头的剧情            
(3星)	 童话故事嘛,谁不愿意做做梦呢?            
(3星)	 十足的偶像剧。            
(NA)	 剧情早就忘了.跟着看了几集吧.一点印象都无.            
(NA)	 我讨厌林心如！我讨厌陆毅！里面所有的配角都比他们好！我讨厌的两个狗男女的爱情剧居然我还看下去了……            
(4星)	 啊 好像以前看过这个 哈哈哈            
(5星)	 每个人物都很赞            
(3星)	 他真的很爱你~也把我比下去~            
(4星)	 好多美女~            
(3星)	 我觉得陆毅是败笔。            
(4星)	 林心如好漂亮~~            
(NA)	 当初看的时候感动啊！哈哈哈哈哈            
(NA)	 只记得林心如演的那个角色是上大毕业的。。。            
(4星)	 那个时候很喜欢林心如            
(4星)	 小时候看得时尚剧,当初超级迷恋苏拉,现在看看结局好套路.            
(3星)	 少见的短小篇幅的爱情故事，那时候林心如还是很好看的。            
(2星)	 ★★☆            
(NA)	 我怎么看过这么多电视剧!!            
(3星)	 。。            
(4星)	 诶哟~~~当时觉得真好看            
(2星)	 呃不好看.            
(NA)	 话说我觉得这剧挺恶心的，不知道为啥            
(NA)	 电视台            
