http://movie.douban.com/subject/1764730/	浪漫满屋 풀하우스
(1星)	 烂到不能再烂！            
(3星)	 这俩就像衰星捧在一起就打架吵嘴，累不累，女猪脚好不讲卫生，不爱打扫房间            
(4星)	 那时候的rain跟乔妹真美好            
(NA)	 真没觉得有多好看            
(4星)	 越到后边越扯。剧情继续韩国人的理想主义吧。            
(5星)	 rain&#39;s so handsome            
(4星)	 你回来时我也不在这里了 傻瓜             
(4星)	 既是经典，何须多言。            
(4星)	 很好看。            
(NA)	 喜欢－看的我都傻傻的笑出声音～            
(3星)	 挺拖沓的，景色不错            
(4星)	 最烦这些一句话可以解决还要演十几集的人            
(4星)	 记得那会儿还是刘子给我引荐的呢.            
(4星)	 宋慧乔 不错            
(5星)	 让所有女人都幻想 的不切实际但是还是喜欢看的电视剧            
(5星)	 棒！！！            
(4星)	 最帅的rain，挺不错！            
(4星)	 的确很浪漫...            
(3星)	 模式化，我更想看漫画            
(5星)	 大学时候很爱看            
(NA)	 和我妈一起看的……            
(4星)	 RAIN和宋慧乔真的很配很配。为什么两个人最后会是分手。好可惜。            
(5星)	 经典哦            
(5星)	 超经典的韩剧额～            
(5星)	 唯一喜欢的韩剧。            
(5星)	 虽然我有点讨厌棒子，但我真的很喜欢这部韩剧            
(3星)	 。。            
(4星)	 宋妞在剧里的衣服和造型都很好看．            
(3星)	 女主角太贱太可怜了            
(5星)	 这样的喜剧，在韩剧里少见呀！我喜欢宋惠乔~~            
(5星)	 电视放了无数遍。            
(5星)	 他们一吵架我就笑到要死。            
(4星)	 无论怎样我都要力荐            
(4星)	 乔妹。            
(3星)	 唉~~拜托电视可不可以别再放了            
(4星)	 说实在的这故事挺扯的 契约婚姻都拍了八百遍了            
(1星)	 你严重侮辱了原著！            
(4星)	 这个片子开创了大家疯狂看韩剧的先河            
(NA)	 在全国所有卫视台疯狂联播的夏天。            
(NA)	 很红啊。            
(3星)	 还行吧…             
(3星)	 完全不喜欢宋惠乔在里面咋咋呼呼。不过rain真的蛮可爱，我喜欢失宠的那个女主角，冷静又成熟。            
(4星)	 结尾拖沓            
(NA)	 当时很喜欢            
(3星)	 很浪漫的设计，就是剧情太单一了~            
(5星)	 很喜欢~~~~~~            
(5星)	 太逗了~~rain实在是太可爱了。爱一个人，是只求为对方付出，而不求回报~            
(NA)	 浪漫满屋            
(2星)	 我险些没看完……不过内房子，真是不错啊~~            
(5星)	 只看过这一部韩剧，感觉有点过了，但是还是可以接受范围内的，以后看到还会有点想看，可能比较符合我的幻想吧...其他的韩剧通通不想看            
(NA)	 :)            
(3星)	 三个字 不爱看            
(5星)	 韩剧的转型之作啊，应该看看            
(3星)	 高一假期租回家看的。            
(4星)	 稍拖沓了些            
(4星)	 真好~            
(5星)	 看了三次 没有想到RAIN的演技还很不错             
(4星)	 RAIN 很可爱            
(5星)	 好看            
(3星)	 太一般了。早看的。            
(NA)	 他像他            
(NA)	 连续逃掉一个礼拜的晚自习看完的。            
(5星)	 喜欢 那里面 浪漫 清新 亲切            
(3星)	 被迫看的... 没事的话看看无妨            
(2星)	 无聊的一片儿。不知道为啥红成那鬼样。            
(4星)	 喜欢            
(4星)	 三只熊 守护            
(4星)	 哈哈 学会了fighting a za a za            
(4星)	 另一部屈指可数的韩剧啊！！！！！！！其实挺好看的！            
(3星)	 傻缺剧情            
(4星)	 上大学那会我究竟看过多少韩剧，我也记不清咯都 ...            
(4星)	 挺好的。            
(4星)	 当喜剧看            
(3星)	 2到死了这个东西            
(1星)	 Rain这种也算帅哥啊 我勒个去 长得高就是帅哥了啊 神马鸡毛审美啊 悲哀啊太悲哀了            
(3星)	 呃 rain请告诉我你不是在装可爱            
(3星)	 没有小说好            
(4星)	 看过不下两遍了，很喜欢里面的歌。            
(2星)	 偶像剧的特点就是往往只有前几集好看            
(3星)	 阳光自信非花痴女养成教学片。又。纯爱。            
(4星)	 租屋奇缘            
(5星)	 韩剧总是能给人带来浪漫幻想，适合失望的时候温习            
(NA)	 rian是奇丑            
(3星)	 满世界都在放这个片子。。。            
(3星)	 唯一一部看完的韩剧 乔妹还是很可爱的啦            
(4星)	 智恩小姐，我可以爱你吗？（柳民赫是完美男人的化身）            
(2星)	 好歹回家靠这个打发了一段时间，所以不好说很差。            
(4星)	 喜欢看韩剧的人，《浪漫满屋》是不容错过的            
(4星)	 RAIN蛮可爱的。            
(3星)	 三只熊。            
(4星)	 看的第一部泡菜剧。            
(5星)	 病了都需要喝粥  吵架并不代表不爱            
(4星)	 没事看看就乐乐            
(5星)	 乔妹很漂亮的说            
(NA)	 great            
(5星)	 05年的记忆...            
(4星)	 我也得看过，以示我的人生是完整的            
(4星)	 RAIN和三只小熊都红了，其实想想，这部电视剧很牵强，不过有什么关系呢，有俊男美女就够了            
(4星)	 哦也            
(4星)	 貌似我比较喜欢的韩剧都是打败前任的，囧。。。阴影呔            
(5星)	 我喜欢!两天看完的第一部韩剧.            
(NA)	 为什么韩剧有那么多人迷恋？            
(3星)	 最后一部看的韩剧            
(4星)	 音乐不错～～            
(4星)	 漫画更好！！！            
(5星)	 真是好看。            
(5星)	 很好看啊            
(5星)	 我高一伊始看得第一部韩剧算是对我很有意义了            
(4星)	 宋慧乔太PP~            
(3星)	 时装秀            
(NA)	 不能代替。            
(5星)	 rain跟孔侑这两个家伙都是又萌又丑的。。然后我就喜欢这种。。            
(4星)	 其实都没踏实看过            
(5星)	 可爱 的 rain            
(3星)	 love house            
(5星)	 喜欢的乔            
(4星)	 ost不错的            
(NA)	 韩国电视剧很梦幻  很脱离现实            
(NA)	 大二...            
(NA)	 嘿嘿，喜欢            
(4星)	 大海边的那幢浪漫满屋。            
(NA)	 无聊时候看的            
(NA)	 有钱，幼稚点也没关系啊！！！            
(NA)	 FULL HOUSE            
(4星)	 看过N遍，无聊打开电视都能看到这部片子            
(1星)	 整个就是一意淫。            
(5星)	 虽然不现实，但每次看都很开心            
(3星)	 有点搞            
(4星)	 从这部戏开始喜欢RAIN~            
(4星)	 Rain            
(3星)	 无论是故事还是拍摄都显幼稚的韩剧，只要挑几部有代表性的看就行了。            
(5星)	 那时我花痴            
(2星)	 同样是电视上天天放……汗……我真没看出来rain哪有一丁点帅            
(4星)	 经典的片子..鸟类..            
(3星)	 因为看了很多遍而不喜欢……            
(NA)	 也算经典。            
(4星)	 宋慧乔衣服饰品很有看点            
(3星)	 寒假生活.....            
(3星)	 此剧让我喜欢上了宋惠乔，不可怜兮兮的样子很可爱            
(5星)	 非常喜欢这部片子            
(4星)	 颜色很好看            
(5星)	 确实很浪漫～            
(5星)	 永世难忘            
(4星)	 的确很romantic            
(NA)	 净瞎吹。            
(5星)	 我可爱的RAIN啊！！！！！！            
(3星)	 看完了觉得，我姐姐就是宋慧乔，我姐夫就是Rain            
(NA)	 可爱的幸福            
(4星)	 还不错，3只熊挺可爱的~~~4只也不错~            
(3星)	 看完喜欢上RAIN的微笑。但电视剧本身实在没什么意思。            
(4星)	 应该是我看过为数不多的韩剧中最好看的。            
(5星)	 最看不厌的韩剧了吧~~~            
(NA)	 GOGO加油！            
(NA)	 灰姑娘遇上王子的故事            
(NA)	 一般            
(5星)	 ~人物感情方面不太明白 不过 还是很喜欢 GO GO 加油~            
(5星)	 2005            
(3星)	 唯一看过的韩剧            
(4星)	 乔妹。            
(4星)	 宋慧乔 Rain             
(4星)	 我妈特喜欢- -            
(5星)	 .            
(4星)	 甜蜜，反反复复看还是甜蜜得很。            
(5星)	 我爱清洁~爱扫房子啦啦            
(4星)	 时髦啊，流行啊，雨啊，不怎么啊~~~只是女主角很会搭配服饰，挖啊哈            
(NA)	 被各地卫视放的台湾版韩剧折磨了好几个月，总要看看原版，结果居然没耐心看完            
(5星)	 浪漫爱情教科书之典范            
(5星)	 喜欢乔妹            
(4星)	 喜欢乔乔            
(4星)	 2007            
(4星)	 三只熊~其实比起rain，更喜欢宋，哈哈，那性格那傻呵呵的样子~所以，我决定要学滑水冰了！哈哈~            
(3星)	 合格的偶像剧，RAIN身材不错            
(NA)	 算是看过最好的韩剧吧            
(3星)	 拖是拖得来 还好宋妹妹好看 rain也满可爱             
(3星)	 凑合 没什么感觉 不知道为什么那多人喜欢            
(5星)	 哭了三遍的喜剧            
(3星)	 为什么这么多人喜欢雨捏？？            
(2星)	 其实根本没情节            
(3星)	 和明星同居的日子            
(NA)	 韩剧入门。。。            
(4星)	 很有看头            
(3星)	 看了开头就知道结尾的故事居然还要拖那么长            
(3星)	 韩剧            
(NA)	 ??ϲ?????????            
(NA)	 有萨好看。            
(5星)	 喜欢宝宝的第一眼。。。            
(5星)	 从漫画到电视，一直追随……            
(5星)	 傻乎乎的。            
(NA)	 画面不错`RAIN也可爱啊            
(NA)	 象秋天傍晚的阳光，清冷，干净，透亮            
(5星)	 喜欢喜欢            
(5星)	 比较成功的偶像剧。            
(3星)	 当时就看到곰 세마리，觉得蛮可爱的，没想到故事那么纠结=。=|||            
(4星)	 当时可喜欢听里面的歌了~~~~~~！            
(4星)	 喜剧效果十足，虽然还是有一点恶俗。            
(5星)	 都是回忆            
(NA)	 其实，真的，挺欢乐的。。。            
(4星)	 顺便记录一下囧            
(5星)	 没有白血病，没有父辈的爱恨情仇            
(5星)	 哈哈哈 我年轻时候也挺爱看哒！            
(NA)	 高中陪着我妈才有电视看 什么都不挑的。。。还得跟她讨论剧情才行。。不然会被赶去做作业。。            
(4星)	 轻松温馨小短剧，无线的广东话配音好有趣            
(2星)	 真的不好看啊，我看睡戳了几次            
(5星)	 韩剧中经典的经典            
(5星)	 满分韩剧            
(NA)	 姐姐说那个作家好脏好懒好宅好像你。。。扯谈。            
(NA)	 乔妹是我最爱的女星之一。男主是为露而生的人，            
(3星)	 宋慧乔很美            
(NA)	 这……“想看”或“看过”或“没看过”或“在看”都挺丢人的吧……            
(4星)	 俺看过的唯一一部韩剧            
(3星)	 打发时间，拖沓。。。            
(NA)	 原来我从小到大看过那么多韩剧..            
(3星)	 很喜欢乔妹，但是不喜欢她在这部剧中的角色。            
(4星)	 rain和宋慧乔其实很般配的。哎哟喂            
(2星)	 我怎么居然看过那么多韩剧，我好无聊啊。            
(4星)	 上山去寺庙修行的扯淡剧情都出来了，真不容易。            
(4星)	 卫视最爱播韩剧。            
(5星)	 2007            
(4星)	 搞笑片            
(5星)	 宋慧乔～～            
(4星)	 我妈竟然看介个...我的浪漫细胞都没我妈多- -            
(3星)	 一般吧。            
(4星)	 前面看得很欢乐，后面就不灵了            
(1星)	 看了一集半            
(3星)	 电视抢不过妈妈，只好看之9            
(4星)	 高中暑假？？～！            
(3星)	 演技真差。。我说rain            
(5星)	 陪伴我在没有你的夏天            
(5星)	
(5星)	 很少的可以看下去的韩剧            
(NA)	 一直觉得宋慧乔是个垃圾            
(4星)	 电视里一直播一直播一直播。。。            
(NA)	 韩智恩= =            
(4星)	 貌似我就没有看最后一集。            
(3星)	 我倒是因为年纪小时看到某期萌芽的某篇文章，突然心动了。            
(4星)	 很欢乐的片子~经典的说~            
(5星)	 看十遍也不烦            
(3星)	 一个连根基都是虚假的故事，怎么能算的上是好片？！            
(5星)	 两个天真活泼的小孩~~~            
(4星)	 是人都应该看过的            
(NA)	 经典韩式爱情剧            
(NA)	 好可爱好漂亮的宋慧乔            
(4星)	 电视放了好多次。。。            
(NA)	 甜蜜派。去海边的路上有加酒馆就叫풀라오스            
(1星)	 挺拖沓的，天天在一起打架吵嘴            
(5星)	 真可爱。            
(4星)	 追看韩剧的日子果然还是美好的            
(NA)	 看了一点儿。一次回家，外婆正在看此剧，登时无语，从此不看。            
(3星)	 你个鸟类~从你开始学习韩语~            
(3星)	 和妈妈一起追            
(2星)	 脑残。            
(4星)	 爱情和喜剧完美结合            
(4星)	 看宋美女            
(5星)	 long long ago            
(4星)	 哈哈我喜欢女主角，毛毛糙糙的很好玩            
(NA)	 浪漫满屋 宋慧乔             
(4星)	 在沙发上最适合的就是这种剧了~~ 当年FIGHTING这句话老红的~~            
(5星)	 斗嘴的情节有点像我家爸妈，妈妈看的时候就特有感慨            
(5星)	 重播必看            
(4星)	 羡慕羡慕。笑笑就好            
(5星)	 真的是浪漫呢~~            
(3星)	 oui.oui.oui.无聊至极的产物~            
(4星)	 宋MM真是美。            
(3星)	 经典。而已。            
(5星)	 外婆生前最后的挚爱            
(5星)	 近年来很少看韩剧了。            
(NA)	  Rain ，这是一个让人欢喜的男子。            
(3星)	 经典吧~不过太慢热~            
(5星)	 不管怎么样，我心中的韩剧最爱= =            
(3星)	 看到最后发觉大家都很可爱            
(4星)	 看得横七竖八的...我也想要一个美男子和一座海边的房子，但不要什么东海，渤海边的~地中海什么的才好            
(5星)	 我蛮喜欢的，打打闹闹才是生活            
(4星)	 高一？看的……            
(2星)	 RAIN真是越看越不舒服……            
(5星)	 恩恩，我还是花痴的说            
(4星)	 喜欢宋慧乔的演技~            
(NA)	 这个是因为宋慧乔吗？很简单的女孩            
(4星)	 Rain也满可爱            
(4星)	 当年有多红！！！！！！！！111            
(4星)	 女主角腿太短...            
(3星)	 幼稚的代表            
(5星)	 还有漫画版的哦！故事大概差不多~都喜欢哟！            
(3星)	 深夜电视困悠悠看完            
(4星)	 RAIN啊~~~            
(5星)	 sasha!            
(NA)	 最爱宋慧乔。            
(3星)	 除了剧情和演技，其他还好～囧            
(4星)	 哈屁一下            
(3星)	 剧情极其拖沓。乔妹很可爱~            
(4星)	 算是韩剧里面还不错的            
(3星)	 高二的补课与好友一起看的 我们都迷上了这部            
(5星)	 夏天。            
(4星)	 。。。我只想说这是我爸爸最喜欢的偶像剧。            
(3星)	 嗯哼，米办法，当年觉得RAIN的微笑可以迷S我。。现在觉得宋慧乔的手机广告很好听~~            
(4星)	 哎~要是后面能不那么拖就好了。。            
(3星)	 我竟然看了这么多韩剧。。。。。。            
(4星)	 宋慧乔的角色实在是个可爱 虽然不喜欢rain虽然喜欢男二 但是片子还是不错滴            
(3星)	 后面烂尾 同学逼着看的            
(4星)	 经典             
(NA)	 算是看过的为数不多的韩剧里最喜欢的一部了.可能是因为里面男女主角的打扮比较好吧.这也是我看韩剧唯一的理由            
(5星)	 这个嘛，好像是大二暑假看的。            
(3星)	 宋慧乔的样子实在好看。            
(NA)	 可以说算经典吗            
(5星)	 很好看            
(5星)	 又是小屁孩给我的回忆            
(5星)	 蛮逗。            
(3星)	 现在看觉得一般了            
(4星)	 喜欢            
(NA)	 也是必看的            
(4星)	 先听的歌,然后别人说雨丑,就去看了,雨还是很有魅力的.实话.            
(3星)	 其实有点傻。。。            
(5星)	 毋庸置疑~可爱的电视剧~            
(NA)	 宋慧乔mmpp/Rain总是莫名其妙脱衣服、摔衣服            
(4星)	 还是漫画好看啊感觉            
(3星)	 爱情中的五味杂陈            
(4星)	 适合恋爱的时候看。            
(2星)	 男二号是演甜性涩爱的那个。啊。。            
(4星)	 韩国的爱情总是表现得很浪漫。            
(5星)	 原声很赞            
(NA)	 sweet            
(5星)	 喜欢            
(3星)	 呵 rain            
(NA)	 06年的暑假~~剧情很让我抓狂~~            
(5星)	 哈喜欢宋慧乔了            
(4星)	 这是很早看的了，今天看到了就收藏了。 呵呵。  以前的时候，朋友经常推荐的，本来还是不想看的。但是，被逼的没则了……看了才知道，浪漫不是没有，而是你没有懂得什么是浪漫。 呵呵。  再看看慧乔那美丽的脸庞，那可爱的笑容，喜欢上她了。 :-)            
(5星)	 我爱RAIN            
(NA)	 (*^__^*) 嘻嘻……过了很久之后才看的，很好看，喜欢纯纯的韩鸟类~~            
(5星)	 喜欢宋MM            
(3星)	 第一部一口气看完的韩剧            
(1星)	 加上点我的力量。讨嫌的电视剧            
(4星)	 大爱宋慧乔            
(5星)	 我承认我很俗气，我也承认已经是第4遍看这部片子了。我还承认重新看依旧会觉得欢喜或者忧伤。            
(3星)	 看过的不多的韩剧之一            
(3星)	 宋慧乔好乖啊！！            
(3星)	 说实话挺弱智一片子，但是宋慧乔是美女！！            
(5星)	 以前看的啦~            
(5星)	 看过的第一部韩剧，帅哥美女极其养眼哦。每次看到韩智恩一个人孤独无助的时候都有哭的心情，真服了额自己。。。            
(4星)	 DVD            
(5星)	 高考前还在看            
(3星)	 其实也就一般，喜欢的人很多，但并没有看第二遍的想法，即使看到电视重播，也会转台。            
(4星)	 我喜欢的是金柱赫            
(NA)	 帅哥加美女的离奇故事            
(4星)	 高三暑假，轻松的我，轻松的剧            
(4星)	 怎么会有这么好滴事？            
(4星)	 滿簡單的愛情，吼吼~~~~~~`不過，以前看過漫畫版的感覺更喜歡一點。。            
(5星)	 又一个灰姑娘+王子的故事，对了，还有假结婚的桥段。。。。。            
(5星)	 幽默            
(NA)	 经典大爱 怎能错过            
(NA)	 不大喜欢看的。            
(NA)	 看一百遍也不烦            
(4星)	 我奶和我一起看的哦            
