http://movie.douban.com/subject/2274916/	奸人坚 奸人堅
(4星)	 黄蜀黍的锁门事件让我yy了好几集..            
(2星)	 第2集, 子華裸肩在浴缸中被鉗制住的扭動喘息 ~~ 鼻血 ~~    ..15集,子華誘人的大腿 ~~~ 啊啊啊啊啊啊啊啊銷魂啊  !!!!!!!!!!! 。..   林子善這個男孩子很可愛。            
(4星)	 除了黄子华，几乎没有可看性的剧，我想都不会有人有其他原因            
(NA)	 子华真好看。。            
(4星)	 后面渐渐不够细            
(3星)	 当黄子华开始变好，剧情也就开始索然无味了            
(NA)	 黄子华黄子华黄子华黄子华黄子华....看到他我心情就好起来了            
(NA)	 从头到尾看不惯叶童            
(3星)	 前半段很搞笑，结局太烂了吧=。=            
(4星)	  叶童（的扮相）丑到不想讲            
(5星)	 够狠、够奸、够癫。            
(3星)	 整个一德育片~~我靠~神马结局！            
(4星)	 奸有奸道            
(5星)	 虽然剧本超烂,但是子华演技非常出彩            
(5星)	 四個星給黃子華，一個星給林子善。            
(NA)	 ❤            
(4星)	 全劇能看的就只有Dayo。所有的星都是給他的。            
(4星)	 不错 能吸引我看完的港剧            
(4星)	 那么多人不满意结局。。哈哈            
(4星)	 重口味JQ            
(NA)	 我爱黄子华            
(5星)	 my luv            
(3星)	 本来有黄子华就超好看，女主为什么选叶童，这是我永远不能理解的事情。            
(4星)	 結局不好..切            
(5星)	 爆笑收藏            
(4星)	 坚哥你太自虐了……            
(3星)	 前半部好看。我始终都不信他会变好。一直期待反转再反转。结局是那样就好了。还有，黄生真适合演智慧的痞子= =+            
(4星)	 终于看完了。四星半。最后一集好加分。            
(4星)	 剧情其实很老套，但是很搞笑。哈哈哈。结局我不喜欢。。。            
(3星)	 世间事，总是无法遂人愿，我懂，我真的懂。            
(3星)	 三星半            
(3星)	 粤语版在线看：http://v.youku.com/v_show/id_XMzk1MzUxMTY=.html            
(3星)	 对于里面的感情戏无语啊            
(3星)	 挺无厘头的。不错            
(3星)	 不是太喜欢这部戏的叶童，形象太突兀了            
(NA)	 我貌似专程的单独的看了最后一点。挺感动的。虽然不晓前事。。            
(4星)	 处女男+双鱼女            
(4星)	 真是喜欢。奸到出汁，坚持自己。            
(NA)	 你阿妈嫌仔多啊？编剧换了果然就不对味了。            
(4星)	 系！我系奸人堅！但我奸得堂堂正正，光明磊落！我行得奸，企得奸，我系一個奸人，可以被毀壞，但唔可以卑你地打敗！            
(5星)	 超喜欢黄子华！！！就是喜欢他一切都嬉笑 其实很在乎装作不在乎喜欢他            
(4星)	 什么破结局啊你妹！            
(NA)	 【2007-10-08】            
(3星)	 黄子华。看到你心情很好啊~            
(5星)	 哈哈哈哈哈哈哈哈哈            
(4星)	 挺好的TVB剧，中间还峰回路转一番~后几集很虐~为啥我无端觉得被众人唾骂的结局是黄SIR自己主意，多符合他本人。PS我还是外貌协会！！叶童很棒很好可我还是接受不了大美人落入她手！！~            
(2星)	 桥段太没趣了 叶童太恶心了 没法看下去了~真是子华之悲剧            
(2星)	 真的很不好看呢。= =。。我还看完了！！！！只是因为黄子华！！！！= =            
(4星)	 居然可以忍受叶师太第二遍。。丑到出汁！黄子华帅到掉渣啦            
(4星)	 别爱上哥，哥是个做大事的人。            
(5星)	 剧本还挺有新意，只是女主角太丑。最重要的是，黄子华太有魅力。            
(4星)	 爲比臺詞也要多一粒星！            
(4星)	 就是这部剧让我去反省编剧问题，虽然过程狗血一波又一波的就是吸引人。正经的成分相对偏多一些看惯黄子华喜剧的话一开始会有点不适应。            
(NA)	 橘皮黄和哨牙婆棕魚在一起鸟在一起鸟在一起鸟！！！！！            
(5星)	 再难出个黄子华            
(5星)	 大概看了下，还是喜欢黄子华，哈哈。            
(4星)	 开头结尾不错，中间就肥皂了。看到黑武士转白武士还真的很怀念早期的奸人坚。最后的小胡子造型几好。            
(4星)	 子华爱上叶童，难以接受，虽然是剧中            
(3星)	 21            
(NA)	 只是叶童太难顶。。。            
(4星)	 为了黄子华            
(3星)	 为看黄子华，可叶童的角色不顺眼            
(4星)	 黄子华！            
(3星)	 看不下去= =            
(3星)	 很一般，为了子华而看的            
(4星)	 黄子华是奇才            
(3星)	 他坏的时候就坏的很有性格~~我知道他骨子里不坏~后来变好以后也很有义气~~但是到最后有些无聊~我不喜欢~~所以没看完~不知道为什么女主要找叶童来演啊~            
(NA)	 奇特組合發生化學反應            
(3星)	 结局太委屈人了...            
(4星)	 现在才知是黄子华演的，不看都不行            
(3星)	 睇啲唔睇啲，好似有啲怪            
(5星)	 劲！            
(3星)	 结局真烂            
(5星)	 黄子华太强了            
(NA)	 阿监与龅牙之间的爱情，令人唏嘘！            
(5星)	 只力荐给DAYO饭            
(4星)	 （以前看的，纯添加）            
(4星)	 贱格贱出新意思            
(3星)	 寝室的兄弟啊            
(4星)	 编剧浪费了子华的演出.            
(4星)	 还是那个套路，奸人的面相下有颗柔软的心。            
(4星)	 黄子华好能演，这样的演员真的很稀缺，顶。            
(3星)	 有恩不报未算差，有仇不报正人渣             
(4星)	 真係有型～天生硬朗無情            
(3星)	 在他的戏里 这部算是最一般的了~            
(5星)	 其实子华演技真不错··特别是这部戏··换别人的话肯定做不到他那种效果            
(NA)	 如果不是因为叶童，早就看了。            
(4星)	 开头都几得意！！黄飞鸿都十下十哈！！后尾我就某睇齐咯！！            
(NA)	 前面暴精彩~~后面惨不忍睹~~            
(4星)	 叶童真丑啊            
(3星)	 一点点而已。。            
(4星)	 奸人坚语录，绝对经典！            
(NA)	 黄子华            
(NA)	 奸人堅            
(NA)	 某人推荐给我看的 说是巨好看··而我只有深深的无奈            
(2星)	 除了黄子华之外没看头            
(4星)	 阿坚在结尾连解释都不解释，非常潇洒            
(3星)	 主要看黄子华            
(4星)	 为什么是叶童来演女主角呢？            
(3星)	 奸人坚 好人坚            
(3星)	 稀饭他的语录。            
(NA)	 好看哦。            
(3星)	 开头就真系麻麻，不过后面都还可以啦！            
(NA)	 超爱黄子华            
(3星)	 万千港片中的一部，剧情，人物总是能让你觉得熟悉。还好，这部不是很长，所以也没有那么臭            
(NA)	 编剧问题，叶童和黄字华没乜火花            
(NA)	 竟然不想看第二次。            
(NA)	 啊哦            
(2星)	 对于黄子华的期望太高，这部并不好看,扔片了            
(3星)	 阿豹~你到哪里去了~~~ TT子華同葉童都不來電的。            
(4星)	 剧情挺普通的啦。最后你又孤家寡人了，╮(╯▽╰)╭            
(5星)	 剧情虽然一般~ 但是黄子华是最大的诱惑啊~ 看到他的哭戏就激动了~ 大爱啊~            
(5星)	None
(4星)	 男配女猪失晒分啊。。。╮(╯▽╰)╭            
(2星)	 我觉得子华兄在TVB的所有戏里面，这部最招人苏，贱得实在太帅了，皮光柔滑身材又fit。奈何女主是叶童，正所谓看见就想呕，我实在顶唔顺，这部没看完……            
(4星)	 黄子华的搞笑本事不用说，可惜剧情有点虎头蛇尾呀            
