http://movie.douban.com/subject/2990072/	天地豪情
(3星)	 久远回忆. 记不清了.            
(NA)	 该剧唯一喜欢的角色是黄日华            
(5星)	 喜欢，家辉            
(5星)	 我喜欢这主题曲            
(4星)	 当年的港剧啊，都很经典么。            
(NA)	 周海媚哟，依稀记得。            
(5星)	 有时候我在想，在这个世界上，你好不容易、好不容易才找到了一个你以为能和他过一辈子的人，谁知道结果，你发觉原来他要找的人却不是你。            
(5星)	 大爱            
(NA)	 ADA怎么看都漂亮            
(4星)	 狮子女+摩羯男+处女女+射手男，射手男+天平女+处女男+射手女            
(4星)	 罗嘉良演技太棒了            
(5星)	 就……好讨厌黄日华阿……这个角色也太怂了吧…………            
(5星)	 当初好喜欢！            
(3星)	 开始添加TVB...            
(NA)	 天 我竟然追了60集            
(4星)	 黄日华里面的角色真失望            
(3星)	 和创世纪相似的阵容，可是没有那个宏大啊            
(5星)	 无敌了！！当时几乎人人都看吧~            
(5星)	 TVB的长篇永远都不会让人失望            
(4星)	 系列经典港剧 比『天地男儿』稍微差一点            
(4星)	 虽然我早已经忘记剧情了。            
(4星)	 这是为什么很多人喜欢TVB的原因啊～            
(4星)	 辉煌时期的tvb            
(5星)	 晚自习一下课就马上跑回家看。。。            
(5星)	 开始喜欢张家辉~~剧里很帅~~和蔡少芬的爱情很惨。。对这部剧最深的印象就是他们2个人了。。            
(4星)	 有11年了啊。。。Kelvin 。。。            
(4星)	 不知道该打多少分，因为剧情早忘光了。印象最深是那时侯小食品里送的都是这部剧的人物卡。            
(4星)	 好像最后张家辉把蔡少芬给咔嚓了吧~~            
(3星)	 小时候我就开始看这样的片子了，现在免疫力好好..            
(4星)	 这部有我喜欢的周海媚 黄日华 郭蔼明支撑 另一部同样忒长 人忒多 人物关系忒复杂的《创世纪》我却看不下去            
(3星)	 没有天地男儿好看            
(4星)	 很久以前的记忆            
(4星)	 算是TVB比较经典的片子了。            
(4星)	 当时就对蔡少芬十分惊艳。            
(3星)	 死人都死的莫名其妙            
(5星)	 又是一部经典剧啊~            
(5星)	 大头文啦啦啦啦            
(5星)	 很好看的电视剧，罗嘉良的歌很好听            
(4星)	 又是家族战            
(5星)	 很喜欢的剧            
(4星)	 最爱蔡少芬 同情张家辉 老爸老妈喜欢大头文            
(5星)	 甘量宏这样的人为什么生命力如此的顽强呢……            
(4星)	 TVB            
(NA)	 【1998-02-16】            
(NA)	 对里面的张家辉和蔡少芬印象很深            
(3星)	 从这部喜欢罗嘉良            
(5星)	 印象太深，第一次熟知蔡少芬、张家辉、陈锦鸿就是从这部剧开始            
(5星)	 冲着罗嘉良 取得            
(5星)	 也是经典            
(NA)	 查漏补缺            
(5星)	 原来，已经过了那么久了            
(4星)	 大概是上初中时候的片子了。依稀记得结局很悲情，看得我很讨厌郭蔼明            
(4星)	 蔡少芬扮演的空姐死得太可怜 QAQ 死不见尸啊死不见尸！！！！！QAQ 张家辉演坏蛋太棒了 ==！和他相比陈锦鸿气场太弱，不够狠 w 罗嘉良和郭蔼明这一对的爱情很美好 &gt;u&lt;            
(4星)	 这两天跟我妈一起又看了一遍，记忆中的TVB就是这样的            
(NA)	 那时候喜欢的郭蔼明与罗嘉良的互动到现在还记得             
(3星)	 记得当年很喜欢这部剧的主题曲            
(4星)	 其实已经不记得剧情了但是我全家认识罗嘉良都是因为大头文啊            
