http://movie.douban.com/subject/2153599/	欲望都市  第二季 Sex and the City Season 2
(5星)	 性很容易得到，真爱却不。            
(4星)	 多的话题至今都觉得很前卫，最起码对中国人来说很前卫！ 凯莉把女人分成‘凯莉型’与‘简单型’！‘简单型’的女人也许更小女人一点，在恋情中也更加顺受一点！而相反的‘凯莉型’则困难一点，或是更复杂一点！大多数的男人也许更喜欢‘简单型’，因为男人喜欢驾驭别人的感觉！当然‘凯莉型’的女人也会幸福，因为她们的男人更加优秀！ 四个女人代表四种不同的角度与观念，她们探讨同样一个话题，得到不同的诠释！对于二十出头的我来说也许太远瞻，但也很有新鲜感与好奇欲！            
(5星)	 青年女性性教育必观。            
(3星)	 这一季的最后一集很好，最后一幕有点心酸，“your girl is pretty”            
(5星)	 口语，我就拿它练了！！            
(5星)	 EP18            
(5星)	 最近又在重复的看，不知道是想学好英语呢，还是我无法理解为什么十年前的时尚，我们现在都做不到呢？            
(3星)	 妈呀，最后一集居然把我感动了……            
(4星)	 四个女人N台戏            
(4星)	 女校日子裏就靠這個消磨了            
(5星)	 开始习惯看SATC。            
(5星)	 flawless            
(4星)	 shoot, from1999 to 2010...the trends stay !            
(5星)	 最后一幕            
(5星)	 三十岁的女人很迷人~Miranda原来之前这么cute，like her~最后一集太感动了~原来the way we were，比我想的更忧伤遗憾~Am I a Katie girl？            
(NA)	 Your girl is lovely,Herber.            
(4星)	 剧情依然精彩，喜欢凯莉和大人物之间的感情戏；那段有钱老头子的屁股真是让人目瞪口呆；还有就是电影永远只是电影，我相信如果是现实生活中发生在白领身上的话，没有几个故事能成立。            
(5星)	 有些女生天生是不会被驯服的,all they need is a men who wild just like her             
(5星)	 最后的一幕。。很感人~我想看那部电影。。            
(5星)	 Carrie新发型很不错。            
(5星)	 美剧 Sex the and City HBO 电视剧 美国             
(5星)	 经典            
(5星)	 最后一集实在是。。。看得不忍T^T            
(5星)	 第二季            
(4星)	 见影评            
(5星)	 完全自虐啊……            
(3星)	 what pity women!            
(4星)	 我在床上歪着坐着蹲着仰着蜷缩着看了几天。。我妈终于说。。你看的是什么怎么总是穿睡衣的。。。            
(5星)	 Even if we are with men ,we are still alone.            
(3星)	 女人不易            
(5星)	 看了几遍 还买了DVD珍藏            
(5星)	 不要逃避，不要伪装，真实的怀抱恐惧去吃饭，去做一切事。Just stay there，no book，no man, no friend. no faking.萨曼莎已经正式宣布找不到可以上床的陌生男人了。            
(5星)	 love love love!!!hot hot hot!!!            
(5星)	 每句台词我都想背            
(4星)	 享乐主义和精英意识            
(5星)	 愿我如你般潇洒            
(4星)	 Simple or carrie?我想那就是为什么男人在选择结婚对象的时候选择Simple了，carrie型会给生活造成很大的压力            
(4星)	 I like Sarah Jessica Parker             
(5星)	 单纯的夏洛特有一副天使的面容和追求完美性格，可是就是少了点味儿--野性。            
(4星)	 大一．            
(NA)	 big結婚啦、在感情上不要什麽追問/計較你算計別人別人也會感覺的到、愛就要好好愛好好對他、less is more.            
(5星)	 非常精彩。            
(5星)	 揭露了我的本性么……            
(4星)	 性教育            
(4星)	 最后一幕，you will never know.            
(5星)	 Mr.big和carrie在海滩的宴会上重逢时，我突然觉得这个剧的高潮才刚刚开始            
(NA)	 看了两季依然分不清她们的名字。            
(NA)	 S02E10  The Caste System，Philipp Karner出现在14分半到15分半间，演一个店员，不过很帅，比顾客帅            
(4星)	 我也好喜欢the Way We Were那部电影好吗！！！有一集Ch交了个很Gay的男朋友结果互相踢老鼠那一集好好笑，M和S这一对有爱~            
(5星)	 simple girl or carry girl            
(5星)	 觉得比第一季好看了~17集突然搞个engagement太突然了╮(￣▽￣&#34;)╭             
(4星)	 最后一集。很洒脱。            
(4星)	 一集一个路人甲~            
(NA)	 20110130都不知道那个Mr.金斗有神马好滴！喜欢除了carrie以外的三个女人。            
(5星)	 我有点讨厌大人物⋯⋯⋯⋯            
(5星)	 可以打10星吗？？！！一口气看完的！最后一集哭得难过死了！还有还有，carrie的衣服好美！            
(NA)	 最不知走向的一季            
(5星)	 I&#39;M STILL NOT OVER U            
(5星)	 that was the day I came face to face with my freak,the frightening woman whose fear ate   her sanity,the truth is it isn&#39;t just the men,it&#39;s            
(3星)	 离不开酒与性的四个女人，本来不想再看了，看到最后一集又想接着看了。。。            
(3星)	 第二季开始渐渐有点意思。            
(5星)	 真有意思            
(3星)	 为什么这一季，女人们要被男人们捆绑！            
(4星)	 Sex and the City            
(5星)	 岁月在姑娘们脸上铸上痕迹，但他们依旧是活力四射的纽约女孩!            
(5星)	 也许问题在于他无法驯服我，也许有些女人注定不该被驾驭，也许她们需要自由奔驰，直到找到性情相投的伴侣一起同行。            
(4星)	 女主角的身材怎么一会胖一会瘦的？？            
(5星)	 carrie and mr. big 心痛啊            
(5星)	 其实呢，夏琳在奋斗里带的字母项链，人家99年甚至更早就拥有了            
(NA)	 John Bon Jovi！            
(5星)	 其实很久以前就看过，最近重看的时候，又是不一样的感觉吧，始终很迷Kerry……见过抽烟最sexy的女人……            
(5星)	 big真是个让人欲罢不能的asshole~            
(4星)	 趁早把这几季都收了吧免得豆瓣一天到晚给我推荐。            
(4星)	 Big girls never cry.            
(5星)	 我知道为何mm说我像Carrie了            
(NA)	 Samantha!            
(NA)	 这一季里，相较凯利，更能理解大人物的心态= =            
(NA)	 天 我爱死这四个女人了            
(5星)	 最后一集太好啦！！            
(5星)	 好看呀~~            
(4星)	 燃烧吧,小宇宙            
(NA)	 影响我的.            
(5星)	 love and labels            
(5星)	 I LOVE IT            
(NA)	 最近在寝室放碟的消遣~             
(4星)	 我只看过第二季            
(NA)	 前两部自然是最好的            
(5星)	 最美的还是女人，和她们的友谊。            
(5星)	 牌子牌子！！！            
(4星)	 Sex and the City             
(5星)	 最近在重看这部剧，看到第2季了，还是很好看，而且第一次看时候的许多笑料都忘了，这次再看还是很好完。            
(5星)	 I love Samantha.            
(5星)	 “your girl is so beautiful, hub&#34; &#34; i don&#39;t get it&#34; &#34;you never get it&#34;            
