http://movie.douban.com/subject/3024200/	情事缉私档案
(NA)	 意思不大            
(3星)	 几个演员我喜欢的            
(3星)	 杨千嬅的主题曲很应景,狗仔队一般的故事设置很配合时局...            
(NA)	 貌似不是叫这个名字吧。。。            
(4星)	 我觉得案子好得很啊，就是少了点，最后有点仓促。            
(3星)	 第一个故事，和我猜的差不多，几乎变态的女人把自己的男人折磨得不成形。            
(3星)	 郭蔼明也不算太讨厌，但也绝不会去喜欢            
(5星)	 破案。。            
(3星)	 看了几集，赶脚和刑事侦缉档案不是一个档次啊。还硬是带上刑事侦缉档案5的头衔。            
(3星)	  这个好看。主题曲好听。            
(3星)	 蛮喜欢的2郭合作还有陈敏之在里面            
(NA)	 枫叔好帅            
(4星)	 各么我是推荐主题曲的……还有郭蔼明我以前很喜欢的……            
(3星)	 2002            
(4星)	 挺好，小郭郭很卖力~汤宝如很美~            
(4星)	 郭蔼明~good~            
(3星)	 TVB，郭蔼明的打扮好休闲。            
(5星)	 我是真的很喜欢郭蔼明，长得好知性，那时候为了看这个我那个熬夜等一集            
(3星)	 竟然王老胖子的片儿            
(4星)	 案子太少，真相不是自杀就是诈死。第一个案子即便是变性声线也不应当改变。            
(3星)	 主题歌还可以            
(3星)	 电视剧频道双休日下午在放，闲着没事，看看~            
(5星)	 超超超爱千嬅那首主题歌。            
(2星)	 打發時間，看完毫無印象            
(4星)	 剧情不大记得，却记得主题曲            
(4星)	 悬疑片 不错            
(5星)	 这部片子+谜情家族，有段时间电视里一直放，更喜欢这部也许是因为这部更轻松愉悦，郭蔼明也比较可爱            
(3星)	 我确信是看过，但一点印象也没了            
(4星)	 郭蔼明和郭晋安的组合我很喜欢^O^            
(NA)	 貌似看过。。            
(4星)	 其实案情真的不错啊，为什么不红呢？感情戏占的篇幅太多了，且无聊            
(4星)	 最后结局升华了整部电视剧噶层次...            
(4星)	 剧情不错，值得一看。郭蔼明是我小时偶像，先是被她的知性气质和甜美笑容所吸引，然后第一次演泼辣的龙纪文那么放那么自然，那时就认了她作偶像了哈。一直喜欢她到现在，看她和刘青云在一起好幸福。            
(3星)	 主题曲到现在还会唱呢            
(3星)	 我想起来了 这部诡异的剧 过了好久大陆才放的            
(4星)	 这里面郭蔼明超帅气的！            
(4星)	 但是超级喜欢            
(4星)	 很久之前看的，专门破感情纠纷的案，还挺有意思的。印象比较深的是里面有个案件一男人为了婚外出轨居然去变性……            
(2星)	 没有印象。            
(5星)	 案件实在太惊喜了！            
(NA)	 至今怀念！            
(4星)	 郭晋安其实很适合这类角色 大男子主义的好男人             
(5星)	 力推力推力推！            
(4星)	 剧情挺迂回多变的，感情部分精彩也不泛滥，推荐~~            
(3星)	 郭蔼明真气质            
(4星)	 凡是这种推理案我好像都比较喜欢也~~和和，主角的表现也喜欢，一直很喜欢秦沛            
(4星)	 没什么印象了            
(5星)	 好看            
(3星)	 题材喜欢。            
(4星)	 为什么豆瓣打分这么低呢，我觉得比TVB现在的一些推理破案剧好很多啊，案子经的起推敲郭晋安和郭蔼明的搭配也很好……            
(4星)	 前段时间电视剧频道也放过，郭晋安那个时候看还是不怎么顺眼，但是郭蔼明就超级顺眼的说~要不是做了刘青云的太太，还可以看到她在TVB继续发展~            
(5星)	 当假话说到像真的一样时..那么真相就没有寻求的必要            
(4星)	 好看惊险，喜欢郭蔼明            
(4星)	 也是一本破案的剧集。            
(NA)	 这个还挺有意思·            
