http://movie.douban.com/subject/4300569/	唐琅探案
(1星)	 山寨到这个份上也算很成功了            
(1星)	 连剧照都这么山寨的电视剧我还是第一次见到            
(5星)	 还是不错滴~~痞子侦探 斗嘴律师再加上可爱的小三 疯疯癫癫的荣天……好久不见的高雄 霍思燕~围着因万金案带来的20年漫长的故事和一个个案子总的来说还是不错滴             
(4星)	 还是不错的大陆探案剧，除了女主，很多角色都挺讨喜的。配角也有高雄、霍思燕、金莎，阵容也不赖。我们可爱的冯大勇警官包了全剧80%的笑料啊~~~ 最后小霍和黄觉并肩持枪作战很赞~~~            
(4星)	 作为侦探剧，一点都没有TVB的某些侦探剧的脑残，能拍出这样的，算不错了。            
(4星)	 荣哥很萌            
(NA)	 霍思燕浓妆看起来不如不化妆            
(NA)	 为了小霍这么烂的剧我都忍了。。。            
(3星)	 里面倒是美女挺多的不过主要是小霍帅啊！！！不过我听到微表情就心里抽搐。。。。。。还是不要抄袭了，抄都抄的那么假            
(4星)	 荣哥太逗了，唱的美声有范儿            
(5星)	 我已经很多年没有追着电视机看电视剧了！            
(4星)	 制作精良。唐琅，直到最后，你也没法有力说服谢天鸿。等一个合适的社会是件没有定数又无奈的事，好在这已是一个信念与动力。            
(NA)	 喜欢女主，虽然按说不是俺萌的型。金莎前十集太僵硬，后面还好。黄觉你为啥演的是这个角色，22更适合你。推理和分析各种不靠谱，不合情理的地方当做讽喻。总之，还行。所有国产民国侦探剧我都会看的，俺的菜！            
(3星)	 这海报。。。            
(5星)	 唐琅比白豆腐还要萌啊~~            
(5星)	 俺就是为了霍建华和霍思燕看这剧的！霍建华还是很帅地呀！至于剧情啊吐血吐血吐血死人了啦啦啦啦啦！            
(5星)	 不错，编剧很聪明，知道取长补短，既然推理不是咱的强项 于其逞强玩山寨被骂个狗血，不如耍耍帅，搞搞笑，下下套，轻轻松松，观众看了也无打击无压力            
(3星)	None
(3星)	 看了一个星期，终于看完了。。。。电视剧就是时间杀手            
(4星)	 最后的情节真的没想到。导演功底有在够。            
(2星)	 真的很雷！！！！            
(NA)	 粗制滥造漏洞百出表演生硬做作，让看惯美剧的我如何给你打分？不看简介还好，一看吓一跳，就这水平还敢叫板美剧？不害臊啊不害臊，有这么吹嘘滴么？            
(NA)	 ............            
(3星)	 我竟然每天晚上都開著電視看……是因為帥哥嘛？！肯定是的吧！但是除了帥也就沒別的了啊喂！話說男二那滿臉的痘子是神馬情況！！好恐怖！！            
(4星)	 RT荣哥是萌物啊萌物！造型！台词！语气！            
(3星)	 看似分散的故事，但最后才明白是有根主线穿插其中，总体感觉还不错，但是作为国产侦探剧，始终在逻辑和推理上还是有一些疏漏。演员挑选上应该贴近剧情，霍思燕演的苏莺莺怎么看都不可能在年龄上是张萌演的黄阙的阿姨辈。            
(1星)	 名字就很……，看后果然很……            
(5星)	 唐琅小侦探您可真萌人！荣哥太精彩了!            
(3星)	 海報抄得也太明顯了……好吧給三星主要還是因為女演員一個賽一個地討人厭            
(5星)	 宣传不给力，埋没了一部好的剧情片。            
(4星)	 螳螂黃雀的設定很有愛＝W＝！榮哥在舞會那一段笑死我了啊哈哈哈！            
(3星)	 有时候真想快进。。            
(3星)	 一般            
(4星)	 华哥的眼睛真迷人啊。。            
(4星)	 创意还不错的说, 但是BUG也不少.....            
(5星)	 内地算不错的。            
(4星)	 型男美女养眼。搞笑严肃兼具。部分剧情有些薄弱，不过到最后还是很好看的。很有现实反思性的一部作品。            
(NA)	 因为看了怪侠一枝梅，所以因为霍建华关注了此片。大剧情虽然有些弱智，但是一些小的侦破点还是很有看头，尤其是男主的性格，很喜欢，既有幽默的调剂，又有智慧的桥段            
(3星)	 看仙三的延续，喜欢霍建华，剧情一般看看还行。            
(NA)	 能够如此义无反顾光明正大的山寨...我服了you了...            
(4星)	 还不错的剧。定位年轻，节奏虽说还未能把握得很好，前后不太一致，但角色性格都挺鲜明，也讨人喜欢，男女主演够帅够美，对白也机灵亮丽，动作戏也相当精采。值得推荐。            
(3星)	 山寨剧。。。除了霍建华和金莎都是浮云。。。            
(4星)	 华叔~~~~~你最后那个眼神是神马意思。求解释!            
(5星)	 片头曲和电影&lt;福尔摩思&gt;差不多,属于同一类风格,,很独特和新颖..            
(3星)	 演技不错，故事编得也圆。不过，这片子的色调总让我想到三十年代的老电影，不知是否有意为之。            
(NA)	 唐琅葛格真心帅啊！！时隔这么多年依然偶像魅力不减啊嘤嘤嘤嘤我勒个去终于看到传说中的最后一个眼神了怎么这么突兀啊是想说明什么啊导演快粗来！按说应该是结束了可是眼神怎么这么狡诈= =            
(5星)	 霍建华你插死俺吧！            
(4星)	 纯粹是为了看霍霍，感觉还可以            
(5星)	 如果只看了前面几集觉得很山寨就没接下去看的话，那真的很可惜，剧情我觉得超棒            
(NA)	 只看了半集，烂。帅哥还是养眼滴            
(3星)	 演得很烂，剧情很好猜            
(3星)	 剧情案情统统忽略，就是为了看帅哥耍帅而已。女主角肯定有被潜，不然就是有家世背景，再不然就是导演瞎了。            
(3星)	 对结尾枪战很是不满意啊……所以只能给3星            
(NA)	 未上映你妹！！老子都在电视上看完了！！除了霍建华没甚好看的= =            
(4星)	 虽然剧情弱智些，但这部戏的主打我觉得不在侦探而在于喜感。每一个角色都性格分明，无论是主角还是走过场的演员都很出彩，给人很深刻的印象！！尤其是对白，关掉电视后回想起来还会笑得喷饭：）            
(3星)	 都是为了霍建华            
