http://movie.douban.com/subject/2222648/	女人不哭
(2星)	 第一次看见就记住汤唯了，就在这里            
(3星)	 竟见汤唯。            
(3星)	 尚丽：“就像我们再也回不到我们认识的第一天。”            
(4星)	 这部开始就觉得汤唯好美……            
(3星)	 故事太纠结了 = = 稚嫩的汤唯。。。            
(NA)	 还是陪我妈看的            
(4星)	 里面还有汤唯。            
(NA)	 恁地想起汤唯来。。            
(2星)	 撒狗血            
(3星)	 陪妈妈看            
(4星)	 其实还可以,不过那个配音实在不喜            
(2星)	 真难看，好假啊，更让我哭泣的是，还得被硬逼着陪着看......流产它啦，俺不看啦。            
(NA)	 这部戏还蛮虐。到中年才真正在一起。            
(5星)	 那时候觉得汤唯这女孩挺好看还机灵的样子  现在是无感了            
(NA)	 这种生活剧记忆还挺清楚            
(3星)	 有汤唯诶！            
(3星)	 就像我們再也囬不到 我們認識的第一天。by 尚麗            
(3星)	 国产就是喜欢走这个路线！！            
(1星)	 狗血            
(NA)	 忘了是谁推荐给我看的了。好像是清。            
(3星)	 汤唯还没演色，戒            
(3星)	 后半段的剧本写得真是。。作者被催稿了么。。            
(5星)	 好看,真好看...            
(NA)	 居然有汤唯，没出名的时候主演里都没她名字            
(4星)	 竟然没添加？            
(3星)	 你的眼泪。            
(NA)	 我说怎么看假奶亮这么眼熟呢~            
(NA)	 和老妈一起看~~            
(4星)	 小演员的时候都很出彩,长大以后就不行了,走的都是普通戏路了.大演员也么小演员那么可爱....赵剑小时候那个演员噢....            
(3星)	 现在提起这剧都是因为汤唯啊            
(4星)	 那时候就对汤唯印象挺深的。            
(5星)	 女人不哭，哭的我稀里哗啦的。  子君是我偶像，赵剑是个好男人，阿梅是个好女人，可惜了子华一个大帅哥竟然蹲监牢了，海天这小子有出息。 原来尚丽就是汤唯啊~            
(5星)	 挺好的啊            
(5星)	 MY超！！！            
(3星)	 苦情的太牵强            
