http://movie.douban.com/subject/5366659/	恶作剧之吻 网络特别版 장난스런 키스 특별판
(5星)	 婚后很甜蜜啊！可惜每集都太短了！            
(5星)	 啊啊啊啊啊.....            
(4星)	 所以说网络版的还不错- -但是其他的全是屎            
(1星)	 无聊，骗小女生的玩意儿...            
(3星)	 完全完全素为了贤重。。。。。            
(4星)	 有爱。            
(5星)	 婚后甜蜜生活 越看好似越喜欢- -             
(3星)	 甜蜜的婚后生活。            
(4星)	 好温馨！            
(4星)	 两天完成作业。就百感交集。我要吐槽网络版吻戏太多了T^T            
(3星)	 看人就好了            
(NA)	 很甜蜜呢            
(4星)	 结婚吧            
(4星)	 &gt;&lt;            
(3星)	 矮油竟然比电视版好一点点            
(NA)	 我的韩剧容量都是被猫娘逼的。。。。我背对电视听的。。以及她要告诉我各种剧情。。。崩溃一万遍！            
(4星)	 网络版短但是充实            
(4星)	 one ji one kiss...            
(4星)	 節奏很快。很好看。            
(5星)	 婚后生活很精彩啊 才7集 不够~~~            
(3星)	 也太甜了....白胜祖那小车我喜欢~            
(3星)	 7            
(4星)	 一气看完了……不得不承认 韩国人在浪漫的对白上真的很有一手 感动使了~~            
(5星)	 喜欢喜欢，继续拍吧            
(3星)	 虽然是我喜欢的那种类似外传的甜蜜小故事，但是演的真不好，我都觉得他们之间压根就没有感情。            
(3星)	 韩剧很多人说不好看，但是我很喜欢，网络特别版讲得是婚后的幸福生活，我却觉得一般般。            
(5星)	 好            
(4星)	 完全就是番外，媳妇的美好时代、哈哈~怎么那么多的kiss啊？            
(4星)	 矮油，每集都要亲亲(* ￣)(￣▽￣*)ゞ            
(2星)	 肉麻            
(4星)	 还是很温馨的啊            
(3星)	 觉得台版的有爱多了            
(5星)	 果然编剧是王道！比电视版好nnn倍捏～话说我犯花痴犯花痴犯花痴～～～&gt;&lt;            
(4星)	 youtube版比电视好看多了&gt;&lt;婚后生活神马的最美了~~            
(NA)	 ……            
(NA)	 好甜蜜！            
(3星)	 没台版好            
(5星)	None
(NA)	 短短的 总觉得看不够~~~~但很好看~~~~反复看都不会觉得腻~~~~有一种暖暖的感觉~            
(3星)	 ╮(╯▽╰)╭            
(3星)	 哇，kiss超多，几乎是把台湾版一滴不漏的搬过来了            
(3星)	 金贤重你吻够了没！拜托要是吻也再深情点吧...            
(3星)	 这么短！            
(NA)	 剧情毫无悬念，都知道，弃了            
(3星)	 有爱～不过我还是更喜欢台版的。            
(2星)	 没法比~            
(3星)	 的确比电视好看。。            
(5星)	 比电视剧好~            
(4星)	 说实在话，我已经记不得讲什么啦            
(5星)	 我男人，我条件支持。            
(3星)	 觉得比电视剧好，不过也不到推荐的地步。            
(5星)	None
(NA)	 无意中在电视里看的号外~            
(4星)	 虽然不敢说很好，但是我也很喜欢            
(5星)	 没看够，没看够，没看够，要续集，要续集，要续集~~~            
(3星)	 金贤重.!~            
(2星)	 不知所谓。看在金贤重的份上给两颗星            
(4星)	 其实比电视剧版好看            
(3星)	 台版的更温馨。这部也还好。觉得金贤重太瘦了，直树怎么可以这样的            
(2星)	 比电视剧好看            
(2星)	 缺乏美感，男主角过于冷漠女主角过于卑微，看得心里非常不爽            
(5星)	 啊啊啊  太浪漫!! 我也要白胜祖!~            
(NA)	 看不下去了啊……            
(5星)	 淡定不能啊！但为撒结束才要亲啦！哦哟！！！            
(5星)	 特别版超好看啊！又搞笑又甜蜜，比正剧好看哦！最后一集胜祖也便得浪漫了呢！O(∩_∩)O~            
(4星)	 HOHO有爱啊            
(NA)	 一集一吻            
(3星)	 金贤重太秀气了。。            
(5星)	 绝对好看~~            
(4星)	 白胜祖是每个女人的梦想呐~金贤重真的很帅 甜蜜的婚后生活 剧情跟台版差不多 迷你短剧更紧凑好看呐            
(3星)	 男主角帅- -            
(5星)	 贤重可以再帅点哇！！花了个痴呀...            
(5星)	 “我讨厌周末和假期 因为见不到胜祖” 啊啊啊啊 要不要介么甜蜜啊 要不要啊 话说我什么能遇到让自己讨厌周末的人啊  TAT            
