http://movie.douban.com/subject/2996855/	珠光宝气
(3星)	 很做作的电视剧/　有人问，亦舒为什么爱岳华，亦舒这么回答： 　　岳华给人的感觉就是他是好人。岳华有一张好人的脸，好人的性格。幸亏实际上他也是个好人，他是那种会使别人自然去占他便宜的好人。因为谁都知道，占了岳华的便宜，不会有后顾之忧。 　　好的男孩子还需要很多条件。岳华不抽烟不赌钱，不去舞厅（？），不乱花钱。他是一个孝顺的儿子，是一个很努力的演员，是个不错的男朋友，似乎样样都过得去。 　　但是他的脾气不太好。很出乎意料之外，他生起气来的样子很凶…… 　　……西西说岳华可以演那种青年导师，指引            
(3星)	 嫁人要嫁高长胜            
(2星)	 我实在看不下去了            
(5星)	 我打五分的原因是因为后半部的蔡少芬，演技实在太精彩太到位！            
(4星)	 嫁人要嫁高长胜。            
(3星)	 我是来看姜大卫的 其他人都是绿叶 嘻嘻            
(4星)	 前段三颗星.中段四颗星.后段两颗星.大结局我给五颗星.            
(4星)	 钱是好东西，人也是，但当两者磨合得太久太黏，就都不是东西了            
(5星)	 旷世巨钻 不过是碳            
(4星)	 三个女人一台戏            
(3星)	 啊我太爱高长胜啦！！！！！            
(2星)	 开头太满，烂尾结局，后悔追的一部剧。            
(4星)	 痞子高应该配纯情康的            
(3星)	 喜欢黎姿            
(2星)	 后面一半完全可以不用看。。。家里有三个这样的女儿真的要闹死            
(4星)	 就是喜欢小狐狸和大狐狸~~            
(4星)	 蔡少芬那个鞋柜= =。。nnd            
(3星)	 真受不了里面生硬的法语配乐和洋泾浜上海话还有莫名其妙的法语。。。            
(4星)	 其實我聽喜歡蔡少芬的(ps:這好像是我看過的最長的港劇)            
(5星)	   羡慕雅思能够得到贺峰的欣赏，羡慕雅瞳能够单纯依旧            
(4星)	 蔡少芬的表现很出色，女王！            
(4星)	 太长了 所以很纠结····还是蛮喜欢看的，特别是少芬和岳峰的            
(4星)	 剧情不错..蔡少芬演技很出彩            
(4星)	 大姐真是让人讨厌,觉得邵美琪性格可能有点像大姐,痴情得让人讨厌.            
(4星)	 我不会不喜欢二姐。因为她并不是彻头彻尾的傻子。            
(3星)	 开始真的让我看的热血沸腾,可越追越觉得编剧自己都不知道该怎么编了,完全没有目的的往下拍,烂尾剧,黎姿成了最讨人厌的角色,不过,就画面和人和时装来讲,真的真的很漂亮            
(2星)	 什么渣结局...道具更糟糕..唉            
(4星)	 越到后面越牵强，但是还是可以看地            
(5星)	 黎姿好美，钟嘉欣穿上龙袍都不像太子，整个活傻逼            
(4星)	 蔡少芬個角色好Impressive呀！~            
