http://movie.douban.com/subject/2340685/	郑板桥
(5星)	 以前一直很羡慕演员，觉得短短的时间里就可以体会人一生的五味，是很美妙的体验。后来才发现，爱一个人的心，是多少时间也不够的，又怎么能够在容得下其他？板桥说要难得糊涂，我却是一再糊涂。            
(NA)	 冲着黎姿和王喜去看结果发现有莫家尧啊啊啊！            
(3星)	 为什么会选王喜演郑板桥。。很莫名。。            
(3星)	 那是第一次看到王喜第一次看到胡包子，很喜欢松松的金鱼水饺            
(5星)	 很喜欢。胡杏儿的出现有点刻意。            
(3星)	 我看的是大陆拍的正剧，每次都哭得稀哩哗啦            
(5星)	 很棒！            
(3星)	 30            
(3星)	 结局：难得糊涂            
(5星)	 超喜欢~~~王喜让我觉得郑板桥还活着~~            
(5星)	 很好看，当时杏儿还是配角，记得剧中讲郑板桥最爱花竹            
(3星)	 王喜让我觉得郑板桥还活着            
(3星)	 看这以后长了不是小知识，不过这个郑板桥长得挺丑的，呵呵            
(5星)	 好吧 前前后后哭了三次 陈松伶很美            
(5星)	 很好看，曾有感赋诗二首魂魄竹中栖，登云自是梯 糊涂拥百镒，只饮一湾溪一碗金鱼义，银河若岸堤 奔流浮世尽，水草未曾移            
(NA)	 比较讨厌黎姿的角色。我发现她还是更适合演小白兔。。。            
(3星)	 小学时候跟哥哥一起看的            
(3星)	 不喜欢王喜！~            
(5星)	 主题曲记忆犹新！            
(4星)	 药医不死病，佛度有缘人            
(NA)	 看坏光驱的时代            
(3星)	 主题曲好听啊            
(3星)	 没什么感觉.......            
(NA)	 睇完我好想學國畫…            
(5星)	 我真的为TVB作出好多的贡献..            
(NA)	 气氛都不快乐，看得也有些忧伤            
(3星)	 结局阿结局            
(3星)	 郑板桥同志和胡杏儿女士太配了，吼吼            
(2星)	 terrible actor lineup            
