http://movie.douban.com/subject/5377708/	北京爱情故事
(NA)	  看到演员表陈思成张译李晨佟丽娅张歆艺的时候我一直在欢呼 看到杨幂我就黯淡了            
(1星)	 因为有杨幂 必须一星            
(5星)	 既然有人因为卡司里有杨幂而给1星····那我只能为士兵帮给5星调和一下了····            
(NA)	 为什么有杨幂啊？极其讨厌，喜欢张歆艺            
(1星)	 本来我还真想给高点 一看相册 批判我们高贵冷艳的马峰站在比我们还要高端的地方这个爆粗口啊  还装尼玛不是粉啊 丫也艾斯比到一定程度了吧 这么有正义感你玩个毛豆瓣 什么都神剧粉什么都TR后花园 TR这么牛X买通了所有网站收了我们这么一大群枪手 五毛拿好 伤不起。这一套滚回天涯用吧亲            
(2星)	 佟丽娅一星，李晨一星，又长又拖沓又无趣，导演长了倭瓜脸怎么好意思在里面这么得瑟            
(5星)	 看了第一集，决定追了，5星期待，豆瓣sb敢再多点么，虽然对杨函数也没啥好感，但是从此以后再也不敢明目张胆的黑某函数了，主要是黑杨函数的某群人层次太低了            
(5星)	 这是个挺真诚的故事，值得关注~~刷一星的童鞋，不要因为某个你不喜欢的演员就毁了我们的等待，大家应该为真诚的作品打分~            
(5星)	 在 万象film  上看完的全集，很喜欢陈思成            
(5星)	 当俺看到这剧的导演编剧主演的时候 俺在尖叫！！！！啊啊啊啊！！！！！！陈思成陈思成陈思成啊！！！！俺的爱啊陈思成啊！会写歌唱歌很好听的陈思成啊！还是导演还是编剧啊！！！！！            
(5星)	 在万象film  看完的全集，感觉还不错！            
(5星)	 我喜欢林夏。突然觉得大药瓶子这样能在任何你需要的时候陪伴你支持你帮助你的叔比管你叫“我们家丫头”和想买以你生日为房号的叔更合我意。- -            
(3星)	 高帅富与矮挫丑的爱情故事。            
(3星)	 第一集看的我很兴奋，台词特别逗，佟丽娅一出来我就知道坏了，剧情就开始狗血起来，直接看了最后两集。太沉重了。            
(5星)	 实话说本来对这几个演员不感冒（尤其是函数姐），无意调到浙江卫视，听到了“疯子”点评于娜的经典台词，于是毅然决定追此剧            
(5星)	 非常期待！因为有杨幂。哈哈            
(NA)	 《我们无处安放的青春》《裸婚时代》加上这部，唯一完整看完的大陆剧集==！变化即是不变的社会，创造机遇和繁华浮云的世界。情节稍假，结尾老套，共鸣体悟，细节可贵，杨幂演得其实还不错。            
(1星)	 。。。。。马蜂么。。。。别刷了            
(5星)	 唉，为了平衡一下幂姐的黑粉，打5星吧。其实看了一眼有点假，但是男卡斯间的友情太感淫了，爱李晨！！！校园戏又让我想起了简宁...            
(4星)	 杨幂-5星，李晨5星，张歆艺-2星，佟丽娅+3星，陈思成+佟丽娅绯闻3星......            
(1星)	 高丑富狂虐山里娃。这个故事告诉我们，富逼抢了好兄弟的妞，他们的兄弟也会为他叫好。甚至还会把家族遗产贡献给他，把他像亲爹一样供着，说，不是你的错。而穷逼，必须受着，一有反抗，必遭天谴。            
(5星)	 为了让别人误会我很年轻，我自愿加入成为杨幂的脑残粉。作为我家小蜜的最新力作，焉有不支持的道理。哎。没看过《宫》也没看过《士兵突击》的我不会跟不上课吧。于是我决定去先请教下我外甥女。            
(2星)	 如果你是高帅富，那么你则完全没有必要看这种剧；如果你是矮矬穷，看这种剧除了能给你自哀身世提供素材之外，就只会浪费你奋斗的时间            
(5星)	None
(3星)	 张歆艺甩杨幂好几条街。。。            
(2星)	 首先， 这部戏很难得，里面居然没有一个人物是我喜欢的；其次，都市剧也能拍得这么爱国，少见。            
(5星)	 我觉得还挺不错的，超爱张歆艺和李晨还有啊，某些同志们能不能不要为了个别人就乱评一部剧啊，其实我也并不觉得杨幂演得很假啊。            
