http://movie.douban.com/subject/4848096/	幸福最晴天
(NA)	好吧 为了张钧甯
(5星)	女仆装的张钧甯和腹黑李易峰
(2星)	还好家里网速给力，以5分钟一集的速度快进完了......
(2星)	真特么枉费张钧甯了 在里面一直装白痴
(3星)	这剧太浪费了文艺气质派的张钧甯，傻傻派女主角显然不适合张钧甯呀~~哎
(NA)	李易峰真帅啊！！！
(5星)	李易峰还挺帅的。
(2星)	张钧甯和李易峰可以配成对。贺军翔是老了吗。。怎么从头到尾都一副面瘫的表情。偶像剧里的清洁工女主角真的都很厉害呢有木有。布朗尼也会做。什么都可以做哦~呵呵。果然台湾偶像剧就从来没有过大脑
(5星)	李易峰能和贺军翔站在一起了，不错！
(4星)	稍显平淡，不够冲突不够虐。但是，贺小美李易峰张均宁，你们都是好看的！养眼程度五星。
(4星)	咏咏有宝宝了，项允杰却还要履行契约，一年后离婚，居然还说是为了咏咏好。饿的那个神啊~~这编剧也太脑残了吧！！即便如此，依旧四颗星，一颗给女主，一颗给小美，两颗给李易峰！这小帅哥很抢眼啊，其实，如果这对叔嫂真能成就一段姻缘，这剧就更“给力”啦~~哈哈~~PS：卷卷头发的男生超赞！
(2星)	从人物设定到剧情甚至大部分细节都有过往偶像剧的影子，内地的电视台拍了这么一部台湾化的俗套至极的偶像剧目的何在呢？张钧甯拜托你挑剧本认真点呗。。。
(NA)	汪岚丑爆了老爆了肥爆了演技差爆了声音难听罢了
(2星)	刷完 校草还不错 小美老了 张小姐还是去演文艺片吧 两人真不搭
(2星)	钧甯！我可是为了你啊！
(1星)	弃
(3星)	灣灣的偶像劇真的不要苛求太多嘛，演來演去不都是這樣的劇情脈絡么。不過李易峰在裏面真是有型吶，每天都是蝴蝶結領結，挺萌的。
(NA)	李易峰真嫩。。贺军翔老了。。喃也老了。。
(3星)	剧情很俗 但挡不住男女主角的魅力
(3星)	新瓶装旧酒 李易峰是亮点
(2星)	几百年不看电视更别说电视剧了，偶尔陪老妈消遣一下，偶像剧居然一点进步都没有。男二号这个恋兄蝴蝶结控（￣兄￣；）
(2星)	第一次觉得贺军翔这男人还有点内涵
(4星)	看到后来 就直接跳过贺军翔那部分了~~喜欢张钧甯 喜欢李易峰~
(3星)	剧情是绝对的弱，但是帅哥比较养眼。李易峰也太出乎我意料啦，演技竟然还行。
(3星)	嗯哪，感觉还好，虽然剧情很俗，但是我很喜欢张钧甯甜甜的声音和微笑，小美和李易峰真的挺帅的
(NA)	果然是少女情怀作祟  张钧甯李易峰什么的 
(5星)	李易峰演得不错
(3星)	雷同啊，哎。还算养眼。制作班底的关系，拍出来的感觉不怎么样。李易峰潜力股了~
(3星)	到底是神马口味。。。~~~~
(NA)	狗血剧情 钧甯还是演那种淡然的女孩子好
(5星)	当时是冲着李易峰看的，看完后觉得还不错。消遣不错的偶像剧。果然还是台湾导演拍这种片子比较好看啊，大陆的演员才能发挥比较偶像的东西出来。
(3星)	张钧甯尾毛留刘海啊==
(3星)	李易峰，帅死了。
(3星)	星数只给李易峰和张钧宁！
(3星)	刚冲着李易峰瞄了眼，我觉得已经能猜出前后了..而且这剧，也就李易峰最顺眼啊 = =
(2星)	把张钧甯搞得这么残。。。
(3星)	偶像剧里最文艺的女猪脚。
(2星)	看到第五集，实在看不下去，感觉女主实在太假
(5星)	只为两只，般配。
(NA)	小美演的越来越好了
(NA)	完全冲着张姑娘，各种快进一天看完。。
(NA)	放假看！ 真的很狗血！~李易峰确实很帅
(3星)	想不到江西2套会播比较新的偶像剧....李易峰确实很帅
(3星)	最狗血和俗套的剧情都在这里，有些演员真是怀疑是否是投资方的神马人啊，不过李易峰倒是个养眼亮点哇
(3星)	如果男二和宁宁在一起我觉得会比较开心。
(3星)	贺小美真是不变的帅气，第一梦想是孩子和家庭，好感度立即满格。张钧甯真的是很漂亮。《白色巨塔》《我在垦丁天气晴》《痞子英雄》，运气真好，搭档的一直是大帅哥。小小的脸，甜甜的笑，晴天般温柔。倔强灰姑娘的角色演过的人很多，但钧甯的演出让我觉得很舒服。看在钧甯份上，勉强忍受编剧的脑残＝＝
(NA)	为了看均甯！李易峰也很可爱
(NA)	对弱智偶像剧和霸道男主角没有抵抗力。。。贺军翔说，＂小念是我的时间胶囊＂，我就被他迷死了！
(3星)	张钧甯不适合装傻啊 雨不停多好 其实一直觉着李易峰挺帅的...
(2星)	女主角演得超假，男主角演得也不好，感觉不入戏。很喜欢小男孩，这多加的一颗星是给李易峰和他的“未婚妻”的。
(3星)	李易峰很帅 三颗星都给他
(3星)	李易峰真是帅得我想死啊！！
(5星)	喜欢女主啊。。男2号跟女1号是我希望的结局。。可惜了
(3星)	我真的有闲的蛋疼到来看这种偶像剧  不可能在现实生活中上演的情节  一看开头就能猜到结尾的安排  至多只能说明一个问题  暑假真的有的漫长了  而我  真的想回北京了  p.s. 李易峰还真是长的不错
(NA)	我爱李易峰！
(2星)	喔天啊，好久沒看這么爛的電視劇了。。。
(4星)	因为这个喜欢上了李易峰
(4星)	喜欢女猪脚和男二号
(3星)	不知道为什么，看的时候老是想到了转角遇到爱。
(3星)	虽然剧情有点老套没新意。胜在李易峰的颜。和女猪的亲切感。
(3星)	和俺妈一起看的偶像剧orz，校草你好帅~~ 
(4星)	永远不要跟有婚姻的男人有纠缠。男女主角刚察觉两情相悦，决定永远厮守，却发现前妻出事，女主伪装退出，男二表露感情，那段纠结戏，拍的太棒啦~~~~张钧甯真是越看越好美啊，哭的时候，好可人疼！！李易峰跟好多帅哥都好像哦，不同发型表情像不同人，哈哈，牛B
(NA)	为了看张钧甯和李易峰滴～PS校草确实有王子范，但是张的话，还是属于蓝西英。
(3星)	看在李易峰的份上。。。
(3星)	我承認是爲了男二號看完的 雖然我也愛賀小美  可是那故事太無趣了吧 總是追追趕趕 然後又一次逃離。。 結局完全就沒有什麽可以期待的。。  男二號會變怎樣 就是故事的期待了。。
(5星)	李易峰
(3星)	为了男二
(5星)	的确看到张钧甯演这个角色还是觉得不是很适合。在我眼里她一直都是那个很有气质很有feel的雨不停喔。不过李易峰却是让我看的好舒服~~
(3星)	李易峰很帅呐 跟黄宗泽好像好像呐 比黄宗泽还年轻呐!!
(3星)	我妈妈说好看。。。
(3星)	李易峰很帥！其他沒啥想說的，劇情真一般。。
(4星)	为了姑娘~~~厚厚~~~校草暴帅啊！
(3星)	李易峰真的帅这里！还有……张钧甯这么漂亮……但是这里造型实在是……为什么齐刘海……NO！
(2星)	作为一个内地的自制剧集，阵容方面就赢了……校草啊，你收了我吧
(3星)	三颗星全部给李校草。真是无死角阿。
(4星)	李易峰很帅
(3星)	星星都是为了峰峰
(3星)	其实我只是为了李易峰而看的
(4星)	其实我想说女配角真的选的太没竞争力了
(3星)	三颗星都是给李易峰的！不是他我第一集就扔了好么！女二号丑的那叫一个死去活来！贺军翔和校草站在一起就是个杯具！美嘉的假睫毛永远没贴好永远抢戏！李易峰没有死角啊啊啊啊啊啊啊！！
