http://movie.douban.com/subject/2157239/	将爱情进行到底
(5星)	 小时候看的我这鸡冻。。尤其是小柯的音乐啊~~~那些青春的记忆。依然还是年少无知的感伤。            
(4星)	 等你爱我            
(3星)	 同济的操场哟跑了一圈又一圈的青涩            
(5星)	 我小学五年级，那时候我还不明白什么是爱情，可是有两个画面一直影响着我：一是小柯的《遥望》响起，杨峥骑着载满玫瑰的单车飞驰而出，那是我对浪漫这件事最初懵懂的定义；二是唱片店里杨峥为文慧带上耳机，《孤独的长跑者》响起，后来的我曾试图在很多个城市寻找到那样的唱片店却未果，遗憾至今。            
(5星)	 我没法不爱这部电视剧，截止到现在为止这都是我最喜欢的电视剧，它太美好了，我不能停止喜欢它。            
(4星)	 等你爱我            
(4星)	 国内偶像剧的鼻祖吧。看着剧中人，如今的样子，或许可以有些感触。            
(4星)	 最近才看的，所以稍微觉得有点儿傻。不过，就像看自己当年写的东西一样，傻，却还是觉得是一种回不去的美好。            
(4星)	 等你爱我            
(3星)	 只怪我是最近才看的，自然觉得略微小儿科些~~            
(4星)	 内地首部青春偶像剧...            
(5星)	 这是我最喜欢的一部国内的偶像剧百看不厌            
(5星)	 那时真的很美好            
(4星)	 海边电话            
(4星)	 虽然现在想想觉得挺怪的.但还是冲着描写大学那段给四星.            
(4星)	 小时候还真没看过。。原来老徐年轻时那么好看啊&gt;&lt;            
(3星)	 刻意的成分很多，但是不可否认，歌很好听            
(NA)	 最后一集 佳伟看着阳台上苏露的墨绿连衣裙时 我蔫了。。。            
(5星)	 钟情小徐！。。            
(4星)	 一直遗憾李没有跟徐在一起，也许是隔着廖凡这个傻子。            
(4星)	 偶像剧~~            
(NA)	 曾经的年少。            
(5星)	 经典大陆青春爱情剧...            
(NA)	 毕业许多年后的佳伟在街上看到曾经的苏老师　大哭　“她变了…变成了街上的那种女人。”            
(4星)	 大俗电视剧 可是谁上中学的时候没看过啊.....感动的我都不敢看内种...真傻            
(NA)	 据说江苏卫视今明后三天连播            
(4星)	 当时看的这个美  颜色都好看            
(4星)	 我就记得一直跑啊跑……然后还有那时就比较喜欢王学兵了，当时还蛮喜欢徐静蕾的。廖凡也是那时认识的。我当时也很喜欢谢雨欣……            
(4星)	 好經典的國產戲！那首《等你愛我》。。。我一度很迷戀過。。囧！            
(4星)	 高旗            
(4星)	 李亚鹏怎么能演主角！            
(4星)	 那天看了张一白的采访,才发现,时间过的真的太快            
(3星)	 歌不错。            
(5星)	 年轻那会看的，那真是相当····迷恋没几场戏的高旗            
(3星)	 大陆             
(NA)	 那时候你们还年轻啊，虽然也许不是很单纯            
(5星)	 哭啊哭啊。            
(5星)	 高一时看过此剧，此剧在我们这一代人心目中地位不低，至少其众多插曲流传很广。那时候我觉得王学兵很帅，是我的情人。            
(5星)	 曾经            
(5星)	 姐果然老了。。不然怎么会看着看着就想哭呢。。。有些故事还没讲完那就算了吧，相见不如怀念。            
(5星)	 回不去的，他妈的青春            
(4星)	 小时候，爸妈看，我是陪看的            
(2星)	 当时太小了 没看懂 = =            
(NA)	 只记得杨峥，乐言            
(4星)	 就记得杨铮经历过种种后最后和乐言在一起了            
(4星)	 那时候喜欢的居然是王学兵。。            
(3星)	 那时候的廖凡还不帅，不过李亚鹏那时候就很傻逼了。            
(3星)	 等你爱我            
(5星)	 十年了            
(5星)	 最喜欢的连续剧！！！！！            
(5星)	 五星给前7集。都是我们回不去的耀眼青春。。。。后面也太那什么了吧。。。。讨厌若彤，是因为人太寒碜了么？            
(NA)	 tv也是偷着看            
(NA)	 原来到导演是张一白啊。。。            
(NA)	 为什么你会打力荐            
(4星)	 真诚岁月一再回味            
(NA)	 不知道算不算看过，很早看的，但忘记了。            
(NA)	 这部是初三时候看的 ，算在童年内吧，毕竟这时候我还比较单纯，没发春呢            
(5星)	 跑            
(4星)	 算是中国第一部经典青春爱情片吧            
(4星)	 那时仍然清纯的徐静蕾。仍然让人心动的干净的爱情。            
(4星)	 王渝文            
(3星)	 歌曲还不错，那时候李亚鹏、徐静蕾还很嫩啊            
(NA)	  张一白 徐静蕾 李亚鹏             
(1星)	 一分没商量            
(5星)	 我和文慧很像啊~~            
