http://movie.douban.com/subject/2161882/	男亲女爱
(4星)	 一个人，活在世上，没有理由不喜欢黄子华!!!!!!!!            
(5星)	 “除了不上进，猥琐，咸湿，好赌，BT（bad taste），口贱之外阿LOK都算一个好男人，至少他可以通过miss mo的仙人掌般的外表看到她那易碎的少女心。”            
(5星)	 50集也不嫌長. 真捨不得看完            
(4星)	 我爱黄子华             
(5星)	 前无古人，后无骨盆~            
(5星)	 据闻是TVB史上收视率最高的剧集，什么天地男儿金枝欲孽家好月圆 统统靠边，dodo姐子华叔才够劲，真真係里程碑式嘅经典！            
(4星)	 苑琼丹子...你亮... 杨怡和李丽珍是惊喜            
(5星)	 没什么好多说的，永远的经典            
(3星)	 最终没看下去，因为余乐天这种人现实中也能遇到，看看有趣，相处无聊            
(5星)	 太好玩了！            
(5星)	 喜欢的港剧《陀枪师姐》排第二，这个排第一！好喜欢黄子华啊！！！！！！！！！！！！！！！！！！！！            
(5星)	 粤语版台词掟！            
(5星)	 2008-10-19 最后几集……好难接受            
(5星)	 肥皂剧又如何？            
(5星)	 经典            
(5星)	 真的是太好笑了            
(5星)	 哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈3C男人！            
(4星)	 肥皂的有点好玩            
(NA)	 原谅我啦，我净係因为钟意佢嘅栋笃笑而已。            
(NA)	 Miss Mo真烦人啊            
(5星)	 多得黃子華            
(5星)	 小强！！！！！！！！！！！！！！！！            
(5星)	 情景剧中里程碑式的作品            
(4星)	 终于看完了。很多对白很经典。但剧情实在弱智，看到最后有点倒胃口了。因此扣掉一颗星。            
(5星)	 从2010-06-22断断续续看到2011-2-11，也就是刚结婚开始看，直到现在肚子7个多月。真有意思的片。是港剧中的里程碑。黄子华一流！            
(5星)	 怎么评价黄子华那些层出不穷的招牌式台词呢？聪明、独一无二            
(5星)	 好庆幸自己识得广东话。            
(5星)	 excellent            
(5星)	  处女男+处女女，魔羯女            
(NA)	 48开始太经典啦。            
(4星)	 我系毛小惠            
(5星)	 小强 就是这里来的。            
(4星)	 War of The Genders。最近重看，发觉第46、47集黄子华学的明明是普通话，字幕交待却是上海话。            
(5星)	 同样，好男人呢也值得被爱            
(NA)	 经典 10年后看都不觉得落伍            
(4星)	 台词写得满幽默的啊，演员也很好，在大陆为什么不红呢，大概没有帅哥美女            
(5星)	 少有喜欢的TVB剧            
(5星)	 仲记得好鬼搞笑.好中意            
(5星)	 当年没看完的片现在重温 居然已经是11年后了。。绝对的经典            
(5星)	 虽然当中有大段无聊 但两位主角 实在 kiang啊 不能不五星 55555看完了好寂寞！！！！            
(5星)	 最后一集始终还是不敢看，最近应该再重温一遍麽？            
(5星)	 打是亲，骂是爱。贱剧，贱个没完.dodo姐跟黄子华，气场相当，黄金搭档。            
(5星)	 经典中的经典。斗气冤家之Top 1。            
(NA)	 我心中排第一位的港剧。            
(3星)	 记得他们吃辣椒的时候说很甜            
(4星)	 终于看完了 看了50集 原来香港就只有两家律师楼 几芭比呀            
(5星)	 笑死  XD            
(5星)	 如果可以，我想给10颗星            
(5星)	 黄子华 你简直是我的理想投射面            
(5星)	 绝世经典好片。终身难忘。            
(5星)	 强啊。            
(5星)	 真系好好笑!!! 重有小儀~            
(5星)	 经典港产电视剧            
(4星)	 小强恐惧症也许是有办法治的…………            
(4星)	 回顾下~相比起“绝代”，呢部戏里既子华肥好多            
(5星)	 看得很欢            
(3星)	 基本是吃饭时间看完的            
(5星)	 黄子华，强啊!            
(5星)	 好玩！            
(4星)	 1998            
(NA)	 我爱老男人            
(5星)	 看了你才晓得，你有多喜欢黄子华            
(5星)	 倒数第三集这对中环贱人才走到一起            
(4星)	 哈哈....            
(3星)	 蟑螂的‘小强’名字是从这里出来的            
(4星)	 节奏太慢了！            
(4星)	 越贱越爱            
(4星)	 香港制造。            
(NA)	 黄子华好野！！！！！！！DODO都好野！！！！！             
(4星)	 就是太长了~~            
(5星)	 时隔已久，仍百看不厌            
(5星)	 当时晚晚追~~笑晕~~~哈哈~~            
(5星)	 绝对经典!LOVE LOVE LOVE LOVE!!            
(NA)	 嘟嘟姐风采依然哇～  看着看着有人也把小强当宠物了            
(5星)	 黄子华贱到极致 邓健泓蒋志光太可爱了            
(5星)	 这部剧是我看tvb那么多年最喜欢的喜剧～两个活宝～70集都嫌少～～            
(5星)	 没看到结尾呀~~~残念~~            
(5星)	 经典的戏。            
(5星)	 看完了还想再看的剧集，非常非常经典!            
(5星)	 还能有香港喜剧超越它吗？很难想象            
(4星)	 小强            
(5星)	 南方台在重播，每晚一边吃饭一边看原来是很幸福的嘛            
(4星)	 至今任然是TVB史上收視率最高的電視劇集~~連&lt;金枝欲孽&gt;都沒能破此記錄.            
(5星)	 好怀念.            
(5星)	 很久之前看过，印象特别深的连续剧            
(5星)	 没有理由不喜欢黄子华！！！            
(NA)	 不行 郑裕玲太老了。。。。看不下去了            
(5星)	 这个嘛 你得当情景喜剧来看了 这样的话为什么老是只和阿历克斯鲍打官司 为什么会中两次3T都可以解释的了 这都没什么关系我觉得 因为介其中的关键在于人物以及台词嘛 这样 那这个电影能改编成舞台剧 主要的原因在于他的戏剧性以及对话的要求.余乐天简直有本人的原型的倾向而我也喜欢MISSMAO 给满分~            
(5星)	 竟然还有李丽珍，强啊。不枉我一集不落看下来            
(5星)	 俗气的名字一点都不妨碍内容的出彩。从此爱上黄子华。            
(5星)	 吃乜都甜噶爱情            
(5星)	 绝对的经典 看了不下三次            
(NA)	 搞笑~~            
(5星)	 经典搞笑剧集。喜欢阿乐。            
(5星)	 经典啊QvQ 学粤语的朋友都被我推去看这部了（揍            
(4星)	 港剧经典            
(5星)	 看了这么多年终于看完。难以逾越的TVB OFFICE喜剧巅峰。            
(5星)	 Miss Mo性格上很多方面蛮像我的~我一直觉得这样的女子其实是悲剧人物，对她心有戚戚焉。PS 郑裕玲真美！            
(5星)	 看多少次都不会厌！！！            
(NA)	 相当精彩漂亮的喜剧啊，TVB的小家子气也能出来这样俨然雅俗共赏的作品，可惜后续无力。            
(5星)	 经典，百看不厌            
(5星)	 看过的最长连续剧之一，无法复制的经典，也只有miss mo能和dayo搭档得不显弱势了…            
(3星)	 黄子华主演的几部戏风格都比较相似。本片可能算经典港式喜剧，但算不上经典ＴＶＢ剧，搞笑搞得很吵，缺乏睿智和诙谐。国配还是有值得称道之处，至少叶清的声音相当适合黄子华这类角色。另外吴绮莉和杨怡在本剧中被衬托得很靓            
(5星)	 看完了，没得看了好空虚~~            
(5星)	 哈哈哈            
(5星)	 多有爱的两人            
(5星)	 =wwwwwwwwwwwww=            
(NA)	 郑裕玲真的是越老越丑啊，            
(5星)	 超爱这部剧的！            
(5星)	 黄子华，你是喜剧之王！！！强！！！            
(5星)	 (2000) 郑裕玲 + 黄子华，不打经典是泯灭人性的。我一度想下载全来做收藏，但之前网络不发达没办法，现在太发达了又有了更多的新选择。唉，人心......            
(4星)	 50集？！有那么多的么？很小的时候看的            
(5星)	 ！！！！！！！！！            
(5星)	 力荐啊。太好看了。            
(NA)	 子华，从此爱上栋笃笑。            
(5星)	 终于看完了集数太多看的好累……就跟看好玩的漫画一样            
(NA)	 经典的搞笑港剧。。经典的男女主角搭配。。简直前无古人后无来者！！让我笑了好多天。。。。            
(5星)	 男親女愛            
(5星)	 我就是喜欢你贱 贱的那么可爱            
(5星)	 我爱子华            
(5星)	 不看后悔~~~            
(5星)	 男猪脚贱格十三分入骨，女猪脚因恨生爱大团圆结局，50集都看不够~~~咩哈哈哈哈哈~~！            
(NA)	 帅气小人物  黄子华            
(5星)	 經典            
(3星)	 黄子华。            
(5星)	 再长都不嫌长，集集精彩。            
(4星)	 我在家里天天看,老妈说她在香港也天天看...            
(4星)	 好搞好搞。            
