http://movie.douban.com/subject/2043283/	王子变青蛙 王子變靑蛙
(5星)	天知道我有多爱茼蒿和天瑜。明道再也拍不出那么好看的样子了，那是他最好看的时候。
(5星)	经典中的经典
(NA)	女孩子还好。其他都白痴。
(1星)	明道也是我想砸鞋的那种
(4星)	当时觉得明道可真帅啊&gt;。&lt;
(1星)	一星是给曾经煞笔的自己
(3星)	每个冷酷暴躁的男1号后面都会默默站着一个温柔善良的男2号
(NA)	满足白痴小女生的无聊时光
(5星)	乔恩演的真的很棒～
(3星)	……1942年制哦
(4星)	經典呀，還有裏面的顏色很好看
(4星)	我的台偶前三
(3星)	有人让我明白在乎一个人的感受，让我明白为在乎的人努力，是不求回报也会快乐的，我想为我在乎的人继续努力。
(1星)	boring
(3星)	只感觉看了一遍翻版的《最后之舞请你和我一起跳》，且没有那好看。
(5星)	记得当时每天晚上都和妈妈一起追 哈~
(1星)	唉。。
(3星)	王子变青蛙
(3星)	明道好像我弟弟，阿蒙
(NA)	明道 陈乔恩
(4星)	从来没觉得明道帅
(3星)	過。
(3星)	……小時候的自己給5星，現在給2星
(2星)	我真觉得男主很丑……
(4星)	喜欢脸圆圆的乔恩~~
(4星)	明道长得太像我那个高中同学了......
(NA)	哈哈哈~~~豆瓣猜得好准啊！！！
(3星)	讨厌台剧.
(4星)	喜欢明道失忆的那部分
(3星)	王子变青蛙
(3星)	唉 明道确实越看越村。。。现实中则完全无语  - - 咸湿男。。。
(NA)	不想再看偶像剧
(2星)	大家都说搞笑，我觉得有点无聊~
(4星)	荧屏情侣哦。
(1星)	明道整个就是农民工造型
(3星)	竟然没有很难看。龙套太有趣了
(3星)	不是很喜欢 不知道为什么收视率那么高
(3星)	跟老妈妈一道看``
(NA)	明道长得真难看
(3星)	明道 咳咳 气场很足 但是有点@#￥%&amp;…… 不过还是不错的剧吧
(3星)	我其实很喜欢女主角
(4星)	 明道 陈乔恩 搭
(1星)	OTZ
(3星)	那个暑假天天晚上一集没落过。。我妈都会唱&#34;命中已注定 是我看不清&#34;。。。
(NA)	奶奶居然说明道长得不错。。。。
(2星)	简单逃避励志剧
(3星)	2主角都不爱~
(3星)	明道好丑
(2星)	哈剛
(1星)	明道华丽丽地恶心
(NA)	- -
(3星)	有钱就可以玩失忆+脚踏两只船
(3星)	男人们还是很养眼的。
(3星)	发现明道的优雅。
(2星)	超土的民工台湾乡土剧
(2星)	好傻啊。。。能装的更好点儿么？
(NA)	只有明道的两道浓眉深深地留在我的心里……
(NA)	实在不知道这部剧为什么这么火~~
(4星)	183，一把伞~
(3星)	演得还可以 拍得很粗糙
(3星)	以前看的了。
(5星)	大一时，全寝室甚至还加上别的寝室的女生挤在一起看，多有趣的回忆
(5星)	有型！
(NA)	2←
(3星)	陈乔恩的演技还是非常不错的，就是男主角太原住民了。
(2星)	我发现。。原来我看过的这种偶像剧还蛮多的  OMG
(4星)	少年时追着看它 说是浪费人生也好 谁没有那样喜欢做梦的年少时光
(3星)	台湾制造。
(3星)	算是开创了台湾偶像剧的搞笑风吧。
(3星)	偶像剧就是~~~~
(NA)	又见陈乔恩，嘻嘻。
(3星)	那时候没看出陈乔恩很好看。。 莫非加工过了？
(4星)	还不错啦~
(3星)	王子變青蛙
(NA)	我讨厌明道！闹心
(3星)	身边那些痴女从此对明道念念不忘，莫名……
(NA)	这个是啥时候啊  好像丁寝室追的比较多 哈哈
(1星)	明道，你很雷
(4星)	乡村版王子与灰姑娘
(2星)	陈乔恩确实很漂亮
(4星)	曾经很喜欢明道。
(3星)	放假时候嗨嗨还是能消遣的擦汗。
(3星)	一个颠覆的童话故事，好吧。
(3星)	15集之前能看。后来不知道在说啥
(5星)	我唯一喜欢的偶像剧·！！！！！！！
(5星)	天瑜和茼蒿啊，跟莉香和完治在我心中的地位一样重要。。。。。。。。我也不知道，事情就是这样。= =
(2星)	不理解为何如此红..王绍伟还不错~
(5星)	爱看 好看
(3星)	暴发户的儿子~
(2星)	电视剧 
(NA)	高考后的暑假
(5星)	没见过能把爱情剧演那么搞笑的。情节好像让我想起过去了。包括某些梦想。当然不是爱情！
(NA)	不知道哪里好看，但就是看了，放松心情都放松不了
(5星)	就是爱明道
(NA)	数字点播。。的水准。。。
(4星)	大逆转，男主很有爱。
(4星)	觉得蛮好玩的
(3星)	竟然觉得明生长的还很好看^
(3星)	其实陈乔恩挺可爱的。
(4星)	非常搞笑
(4星)	帅哥就是养眼。
(5星)	1942- -囧 开启偶像剧之门的神剧...虽然现在还蛮排斥的- -
(3星)	不是最喜欢的明星.但听说是收视奇迹.所以是奇迹就看了其实还是不错的.虽然我不喜欢他们.但是值得一看.
(NA)	一般台剧风格
(3星)	第二部守著看的偶像劇.話說裡面的人不太養眼
(4星)	和一一的约定 幸福摩天轮
(2星)	我实在很不待见明先生。貌似在我的熏陶下，闺蜜们也渐渐不待见此人。
(5星)	美！
(2星)	再也不看台湾偶像剧了，保护智商要紧
(4星)	真爱戒指。
(NA)	很喜欢！
(4星)	详见评论
(4星)	童话故事~
(NA)	kaka~
(3星)	生活需要泡沫……明道的长相奇怪得很耐看，而且真的很有个人魅力，但老拍三立偶像剧的话，迟早会被毁了的，可惜
(3星)	是还不错,可是还是想不通为什么收视率那么高...
(4星)	剧情满新颖的，最主要是明道演得不错~
(3星)	有些剧使我并不想承认看过……但是本着实事求是的原则我还是要标出来
(5星)	明道。
(NA)	【2005-06-05】
(5星)	我怎么可以没标这个！！擦！！再怎么说最痛苦的日子是靠明道熬过去的啊啊啊啊！！！没日没夜的痛苦就是没日没夜的明道陪我的啊啊啊！
(4星)	当时不挺好的嘛
(3星)	安徽卫视每年暑假都要播的剧
(3星)	里面最好笑的是…每次人被车撞（还撞好多次），被石头砸，掉下海，除了失忆意外什么事都没有= =
(4星)	四星吧，那时候看的挺带劲的。
(2星)	我那时候看到后面都觉得有点脑残了呢！
(3星)	一开始不喜欢明道，看完以后觉得还可以。
(3星)	不喜欢明道……没有理由……
(NA)	跟我妈一集不落的看完！
(5星)	看很多遍都还可以再看的偶像剧
(3星)	这部电视严格上来说算是我看的第一部偶像剧（我这个土鳖在流星花园正火的时候还完全不知道偶像剧是什么╮(￣▽￣&#34;)╭
(2星)	如果民工也能做王子 那麼我也可以........
(3星)	那会儿挺喜欢陈乔恩
(3星)	明道的阿里山菜市场小熊相貌演贵公子很没有说服力的……
(4星)	因为这部电视剧才知道明道的。。。。
(4星)	当时觉得很好看.
(3星)	额,茼蒿~~~~~~~~~~~~~~~~~
(5星)	明道啊…我上学时到底是看过多少偶像剧 = =||
(4星)	那时候被剧中明道的气质迷死啦，天天晚上守着安徽卫视看
(4星)	经典。
(2星)	真心觉得明道丑
(3星)	再看一遍就是闪瞎狗眼啊！
(2星)	哈哈哈
(4星)	大一的生活是无聊的，偶像剧也把我迷得五颜六色，还跑到网吧看到晚上没公交，差点回不了学校
(3星)	第一次看完全集的台剧  明道
(2星)	明道让人受不了。其他不记得了。
(5星)	原来我一直没在豆瓣上 标注我看过王子变青蛙
(3星)	权当偶像剧并非一无是处。。
(3星)	看这部剧的时候我一定很无聊
(3星)	死了死了，我偶像剧看上瘾了
(4星)	真不错，各种狗血大拼盘，我喜欢！
(1星)	你可以去屎了！演员丑，歌难听，演技烂。
(3星)	很台。。
(5星)	命中注定是我太任性
(3星)	颠倒童话。
(3星)	得了那么多恶评……其实呢，我觉得吧，这有待商榷……
(4星)	小学一个暑假都在播阿.......前后居然看了不下3遍...
(4星)	无论怎么狗血，我承认当初我还是喜欢看的。
(2星)	看了就是白痴的电视剧，唉，我竟然看过一集。。。
(3星)	原来我年轻时还看过这个....哎...高中哪..年轻呀。。。。这个要多说一句：明道真不好看
(3星)	明道不适合演有钱人啦~~
(4星)	这部我觉得最好的台湾偶像剧了
(NA)	台剧的大结局基本都是败笔。。。
(3星)	我怎么会看明道的 想不通= =
(1星)	3:00到5:00档 冠军！
(3星)	=-=
(3星)	30集好长啊~~
(1星)	我有很努力地想融入剧情，我有很下功夫地想把它看完，抱歉我真是做不到。究竟哪里好看？谁都能我解答。
(1星)	口水歌+口水电视剧 对明道有偏见 不喜欢
(3星)	初中时看过的
(1星)	太丑了!!!
(3星)	大二时看的 挺幸福的
(NA)	明道就这么红了。。那陈乔恩是什么时候红的呢？两个人都不错啦~
(5星)	真好看啊~~~明道帅死了~~~~~~！！！！！！！
(4星)	我笑了，狂笑，然后拍大腿
(4星)	不好意思哈 我挺喜欢滴哈
(4星)	那时中午天天追啊~~娘咧，没想到居然看过这么多台湾偶像剧
(3星)	丑就一个字…还王子咧…
(NA)	典型的偶像剧。
(3星)	比较早的偶像剧不知道为什么收视率那么高
(3星)	很俗
(3星)	个人觉得陈乔恩一点也不好看
(NA)	9,10
(NA)	难得的不做作。我喜欢。
