http://movie.douban.com/subject/3032552/	魔幻手机
(1星)	 还能更傻逼吗？            
(1星)	 党带领人民恶搞            
(1星)	 一不留神看到这个，我想死的心都有了。            
(1星)	 不能评负分吗？            
(1星)	 把手机挂在鸡巴上            
(1星)	 还能更脑残吗？！            
(1星)	 某句台词：不要用你怀疑的目光来侮辱我高尚的人格！            
(1星)	 忒他妈有才了            
(1星)	 第一次看到时很震惊……            
(1星)	 太囧了，吓死我了。            
(1星)	 SB片子哈哈            
(2星)	 央视一套2008-2010年很喜欢放这电视剧，我却觉得很恶心！CCTV一套，你的品位怎么贬低了自己？            
(NA)	 神作            
(1星)	 有史以来看过的最雷人的东西，雷到一种境界了            
(1星)	 这得有多SB拍出来的片子啊.            
(1星)	 雷片无敌...            
(5星)	 好好看！            
(1星)	 中国囧电视剧之王            
(5星)	 绝对囧死你。            
(5星)	 健康向上，娱乐身心            
(1星)	 那个时候大家都讨论我他妈回家看了下完全看不懂            
(1星)	 想死必看！操他妈！            
(NA)	 怎一雷字了得?            
(1星)	 我日你麻痹的CCAV8还是12我忘记了，天天早上放这部垃圾电视剧放了一个暑假什么意思啊！            
(3星)	 妹妹喜欢看            
(1星)	  = = 。。。            
(1星)	 傻得出奇。            
(1星)	 侮辱国人智商            
(NA)	 好像是那个《宝莲灯》电视剧里的人都跑到这个电视里去了-）喜剧片喜剧片~~~~            
(NA)	 特奇怪为毛央视好爱它狂播不止            
(1星)	 亲！！我听了您的片头曲！！我就只能给你这个分了亲！            
(1星)	 绝对是傻逼中的奇葩 看过以后大概会觉得自己很有智慧很幸福吧 以后电视台要播这片前能不能发个警报神马的 不小心换到这片 主题曲只听见了5秒左右就立刻换台 还是晚了 连续3天脑子里都是那个旋律 好想死啊……能找人赔偿么            
(1星)	 这种烂片还能每天下午在ccav1播出？朝廷的审美水准果然很高很好很强大啊。            
(1星)	 最近的一颗星电影数量在增加啊            
(NA)	 神作。片头歌曲也很传奇。            
(1星)	 我承认我收藏它也不过是为了骂它。不过我还是劝大家去看看！太他母亲的奇幻了！我认为有生之年 能看一眼这样的惊悚、灾难、魔幻巨作，没白当回人！            
(1星)	 要是有零星我就给零星 真是一个不能更sb的电视剧            
(1星)	 傻了个大逼            
(1星)	 脑残电视剧。            
(1星)	 这种剧本怎么会有人真的拍的。。。            
(1星)	 是你智障还是当我们智障            
(1星)	 太油菜了，orz。            
(NA)	 评价趋势很诡异            
(2星)	 魔幻到囧……            
(5星)	 如果你觉得现在喜剧片没什么意义了~就看看这部中央电视台力荐的魔幻大剧~觉得不会让你失望！            
(2星)	 很囧很强大            
(NA)	 被雷到了....            
(1星)	 什么垃圾            
(1星)	 好奇去看了一下当年错过的经典。。当场阵亡            
(3星)	 我真的想给三星 真的 不要怀疑替我            
(1星)	 看了几集  阵亡            
(1星)	 看一次瞎一次，实在没法看完            
(1星)	 史上最烂，没有之一。            
(1星)	 眼瞎。。。            
(3星)	 好扯哦            
(2星)	 舒畅，你怎么能这么糟蹋你自己。            
