http://movie.douban.com/subject/2287866/	庙街妈兄弟
(4星)	 庙街是个好地方！～            
(NA)	 叶璇那时真纯吖样子             
(NA)	 当年好喜欢梁汉文的            
(3星)	 沒什麽印象了。就是這劇認識的葉璇吧。            
(2星)	 这部戏当年竟然能拿到收视第4，要知道前面是男亲女爱，陀枪师姐            
(3星)	 从此开始注意叶璇            
(4星)	 第一次接触李克勤哈            
(3星)	 那个老妈把车翘起来了            
(4星)	 回忆            
(5星)	 李克勤嘅电视收山之作？想念叶璇。            
(3星)	 真没啥劲 李克勤太老了 受不了            
(4星)	 这两兄弟倒都有一副好喉咙啊            
(3星)	 如果不是Edmond估计偶根本不想看            
(NA)	 又是忘记剧情只记得叶璇傻傻的.天.什么我只记得自己喜欢的明星呢.            
(NA)	 叶璇那时真青春            
(3星)	 当时真的好讨厌阿宝 觉得王文迪好man的说            
(NA)	 现在回想起来CP感挺强的不是吗～            
(4星)	 约莫记得我哭过。            
(2星)	 其实是李克勤主役吧？            
(3星)	 喜欢梁汉文~~虽然这个角色很不讨好 OTL            
(NA)	 叶旋            
(3星)	 补            
(NA)	 那时候的叶璇还纯着。我也是那时候才知道，啊，原来这个小子就是梁汉文阿，还蛮帅的。            
(4星)	 挺感人的，叶璇当时好清纯            
(NA)	 李克勤 梁汉文            
(3星)	 梁汉文梁汉文            
(4星)	 那时的叶璇真的很纯            
(NA)	 小庄最爱啊            
(4星)	 啊。。。李克勤太灵了。。。            
(4星)	 最紧要首歌好听~~~            
(3星)	 小学的时候看的,一直不知道庙街是哪            
(3星)	 当时蛮喜欢叶璇的，阿喜，哈哈！            
(3星)	 貌似很早前看过~            
(5星)	 我认识李克勤晚了。。            
(NA)	 梁汉文，你还不如李克勤那~！            
(4星)	 就因为这部片子，深深的喜欢上了叶璇，只可惜一直未能从任何地方获取此部片子的拷贝，甚是遗憾。如果哪位有拷贝，希望能与我联系，重谢。            
(3星)	 阿妈既力量原来可以甘劲！            
(3星)	 李克勤 梁汉文演技还行 第一次认识叶璇这小妞挺甜的             
(4星)	 海马...            
(4星)	 青春阿喜            
(3星)	 李克勤真的很喜欢与潘嘉德合作..            
(NA)	 我喜欢 李克勤那个角色。。。。。            
(3星)	 【好無聊的開始馬克看過的TBB】            
(4星)	 这部剧留给我的印象没多少了，但还记得剧里李克勤的妈妈往他的每一件衣服每一条裤子的口袋里都塞了一些钱，怕他上商场买东西喝而忘了带钱包。还记得叶璇剧中那好看的唇彩。。            
(3星)	 两兄弟的故事，麻麻地啦~            
(3星)	 以前我很不情愿看这部戏            
(3星)	 看过那么多梁汉文唱的主题曲的港剧，如今终于见得真身。            
(3星)	 记忆中剧情没什么亮点= =印象最深刻的是李克勤所演的角色吃蛋挞不吃蛋挞皮，那时候就在想为什么不干脆叫个炖蛋吃...            
