http://movie.douban.com/subject/2357304/	绝色双娇
(3星)	 曾被焦恩俊萌过。唔，这事儿说出去跌份儿不跌份儿？            
(3星)	 那时觉得焦恩俊很好看。。。。果然从小就是颜控            
(5星)	 那时侯觉得焦恩俊很帅...            
(3星)	 绝色双娇张庭 / 焦恩俊            
(3星)	 张庭去烤鸭子快去吧            
(4星)	 看的时候一直在叫 和芊芊在一起吧 和芊芊在一起吧~~            
(1星)	 俩女主实在对不起片名            
(3星)	 我爹当年特别喜欢看这部电视剧，看了N遍，每次湖南经视重播都要看。            
(4星)	 当年貌似还挺喜欢，虽然剧情那么俗套而且胡闹。喜欢里面的张庭            
(3星)	 小时候可喜欢张庭            
(3星)	 焦君已老。            
(4星)	 爱死张庭了；；            
(4星)	 胡编乱造，搞笑而已。我2001年时看的。            
(5星)	 小时候的记忆~开心            
(3星)	 宋丹丹君还真是出彩            
(5星)	 最后一集看哭了            
(NA)	 。。。。            
(4星)	 好玩儿，好玩儿！            
(3星)	 还好还好            
(NA)	 芊芊            
(NA)	 以前暑假天天晚上在外婆家守着看。。。。            
(NA)	 张婷为啥涨停了！内酒窝！            
(3星)	 过。            
(3星)	 在不知道“控”这个词时，就控焦恩俊了..那个时候他有露上半身...遐想万千。张庭真是太活泼鸟了...不过那个时候很轻易就纯粹的喜欢。才不会像现在这么刻薄..看谁都各种不好做作            
(1星)	 印象最深是那一个大酒窝……            
(2星)	 。。。无厘头            
(2星)	 难为了2大美女            
(3星)	 焦大侠不适合演皇帝            
(4星)	 张庭很可爱~            
(3星)	 烂。            
(4星)	 张庭 焦恩俊 牛莉            
(3星)	 呵，张庭            
(4星)	 喜欢张庭小姑娘~            
(5星)	 为何才三年，就没有这样好的片了呢。            
(NA)	 完全不记得电视剧的内容，只记得女猪脚叫芊芊。张庭那个时候的颜真心好啊            
(2星)	 我发现张庭的电视剧我都看过            
(3星)	 不喜欢牛莉!            
(3星)	None
(3星)	 那时候张庭真的很红！            
(5星)	 好爱这个组合~~            
(NA)	 张庭造型谁做的。。= =            
(5星)	 我喜欢里面那个太监，看完后我有两个月时间自称杂家            
(4星)	 焦恩俊是多么的帅啊···想当年，我是多么的喜欢这个电视剧啊·            
(4星)	 喜欢张庭~            
(NA)	 我怎么看过这么多电视剧!!            
(NA)	 芊芊~            
(2星)	 不好看            
(3星)	 我忽视第二部            
(4星)	 开头挺搞笑，变悲情了。。。后来            
(4星)	 当时很火爆            
(NA)	 家庭剧            
(3星)	 张庭好像就演过壮志雄心一个现代剧 不过她真是甜啊            
(NA)	 很是神奇。            
