http://movie.douban.com/subject/3933008/	美人心计
(4星)	 对漪房来说，不怕神一样的敌人，就怕猪一样的儿女            
(3星)	 实在是难以接受编剧的逻辑……倒是严宽的“史上最销魂嫖客”实至名归。            
(4星)	 前半部真的很完美，出场的都是美人，演出的都是心计。林心如完全当得起这种角色。可惜后半段，没有了雪鸢和刘恒，少了好些看点。不过刘盈却是个痴情种，爱了一辈子，守了一辈子，为她生为她死，为她寻找自由，之后又为她放弃自由。这世上当真有这样的男子？另外，杨幂太美了。大爱章鱼夫妻！            
(4星)	 比宫心计好一百倍的宫廷剧。不过在我看来更像一本历史剧，林心如的演技发挥到淋漓精致。越看到后面越觉得悲，很悲壮，看完甚至觉得做人就是一场空。即使这样，还是掩盖不了聚集的精彩。我有想要重读史记的冲动了。            
(3星)	 一星给加盟的众俊男美女（无论是露足了脸的，还是打酱油路过的）；一星给幕后高质量的配音团队；一星给华丽丽的汉服装束。不知是否因编剧思维逻辑上的问题，以至该剧本狗血至极，可惜了那些演员们。            
(1星)	 于正你就别抄了            
(3星)	 严宽居然给我一集KO了。。打看这剧起让我第一次精神高度集中的邪魅笑容啊情何以堪啊情何以堪！！汉服美，美女多，但NC点也多……所以得空路过拉一拉就好。。            
(4星)	 太牛了，整个一RPG，还带复活存档重来剧情。。            
(NA)	 26集看到雪鸢死了，后面也没必要再看下去了。为什么她的下场居然是这样，又被玷污又被逼自杀，编剧你怎么不去死。心如真的老了，脸垮成这样。这剧漏洞太多了            
(4星)	 我恨不得聂慎儿死一千遍一万遍！            
(5星)	 太多的瑕疵，但是值得我给五分。。因为我已经很久没有这么入戏了。。            
(3星)	 虽然我坚信窦太后绝对不是省油的灯人家崇尚的是老子无为而治不是庄子无为不治而且文帝前王后四个儿子死的比较离奇可以看成窦太后非常之有手段不像吕后杀个人还弄个人彘那么夸张史书都给你记载下来但是当我看到窦太后和汉惠帝有一腿的时候我还是囧了。。。            
(3星)	 我就喜欢王丽坤            
(3星)	 美女帅哥集，台词很烂            
(3星)	 哇，现在的国产电视剧情节发展可以这么迅猛、刺激……            
(1星)	 于正确实很nc            
(3星)	 比新版红楼梦好看，真的            
(3星)	 被刘盈说不能保护她就不碰她时的样子秒杀            
(NA)	 完全是为众美女+严宽去看的            
(4星)	 还不错。刚开始看感觉就想一直看下去。希望后面也不要让人太失望~！            
(3星)	 一星給林心如的成長，一星給衣服，一星給劉盈。扣分的一個是配音，一個事化妝...=。=   化妝師是手殘么......或者腦殘......            
(4星)	 汉朝真是个女杰辈出的朝代啊，前有吕雉，然后窦太后，王志，卫子夫然后是西汉的王政君，赵飞燕，我靠。。。。            
(4星)	 刘盈你是这烂片儿里的奇葩            
(5星)	 想到了洛神，想到了宫心计，想到了金枝玉孽            
(3星)	 喜欢雪鸢            
(4星)	 满眼看到的都是雪鸢与窦漪房那HLL的JQ~~            
(4星)	 男人都希望做皇帝因为可以三妻四妾，后宫佳丽三千人。可剧里的皇帝却都愿意弱水三千只取一瓢。情有独钟，就在于那个独字。美人都希望做皇后因为可以母仪天下，一人之下万人之上。可剧里的美人却都愿意离开是非只和爱人死守终生。美人心计，就在于那个心字。            
(4星)	 蛮养眼的电视剧，剧情虽有不符史实之处，但又何必较真，要看历史还是看书更加清净，电视剧娱乐看着挺好。            
(3星)	 “若为女子，夫君才是天下。不要赢了一切，却输了天下。”“由爱故生忧，由爱故生怖，若离于爱者，无忧亦无怖。”            
(4星)	 31喜欢古装啊，整整容化化妆，中国的帅哥美女越来越多了啊！！            
(4星)	 杨幂好美啊~~~            
(4星)	 雪鸢死了，我就。。不想看了。。            
(4星)	 无论一个女人多么的有权有势有钱，她一生之中最幸福的时光一定是那段和她的爱人在一起的日子。可惜无论是她在那个时候，还是我们旁观在那个时候，都不会意识到这一点。直到一生走到尾声，才会发现那段时光是有多么的珍贵。            
(4星)	 这些个大名人啊··· 后面有点紧了。 不过真要细说窦太后 恐怕100集都不够吧··            
(4星)	 这是美人心计吗？这根本就是美男开会！！！男人们阿男人们~            
(4星)	 不错啊  就是上海电视剧台 慎儿的出场咋比其他女主多那么多啊啊啊啊            
(4星)	 看多了短少精简的日剧，40集的剧对我来说太冗长，跳着看的，林心如还不错。开始对历史感兴趣了。            
(4星)	 前半部分很有TVB的感觉，除了每集炮灰一个明星客串···后半部分进入狗血煽情历史剧的套路了···可以看出于正真的考察了不少历史&amp;野史~总的来说还不错啦~比台湾小言好看            
(4星)	 内地宫廷戏拍得很不错呀            
(1星)	 哈哈哈  囧剧            
(4星)	 几回知君到人间。     千载相逢如初见。刘盈你真的不应该回来。            
