http://movie.douban.com/subject/5501693/	野鸭子
(2星)	 咋咋呼呼，不知所云，尤其不喜欢那个把野蛮当性格把傻X当智慧的女主角。            
(4星)	 在现在都在用民国影射的时代，国产电视剧的故事能写成这样还是不错的，但是台词写得有点那个。            
(5星)	 迄今为止看过的最精彩的电视剧。            
(NA)	 整个儿一个神经病            
(5星)	 爸爸说这个编剧是神人，滴水不漏。2011春节            
(NA)	 陪老爸看的            
(NA)	 最近跟着老爸看中央八。这编剧啊，真是哆里哆嗦。            
(3星)	 曹曦文演技不错。            
(3星)	 陪老爸看的+1            
(4星)	 跟老爸一起看的 haha~             
(2星)	 女主角真的太烦人太讨厌太雷了好吗            
(4星)	 挺特别的一片            
(5星)	 人物个个出彩！国产难得的好剧！            
(4星)	 国产非古装剧中比较不错的了            
(2星)	 居然还给野鸭子的粗俗无知立牌坊，不可理解            
(3星)	 这海报真喜庆 = =|| 陪老妈看的。。狗血程度挺得琼瑶剧精髓的。。            
(2星)	 陪老妈看的时候用了好大的劲忍住不吐槽啊            
(4星)	 方浩“我有一个女儿”周丽琴“我有一个女儿”野鸭子“我想要个家”            
(3星)	 这女的不错。故事有点荒唐。有几个场景的拍摄地点是福建土楼，跟老婆一起去过的嘿嘿。            
(4星)	 妈妈爱看 陪看            
(NA)	 电视讲神马不重要 重要的是陪爸妈一起看            
(3星)	 可爱的女仔。剧情方面很狗血。            
(3星)	  野鸭子搞笑的个性美女 超级喜欢杨顺            
(NA)	 噗，这个，爸妈在看，我瞅了几眼，有点假            
(3星)	 是我笑点太低了么....虽然很扯淡            
(4星)	 看完后加一星            
(NA)	 还挺好看嘿！            
(4星)	 好看            
(4星)	 曹曦文很像蓝洁瑛啊            
(3星)	 央视8套陪娘亲看啊            
(2星)	 每天晚上陪太太看这玩意儿 忒荒唐了            
(3星)	 野鸭子咋那么好玩呢？曹曦文演的很好玩。。。            
(3星)	 寒假跟爸妈一起看的八点档，还挺喜欢张桐的~            
(4星)	 后面有点拖沓 总体来说还不错 在内地这算不错的青春剧了            
(5星)	 国剧威武！！            
(4星)	 觉得 要是以后能和老公 在小村子里养养鸭子 也是 不错的            
(2星)	 冲着曹曦文的颜。。。            
(3星)	 野鸭子的性格。剧情老套~            
(NA)	 我觉得蛮好看的啊- -            
(3星)	 前半截儿还挺有点儿意思，后半截儿就狗血了            
(3星)	 不如李冰冰演的版本好看。但是他们租的那个房子我很稀饭呢。cctv-8  兔年春节            
(4星)	 有点意思~            
(3星)	 挺好的。            
(4星)	 其实我是喜欢两个小男生            
(3星)	 男主太丑！！不知道为什么老爸喜欢看这个戏，天天看，终于看完了……            
(4星)	 嫌弃这剧太狗血的，我只能羡慕你生活太平静            
(4星)	 很好看的生活剧，最后二姑的说辞让人想不到是野鸭子的主意，这点有点意外。除此之外呢，女主角很漂亮，有点像宋慧乔又有点像刘涛。但是有些演员的演技还有待提高的。娜娜的母亲的扮演者演技真的非常的好，人也漂亮，身材还好~~~难得我看完了一整部的家庭剧            
(4星)	 这姑娘多好！            
(NA)	 好PP            
(3星)	 因为在厦门拍……            
(4星)	 喜欢小顺子的阁楼            
(NA)	 我看这个都是为了我妈            
(4星)	 张桐挺帅的耶！            
(3星)	 断断续续看了一些，蛮搞笑，但也有点假            
(3星)	 电视讲什么不重要，和妈妈一起看最重要            
(3星)	 陪娘亲看的。            
(3星)	 每个人都用自己的自私去劝说别人不要那么自私。            
(2星)	 中央八的电视剧越来越差了……整个就是无赖女            
(3星)	 主要是满喜欢曹曦文和张桐的，剧情真的很搞            
(2星)	 好吧两星半，算是在电视上看过的剧集里不错的了            
(NA)	 在家就是陪我妈看电视剧            
(1星)	 sb            
(3星)	 感觉不错的样子。。。我错了            
(NA)	 矮油陪我妈看得还挺搞笑，女主演过五星大饭店啊            
(2星)	 他们很扯地讲述了一个艰苦创业的故事            
(3星)	 陪爸妈看的电视剧            
(NA)	 2012,02,13  21:00看完            
(3星)	 将就看看还成            
(5星)	None
(2星)	 剧情，剧情，剧情。            
(4星)	 人物性格的刻画真的是很细腻，由此而产生的矛盾也叙述的入木三分。剧情大体上比较老套，某些小情节挺出彩，女主角虽给全戏加了不少分，却掩盖不了情节拖沓的致命伤            
(4星)	 觉得还行，喜欢杨顺            
(4星)	 自动跳转最后一集，俩人结婚的时候还是挺感人的。            
(2星)	 460  曹曦文            
(3星)	 妈妈看了三遍的电视剧            
(3星)	 不晓得从哪人转来的片子。13集后看着就犯困了。            
(3星)	 某些台词相当搞笑不做作，但是演员选的不好，没有演技也不好看            
(5星)	 很率真的一个女孩，很率真的一部电视剧。            
(3星)	 老爸说很好看 他早上在CCTV8跟着看 但已经是后面几集了 就让他去IPTV回看 于是我便跟着他从第一集开始看了 还不错 蛮有意思的            
(2星)	 不太感兴趣，老妈看得津津有味。我只想说曹曦文长的真的好像刘涛啊。            
(NA)	 10暑假。女主不错            
(5星)	 很喜欢女主角娜娜，那种单纯、真诚、活泼、快乐，带着一点淘气和小坏的女孩子。            
(4星)	 周末一看到BJTV有这个电视我就开心！            
(1星)	 我觉得这个情节怪怪的，根本谈不上有什么情节，看着很没意思            
(4星)	 鸭子粪哈哈            
(3星)	 小感动            
(3星)	 还行  就是没多少创意点 前面还挺好看  后面的剧情就...            
(1星)	 女猪脚要不要贱得那么理直气壮啊！            
(2星)	 我操寝室一哥们儿天天看，我听都听吐了要。            
(3星)	 感觉差点什么，好像是曹曦文演的有点过吧，但我挺喜欢这个女孩，还是没文化的好！还有我发现曹曦文有点像刘涛和颜丙燕。。。            
(4星)	 好故事啊。喜欢上曹曦文了。为啥那个姗姗跑到穿越剧里面了= =            
(3星)	 在家和我妈看的，开始觉得还不错，后面。。。真觉得野鸭子出来这一遭真不值，好吧，除了认识了小顺子            
(3星)	 是在东北的乡下看的这部剧，跟姥姥一起看的，姥姥好喜欢野鸭子。整部剧里我觉得曹曦文很卖力的演出，一切都亲力亲为。让人看的很舒服，不像偶像剧来得那么假。            
(3星)	 很喜欢里面的曹曦文，其他没了            
(2星)	 一听到这剧的声音就烦，咋咋呼呼，不知所云，尤其不喜欢那个把野蛮当性格把傻X当智慧的女主角。演的咋呼，白痴的很            
(3星)	 剧本还是太幼稚了，漏洞百出，完全不能推敲。            
(3星)	 因为有曹曦文才看的。            
(3星)	 嗯……            
(5星)	 觉得很好看，包括故事和表演都很。            
(3星)	 陪妈看了几集            
(3星)	 怎么觉得跟李冰冰的野丫头很雷同啊            
(NA)	 不喜欢这个野鸭子，每天把野看成是有性格，又吵又闹心，很作，很烦的一个角色，一点也不诙谐，关键是也没有什么特别的个人魅力。和家里人看到一半觉得很浪费时间就不看了。很无聊的片子。只有妈妈很有气质，看起来很舒服。            
(NA)	 这是部非常好看的片子。虽然表现有些夸张，但真实的情感让人感动。尤其在那些人生的重大选择面前，更让人看到了主人公们闪光的一面。一个从村子里跑出来的野鸭子，让人们看到了努力的希望。在所有的痛苦和困难面前都能咧开嘴笑，人生何处不天堂。            
(1星)	 弱势女子仍不懂得保护自己的身体心理。脑残一枚还靠装疯卖傻逞能给谁淡逼啊            
(3星)	 也得无法无天了，有时候真受不来啊。            
(3星)	 跟我老娘一起看的，曹曦文真漂亮。            
(1星)	 演的村姑没有一点村姑样，倒是像城市的小女孩，会撒泼            
(5星)	 好吧。。我看完了。            
(NA)	 真的不错，感人。。。。。。剧情缜密，跌宕起伏，演员功力可赞             
(4星)	 好看啊，怎么豆瓣这里的人都说不好看            
(3星)	 电视看感觉不错，然后电脑上看，怎么感觉就不怎么样了呢.......            
(NA)	 我这几天果然看了不少神奇的片子。。            
(3星)	 喜欢曹曦文            
(3星)	 其实我挺喜欢娜娜的性格的  很真实很朴素  如果出生在城市里  不一定会这么朴素吧   只是这编剧实在太雷人了  哪有人叫野鸭子的？还什么娜娜  还老套的又搞弃女儿回头来找这出              
(5星)	 找不到片尾曲的下载方式。。。            
(3星)	 陪老妈看的            
(4星)	 寒假在家里陪爸妈看完了······            
(3星)	 伊朗 CCTV4 2011年4月            
(3星)	 我娘在看······==+            
(NA)	 不错的片子            
(2星)	 家庭伦理剧啊…… 这点事儿能演26集 ……             
(3星)	 这是翻拍剧吧？以前那部是李冰冰演的？故事挺好看的。            
(1星)	 陪妈妈看过.            
(3星)	 凑合看吧            
(3星)	 率性可爱的野鸭子，喜欢杨顺。            
(NA)	 姑娘演的挺疯的~~有劲儿~~            
(4星)	 国产电视剧编成这样不错了！蛮好看的            
(3星)	 老爸在看,顺便看了下,还行吧.            
(NA)	 我妈拉我看得~            
(5星)	 挺好的一部国产剧，很给力。            
(NA)	 20110225            
(4星)	 曹曦文演的不错，张桐原来长得挺帅，呵呵~            
(3星)	 魏和尚，女强人            
(5星)	 台词自然滑溜，人物形象丰满，剧情发展顺畅，难得的国产好影视剧！杨顺的职业经历同当下鼓励大学生自主创业精神相吻合，和谐！            
(4星)	 鼓浪屿的海景公寓房，喜欢~            
(4星)	 一鼓作气看完这部充满青春与生活气息的电视剧，闭目回思，只觉得剧中一个个跃然荧幕的人物形象仍历历在目。尽管在观看过程中我不时会对这部剧离脱现实的成分和斧斤雕琢的痕迹嗤之以鼻，但坦言之，我的心绪却是随着剧情的演进而跌宕起伏。剧中所野鸭子和杨顺对幸福与平等的追求在当今社会实在发人深省！            
(4星)	 喜欢野鸭子的性格。            
(4星)	 女主不错嘛！            
(3星)	 我喜欢顺子            
