http://movie.douban.com/subject/3076678/	东方母亲
(NA)	 啊小时候还和妈妈的麻友讲过这个片            
(NA)	 乱换台的时候看过一眼            
(5星)	 啊张敏好美            
(4星)	 很小的时候跟着老妈看的，突然就想起来了…女人花一朵啊            
(NA)	 女人花。            
(NA)	 我到底有多少光阴耗在了电视机前。。上天保佑我并没有瞎            
(4星)	 这部电影 我认识了何超仪 赌王的女儿。。。            
(4星)	 只记得片尾曲是女人花            
(5星)	 小时候印象很深的电视剧            
(5星)	 就记得女人花了~            
(3星)	 就记得女主角好多孩子……            
(4星)	 当年看得很虐心啊，但是现在已经全然不记得情节了            
(4星)	 主题曲真好听呐。。。            
(4星)	 记忆很模糊很模糊            
(3星)	 若是你闻过花香浓，别问我花儿是为谁红。            
(3星)	 好多年了            
(4星)	 主题曲女人花红了多久啊            
(4星)	 片尾曲是《女人花》。            
(3星)	 回忆了            
(4星)	 我记得最后留下来一颗钻石……还有一些色情的场面……            
(3星)	 和妈妈一起看的，那首女人花太经典了~            
(4星)	 這個真好看            
(4星)	 第一次听到女人花！            
(4星)	 豆瓣还真是什么老片子都找得到啊！！            
(NA)	 女人花是主题曲，张敏很美啊~            
(4星)	 没想到张敏也能演超级妈妈的角色，刘德华的主题曲至今印象深刻。            
(NA)	 片尾曲是女人花             
(4星)	 母亲~            
(3星)	 张敏很气质，看小一辈的爱情去了，范小芳很有味道！            
(3星)	 我记得我看过，是因为那首叫做《女人花》的主题曲！            
(NA)	 小时候在地方台看的电视剧啊~            
(3星)	 第一次听到《女人花》            
(NA)	 里面有个女的叫圆圆，每次我都觉得在叫我。还有梅艳芳的《女人花》。            
(3星)	 升初中的暑假看的。主题曲女人花啊            
(5星)	 想再看一次。            
(5星)	 那时是每晚必看啊，边看边内牛满面            
(5星)	 这部剧我认识了张敏，也喜欢上了《女人花》，故事情节也很好，我还给同学讲过呢            
(4星)	 小学看的。只记得《女人花》和演慕容复的演员。            
(5星)	 女人花            
(4星)	 以前卧谈会还交流过这部电影            
(NA)	 看这个长大的！我的小学时代~            
(4星)	 不知为什么身边看过的人好像很少，我就喜欢这种跨文革到现在的片子……用余华的话说，欧洲400年咱40年过完= =每次说起母亲的形象，这部绝对算一个            
(4星)	 女人花~            
(4星)	 三个孩子 带着不同的命运            
(3星)	 主题曲很好听！            
(4星)	 小时候好喜欢看的~~            
(5星)	 当年就因为这部电影听了女人花  前奏想起那个激动啊            
(4星)	 女人花+母爱的伟大            
(NA)	 貌似小时候看过来着            
(4星)	 张敏的美与善 汤镇宗的恶  还有那首动人女人花            
(NA)	 我靠 这个太经典了 当年跟我姥姥每天看            
(4星)	 女人花是亮点~            
