http://movie.douban.com/subject/3292384/	宫心计
(2星)	 那个三好一直被人捧在手心里 大家那么疼她 ，我就不明白金玲哪里不好了。一直被人欺负，这部戏太假了            
(2星)	 这样的衰片我竟然一集一集追着看完了，我真是蠢钝如猪！！            
(3星)	 马大将军好可怜，整个电视剧没有衣服换。。。            
(3星)	 真的很不喜欢陈豪TVB没有顺眼点的男的啊            
(4星)	 TVB献礼60周年国庆，“刘三好”有利社会和谐。            
(3星)	 我不喜欢看佘诗曼那么老好人的样子，不适合啊。。。再加上演员都老了，真的该换新人了。。。！            
(3星)	 好多美瞳 美瞳好美            
(4星)	 看完只记得陈豪的眼线            
(3星)	 妆太浓了。。。            
(2星)	 MB的，佘詩曼戲份咋那麼重啊操            
(4星)	 看完金枝欲孽的最大感受是里面聪明人很多，看完宫心计的最大感受是里面蠢人很多，而且是连奸角都很蠢。明明有33集，却感觉没讲多少事情，故事性好弱。但我仍要给它四颗星，谁叫我爱TVB~            
(2星)	 端着盘子的女史可以在宫里到处乱走就遇到种种好事，连太皇太后和皇帝要杀王爷这种机密也可以轻易知道…剧本呼烂的地方太多了一点啊。            
(2星)	 弃。不能看了，有点脑子看点什么不好。            
(3星)	 TVB的戏越来越难看            
(3星)	 米雪的角色还挺可爱的            
(NA)	 金枝欲孽+大长今            
(3星)	 剧情浮于表面根本没什么机会给演员发挥。。哎。。剧情进展又超快主线又散。。            
(4星)	 些个小宫女可真是够闲的~            
(NA)	 看了前两集真的不想看下去了很囧的称号很狗血的剧情啊            
(3星)	 陈豪真阔怜，母后死了，妃子死的死，疯的疯，走的走，最后落到一寡人~~还给他画眼影眼线，哎。。。。            
(4星)	 期待杨怡的奸角！            
(NA)	 两位女主 一位天天嘴上挂着存好心 一位天天嘴上挂着情同姐妹 ╮(╯▽╰)╭            
(2星)	 TVB再无能与金枝欲孽媲美的斗戏了~            
(2星)	 其实很难看，我想刘三好死。            
(NA)	 比起金枝欲孽，差得天遠。            
(1星)	 的确是跟风之作……            
(1星)	 2010-11-28 看过。老妈在看，无意中看个大概。香港（亚洲？）这么多年，电视剧都跳不出尔虞我诈的戏路和善恶有报（或无报）的结局，相比欧美形形色色之专业剧，不得不感慨差距之大。亚洲对于社会的理解，始终处于一种朦胧的约定俗成状态，从未上升到社会科学层面。繁华如香港，亦未脱魅。            
(2星)	 雷剧啊。。。。。。。。。。            
(3星)	 为乜佘诗曼不演金铃？            
(3星)	 刘三好应该改名叫“刘好命”，姚金玲应该改名叫“姚倒霉”。三好这个角色并不让人觉得喜欢，金玲若不是后来莫名其妙变成了“全职杀手”，也不让人觉得可恨。这部剧唯一的看点是那些阴谋诡计的桥段，以及米雪和关菊英那两张利嘴。            
(2星)	 TVB没人了= = 缺演员缺编剧还混啥啊            
(3星)	 讨厌那张圣母脸= =            
(3星)	 编剧蠢钝如猪            
(4星)	 三好真是圣母中的战斗机！            
(3星)	 有点烦完美的三好设定            
(2星)	 田蕊妮轻轻点过却迷倒众生，想不到古装有如此气质            
(2星)	 忍耐脑残编剧的功力着实又上了一层            
(3星)	 没意思啊。。。            
(4星)	 学习勾心斗角  宁死不做刘三好！            
(3星)	 哎哟最后金铃叫的那声&#34;三好,金铃&#34;让姐姐我落泪了.....            
(3星)	 金枝是女人戏的巅峰。宫心还是差点啊            
(3星)	 杨怡童鞋演技大涨。烦死佘诗曼那副苦瓜脸嬲，丫的哭相还不如黎姿的凄美，脸颊瘦削一副苦婆婆模样。巅峰时期已过，不似金枝里头坏模样也招人疼。            
(3星)	 最漂亮的是江彩琼（三好妈），演技最好的是姚金玲，最可爱的是布吉祥。            
(NA)	 弄了半天阮司珍最幸福            
(3星)	 看了五集。放弃。小女人的勾心斗角戏……权谋之术远不及金枝欲孽十分之一            
(3星)	 我们对大多数人友善，但只能对少数人好，你对所有的人都好，就等于对所有的人都不好...            
(4星)	 一边说结局很烂一边哭着看结尾＝   ＝            
(NA)	 每天等更新            
(2星)	 宫心计的剧情比金枝欲孽差太多，只好去关注演员。我会&#34;follow&#34;李诗韵...OK，这个比较正常。还有......关菊英 —— 妖！我是不是太缺乏母爱了。            
(3星)	 又蛇尾了。            
(3星)	 跟金枝欲孽没得比，别上当了            
(4星)	 皇帝连抱都没有抱一下三好 哎！            
(3星)	 剧情很欢乐。            
(4星)	 国人还是需要大团圆的，大结局的前半段真精彩。            
(3星)	 天上下凡三圣母这句歌词不停地回旋            
(3星)	 总是在最后一集峰回路转啊            
(3星)	 太监也能当大将军的。            
(3星)	 布小顺坐牢的时候太可爱了~~~~好萌啊            
(4星)	 苦戀這麼多年，失去幾乎所有親戚摯友，換來的只是一盒不好吃的糖蓮子，皇帝真太杯具了。            
(3星)	 牵强的一塌糊涂。小佘演的够淡定了            
(4星)	 情节是白痴了点，争斗是儿科了点，但是这个结局我挺满意的，3.5星！            
(2星)	 太皇太后死之后就没什么好看的了            
(NA)	 TVB结局永远都要留dd尾感            
(5星)	 本宫终于被打入冷宫。。。孤独终老            
(4星)	 除了八千只鸭子吵架的戏 大体竟然挺好的            
(NA)	 我就不喜欢刘三好这样的滥好人！！            
(3星)	 阿佘=v=            
(3星)	 宿舍舍友在看的时候断断续续看了点，放假回家电视上放又断断续续看了点，不知道凑完整了没。            
(3星)	 也就那么回事，和当年的《女人天下》有得一拼~~            
(3星)	 其实没认真看完。女人看，旁看旁听了一些。肥皂剧老套死了。            
(3星)	 看了一集……原来那个“飞燕”是陈自瑶啊，怪不得那么眼熟。            
(3星)	 各种白眼飞来飞去。。。。。。。。            
(5星)	 皇帝小可怜儿            
(4星)	 喜欢金铃            
(3星)	 每次的定情信物都是別人給的，還是兩個人一樣的＝－＝            
(4星)	 最近结局看的太多 麻木 我得病了 看完一个哭一个 要了亲命了            
(2星)	 第三集，不追了。浪费时间看这种弱智剧我还不如睡一觉。            
(3星)	 原来晚唐还有个“小太宗” 不看电视也不会去查这段历史            
(4星)	 刘三好：做好事、說好話、存好心            
(4星)	 哎 其实真的好失望 还是李诗韵是亮点啊 杨怡的古装已经变得那么难看了            
(3星)	 服装真心烂。            
(4星)	 眼內有塵三界窄，心上無事一床寬。說好話，做好事，存好心。也許你覺得三好過分菩薩心腸，但她只是一個代表，一個警示，人是必定要以良善來修得福報。故事講的是宮闈爭鬥，職場爾虞我詐又何嘗不是如此，要看清慾望和名利，尊敬內心的神明。人物、服飾、鏡頭都何其詩意。            
(3星)	 结局不给力啊,不是好评如高潮么?            
(4星)	 是啊是啊 我闲的把这个看完了= =            
(3星)	 张国强就算是老了也是老帅哥            
(NA)	 女人啊，你的名字是罪恶            
(NA)	 布公公可爱            
(4星)	 结尾不免想到韩剧女主播的故事            
(3星)	 剧情老套             
(3星)	 看着看着我就烦了            
(NA)	 喜欢姚金玲中期的角色，真实又饱满，尽管后期有点丧心病狂。但比起假模假样的三好，我更喜欢前者。            
(2星)	 天雷滚滚无休期~~~            
(3星)	 无脚龙真是演什么都让人觉得不舒服            
(3星)	 fx0033 冲着服饰看的圣母历险记- -            
(2星)	 金枝欲孽的经典难以超越.            
(4星)	 我终于在百忙之中看完了咬牙切齿的宫心计。            
(NA)	 米雪演的果然好 三好这种人哪里去找啊             
(NA)	 越看越无聊~            
(2星)	 果然很2.第21的内个红色块看的我笑场了。- -            
(3星)	 剧本始终是硬伤，三好未免太老好人。姚金鈴奸到出汁，杨怡演技大爆发。            
(3星)	 我居然看完了，粤语貌似进步了不少            
(2星)	 两颗星都是给服装的            
