http://movie.douban.com/subject/2214122/	还珠格格第三部天上人间 还珠格格3
(2星)	 有了黄格格我才知道其实赵格格还算不错的 真的 这故事越扯越扯淡了 什么乱78糟糕的 我发誓 我只看过琼瑶这一个作品 发誓！！太雷人了！！！了 ！！！            
(1星)	 毁灭了我心中的梦幻组合！！！！！！！！！！            
(1星)	 BS！狗尾续貂            
(2星)	 琼瑶奶奶还是洗洗睡吧            
(NA)	 还我赵薇……            
(NA)	 啊哈哈哈哈黄奕演得真烂            
(1星)	 小燕子无法生育，五阿哥被迫纳妾            
(1星)	 极不喜欢黄奕            
(1星)	 呃 全部换人了还看个p啊            
(1星)	 囧！！！！！！            
(3星)	 这名字起的真好，现在播放估计评分会更高些，哈哈……            
(1星)	 吃屎吧            
(3星)	 不是原班人马就完全没有吸引力 选角问题非常严重！！            
(1星)	 崩溃啊            
(1星)	 烂片的代表作            
(1星)	 特别特别牛逼            
(NA)	 耸肩了.吸毒！戒毒！            
(1星)	 一群奇奇怪怪的演员。还有雷人剧情，太让人崩溃。            
(1星)	 古巨鸡的光头是有多难看。。。            
(1星)	 演员垃圾，剧本垃圾！            
(1星)	 败笔啊 别和12放在一起讨论！            
(1星)	 为什么古巨基的头是尖的？？？            
(1星)	 虽然一集都没看完···但还是垃圾···            
(2星)	 无以置评            
(1星)	 多此一举            
(2星)	 好想死有没有！！！！！！            
(2星)	 看了新还珠格格后，觉得这个无论如何不能算1星            
(2星)	 =  =不解释            
(2星)	 我也不得不说很差，换了演员就是最大的败笔！！            
(1星)	 烂。            
(1星)	 我靠。。。            
(1星)	 好恶心。            
(1星)	 很囧            
(2星)	 真不好说。。不是一般的烂            
(4星)	 真好看呀真好看！！            
(NA)	 搁现在恐怕是不会看了- -            
(NA)	 恶心            
(1星)	 很假很做作            
(2星)	 被这个第三部雷到了。很雷。            
(NA)	 什么东西啊            
(1星)	 哈哈哈哈~我也看过耶            
(1星)	 为什么这么多人要齐心协力把还珠给毁了            
(1星)	 黄奕 你还记得当年的你吗 嘻嘻            
(3星)	 黄奕好丑啊。            
(3星)	 演员大洗牌之后除了名字已经没什么亲切感了。剧情越发的狗血，染红了我的双眼。            
(NA)	 不知道用了谁家的睫毛膏，睫毛都刷的和小刷子似的……            
(3星)	 没了赵薇就            
(NA)	 囧片之王            
(1星)	 还我苏有朋- -            
(NA)	 琼瑶阿姨最后写道：献给相信人间有爱的人。请让我相信吧。            
(2星)	 古巨基不喜欢得很            
(1星)	 我操 我还真看过。            
(2星)	 我 了个去            
(2星)	 这部实在是虐得受捕鸟……作为寝室四人全都看过的连续剧……东东竟然把3都看完了！@ @            
(3星)	 曾经我也琼瑶过            
(1星)	 烂到爆！有半星或者负星的选择乜？            
(1星)	 死去吧！！！！！            
(3星)	 方块脸...黄奕还可以，紫薇不行不行 &gt;&lt; 刘涛好看...            
(1星)	 我靠，古巨基真的太畸形了啊            
(3星)	 唉  时代在前进 艺术在倒退            
(2星)	 我忍无可忍了= =            
(2星)	 明年暑假不要放了            
(1星)	 太烂。            
(2星)	 除了白眼无法给别的评价            
(NA)	 烂烂烂~~最讨厌紫薇和尔康那段 真他妈的瞎掰            
(2星)	 这部真的是囧囧有神啊……            
(2星)	 多么恶俗的剧呀。可是我还是看了。            
(1星)	 我惊了…            
(3星)	 为什么会变成这样……完全没了看下去的动力……            
(1星)	 救命啊~~~~！！！            
(NA)	 不好意思，第二集之后一集也没看~~实在不喜欢这个古巨基饰演的永琪~~            
(2星)	 不入眼，特别是皇帝            
