http://movie.douban.com/subject/2762041/	莲花童子哪吒
(4星)	 印象最深的就是殷夫人用藕拼出了哪吒的身体，当时哭的稀里哗啦            
(3星)	 小时候觉得还蛮色情滴 里面那个狐狸精            
(5星)	 上高一时看的，觉得不错。            
(3星)	 有点扯~但是还是可以的~比现在的神话剧好看            
(3星)	  电视剧             
(4星)	 为什么是新加坡剧？            
(NA)	 从小就觉得新加坡电视剧磨磨唧唧特恐怖 但是还是天天看……总觉得新加坡的电视剧都是没有尽头的，居然才20集……            
(3星)	 小时候其实很喜欢..            
(3星)	 罗海琼好年轻那时候            
(4星)	 = =小朋友总是萌的            
(1星)	 这片子让我对罗海琼颠覆了一把= =还有那杨戬，开眼那一刹那，我喷了            
(4星)	 一直喜欢看哪咤..西游记里出现哪咤就兴奋            
(5星)	 小学，我爸给我的VCD，很喜欢女娲为天庭主宰的设置。小时候总觉得自己是哪吒，事实证明曹骏版哪吒是我的最爱=。=还有，当时的罗海琼也把我迷的要死……            
(NA)	 小时候看的，完全是小儿科            
(3星)	 小时候真是电视放什么电视剧都看得特来劲            
(3星)	 。。。            
(3星)	 曹俊家喻户晓的作品。            
(3星)	 小时候的电视剧了~那时候觉得罗海琼好美~现在也觉得~            
(NA)	 我真心喜欢哪吒……            
(3星)	 真真的是当年……            
(3星)	 这小孩挺作孽的...            
(5星)	 小时候巨喜欢看。。。            
(4星)	 就是因为这个……我是多么的爱哪吒啊！            
(3星)	 风火轮小子。小时候觉得他超屌的，脚不被烫死。            
(NA)	 童年呐！！            
(NA)	 一初中同学迷曹骏迷得死去活来啊汗            
(2星)	 有些不靠谱的其实            
(3星)	 ...很郁闷...            
(NA)	 小时候            
(3星)	 那个时候超喜欢这个小孩……            
(NA)	 哪吒=曹骏            
(3星)	 那个时候就有罗海琼了挖？！这名出的还真是磨洋工呢……            
(2星)	 对 曹骏 还有印象 原来好多电视剧是新加坡的勒 不过总的说不喜欢            
(3星)	 罗海琼             
(3星)	 我以前大爱的电视剧。。。我那时候在想什么            
(3星)	 小时候的记忆 经典~哈            
(4星)	 90年代的片好看的说。            
(3星)	 我靠！！！至今记得每次那个中间的时候曹军对着那个龙吼的声音！！！            
(NA)	 我还真是看过好多乱七八糟的东西，童年看这么多电视，怎么还有那么多时间看书呢            
(4星)	 我还记得是和新加坡合拍的吧            
(4星)	 蛮好看的哎，以前一家人看            
(3星)	 以前电视台不是天天都播的么。            
(3星)	 为了告诉我爸罗海琼演过这个所以查了下            
(4星)	 好看滴很            
