http://movie.douban.com/subject/4751123/	洪武三十二
(4星)	 腐女大爱，马德钟强攻，陈键锋小受啊！！永阳公主你还能再鸭公嗓一点么么么？？？TVB的女演员真是一代不如一代。            
(5星)	 燕王太霸气啦！！爱死这个大叔啦！三保也很帅！大爱苗苗！包子脸完全戳中萌点啦！公主很烦，建文帝很废材，敖笑风……很诡异            
(4星)	 【所有女的都和敖啸风有暧昧 所有男的都和马三保有基情】            
(4星)	 马德钟饰演的朱棣，举手投足间都透着慑人的气派，王者的感觉与气场拿捏得非常到位，陈键锋则饰演家喻户晓的宦官郑和，明朝那点事儿不知这回TVB要如何戏说，才能兜转回历史的原点？            
(4星)	 TVB的戏说历史总是这么精彩，争产、争江山、争美人还有细作+悬疑、刑侦，什么路数都一起上。外带水嫩键锋的三保太监，冷面无敌、中年发力的Laughing哥，转型成功、英武面瘫马德钟，真是无所不包历史大杂烩。连看不惯的徐子珊我都不讨厌了，只是受不了脸大无敌、没有脖颈的脑瘫江若琳。            
(4星)	 马德钟演的朱棣不错。            
(3星)	 从来都不会拒绝有帅哥的剧情不是太2的古装剧。            
(NA)	 苗苗澡堂的各种美好！            
(2星)	 苗苗是浮云，竟然是郑和/(ㄒoㄒ)/~~这片子。。我无力说话的，我只能TVB现在是多无聊啥也能拍30集？然后我还很无聊地追完了，我贼噶无聊            
(4星)	 算是近期TVB相当不错的古装剧了，剧中所有女的都和敖啸风有暧昧，所有男的都和马三保有基情，偏偏最终敖啸风和马三保才是剧中最惺惺相吸的一对～～～真可谓开创了TVB基情火热的新时代。最后只能说虽然炒学警3的原班人马但是女性演绎实在太失败了。            
(4星)	 平时对马德钟演的角色都无感,但这次他演的朱棣很不错,又有霸气又正气,很有王者风范,苗竟然演了个宦官,啊哟注定感情就是杯具了,徐子淇在里面很媚蛮漂亮的,还有谢天华总算不再跑经常跑龙套了            
(4星)	 算是在一直以来的无味剧中的突破~~~            
(4星)	 明朝的那些事儿~苗苗居然演郑和！朱棣啊朱棣，马德钟这次不错！            
(4星)	 好看好看  苗帅死了。。。。。。            
(3星)	 救命啊还玩什么明朝的伯恩，就看谢天华刀子都使不顺畅了。            
(4星)	 好看啊好看啊好看啊，我果然爱看TVB的古装和警匪片，小清新都你妈滚蛋吧            
(2星)	 前面把武侠扔进燕王时代，马德钟霸气、陈键锋文气、谢天华泼辣、徐子珊神秘，很纠结，后面敷衍厉害，燕王夺位不如预期，江若琳越来越残            
(3星)	 乱七八糟的什么事儿啊。陈键锋变太监还gay向啊。            
(4星)	 不错不错，马生的表演可圈可点            
