http://movie.douban.com/subject/2229587/	大唐传奇 崑崙奴
(4星)	 给4星，完全就是为了《昆仑奴》那首片头曲……            
(NA)	 最好的是歌曲            
(4星)	 97童年回忆系列啊            
(4星)	 完全不记得情节了，只是那时觉得郭淑娴很好看，黑黑的……            
(4星)	 又重新看了一遍，还是喜欢啊。            
(3星)	 完全不记得了...但我以前很喜欢郭淑贤耶            
(3星)	 白色的面纱飘落的瞬间。            
(NA)	 生也昆仑奴死也昆仑奴，顺着片头曲找到了，但引进版应该不是叫昆仑奴，也不是叫大唐传奇            
(3星)	 记忆模糊            
(3星)	 只记得男主角很帅，剧情忘了，但是主题曲还记得几句！很不错啦～～～            
(NA)	 只記得個名字。。。汗。。。。            
(5星)	 小时候雷打不动的准时守在电视机前面，还记得那句台词：男人不是好东西。            
(2星)	 新加坡狗血武侠剧剧二代目            
(3星)	 就只记得片头。            
(3星)	 op、ed 印象深刻            
(NA)	 太差了            
(NA)	 只记得序幕了            
(NA)	 最爱Ann Kok，怀念一个知己，在美国的，他也喜欢Ann Kok留了美国的地址给我，可惜我随后就丢了。            
(4星)	 童年记忆的新加坡武侠剧            
(4星)	 小学暑假时播的吧，那时超爱看。            
(3星)	 我一直记得这片子叫《昆仑奴》吧？            
(5星)	 已然记不清演的什么了...只记得年少的时光            
(5星)	 生是昆仑奴，死也昆仑奴            
(3星)	 记得那个昆仑奴很丑来者，不明白为什么有两个女的都喜欢他            
(4星)	 最经典的新加坡武侠连续剧之一。            
(5星)	 哎呀，那一身红衣啊            
(4星)	 现在还记得那时候 她带着白面纱 惊艳我的那一刻            
(3星)	 这个……看过！            
(5星)	 终于找到了,那时我好小好小......,当年贵州电视台放的应该叫&lt;昆仑奴&gt;的,主题曲很犀利的说,画面很经典的说......            
(5星)	 小学时期喜欢过周初明一阵子。            
(5星)	 从四岁开始看电视剧的伤不起啊。。。。            
(3星)	 都木太有印象了，里面的李白是高手。            
(4星)	 插曲十分喜欢            
(5星)	 红绡张颖            
(4星)	 小时候  嗯 郭淑贤叫什么来着            
(3星)	 话说我是在某个暑假一大早看的，第一个情节就是安禄山打到长安来了，从此之后我知道了一个词叫做安史之乱……            
