http://movie.douban.com/subject/2300573/	谢谢 / Thank You
(4星)	 男主角性格很有魅力。            
(NA)	 张赫帅的翻江倒海            
(4星)	 总算不再是那些无病呻吟的演剧模式，拿单亲妈妈和艾滋儿童说事算是有了新课题。            
(4星)	 看过的少量韩剧里最好看的之一。            
(5星)	 六星，不愧为我心中最佳韩剧，没有之一，看到最后真是老泪纵横...            
(5星)	 最近最大最美的收获，谢谢！            
(4星)	 温情 不滥情 像一条缓缓流淌的小溪...            
(5星)	 真的真的很好            
(NA)	 很久没看到这么好看的韩剧了...            
(5星)	 又不浪费时间又有意义的韩剧 不错            
(NA)	 不同于其它看过的韩剧,女主角不漂亮,却很真实            
(5星)	 只是和别人有些不一样，就像有些人矮一点有些人胖一点一样。            
(NA)	 豆饼妹 我永远在这小村子里保护你            
(5星)	 豆瓣上有这么高评价的韩剧极少见            
(NA)	 到此为之结束近期为论文研究而展开的韩剧旅程 唯一看不下去的地方就是张赫时而油腻的头发             
(5星)	 真好真好真好看！！！            
(4星)	 泄泻            
(5星)	 太悲了！            
(5星)	 很感人            
(5星)	 感人，动人！我喜欢！            
(4星)	 后制。            
(4星)	 生活就是这样。有苦有甜。            
(4星)	 深深迷恋的男人演的~~~            
(4星)	 不知道为什么觉得张赫还挺帅的、            
(4星)	 一部催泪弹！            
(5星)	 很感动            
(4星)	 张赫粉MAN捏~            
(5星)	 每次想哭的时候都会被打住，哎，真神奇            
(5星)	 我喜欢我喜欢.大人娃儿都喜欢            
(4星)	 果真是看第二遍了。很喜欢张赫演的，片中的种种虽然看起来有点不合理，但是依旧能感受到，会有真心对你的人存在，会有真心付出的人，无论别人是否对她恶语相向，但是只要坚持下去，就能换回一点点温暖。亲爱的，坚持下去。            
(5星)	 单亲家庭            
(3星)	 女主角太像万绮雯了！            
(4星)	 孔姐姐大愛的大愛            
(4星)	 我迷恋肌肉男很久了。            
(NA)	 叫春天的那个小女孩            
(4星)	 天使            
(5星)	 小女孩真是可爱            
(4星)	 那个小女孩子很可爱            
(NA)	 死活没看完看不下去            
(4星)	 看的时候很感动~            
(3星)	 完全没有耐心。。。            
(5星)	 赫~            
(5星)	 TAT            
(5星)	 不一样的韩剧            
(NA)	 好！            
(4星)	 最后两集太拖，否则就给5星了            
(NA)	 睇到我心痛            
(4星)	 很感人，亲人的力量，孩子表现总是让你泪流的开关            
(5星)	 母爱 坚强 奇迹            
(5星)	 爱死你了 哭了 因为伤心 更因为感动            
(4星)	 从来都不看韩剧的人也被感动了            
(3星)	 喜欢张赫            
(4星)	 我居然看了            
(4星)	 小孩子超可爱^            
(5星)	 大清早爬起来吃早饭看电视打发时间，然后不小心泪流满面了……            
(5星)	 眼泪不停往下流            
(NA)	 “坏”得让人心疼            
(5星)	 天使在人间            
(3星)	 孩子就是孩子 为什么他总是那么纯            
(5星)	 sooooooooooo touching！！！            
(4星)	 还不错啦~            
(3星)	 断断续续的算看完了，以悲伤的回忆做基调，然后坚强的站起来。            
(5星)	 谢谢            
(5星)	 我看过最感人的一部片 关于亲情 关于笑着面对生活            
(NA)	 催人泪下            
(3星)	 有些拖沓，有些苦涩            
(NA)	 非常感人的片~我还吃了几天巧克力派~~            
(5星)	 很棒的片子~~            
(5星)	 个人认为是我这半年看过的电视剧中最让我感动的一部，不知道跟它流了多少眼泪，我想我也愿意去相信：这个世界是美好的。            
(3星)	 还好啦，小女孩的表现很不错            
(5星)	 极力推荐。。            
(5星)	 a perfect man            
(4星)	 张赫比明朗少女时代帅多了啊~比较不那么常见的题材,中间有几集觉得非常好看~            
(4星)	 其实是五分的剧，剩下一星装载了我对于编剧阿姨满满的怨恨：凭什么你可以让那些老太婆唠唠叨叨大半天而只让我看到有史以来男女主人公互动最少的韩剧呀？不过少即是多，留下无尽回味的可能啊……糟了，我沦陷了。            
(5星)	 高二暑假很清凉的一部~张赫很帅的~            
(5星)	 看第二遍了，唯一让我愿意一遍遍看的韩剧。每个演员都非常投入，帅帅的张赫就更不必说了。每次看的时候编剧都能赚够眼泪，感人、温暖的催泪短剧啊！！            
(3星)	 看了不多，对孔孝真的大妈脸完全无感。。。            
(5星)	 孔孝真在这部戏里面真好看 这个女的静静的看着你 不说话不流泪 你的心却早已经向着她了            
(5星)	 555555            
(5星)	 有爱的一家            
(5星)	 我喜欢小春妈妈，哭着笑着的样子都是那么从容不迫的样子，和莫瑞感觉很像~韩剧嘛，催泪就行了            
