http://movie.douban.com/subject/3042142/	半生缘
(5星)	 蒋勤勤真的演的相当的好啊            
(5星)	 如果主演不是林心如该有多好 这样的曼桢实在无法勾引我去怜惜她。。。            
(5星)	 将原著唯美化了，尤其是演员找得很好。            
(4星)	 那时还没有看过十八春，不能接受很多东西。            
(3星)	 眉毛那么短，天涯却那么长。            
(2星)	 两个讨厌的主演            
(5星)	 林心如扮演的角色命运好凄惨！特别是该角色对沈世钧说“我们再也回不去了”，这个台词至今都让我觉得心碎啊。电视剧片头曲《擦身而过》我也很喜欢。            
(3星)	 林心如总是给人扮猪吃老虎感觉            
(5星)	 很辛酸的片尾曲。            
(3星)	 我的水灵啊。。。。。。。            
(2星)	 这种片子，必须快进啊！            
(NA)	 回不去了。            
(NA)	 看过，一些吧。            
(NA)	 过度善良 不是善良 是软弱 只会伤害更多更爱你的人,            
(4星)	 冲着蒋勤勤去的~            
(3星)	 对这里的蒋勤勤害怕到不行！            
(4星)	 太虐了            
(4星)	 各种惨~            
(4星)	 还不错。            
(NA)	 初三的时候好喜欢看，还哭了……囧            
(5星)	 太惨了..            
(3星)	 经典的一句 士钧 回不去了            
(NA)	 高中时候，当时觉得好残忍- -            
(3星)	 挺惨的            
(4星)	 很久以前看的，很喜欢那首《擦身而过》。            
(3星)	 改编得很琼瑶            
(NA)	 补遗             
(NA)	 和647BABY还有老段一起窝宿舍床上看的。哈哈。            
(3星)	 奴家看过男猪演惯了SB牛虻小混混，所以看到他演个ZB狂世钧就很不自在。林心如也一向不待见。总喜欢瞪着一双眼睛装无辜。跌摸剧中的旗袍倒为她加了不少分。祝鸿才的演员在任何戏剧里面都只喜欢扯一副慢悠悠的弱智阿兹海默腔调装傻充楞。无论哪个版本的半生缘，奴家都很期待祝鸿才QJ软禁曼桢的戏份。。。。            
(3星)	 不喜欢这种故事，谁演都一样。            
(2星)	 苦情戏            
(3星)	 四君，偶们肥不去了！啊哈哈哈哈~~            
(3星)	 。。。书比较好 讨厌沈世钧            
(3星)	 我要你知道，在这个世界上，总有一个人是会永远等着你的。无论什么时候，无论在什么地方，总会有这么一个人.            
(3星)	 言情味较重，削弱了原著里的现实感。叔惠很帅，翠芝狠漂亮！            
(4星)	 小时候还是很喜欢林心如...            
(3星)	 就这样擦肩而过，如果是最好的结果……            
(4星)	 林心如挺好的~            
(5星)	 最后一集最好看哈            
(NA)	 看的那会是心情沉到没法再沉的时候 看得我直发颤 后来我看了书 一直都记得一句 他们的星期日 没有天明            
(2星)	 实在是没有原著的好，看到林心如演的那叫一恶心！            
(4星)	 就這樣擦肩而過~~~~~~~我明白了！            
(4星)	 最后的最后，他们还是回不去了。            
(NA)	 蒋勤勤转型之作。。很赞=。=            
(4星)	 小时候播的时候看的，林心如很美。            
(5星)	 在我眼里，其他电视剧都是浮云。这版演员太到位了。            
(4星)	 蒋勤勤演技很好            
(4星)	 多给一星给蒋勤勤。            
(3星)	 因为呢部我去稳书睇，因为觉得演员拍不出故事既神韵            
(2星)	 不好看            
(3星)	 惨            
(4星)	 林心如蛮好的            
(5星)	 擦肩而过            
(NA)	 不好看            
(NA)	 听说编剧是琼瑶。。怪不得那么囧呢。。顾曼桢顾曼璐都很好看。            
(NA)	 水灵演的好啊。。            
(3星)	 囧剧情            
(NA)	 太纠结的剧情了，张爱玲怎么就写得出呢？            
(3星)	 很喜欢叔惠            
(3星)	 我爸爸说。。。。。怎么是男的就想那什么曼桢啊。。。。。。。            
(NA)	 我们再也回不去了。            
(3星)	 林心如永远是杯具得不招人DJ            
(4星)	 总记得曼桢推开阁楼窗户的那个景象。窗外葱郁的绿色和上海特有的潮湿感觉。那种氛围很贴合原著的感觉。            
(2星)	 张爱玲什么时候变成琼瑶了            
(4星)	 人和人的相遇只有一段，我会错过我的，你也会错过你的！            
(2星)	 印象比较深刻的也只有谭先生的香肠嘴咯。            
(4星)	 蒋勤勤            
(3星)	 不喜女主。            
(3星)	 曼璐和祝洪财真是演的到位 石翠芝也不错的            
(4星)	 蒋勤勤哪蒋勤勤！            
(3星)	 就这样擦身而过。。。可惜男主角太丑了！            
(NA)	 琼瑶风不灭。。。可这是张爱玲的作品啊。。            
(5星)	 张爱，大爱！            
(3星)	 对林心如的记忆停留在此了。            
(4星)	 我们的缘分只有半生            
(3星)	 喜欢这个名字            
(NA)	 我们回不去了回不去了  你不明白吗            
(4星)	 勤勤很出彩。            
(3星)	 要是不是林心如就好了            
(3星)	 纠心。            
(3星)	 蒋勤勤演得不错            
(4星)	 勤勤厉害            
(5星)	 张爱玲果然是才女...            
(3星)	 我太讨厌林心如了！            
(4星)	 感觉不差            
(4星)	 还不错            
(NA)	 看了电视才知道故事的全貌，书是看不进去的，对张爱玲的长篇，始终扎不进去，说实话，我有想过两个女角可不可以换一下角色的。谭耀文满给我惊喜的，没想到文戏可以演的这么从容，以前都是演黑社会的说。            
(3星)	 片尾曲好听            
(3星)	 冲着张爱玲去看的，结果被林心如吓到屁滚尿流~            
(3星)	 只有蒋勤勤演技很棒。            
(3星)	 半生缘。张爱玲的名篇。            
(3星)	 我看就蒋勤勤在里面演得不错。            
(NA)	 感动叹息与他们的爱情            
(4星)	 恨！            
(NA)	 我很喜欢吴倩莲版的曼桢。            
(NA)	 我喜欢林心如的曼桢 还有那个淑惠            
(4星)	 我们回不去了。            
(NA)	 电影甩它十条大街，不解释。            
(4星)	 张的长篇，这剧改编的8错~~~蒋勤勤演的尤其赞！！绝对实力派，什么角色都难不倒她！！哈哈哈……我也曾痴迷过谭耀文的一双酒窝啊。。            
(NA)	 初三左右的时候吧，看过一些。            
(NA)	 那时我还在高中            
(5星)	 高中时候看得眼泪一把鼻涕一把            
(3星)	 3星是给蒋勤勤的！            
(4星)	 初中看的，看哭了当时。再也回不去了~            
(3星)	 蒋勤勤演的还算不错，受不了林心如当时的演技，直接把张爱玲搞成了琼瑶！            
(4星)	 就这样擦肩而过            
(3星)	 对鸿才和曼璐的印象还蛮深刻的，世钧和曼桢就毫无代入感了。             
(2星)	 比起动人的原著，电视剧令人失望了            
(3星)	 这个将勤勤就是我心目中的顾曼璐。            
(4星)	 后面真是不忍看下去。            
(3星)	 林心如演得不错。不过我更喜欢蒋勤勤            
(3星)	 初三还是高一时看的，感觉林心如太娇嗔，谭耀文太木讷，最无敌的蒋勤勤，着实把那种又可恨又可怜的感觉演出来了            
(4星)	 不喜欢曼桢。所谓可怜之人必有可恨之处            
(5星)	 蒋勤勤的演技赞 演啥像啥            
(4星)	 歌还行            
(4星)	 这四星我是给蒋勤勤的            
(4星)	 喜欢蒋勤勤演绎下的曼露            
(2星)	 林心如真的不适合演小家碧玉。蒋勤勤又太用力。两星给美色。            
(3星)	 外婆最喜欢的片之一。。            
(NA)	 蒋勤勤的演技证明书            
(3星)	 林心如是毁了曼桢的             
