http://movie.douban.com/subject/2255963/	新书剑恩仇录
(3星)	 揍记得结局处香香公主露了个肥硕的屁股            
(NA)	 香香吃花...            
(4星)	 看这个豆列太虐了，立马回到童年啊            
(5星)	 上初中时候看的。我就是对金笛秀才余渔同印象特别深刻！            
(5星)	 红花遇清风，聚散更离别，回首伤情处，正是情太切这是我心目中的经典，这是玉树临风的陈家洛            
(4星)	 书剑我认这版 懦弱的陈家洛黄海冰来演刚刚好            
(NA)	 主题曲超经典            
(1星)	 去死！            
(NA)	 黄海冰帅到掉渣            
(3星)	 好像是徐克的lp拍的？            
(4星)	 饿。。。。这搞笑片||  后遗症是之后只要看到黄海冰不穿古装就觉得特 别扭。。。。哈尔滨啤酒||            
(5星)	 这个版本的书剑拍得不错，选角合理，情节改编也没太大问题            
(3星)	 还可以            
(4星)	 这版的余鱼同气质很像小说里所描写的……            
(5星)	 黄海冰！！！！！！            
(4星)	 貌似这是大陆第一部改编的金庸剧，除了武打动作甚不流畅，取景，选角等都有可取之处。            
(3星)	 霍青桐极品，香香公主砢碜。黄海冰是很帅，可是陈家洛，现在反观，真TM想给他一巴掌。            
(5星)	 回首伤情处 正是情太怯            
(3星)	 好老了啊，黄还比较符合陈家洛那形象            
(3星)	 那时特别喜欢曹颖，特别烦黄海冰，现在正好相反            
(4星)	 5岁，哇咔咔。            
(4星)	 儿时的记忆~            
(4星)	 小学四年级还是五年级的时候看的，太喜欢那时候的陈家洛和霍青桐了……黄海冰那时候好帅啊！            
(5星)	 不得不说，这部才是《书剑》经典，里面很多演员后来都大红大紫            
(NA)	 小时候 红颜红花            
(4星)	 儿时的回忆哟~~黄海冰年轻时好帅！            
(5星)	 反正我就记得陈家洛很帅，霍青桐很大气，当时也不讨厌香香            
(5星)	 当年就很喜欢这里的陈家洛，书生义气，武林豪侠，黄海冰在这里的形象，不愧书剑二字。            
(4星)	 片尾曲好好听的            
(4星)	 对陈家洛印象深刻，还有香香公主            
(4星)	 我始终觉得是看过的最好的金庸剧，没有之一，童年那点记忆贯穿至今，时时想起。也许只是为了霍青桐，我最喜欢、最心疼的霍青桐，王菁华的霍青桐。以为现在对这种情感已经淡了，但只要勾起印象，还是怅然。真奇怪得说。            
(NA)	 最美的霍青桐            
(NA)	 最爱霍青桐，这版的香香很赞。            
(NA)	 以现在来看，不免有些粗糙了。黄海冰英气逼人，以后的赵文卓太硬，乔振宇太软，都比不上这版陈家洛符合原著的气质。            
(4星)	 朴素的版本            
(5星)	 小时候看的，最经典的版本了 .  后来的没能超越这版了， 霍青桐好漂亮，也是第一场看黄海冰的戏，那时候很青葱啊。   片头曲《红花红颜》也好听的要命~~~~~            
(4星)	 这版很靠谱，要是当时宣传好的话，黄海冰应该和黄晓明一样红            
(4星)	 只记得男主角很帅...红花会的二哥文泰来一直救不出来，我都着急....            
(NA)	 喜欢剧情，喜欢演员，喜欢主题曲            
(4星)	 大陆一部拍的不错的武侠剧            
(NA)	 好想从头到尾再看一次            
