http://movie.douban.com/subject/2363972/	笑着活下去
(4星)	 杨文榜越看越喜欢=.=，依照常理我应该不会喜欢这片子才对的，太诡异了。            
(3星)	 喜欢黄海波这演员，感觉有那么点味！            
(2星)	 太鸡巴戏剧了！整个一中国版莎士比亚悲剧集，还他妈山寨类型的。太悲催了。如果没有黄海波我估计这剧更有失观众了。            
(NA)	 以折磨女主角获得快感迎合观众口味的苦情剧            
(3星)	 还行            
(4星)	 我就爱苦情剧            
(5星)	 挺好看啊~~~            
(3星)	 就把人虐死吧            
(4星)	 励志。。            
(4星)	 最近看的，没全部看完．．．关于拧巴的亲情．．和小强女主角．．            
(4星)	 因为喜欢里面那个男主角。            
(3星)	 我没看哭 但还是很打动人心的            
(NA)	 又一苦情劇            
(4星)	 女主角很好看，也很顽强。            
(4星)	 苦了几那么多年 最终还是幸福的结局            
(3星)	 为了晏阳和文榜才看下去的~~            
(NA)	 赚了我不少眼泪！            
(4星)	 晏阳的笑真的很好看            
(2星)	 起初不吸引我。慢慢喜欢上的。            
(NA)	 有杨秘秘！            
(3星)	 以折磨女主角获得快感迎合观众口味的苦情剧。姚芊羽演来演去总是这个戏路，杨幂的脸时方时尖。            
(4星)	 看的这个憋气啊！！！那是亲妈么！！亲继母都不如啊混蛋玩意儿！！！！            
(3星)	 我怎么不记得有杨幂            
(3星)	 黄海波演戏挺像那么回事的~~            
(4星)	 喜欢黄海波，这片想想都酸。            
(NA)	 好看            
(3星)	 女孩就一苦字。            
(NA)	 占了512的便宜。            
(2星)	 节奏慢的让人看不下去            
(4星)	 全中国最离谱的亲妈、最蠢的女儿、最善良的养母、最尽职的医生、最大方的老板。            
(4星)	 其实是我妈爱看。。。            
(4星)	 人物关系很纠结 晏阳的命运很曲折 但姚演出了这个人物需要体现出的精神~ 很乐观很向上很善良 我要是男人也喜欢她            
(3星)	 母亲说，很好看，感人。            
(NA)	 假            
(2星)	 矫情            
(3星)	 有点做作            
(NA)	 女孩就一苦字。            
(NA)	 属于边说边编的那种 不衔接             
(5星)	 只因她的笑容让我感动罢了。            
(4星)	 ...            
(3星)	 很喜欢这电视剧的名字，笑着活下去——真好！            
(NA)	 希望自己也能如晏阳一般乐观坚强            
(3星)	 情节一般,也没感觉怎么励志,不过姚芊羽很好看~            
(4星)	 妈妈爱看~跟着她看了2遍~还不错的~            
(NA)	 姚芊羽这张脸看着就苦情            
(3星)	 从此喜欢上姚芊羽。            
(NA)	 电视天天放，女猪脚挺得人疼的。            
(3星)	 高中时在奶奶家看            
(4星)	 那时候的杨幂好好看            
(5星)	 一把鼻涕一把淚~我就是愛善良到不能再善良堅強到不能再堅強的女主角~            
(4星)	 竟然有杨幂  乖乖类  当时杨幂不咋出名。。。。。            
(3星)	 励志片啊。。            
(NA)	 恩，竟然忘标了，我可是安徽卫视忠实观众。            
(3星)	 歐 輪番轟炸            
(3星)	 原来这里还有杨幂            
(2星)	 没看下去 主角也太苦逼太乐观了吧 怎么能让步让到那种地步            
(5星)	 其实有些国产电视剧还是蛮励志的。            
(3星)	 无意打开看看。唉，苦情戏啊… 心情都沉重了… 也就看看，无动声色。活着最好，即使贫穷。            
(3星)	 如果看电视剧太挑剔情节合理性的话那干脆还是死了算了。            
(4星)	 每次看都想起大欢子。那种乐观和安定，真是与生俱来的。            
(4星)	None
(5星)	 不错~            
(4星)	 还不错。            
(3星)	 感动是挺感动的。但是受不了像韩剧一样的拖沓。            
(NA)	 高中时代的记忆            
(4星)	 哈哈 没想到这么低  完全是冲着杨德邦 喜欢上黄海破去的            
(NA)	 女主超强生命力，喜欢她长相……看完这个认识的黄海波，他刚出来时我还在想这人是不是群众演员……            
(NA)	 她看上去跟外国人一样洋气，造型惊艳，高贵至极。如果她没有20年前的那些错误，她不管哪方面看，都是个男人很想要的太太。            
(4星)	 真悲惨            
(5星)	 好看！            
(NA)	 玛德，要不要这么感人泪下啊            
(3星)	 电视剧么。蛋疼但是还要看下去的            
(3星)	 女主真的是个苦情脸...不过挺漂亮的            
(3星)	 当杨幂还是杨小幂的时候，挺心疼那楚楚可怜的小丫头~~我说，怂妞你咋老演病人啊 =V=            
(5星)	 通过这部剧认识了姚芊羽，还OK啊，淳朴型的代表            
(1星)	 - = -            
(4星)	 在里面找到坚强的勇气。            
(5星)	 有时候会觉得编剧有点过于追求极致的戏剧化效果,但是具体描绘和最后表演的效果又确实令人感动. 白玉微瑕,仍然是佳作.或许有人觉得女主角好得不真实,但仔细想想,只要你相信善良和亲情,晏阳所有的宽容行为都显得合情合理.            
(4星)	 我看过的幂姐的第一部戏，那时候只觉得程晓诺好美好美、            
(5星)	 实力派演员云集，这可不是吹的！杨文榜纯爷们儿，晏阳应该是中国妻子的理想典范了！            
(3星)	 哈哈海波~！            
(4星)	 只为一个杨文榜。            
(3星)	 就冲着黄海波看的            
(2星)	 女一号就是苦情女王            
(3星)	 圣母剧            
(NA)	 感动             
(NA)	 艰难险阻激发的是不挠与对人生挑战的动力，我总是很爱励志片。推荐。            
(3星)	 男主是一个好男人            
(4星)	 苦得能哭死你 黄海波太闪了            
(1星)	 苦情剧麻麻看了一个月            
(3星)	 很久很久以前看的....现在再看杨幂，发现她一定确定肯定是动过刀子了，差别真不是一般的大            
(4星)	 太辛苦啊。。。BTW,节奏有点慢            
(NA)	 陪老妈看完的。。。            
(5星)	 让我嫁这样的男人我也愿意，虽然其貌不扬，却真情永在！            
(5星)	 很好看啊！！            
(3星)	 女主角的妈就没过过一天好日子            
(NA)	 居然会看到哭            
(4星)	 蛮好看的 喜欢阳阳姚芊羽~            
(4星)	 以前看过的。            
(4星)	 还不错，女主的嘴角弯弯的感觉总笑眯眯的            
(NA)	 学会坚强，勇敢，宽容，还有微笑。笑着活下去。            
(4星)	 表示当时很喜欢大爱晏阳            
(4星)	 姚芊羽演技略显笨拙，不够圆润，黄海波演的真的可圈可点，故事框架不落俗套，很有波澜            
(3星)	 除了黄海波演技很赞，其他都不吸引我            
