http://movie.douban.com/subject/5258679/	千金女佣 สาวใช้ไฮเทค
(2星)	 怎么说呢...每次看泰国的偶像电视剧就比电影的质感差很多.更多雷,更多搞,更多女二号的狰狞面目...超吓人的.呃...女一号真的不够美...女二号们果然是浓妆狰狞.外加一个犀利表情的娘或者奶奶.唉...            
(4星)	 7台对om的定位真不错，面冷心热的冰山形象好苏啊。。。女主长得好像宣萱            
(3星)	 如此狗血的剧情我居然还看得蛮投入，泰剧效仿韩剧挺成功的，花了几集的时间才分清几位女配，结尾试图弄得很浪漫感人结果太拖拉成了鸡肋，男主角的妹妹很漂亮，很像莉娜            
(3星)	 女主不错……男猪弄的和荒岛求生样的……            
(3星)	 我看了分集介绍和最后一集。这个男的肿么像颜行书。。尼玛            
(4星)	 挺好看的，男女主很配~            
(3星)	 剧情也就这样了，好在男主帅女主靓，弥补了很多~Rin的确挺像宣萱的，气质发型长相......            
(4星)	 男主很帅            
(3星)	 感谢如此拖沓的电视剧，让我多看了我们家OM无数眼~眼冒爱星~~~            
(3星)	 挺raff的，慢镜头太多……            
(NA)	 第一集第几分钟，男主角跪地的形象瞬间让我果断弃剧。            
(4星)	 这是我的第一部泰剧。。。理由只是因为有人截图说JUI很像JESSICA HSUAN。。。刚开始真的超级不习惯。。。后面慢慢就觉得OK啦。。。这部剧又开启了我其他部泰剧的生涯~~~~            
(NA)	 这个姐姐好漂亮            
(NA)	 我又怂了 狗血~            
(5星)	 很有爱的剧情，两位主角演的很到位，配角也很招人喜欢            
(3星)	 女主长得好像福田沙纪            
(4星)	 回头想想，也不知自己怎么一度拼命的看泰剧的。也许是装扮和背景类似80年代港剧吧。这部戏挺简单，我喜欢女主百折不挠的个性，挺励志的。            
(4星)	 蛮搞笑的            
(3星)	 有点罗嗦            
(4星)	 好喜欢OM            
(3星)	 太雷了。。。找到了上个实际家有仙妻的感            
(3星)	 额 在张小xia的鼓动下看了这部泰剧 怎么说呢 狗血 但是狗血的特别  就是特别的狗血  第一集看了刚一半就果断最后一集了 额 女猪酷似宣萱  男主酷似那个和张韶涵演mvp情人的那个那一号             
(3星)	 我居然给从头到尾看完了! 真佩服我自己....            
(3星)	 没什么特别的。。剧情拖的厉害            
(5星)	 非常非常非常好看的~~OM大帅~~~男主的妹妹和男配也超亮眼的~~连女坏的都超级漂亮~~情节笑死人了~~很轻松的剧~~怪不得那么长~~~            
(2星)	 可惜了演员们，要拍这么垃圾的剧情，是在测试观众的智商么，不是为了看演员，真是没法坚持下去            
(2星)	 真烂！  看得我怎么感觉有点憋屈。。。            
(3星)	 = =  忽略剧情吧，我竟然能坚持看完。。。            
(3星)	 哈哈哈 每天跟着室友看一集 还挺有爱的            
(4星)	 OM好帅啊好帅啊~            
(3星)	 非常搞笑啊！泰国的言情剧多暴力，多雷点。            
(NA)	 喜欢这个类型的女主            
(4星)	 很搞笑的一部剧            
(3星)	 因为2个男的都很帅。。其他的不值得一提。尤其是狗屎般的剧情、            
(3星)	 还是觉得女主角好像萱萱，总的来说里面的主要配角也都挺养眼的，除了反角那几个真不咋样，最后一集不怎么感人啦，那个PPT求婚值得借鉴！实在有点长。。。            
(3星)	 男主丑的看不下去了&gt;&lt;            
(NA)	 看的时候才更新到第二集- -！            
(3星)	 第一部泰剧             
(3星)	 男主不怎么好看            
(5星)	 女主角太像宣宣了^_^            
(3星)	 om一开始扑地的形象还是有点雷到我的～～后面比较好～～            
(5星)	 轻松搞笑又深刻的爱情喜剧            
(3星)	 冲着Om看的~有的桥段还蛮搞笑~            
(NA)	 Aum&amp;OM这是我心中的一道伤啊~~~~            
(3星)	 看了霹雳儿媳后，这种欢乐型泰剧就都无法入我法眼了~             
(3星)	 虽然比较搞笑，但是剧情实在不可小小推敲            
(NA)	 要是想要单纯的花痴和笑笑就去看看吧，还行，男主角很帅，女主角很像宣宣，但剧情很凑合。            
(4星)	 拖得太长了~~~~8过还是很喜欢~~~~            
(2星)	 除了男女猪脚。。。其他人完全分不清楚。。。泰国还是看电影的好。。。            
(NA)	 男猪脚的前女友身上可以看出 一个女的为了爱情可以变得盲目变得蠢            
(3星)	 EP12弃。女主真TVB啊...OM你的演技怎么这么.....虎纹的时候不觉得啊不觉得！            
(3星)	 在看过的泰剧里面，这部还算比较靠谱的……            
(3星)	 总觉得女主的表演夸张白痴过头了，弃之            
(3星)	 看完了，还是没有把男主看顺眼...总体上来说剧情还是比较甜蜜的，就是怎么能把男主编得这么蠢呢，被骗一次一次又一次，女主有的时候还蛮好看的，但是表情太单一了...两个人的演技都有点欠缺啊            
(3星)	 看片头还以为命中...无奈。不过还好，只是一开始听不惯泰语，它锻炼了我听泰语            
(3星)	 只看了头和尾，也就这样了。            
(3星)	 无奈字幕组把我的耐心一点点剥光，最终看不下去了。            
(5星)	 这剧算是我完完整整看的第一部泰剧吧。JUI就是我心中的女神啊~OM现在是红得发紫啊！！不错不错~AMY姑娘好米粒~男二完全无敌啦！！这剧太美好了~字幕组赶快出完，我好再看一遍去。            
(2星)	 弃……            
(NA)	 跟着同寝看了几集，第一次见识到泰式狗血剧，剧情就是普通的少女漫画级别吧~~            
(4星)	 只能说Om正当红，挺好笑的，看两人互动真有意思，P&#39;Om你能再僵硬一点么？            
(4星)	 没有其他泰剧那么狗血小言,但是轻松幽默,OM蛮帅的            
(3星)	 男主耐看啊。。女的很阳光。。总体还蛮搞笑。            
(4星)	 泰国女人很漂亮也很会打架            
