http://movie.douban.com/subject/1786739/	还珠格格
(5星)	 其实真的挺好看，那时候全国都在看。            
(4星)	 头盖一掀，露出赵薇那双著名的生气勃勃的眼睛。这个镜头让我很震撼。            
(5星)	 经典啊！当年疯抢着看啊，当《当》的音乐想起，就开心，因为是片头曲；一听到《雨蝶》就难过，因为是片尾曲，呜呜~~            
(4星)	 现在想来不咋的，当年谁不是看得眼冒金星？            
(4星)	 收视率的传奇。强大到带动老很多产业。一整文具盒的贴花。            
(4星)	 皇上，您还记得当年大明湖畔的夏雨荷嘛嘛嘛嘛....            
(5星)	 经典中的经典            
(4星)	 这是收视神话了，实在太红了            
(5星)	 赵薇赵薇我爱你！            
(5星)	 深切缅怀那段热闹的日子            
(5星)	 10年之前 他们影响了不止一代人             
(5星)	 让我们青春作伴 活的潇潇洒洒            
(5星)	 我是这么长大的            
(4星)	 年轻的赵薇明艳照人！贼溜溜的大眼睛            
(5星)	 缺了这一出，中国人的热闹劲儿还有谁可以代表？            
(5星)	 重看之……小燕子和五阿哥太萌了……            
(5星)	 赵薇是我第一个偶像。            
(5星)	 我主演哒~            
(4星)	 啊~啊啊~啊啊啊啊啊啊~~            
(4星)	 好歹我也笑的．．可是．为什么会出现在豆瓣推荐．．．．．．．．．            
(5星)	 无数次鄙视看还珠看了一遍又一遍的小朋友，可是芒果台放的时候还是会看到不能自拔，全家亦如此            
(5星)	 台词早背过了每年重播的时候换到了还是可以看一会            
(5星)	 很多人是因为还珠格格才开始知道小虎队的。今年春晚重见小虎队，勾起还珠格格的记忆。好青葱的年月啊！回头重看，才发现这剧最赞的是化妆和服装。            
(4星)	 我前一阵又回味了……            
(4星)	 哈哈 真的超级经典 简直是时代的印记！            
(4星)	 看那青春飞扬的笑脸 十年就倏忽而过            
(4星)	 一部电视让赵薇一夜之间成了真正意义上的大陆偶像，亚洲巨星。可惜我们不懂保护资源。这部电视剧成了童年记忆里的一部分。还有薇姐那惊艳的脸庞。            
(5星)	 且不说后来，那会真的迷疯了            
(5星)	 当年来势汹汹如龙卷风，插曲主题曲到现在都会唱 当时大家都希望苏有朋真的跟赵薇在一起 哈哈多么纯哪            
(4星)	 哈哈，听说我一个人看这个的时候，总是笑得很夸张。恩。。。想像那时坐在爸妈的凉爽的床上，空调。哎，空调。。            
(5星)	 当初看得内牛满面来的            
(4星)	 重看一遍仍然趣味横生、            
(5星)	 这当然是一部经典~万人空巷啊，八零后的回忆            
(4星)	 当年都快疯了。            
(5星)	 第一部很不错，回想自己一段年少的岁月，与全国上下风靡的时刻            
(5星)	 难以找回的赵薇...            
(5星)	 呵呵，赵薇伴着我们成长            
(5星)	 98年看的，那时小学5年级，去学校每天都会和同学讨论剧情，那是九十年代末80后最重要的事情            
(4星)	 小燕子&amp;五阿哥            
(5星)	 好吧……其实我对还珠格格1、2还是很有爱的~            
(5星)	 就是这么爱上赵薇的！是我看过最多遍的连续剧！呵呵，有段时间疯狂地看完了一遍又一遍，真是夸张哎！            
(5星)	 不管别人给这个剧怎样的评价，它毕竟是有时代意义的            
(4星)	 高一寒假.最近重看,虽然五阿哥和小燕子表演得很表面,却觉得很真实很深情            
(4星)	 我还真为这片哭的死去活来 虽然但是还觉得不如第一部好看            
(4星)	 小学的最爱啊，热门啊            
(4星)	 第一个偶像——赵薇            
(5星)	 有时，它不是自己，是回忆。            
(4星)	 外公外婆的最爱..疯了            
(5星)	 永远的美好回忆，这么多年，还是喜欢赵薇            
(5星)	 一家人都喜欢~            
(4星)	 今天突然哼起那首山水迢迢- -            
(5星)	 高三时的精神支柱ww            
(5星)	 那时候暑假晚上总跑书店整夜整夜蹭闲书看。也在卖电视机的柜台前看完过还珠格格。            
(4星)	 估计也不会有更成功的华语电视剧了。第一部是真的很好看            
(4星)	 其实那时候，大家都很单纯            
(4星)	 我姐霸占电视，我也跟着看            
(5星)	 容嬷嬷教小燕子学礼仪 小燕子气的窜到树上说再也不下去了……直到现在 我想起她瞪着大眼睛傻乎乎的样子还有那些打油诗仍会笑的想哭。。桀骜不驯的冒失鬼 她还总爱说“哼！” 哈哈 话说这四个人也是追逐自由的梦想家呢 直到现在 我还是很想加入他们呢…让我们轰轰烈烈活的潇潇洒洒 策马奔腾……            
(5星)	 五阿哥啊~~~续集都是垃圾= =            
(4星)	 到现在重放我还是会看呢。            
(5星)	 大爱！            
(5星)	 成就了赵薇一夜走红。            
(4星)	 第一部还是不错的，后面的没看过。提起它，我只是感叹，原来，已经十年了。            
(4星)	 已经十周年了啊。。。十年。。。。（在冷组看到囧）            
(4星)	 9岁左右看得吧？记得当时小燕子是多么的红火啊。            
(4星)	 我觉得好看。            
(5星)	 豆瓣猜得很准，我确实很喜欢。。。            
(5星)	 哈喜欢呀~~~ 最爱看的就是小燕子帮五阿哥吵架，哈哈，然后五阿哥去哄她~~~ 吼吼，很爽的感觉~~            
(4星)	 当时特别喜欢，就是现在也会经常回顾一下！            
(5星)	 经典!            
(4星)	 看了一集新版的才知道赵薇演的多么好了，恩往昔的紫薇变成了夏雨荷。林心如，赵薇喊你回家看周杰呢            
(5星)	 经典。            
(NA)	 作为外婆极度喜爱的清宫戏 在即使是极度忙碌于各种各样事情的1998年，也还是陪着外婆一道看了这部什么无数遍——外婆是琼瑶迷，除了这个之外还特别喜欢情深深雨蒙蒙和六个梦之类，如今的问题是外婆每年都在反复看重播，因此回国之后大概也会再跟着看上两集然后其实一直在神游什么的嗯            
(5星)	 这个绝对就是年少的回忆啊！！！力荐一定要的。            
(5星)	 必须记得曾经带给我的快乐            
(5星)	 满分也是必须的            
(5星)	 当时的确是奇葩            
