http://movie.douban.com/subject/3105273/	樱野3加1
(2星)	 ⋯⋯⋯这⋯⋯⋯⋯原来演员是可以这么糟蹋的            
(2星)	 幸好有明道、            
(NA)	 如果只到前八集就结束也好啊~~后面真是看不太下去了。            
(3星)	 剧情没意思            
(3星)	 少掉后面那些加进来的乱七八糟无谓的会更好。            
(3星)	 感觉像闹剧            
(1星)	 中途好像換了導演，就變得無比難看了……            
(2星)	 只有乔恩能看！            
(3星)	 果然明道多看会腻 还是更喜欢范植伟 痴情男永远最讨好~            
(4星)	 好不容易添加的动作场面到后来就越发的少起来            
(2星)	 纯他妈扯淡            
(NA)	 明道稍微不土了。。            
(1星)	 你敢再难看一点么？！            
(2星)	 难看什么我就不说了            
(3星)	 明道依然是农民范，但那个组合里除了那个疑似外国人的人剩下的那个男的看起来帅帅的            
(NA)	 明道 我真的 我发誓我恶心他 不喜欢他            
(3星)	 没有王子变青蛙好。但是还不错了。喜欢看乔恩。即使并不十分美丽。            
(NA)	 【2007-07-29】            
(3星)	 我们寝室的人陪我看的。。。前面挺有趣。。后面渣了。。            
(NA)	 我那时候喜欢陈乔恩，不过这片子就看了第一集，弃了。            
(2星)	 天雷            
(3星)	 以前的乔杰立拍了不少偶像剧啊...            
(3星)	 冲着明道和陈乔恩看的……            
(3星)	 高一那会儿每天中午我都在我们班上放这个            
(5星)	 她是我的夏天。            
(3星)	 一把年纪了。。何必演校园剧            
(3星)	 不如王子变青蛙经典，比较喜欢范植伟            
(1星)	 剧情烂 不实际 把黑社会当弱智..            
(NA)	 不得不得说陈乔恩和明道的默契比小天的要好多多多了。            
(3星)	 明恩~            
(3星)	 因为明道所以才看的虽然没有出彩的地方但是看他就足够了            
(2星)	 剧本太烂，看到莫名其妙的范植伟之后，弃了。            
(1星)	 真得不是一般的难看~看了第一集完全有想到砸人的冲动。。。            
(3星)	 阿诺。。。            
(3星)	 越到后面越扯            
(3星)	 还挺好看的。陈乔恩真的很厉害，明道，也很喜欢来着。虽然没有什么演技上的大突破，但是，挺好看的。            
(4星)	 考试期间看着消遣,还不错啦～很喜欢明道这样的男生            
(4星)	 喜欢明道．            
(5星)	 中毒了...阿将~阿将~            
(5星)	 明道的演技真的有了很大的突破，连我这个不捧他的人都看出来了！很不错！            
(1星)	 太垃圾了！！！真难看 剧本烂死~连2010年的事情都演了~什么玩艺阿~不怎么样~真亏了还是明道演得 糟蹋人            
(5星)	 还在追 未完结的 支持明恩 因为看到他们两就觉得很幸福 不知道为什么             
(3星)	 终于结束了,后面太过牵强,故事性太欠~            
(3星)	 看的时候感觉不错呀。。。~            
(1星)	 ……            
(2星)	 前后脱节。。。越到后面越狗血。。。            
(2星)	 这两天在研究黄志玮是怎么一步一步从《蔷薇之恋》的男一号跌到《我可能不会爱你》的路人甲的。lol            
(4星)	 我觉得还不错啊~蛮好看~我喜欢~乔恩唱的歌也很好听。剧情我觉得还不错。            
(2星)	 我只是喜欢许孟哲和张芯瑜= =，他们两都很cute。PS：看看神经质又可爱的堇，再看看你这些角色，黄志玮你让我情何以堪T T            
(4星)	 偶像剧都这样啦~哈哈            
(3星)	 还行吧，我比较喜欢田鸡哥            
(NA)	 。。。            
(4星)	 明道和陈乔恩无疑是我最喜欢的荧幕情侣之一 所以他俩合作的戏不咋地也想看看 不好看也觉得好看。此剧前十集绝逼爱惨了.....以至于许久未熬夜的我看到晚上两点 迫于墙裂睡意无奈中断 后六集绝逼比屎还难看....不知道换编剧了还是剧组集体中枪了 总之烂的想哭 不过还是不耽误我喜欢夏天和阿将(*￣︶￣)y             
(3星)	 陈乔恩和明道不知道合作多少次了。。            
(1星)	 我是有多傻，现在想起来真的好烂，剧情本身就傻逼。            
