http://movie.douban.com/subject/2286012/	苗翠花
(4星)	 好看            
(NA)	 那会儿觉得江华＝刘德华            
(4星)	 好好先生江华！羡慕翠花嫁得如意郎。            
(4星)	 童年啊~~~~~~~~~~~~~·一阵唏嘘，一阵感慨。。。。。            
(4星)	 方世玉妈咪也好牛逼！            
(4星)	 百看不厌电视剧            
(5星)	 小时候巨喜欢！！！            
(4星)	 翠花，上酸豆角炒豆腐干            
(4星)	 小时侯很能看啊            
(5星)	 我以无聊为乐！            
(5星)	 关咏荷真的挺好看的我小时候特别喜欢这个片子。            
(NA)	 我爱关咏荷            
(3星)	 我非常想吃苗翠花炒得菜= =            
(5星)	 超级喜欢江华呀！！！            
(3星)	 我那时候超级喜欢关咏荷的。            
(4星)	 这都有啊……想当年我是多么喜欢关咏荷啊……            
(5星)	 记得小时候跟娘一块看的~ 一集不落,嘿嘿            
(4星)	 看了好几遍            
(4星)	 江华窝囊得。。。。            
(5星)	 还成吧            
(3星)	 - -            
(5星)	 关这位老戏骨，从我上小学那会她就是tvb的当红女星~这么多年了，演技绝对一流            
(5星)	 那时候我很迷江华  汗一个            
(4星)	 蛮逗的电视剧~喜欢关咏荷演的苗翠花~            
(3星)	 TVB            
(4星)	 她演的最够味了。            
(4星)	 几十年才出一个关咏荷啊，她一笑整个世界都灿烂了。            
(4星)	 方德，你还记得翠花旁边的那个猪油膏么？            
(NA)	 大爱关咏荷啊            
(4星)	 很狗血，可是我也能看完！原因是当年关咏荷很无敌             
(4星)	 因为灌输了一些气节的词汇            
(5星)	 大爱            
(NA)	 “我在吹洋芋啊！”我记忆力好吧？            
(3星)	 开始添加TVB...            
(3星)	 不喜欢江华            
(4星)	 升平……            
(NA)	 补遗                
(4星)	 关咏荷粉可爱            
(4星)	 那個時候之喜歡關詠荷！！！            
(4星)	 haibucuoa            
(3星)	 麻子脸奶妈！！            
(5星)	 又是在电视上看过的一部！、、这样经典的TVB剧可不多了            
(5星)	 五星理由:当年觉得不是一般的好看...            
(4星)	 小学很喜欢            
(3星)	 苗翠花            
(4星)	 好看！            
(5星)	 小时候的最爱………………之一            
(4星)	 好看 关咏荷真是有眼缘            
(4星)	 童年~            
(4星)	 是在上中学的时候看的，当时很多同学都特别迷恋江华，他的笑容很灿烂，让人陶醉。关咏荷的剧集一部接一部很多，她的样子很喜欢，灵气聪慧大方，这个是很有喜感的一部，印象深刻，上映年度有失误，肯定不是2002年。            
(NA)	 哈哈~            
(5星)	 比较搞笑　哈哈｀｀            
(NA)	 你怎么耍都很可爱，都不做作            
(2星)	 傻得不知该说啥            
(2星)	 唯一看点只有江华            
(4星)	 早期啊……            
(4星)	 有点意思。            
(5星)	 看过好多好多好多遍。。            
(4星)	 wa hahahahahaha            
(4星)	 关同学的演技不是一般的赞^.^             
(4星)	 可爱的女人            
(5星)	 太甩了            
(3星)	 cl的年纪看的，cl那时候也在看……%￥            
(5星)	 很温情的片子，看了好几遍            
(4星)	 绝对好玩，关很棒            
(NA)	 关咏荷太美了            
(4星)	 补tag            
(4星)	 小时候喜欢看            
(4星)	 最喜欢的tvb剧之一，每个人物都很好玩，关咏荷不必说，当年的视后和最受欢迎女演员。其实里面有个亮点就是惠英红，太搞笑了。            
(5星)	 小时候好喜欢看的            
(4星)	 那时候还能看得下去江华！！            
(4星)	 古装二剧            
(5星)	 哈哈哈哈。。。好多年没看了。。。            
(3星)	 我不喜欢江华 一点都不喜欢 = =            
(4星)	 美好的回忆啊~            
(NA)	 酸豆角炒豆干            
(4星)	 回不去的小时候...曾经陪伴我的TVB...            
(5星)	 好小的时候看的 方德好可爱            
(5星)	 我爱关咏荷 也爱张家辉            
(4星)	 哈哈哈 回忆啊喜欢啊            
(NA)	 哇哈哈 超小的时候看的~            
(4星)	 HAHA            
(NA)	 关咏荷版            
(4星)	 御            
(NA)	 关咏荷好可爱            
(NA)	 又一霸王剧。不知道看过几遍            
(4星)	 江华。。。颠覆了形象。。            
(4星)	 这时候的江华最帅            
(4星)	 小时候看的电视剧真多~            
(4星)	 小時候看到欲罷不能            
(4星)	 bucuo~            
(5星)	 看过无数遍            
(NA)	 好钟意你啊苗翠花！            
(4星)	 蛮好看的            
(4星)	 最早喜欢的TVB            
(4星)	 当年看了好几遍  喜欢            
(4星)	 曾经很喜欢江华，可是这个男人后来怎么演了那么那么多烂片... ...            
(5星)	 少有的看了还想看的连续剧，可能是因为情节比较紧凑内容比较搞笑吧            
(4星)	 翠花~            
(5星)	 经典            
(5星)	 小时候看的，哇靠。。。那时候关咏荷多年轻啊~~~~            
(5星)	 港劇還是老的好。            
(5星)	 这个真的还不错～很喜欢关咏荷～            
(4星)	 翠花            
(5星)	 TVB最爱之一            
(5星)	 最近竟然每天必看，哈哈，经典诶            
(4星)	 小时候吖！！            
(4星)	 喜欢！！！超喜欢！而且关咏荷长的和我姨妈很像~~呵呵···            
(4星)	 侠女有爱            
(5星)	 很喜欢关咏荷和刘玉翠～            
(5星)	 超爱江华和关咏荷的组合，巨搞笑~~            
(3星)	 方德~~            
(4星)	 很喜欢的古装剧呀~            
(4星)	 这也挺好看的            
(4星)	 很久以前看了，tvb也重播过南方台都播过            
(NA)	 小时候看过滴            
(3星)	 年少回忆。            
(4星)	 喜欢荷姐，但这部戏有点小家子气            
(4星)	 当年家里还借碟来看的。方德和苗翠花，真有爱的一对~历史课上还讲到苗翠花来着。。。            
(5星)	 好喜欢江华 TAT            
(4星)	 从此我记住了苗翠花这样一个名字            
