http://movie.douban.com/subject/1440406/	人人都爱雷蒙德 第一季 Everybody Loves Raymond
(5星)	操你妈一个片子还分那么多条目我他妈怎么知道自己看的第几集！
(5星)	再次印证了中国情景剧95%都是垃圾
(4星)	傻笑吧
(NA)	雷蒙德的爸爸去世了.
(3星)	好玩
(5星)	hollycrap！！！
(NA)	没看全，但也差不多
(NA)	很老的美剧了，不知道几个人看过，但是很有喜感，很喜欢。
(5星)	一个家庭里能发生的事儿有多少？拜伦家每个人都有鲜明的缺点，因此而真实。很好的家庭伦理剧。
(5星)	家庭、生活、男人、女人描述的很真实，这片给我最大的感觉就是：生活是个过程。
(NA)	不全。
(5星)	人人都爱雷蒙德
(5星)	我最喜欢Frank
(3星)	并没体会到为啥在美国这么受欢迎的个中意义。。
(5星)	这第一季怎么也看了两遍吧，真的是很用心的发掘生活中细节的好剧，而且确实蛮好笑的。
(NA)	在家看完了
(5星)	温馨搞笑的家庭情景喜剧~
(4星)	一家人都很逗~尤其是Raymond的妈妈
(5星)	特别好玩
(5星)	萌物们~~~
(5星)	他爸跟他哥绝对了 
(5星)	米国最主要的人民内部矛盾也是婆媳矛盾啊
(5星)	哈哈
(5星)	台版的配音很到位
(NA)	典型的诙谐美剧
(4星)	好笑··
(5星)	Holy Crap~喜欢Frank！
(4星)	我会看完10季的
(4星)	晚上和阿妈的送饭剧
(5星)	全部补完几个来回了 不知不觉中
(5星)	和Friends差不多，但比那个好貌似~~
(5星)	的确人人都爱雷蒙德。
(NA)	一点都不搞笑.太傻了
(4星)	嘿嘿看见就想乐
(5星)	喜欢~~好好看
(3星)	老片子
(NA)	我也爱雷蒙德
(4星)	每次只要我一听到/看到/谈到Everybody Loves Raymond就会狂笑不止，喜剧做到这份上应该算是成功了吧。最点睛之笔的人物绝对是Raymond的老爸，哈哈哈哈哈！！！世界上真有这样的人物么？？？？另：大家可以和Raymond学习如何犯贱。
(5星)	搞笑
(4星)	继老友记之后我喜欢的第二部美剧
(5星)	反复看的喜剧，莫名的喜欢
(5星)	全身心投入 狠好看
(5星)	最喜欢的喜剧作品 婆媳关系是个大看点 Frank走了……
(4星)	国配很强大
(5星)	10——10分。我跟胖子都好喜欢看，可很多朋友都觉得没意思，汗。。。
(4星)	我超爱Robert和Frank
(5星)	我也爱雷蒙德。哈哈
(4星)	senior high 凤凰卫视
(4星)	当初是读高中时在燕山看的，因为有凤凰卫视，播的就是这个，真的很好笑。他哥哥很可爱。
(4星)	马应龙眼霜……
(4星)	難得的家庭溫馨情景劇。
(5星)	zhe me duo ji wo kan le hao ji bian
(2星)	不 好 笑    重复 不  好   笑
(4星)	很真实，Debra和Ray与Marie和Frank的关系真像我家，每个角色都好可爱啊~
(3星)	我知道是经典。但是对此无爱
(4星)	他哥巨好笑。。。没法了。。好笑的没法了。。。。。。&gt;&lt;
(NA)	生活是一个个的细节 某年 
(3星)	可以理解
(4星)	就喜欢情景喜剧
(5星)	T,T 凤凰卫视~
(3星)	九季完毕，撒花~在这个河蟹乱爬的年代，完整的结束一样东西也分外艰难。。。打发时间消遣出气的好东东。
(5星)	不懂幽默的人，當然會覺得不好笑了。
(4星)	家庭剧 还是多可以的
(5星)	老有劲俄业俄男宁~~
(5星)	现在也是下班后边吃饭边看，还自个儿傻笑。
(5星)	雷蒙德的爸爸 RIP
(4星)	top10之5,q情景喜剧之王，仅次于friends
(5星)	赞！
(4星)	意大利人热情好客也很随便,但时间观念不强常常失约或晚点.在意大利进餐时,意大利人的习惯是男女分开就座. 用餐时要注意礼节.意大利人喜欢喝酒而且很讲究,一般在吃饭前喝开胃酒,席间视菜定酒,吃鱼时喝白葡萄酒,吃肉时用红葡萄酒,席间还可以喝啤酒、水等.饭后饮少量烈性酒可加冰块.
(4星)	在不想思考的时候，这个家庭是最适合用来闭目养神的
(4星)	很好很搞笑
