http://movie.douban.com/subject/1475579/	难兄难弟 難兄難弟
(5星)	 真的是好看死了 非典期间的回忆。。。吴镇宇的天然呆 罗嘉良的公鸭嗓 笑死了            
(NA)	 配音升华了此剧            
(5星)	 六星啊。青春总失去莫名            
(5星)	 你卑鄙。你无耻。你下贱。            
(NA)	 奇葩！            
(5星)	 一幕一幕曾经荒唐胡闹的片段，在时隔二十年后却叫人百感交集。            
(5星)	 青春，多可爱青春……遥望青山绿水美如画……奇哥，宝妹……哈哈哈哈            
(5星)	 特喜欢李奇说“係？”的样子，傻透了。最好笑的是他拎着几只鸭子去看未来岳丈，哈哈~             
(3星)	 配音非常呕吐。            
(5星)	 笑疯了。我一直以为最后李奇会转运，没想到到头来还不是一样            
(5星)	 那些回忆啊~            
(5星)	 记得当初看到最后一集很舍不得            
(5星)	 边看边吃酱油拌饭的童年回忆            
(3星)	 新瓶舊酒            
(4星)	 成日想起各首主題曲插曲片尾曲            
(4星)	 這哪裡是喜劇啊，簡直就是血淚辛酸史。。青春總失去莫名。。。            
(5星)	 难以忘怀。            
(5星)	 我还挺喜欢香港翻拍60’s那种feel的            
(4星)	 奇哥说话太甩老            
(5星)	 ：P            
(4星)	 绝！            
(NA)	 啊哟喂            
(5星)	 咦，我居然没有收            
(3星)	 久远回忆            
(5星)	 很喜欢那个时代得港剧，喜欢张可颐演的珠妹！            
(5星)	 哈哈哈我好喜欢啊，我又在重看            
(5星)	 绝对的NO.1            
(5星)	 谢源和芳芳。            
(5星)	 diu!! 这是我截图最多的TVB 经典得要死要活 罗嘉良那个声音 意以咦~~哈哈哈哈  遥望青山绿水美如画~~            
(4星)	 开篇不错，最后有点扯            
(4星)	 很温馨的香港            
(5星)	 i love it~哈哈！            
(3星)	 当年打开我眼界 = =            
(5星)	 奇哥的经典公鸭嗓，那句拖长的救-命-呀很是深入我心。宝珠永远的反应慢半拍，贪吃傻乎乎的样子也是萌到极点。四哥的招牌动作，走哪都跟一摆橱窗的人形模特一样。芳芳则是完全不同于宝珠的新新独立女性，能把一切都打点得好好地，婚后也愿意做男人背后的女人。            
(5星)	 好有爱的片子~            
(4星)	 经典地搞笑。            
(NA)	 怎么没有神探李奇呢，小时候一遍，大学两遍            
(3星)	 没怎么看过            
(5星)	 真的很好            
(4星)	 电视上的总是看不全...倒霉的吕奇的公鸭嗓            
(5星)	 非常非常非常非常非常经典!            
(5星)	 年幼时陪老妈守在TVB翡翠台前的时光。            
(5星)	 愛吳先生愛宣萱###后面拖了,,,前面2/3真的有趣            
(5星)	 絕對經典!            
(5星)	 踩在桌上发言的李奇和傻兮兮的谢源。小蜜蜂嗡嗡嗡。。。再也回不去了            
(5星)	 怎么能单纯的以为是搞笑片？即使是搞笑，这种表演也是绝赞的            
(4星)	 经典演绎            
(5星)	 神作            
(5星)	 超级好玩            
(5星)	 爆笑。            
(5星)	 经典中的经典！看多少次都不厌~            
(5星)	 TVB经典之一            
(3星)	 劇集本身沒有任何出彩之處,只是,喜歡這個顔色.            
(5星)	 超好看，怎么这么好看            
(4星)	 一时无俩的收视率，再造经典            
(5星)	 旧日回忆。            
(5星)	 和福禄寿探案一样对味儿～            
