http://movie.douban.com/subject/2224240/	天机算
(3星)	 喜欢古装剧~~主角都是大爱的人—马浚伟和陈浩民，就是为了他们两个再烂的剧我都能看得很开心呀~             
(NA)	 到后来实在受不了于是弃剧了            
(4星)	 同命不同运，所谓命由天定，事在人为，就是干料少了点，还可以，偶稀饭马浚伟那个小眯眼 哈哈            
(2星)	 有些驴头不对马嘴，编剧换了还是中间发烧了？            
(2星)	 龙阳之癖~~~~~~~~~同性恋！！新词儿~心怡，SB。给机会不珍惜，错过了又舔着脸缠着不放！受不了~~~~原来种族歧视在古代就有啦！            
(4星)	 还可以吧            
(3星)	 推背图题材不错，可惜tvb拍不出高度。通剧看完，发觉小马原来也不是那么沧桑，眉宇间也还是当年曹子建周世显的英气。只是除了此外，再也不能喜欢了。            
(3星)	 明显是看了网上那帖子来的灵感            
(2星)	 挺无聊的。。但是看着看着就不知不觉看完了。马浚伟和陈浩民完全不给力。所谓的推背图也不详尽。            
(3星)	 扯了半天 原来是一个后周皇族妄图复国的不和谐的故事            
(NA)	 看一半，看不下去了            
(3星)	 前面还行。            
(4星)	 原来这就是推背图啊！真的很神奇啊！            
(5星)	 又一大惨片...叶杨真让人心疼T0T!!力荐的原因不是剧情经典,而主要是欣赏有趣的题材和对叶杨同志的塑造XD..            
(3星)	 當是長點易學知識來看，還可以。            
(2星)	 我是有多闲这剧都看完了。。。。            
(3星)	 推背图。子子孙孙。            
(2星)	 冲着推背图看的，前面还好，后面编剧一定是脑子烧坏了……李诗韵还是很好看啊，就是完全没有演技这回事……其实也没有大家说的这么差了，起码木有阻碍就看下来了            
(3星)	 为了马仔            
(3星)	 老套。            
(3星)	 说实话，这玩意儿还真信            
(2星)	 TVB的历史剧基本都是扯淡。            
(2星)	 狗血了点            
(NA)	 故事不够吸引,没有想象中的好            
(3星)	 （以前看的，纯添加）            
(2星)	 开始还行 后面越来越汗 最后 汗死了。。。            
(3星)	 看过，剧情忘记了，知道了什么是推背图。            
(3星)	 算不上多好吧，推理不怎么灵。            
(2星)	 虎头蛇尾的一部电视剧。            
(NA)	 两个讨厌男人聚一起了,还不是为了小甜甜            
(NA)	 对推背图很感兴趣啊            
(NA)	 隔了那么久终于看完了。。。            
(4星)	 编剧不错，情节三回九转很有看头。至于那些算法经不经得起正宗术数书的推敲偶不是行家就无从得知了~~            
(4星)	 承认自己 是 很无聊啦            
(2星)	 越看越失望啊~~哎~            
(3星)	 寝室人下了拷过来看的。。。足见我现在生活多无聊。。。            
(3星)	 很一般……            
(NA)	  陈浩民             
(2星)	 完全唔知想讲咩啊！             
(3星)	 格局太小啦，推背圖多有意思的題材啊~馬仔演痞子很文雅；陳浩民演貴公子卻很痞子，兩者角色塑造都失敗，但兩人古裝扮相都很優            
(2星)	 看这个知道了推背图，前面剧情慢悠悠，后面突然就大家都死了~是要赶拍别的戏嘛~            
(5星)	 当时看的时候对推背图非常好奇            
(3星)	 虎头蛇尾啊，ＴＶＢ总是这样            
(4星)	 题材很好，貌似从15集开始剧情又快又乱，结尾草草收场            
(2星)	       在家养病的时候用快进看完的。            
(3星)	 整体一般般，没有特别吸引的剧情            
(1星)	 能把《推背图》拍成这样也算是奇葩了。            
(3星)	 跳跃着也能看完。港剧，真是越做越无聊了。            
(2星)	 还不错，看完了            
(3星)	 胜在题材，可是结构很弱。            
(3星)	 没想到陈浩民后面奸了            
(3星)	 好像没有看完的感觉            
(4星)	 看了之后，觉得风水真是个神奇的东西啊！            
(NA)	 还是不喜欢陈浩民演奸角啊。            
(3星)	 推背图竟被演成这么肤浅的东西    那可是天书啊！！            
(NA)	 冲着陈浩民。            
(5星)	 暗黑剧，命中注定            
(2星)	 很玄            
(3星)	 陈浩民演古装剧大都不错，这部也还行，虽然他演坏人。            
(4星)	 虎头蛇尾            
(5星)	 在热衷算命的两年生涯,我看了三遍.            
(2星)	 无聊的时候看着打发时间            
(4星)	 前7集好看，然后就无聊了……太长太墨迹了……            
(5星)	 推背图            
(5星)	 各种黄雀在后            
(3星)	 住院时看的，蛮傻的            
(3星)	 就是因为天机算 让我做了一段时间对推背图的研究 有时候看港片就是这样 会激发自己去做很多事情            
(3星)	 看相也是门学问            
(3星)	 典型港产片，有帅哥有美女，看得下去也不会太挂念。            
(4星)	 无法推算的天机            
(4星)	 完全是被推背图所吸引，看来我真的是很喜欢研究这些神秘事物呀~~觉得不错，很顺利地看完拉            
(5星)	 推背图…好多易经的东西            
(3星)	 剧情也是那种很老套的那种，看了几部最近TVB的电视剧，令我很是失望，演得也有些夸张啊~            
(3星)	 TVB的片子 大多能看下去 但看完了也就完了 僅此而已            
(3星)	 看了大部分            
(3星)	 推背图创意很不错，陈浩民的反派演绎的很好。            
(5星)	 推背图··神啊··很好看            
(4星)	 为了47和马浚伟看的。。。剧情一般，浩民是坏人。。。。            
(4星)	 勝在題材特別            
(3星)	 前面不错，后面难看            
(3星)	 硬伤太多。            
(3星)	 神奇            
(4星)	 看太多了，暂时想不起来是讲什么的……不过在我印象中肯定不会难看            
(4星)	 题材不错，还算喜欢吧！            
(3星)	 也有点虎头蛇尾的片子            
(3星)	 感觉类似布衣神相 但是没布衣神相好看哟            
(3星)	 陈浩民最后是疯了还是傻了?            
(3星)	 古装            
(NA)	 一般，推背图到是小时候看过，不甚了了。对一切玄学感兴趣            
(3星)	 凑合，要不是陈浩民，也不会看了            
(3星)	 还算一般的古装。。。。            
(3星)	 tvb古装都变一路了。先喜后悲，钩心斗角。好人变坏人。不过古装的马仔和陈浩民都很赞            
(NA)	 一般。无趣。或者说我没耐心了。            
(3星)	 看过忘了的~觉得TVB的电视剧是适合电视播放~            
(4星)	 除了结尾的仓促，其余都很不错。（那段时间流行烂结尾。）            
(NA)	 一般般。。。            
(NA)	 典型的虎头蛇尾，不喜欢结局的说            
(3星)	 不过是有马同学而已            
(3星)	 忍着看完了！            
(3星)	 因为推背图才看的连续剧。            
(4星)	 用风水做材料，还满有意思的            
(3星)	 一般啦。            
(2星)	 挺无聊。。。            
(4星)	 为了我家诗韵同埋47都要睇咯            
