http://movie.douban.com/subject/1830581/	妙手仁心
(5星)	 Paul绝对是理想型= =+            
(5星)	 很典型的港剧，很真实又很浪漫，喜欢里面的每个人，心目中的港剧经典~~            
(3星)	 很喜欢蔡少芬。            
(5星)	 Annie Henry 我就是喜欢这种很ging的人 肿么办            
(5星)	 职业类型剧突破的开始，经典到不行。            
(5星)	 喜欢里面的每一个人，喜欢发生在他们身上的每一段故事，喜欢里面的配乐~~            
(5星)	 太钟意Jackie了！            
(4星)	 确实只看过1            
(5星)	 最爱第一部            
(5星)	 五星，到我60岁那年，这部剧也是五星。            
(5星)	 万年最爱港剧,Paul&amp;Jackie ~~~~~~            
(5星)	 大爱Jackie和阿Joe            
(4星)	 林跟吴~            
(4星)	 如此强大的TVB一线演员。哈哈。            
(NA)	 永留心底            
(5星)	 healing hands heals me            
(5星)	 音乐、剧情、演员都是天衣无缝啊~~~            
(4星)	 睇过好多次咯            
(5星)	 忧伤，很特别            
(NA)	 我也不太明白为什么不太喜欢看这个系列            
(5星)	 至今仍然会不时拿出来看            
(5星)	 我看到第几部？反正当年很喜欢            
(4星)	 TVB            
(3星)	 我现在不看电视剧的.可是翻了翻,以前真的看了好多TVB剧.            
(NA)	 又是吴启华！他太适合这种斯文小坏蛋了……呃，啥，他在片中完全是个好人么？            
(4星)	 我喜欢那些医院里面发生的事,也喜欢看成年人的爱情游戏.喜欢程至美,可惜,吴启华后来再未遇到如此让人舒服的角色.            
(4星)	 好看。            
(NA)	 好看？            
(3星)	 因为先看第二部的关系，从没有真正喜欢过Jackie和Paul的情分。            
(5星)	 开始添加TVB...            
(5星)	 这么多年，还是能被打动，是我长情还是你太经典？            
(3星)	 没有说的那么好。吴启华真的好帅。- -            
(NA)	 配乐配乐            
(4星)	 那阵子我的理想是当医生，脑外科的或急诊室的都行            
(4星)	 没办法了，我就是喜欢吴启华这一型……            
(3星)	 不记得了。。。            
(4星)	 这片子有点深度的            
(4星)	 经典。年幼时陪老妈守在TVB翡翠台前的时光。            
(5星)	 经典            
(4星)	 还要谢谢TVB            
(5星)	 吴大叔……            
(5星)	 小時候最愛-0-            
(4星)	 其实我没有那么喜欢这部戏            
(5星)	 NO1级别的 从此爱上陈慧珊～            
(5星)	 处女男+摩羯女+双子女，金牛男+处女女，天平男+巨蟹女+射手男            
(5星)	 TVB经典啊～爱看            
(4星)	 残念没有全部看完....             
(4星)	 大学在寝室里,断断续续我们一大票女人看完的~~            
(3星)	 港版ER，还不错            
(NA)	 永远只有第一部，伟大的邓特希，永远的PJHA            
(5星)	 邓特希的绝对经典之作。。个个都爱！！！            
(NA)	 老觉得TVB就是啊 演什么像什么            
(4星)	 悲观主义者认为，伤感的结局永远更给力。            
(5星)	 马浚伟是真金白银的好看啊            
(5星)	 人物有趣，细致多彩。            
(5星)	 片头saxphone曲特别好听！！对陈慧珊演的江新月印象很深，一是名字好听，二是御姐范。            
(4星)	 真的觉得也许故事的开头比较有趣            
(NA)	 急诊室的故事香港版。。。            
(4星)	 经典            
(5星)	 人物刻画太细致了...每个人的结局都值得掉眼泪...            
(5星)	 超喜欢的 经典            
(4星)	 那时候曾和好友约定，长大后也像港剧里这些人一样，好朋友们住在一起，每天下班后喝酒泡吧扯淡，一说起彼此就都是十几年的好友，多牛逼！可是一转眼，长大了，也就这么都散了～            
(5星)	 吴启华!            
(5星)	 唉~蔡少芬~            
(5星)	 林保怡蔡少芬吴启华这三个名字绝对可以代表tvb连续剧的一个时代……居然把一个小学生感动到了……虽然作为医疗剧，高度不及ER，但因为这部比ER要早看嘛所以五星。and当年买了盗版的ost，配乐太赞了……主题曲和片尾曲都很好听。            
(4星)	 只有这一部好看，续集让我们明白，即使一切有情郎的代表阿paul，也会移情别恋的，天长地久永远是个童话。            
(NA)	 医务剧            
(5星)	 最爱的TVB剧之一，甚至一度因为这个想要嫁给医生……            
(4星)	 除了Gil和艾滋女、Joe和Helen的感情有点莫名，其他都堪称完美            
(3星)	 死人死太多了。。。            
(4星)	 那时是我最喜欢马浚伟的阶段了。            
(4星)	 PAUL。继一号皇庭后重温旧梦2。继续垂泪。那个一去不复返的年代啊~            
(5星)	 大爱！            
(3星)	 又是林保怡，这名字多么像一个女人，所以看起来也像大妈            
(5星)	 那个时候超喜欢的～            
(5星)	 应该评得上42年10大收视冠军吧            
(5星)	 除了Friends之外，还没有试过像这样喜欢一部剧里的所有人            
(5星)	 就是喜欢老的            
(5星)	 当年的志向就是医生            
(3星)	 不喜欢医生类题材            
(5星)	 蔡少芬说想看彩虹虽然在这部片里没有能看到，但是后来在黑夜彩虹中彩虹一出现，她就醒过来了            
(3星)	 真的很好看，林保怡，大爱            
(4星)	 很喜欢林保怡这种调调的男人            
(5星)	 蔡少芬！~            
(5星)	 很上瘾的说。            
(5星)	 超喜欢。            
(4星)	 我从来对于医学等剧集没什么抵抗力！            
(5星)	 很喜欢！！！！            
(4星)	 吳啟華實在是很像你 你知道么            
(4星)	 这三部我交叉混合看的 同时好像还看了鉴证实录 然后还都有林保怡陈慧珊 所以华丽丽的搅和到一起了             
(5星)	 当林保怡 马浚伟 苏永康 吴启华一齐聚在酒吧喝酒聊天时，场力最强            
(5星)	 很深的感动。            
(3星)	 年少回忆。            
(5星)	 我的henry，我的林保怡            
(5星)	 医生            
(5星)	 最爱ada            
(4星)	 高二夏天,高三时看小王子,可惜没看懂.08年9月再读终于懂了一点            
(5星)	 ADA廿五岁罗视后啊!!! 最记得结尾JACKIE死咗...            
(NA)	 爱不出口            
(4星)	 nemoon的由来            
(5星)	 超喜欢～～            
(4星)	 急诊室的故事香港版            
(4星)	 我们过的每一天都不是那么理所当然的，所以要珍惜接下来我们所拥有的每一天。            
(NA)	 最爱的港剧。。。            
(NA)	 阿巫就是靠这个红的哇！            
(5星)	 永远的经典~            
(4星)	 当时非常喜欢吴启华            
(NA)	 也是好看的港剧呢。。。            
(5星)	 看来看去，还是Harry和Annie最配            
(5星)	 paul啊~~~~            
(5星)	 看了一遍又一遍            
(4星)	 重温            
(NA)	 怀念下~            
(NA)	 第一部很值得看            
(3星)	 电视剧             
(4星)	 期待着读《小王子》，给她。            
(3星)	 第一部 还有吴启华和苏永康 现在两个人基本都没影子了            
(4星)	 关于仁爱医院            
(4星)	 旧剧再看。曾经很喜欢吴启华~            
(5星)	 太经典老 百看不厌！！太好看啦            
(3星)	 原班人马什么的，最混淆记忆了。            
(5星)	 我真的很喜欢看，哈哈哈            
(5星)	 好向往~            
(5星)	 這個還有AMANDA呢，哈哈            
(NA)	 我只能说还一般            
(5星)	 我钟爱的TVB剧之一            
(NA)	 第一次与医结缘            
(3星)	 简单温馨的片子            
(5星)	 只喜欢第一部            
(5星)	 港台电视就是好看。            
(4星)	 職業劇的經典            
(5星)	 最爱            
(NA)	 当年很喜欢吴启华            
(3星)	  TVB的都一样            
(5星)	 邓特希的才是最好的，坚决抵制771的妙手仁心            
(4星)	 印象深刻的第一部港剧。            
(NA)	 我很喜欢            
(NA)	 不错            
(5星)	 程志美，唐姿礼，黎国柱，江新月——三部里只喜欢这个搭配。            
(4星)	 很喜欢。或许因为我也是医科类的？            
(3星)	 铃爱港剧            
(5星)	 回顾经典拖手情节。            
(4星)	 电视插曲好听            
(5星)	 其实初衷就是为了看林保怡和陈慧珊的情侣档的~~            
(1星)	 好像看过...1分            
(4星)	None
(NA)	 正面思想大量传达            
(3星)	  吴启华             
(4星)	 有一部里面有陈洁仪。。            
(NA)	 【1998-08-31】            
(4星)	 结局不喜欢 扣一星。但是我总记得那个盒子。她说“盒子里的零食永远不会被吃完”。            
(5星)	 想当年tvb的剧不错的！            
(5星)	 我真系好钟意林保怡同陈慧珊哩对情侣档咯！            
(5星)	 重温~生死恋、姐弟恋、炮友、基情~~~13年前的TVB，原来早就都超度过了！            
(4星)	 经典剧   里面的歌都很好听   虽然至今没有完整看完   很久以前很喜欢  等后来自己真的考了医学院  反而失去了医院那种神秘感            
(5星)	 还是第一部最好            
(5星)	 这个片子真是经典中的经典啊啊啊~~~~            
(4星)	 早期的港剧就像早年的日剧，基调缓慢，更像是生活一场。            
(5星)	 喜欢这部剧的调子~            
(5星)	 最喜欢的港剧了 看了一遍又一遍            
(4星)	 现在再看，感觉编剧好弱，剧情太狗血了            
(5星)	 喜欢三个男人相互八卦调侃的方式；更喜欢内心汹涌但却依然能波澜不惊的那份成熟、克制以及自我治愈。             
(5星)	 个个都是一线啊~~~            
(5星)	 大爱林保怡吴启华啊~~~~            
(4星)	 paul确实是一个很好的人，Gil跟Jackie表白，直了那一段，笑喷啦！！            
(4星)	 百看不厌啊!            
(NA)	 终于找到时间从第一部开始看了~            
(5星)	 TVB最爱之一，另一个是鉴证实录            
(NA)	 放假在家经常翻出来看，还是有很多闪光点            
(5星)	 当年大批女生喜欢啊            
(4星)	 这帮TVB的老脸勾起无数的回忆 唉！            
(4星)	 温暖~            
(3星)	 虽然众星云集，但很无趣。对熟男熟女的故事不感兴趣。            
(5星)	 黎国柱！怀旧一把系列~相当的怀念！            
(5星)	 TVB的职业剧系列经典。。。            
(4星)	 这剧的感情线算比较耐看的。            
(5星)	 了解医生这个行业            
(5星)	 看完我就迷上吴启华了，也因为P&amp;J喜欢上了小王子            
(5星)	 6星            
(5星)	 真是经典~~            
(4星)	 我记得我那时候很喜欢蔡少芬啊            
(4星)	 出现了小王子。            
(5星)	 我的最爱~            
(5星)	 最爱的电视剧，一年两年三年四年五年……从六年级到现在            
(4星)	 有小王子哟...Jackie啊 把angel eyes和miss you finally是终于给看了            
