http://movie.douban.com/subject/3285416/	波士顿法律  第四季 Boston Legal (Season 4)
(5星)	 高潮迭起，精彩。            
(5星)	 比起前面的花拳绣腿，政治倾向严重的第四季是我的最爱，不再是AS的独角戏，Jerry，Katie，Sack每一个人的结案都带有自己的风格立场，只是同样机敏，旁征博引，原则至上。而Denny时隔已久的出场让人惊艳。说起来就是一个美式爱国剧，核问题，环境，社会道德，人权，然后是民主民主民主。战风车的人。            
(5星)	 我觉得这个不帅又发福的男人真他妈性感！！            
(NA)	 自从看了这个剧 柜子里多了好几瓶Scotch 有比这更好的广告么             
(5星)	 每一季都是演员大换血！！            
(4星)	 Danny竟然老年痴呆早期了。。。            
(5星)	 越来越搞了，做总统候选人，上最高法院，说到底却是个美式爱国剧。            
(4星)	 17、18=A+            
(5星)	 第四季的印象不是那么深了，alan非常政治化            
(NA)	 没看过什么美剧的我真的发自肺腑的觉得里面每个人都感情太充沛了每个表情都力争当众孤独入木三分感人至深以至于让人觉得他们都打了鸡血玩命要在短时间内表现出华彩给观众看  好  累  得  慌  but shirley是个例外……            
(4星)	 四星半。如果有一天我有了美国籍，其中一半的原因就是BL~            
(5星)	 denny太可爱了！！            
(4星)	 有几集很出彩，但整体不如第三季            
(4星)	 很棒。E5看得我热泪盈眶~~            
(NA)	 这季也太政治了吧。。。            
(4星)	 highlight on closing&amp;balcony talking between Alan Shore and Denny Crane            
(5星)	 AS..我确实不是以貌取男子的人..- -            
(5星)	 鸡血剧，好看            
(5星)	 经典中的经典！            
(5星)	 忘了是不是在离开北京前全部看完的它。            
(5星)	 最后一集那个在法庭上画画的人很出彩，哈哈~EP20很棒！            
(5星)	 为真正的友谊和怜悯            
(5星)	 you are my sunshine            
(5星)	 政治因素越来越多了            
(NA)	 k support me            
(4星)	 与&lt;friends&gt;完结时的依依不舍不同，只是觉得欢乐又睿智的剧集确实很难长久。            
(3星)	 基本成了闹剧。            
(5星)	 “这次轮到我去与风车作战了。”            
(5星)	 我的最爱            
(5星)	 除了说精彩，还能说什么呢？            
(4星)	 跟随qian的步伐，开始追看。alan的琐碎，如同地球上每一角落的沉默时间。我始终不能爱死胖子，我嫌他麻烦，另外嫉妒他和alan共度的沙发雪茄夜.            
(3星)	 in my life.end.            
(5星)	 豆瓣NO.500;最后三集很精彩。            
(5星)	 a really good lawyer is priceless            
(5星)	 vivalavida 灵魂剧            
(3星)	 skipped~~~            
(5星)	 第16集深情，第17集激情，总体来说很不错，可惜本剧最漂亮的姑娘是个失足少女            
(5星)	 就是那个带红帽子的法官老头太可爱拉            
(5星)	 前半季稍差            
(5星)	 你俩结婚吧            
(5星)	 1、Alan哥和Denny叔真是越来越基了。2、那个小个子法官居然对女原告的调情有反应了，这就是说他是个双？3、许多人物的消失是迅速又莫名其妙啊！            
(5星)	 Alan和Denny的友情让人羡慕。            
(5星)	 情感加入的越来越多了            
(4星)	 演员流动严重影响对剧集培养感情，这一季的政治倾向越发明显，alan跟danny的基情就快闪瞎眼了。。囧            
(3星)	 不打算再看第五季了，政治色彩越来越浓。            
(5星)	 Crane Poole &amp; Schmidt是由光环笼罩啊...当他们的律师输了的时候，是被他们事务所的另一名律师击败的...            
(5星)	 曾经的睡前一集~法学院的孩子们都会喜欢的吧            
(4星)	 1、判决依靠谁更能引起陪审团的同情心。2、当变态光明正大真心变态时，就变得翻白眼的可爱（DENNY CRAMY）。3、生活中有Alan与Denny这样男性感情不，GAY除外？4、个人人物太多了！好喜欢！            
(5星)	 when we were us.            
(4星)	 把第四季当第一季看的。假如怀疑client确实有罪，alan也会如滔滔江水般最后煽情质疑一番，替人开罪吧？这一点我看着看着，觉得可怕。            
(4星)	 看多了就有点腻了。            
(4星)	 很好笑的剧集，喜欢Denny~~老爷子太欢乐了！Alan Shore 很有爱～～～            
(5星)	 Sleep,get in the Coast Guard,go to supreme court ,repesent two sides for patriot suit together,and just gone for Fishin&#39;.love A&amp;D profoundly            
(5星)	 哦！实在太好太好了！！！还剩一季的我怎么舍得TAT            
(4星)	 看多了就越来越讨厌毛事都要告来告去的米国人了╮(╯_╰)╭            
(5星)	 最后一集留在明晚，看两枚胖子穿着海军装扛着枪走在大街上。            
(5星)	 《in my life 》   Denny crane and alan shore            
(5星)	 剧情到后来越来越煽情的说。。            
(5星)	 我想我以后再也不可能看到这么好看，让我留了如此多眼泪，又笑得这么大声的电视剧了。            
(5星)	 the supreme court            
(5星)	 我太喜欢katie了            
