http://movie.douban.com/subject/3040027/	美丽传说
(5星)	 我找这个电视剧就6年，真的很喜欢MICHLLE            
(4星)	 中学看的，杜太给我的印象太深刻了，恶毒啊，以至于这几年我才敢喜欢她，以前都怕死了。阿欣的男友影射倪震，陈可人的妈妈影射蔡少芬她妈，chirs不知道影射谁，但是真的很有型！我最早喜欢的老男人！            
(5星)	 ATV第一神剧  $_$            
(NA)	 這個當年還是有追            
(4星)	 相当纠结的一群女人...            
(4星)	 上小学的时候断断续续看过.当时李丽珍很漂亮的!!!!!!            
(4星)	 当时觉得挺有趣的，和TVB的情节不一样。            
(NA)	 这片很好看啊，我都看过三遍了，为毛一个长点的评论都没啊，可怜的ATV            
(NA)	 地方电视台的原因当时只看到20集。            
(4星)	 最好朋友在小学同学录上最喜欢电视剧一栏欣然写道：美丽传说。惹得我最近在重看这部剧，发现其实也就一般。之前看我和春天有个约会也有同感。情怀很重要啊，比什么都重要。这也告诉我们，有些美好让他存在在记忆中吧，虽说现实中（或者现在看来）他真的不过如此，但是他仍然很不客观地值满星。            
(3星)	 印象最深的一幕便是任达华的精神病老婆剪了他衣服的画面，想当年给年少的我留下多少阴影？            
(2星)	 不怎么样            
(4星)	 那时候的大块田~~~            
(5星)	 陈法蓉好PL的            
(4星)	 那个杂志社的男的真是猥琐至极了！            
(3星)	 纠结得~~只想评还行~~            
(5星)	 当年看到字幕上编剧叫做“不是女人”，还在想是哪个故做玄虚的死家伙呢。。。太太太喜欢这部剧了，那时候离高考还一个月可本人还是不知死活的天天看坚持看。万恶的是XX电视台竟然直接把后20集省了，害我心水了好久一直患相思病。。。几个女演员都不错，最最喜欢阿欣了，又酷又可爱，巧的是那时候            
(4星)	 美人剧            
(NA)	 额看过            
(3星)	 陈法蓉那个角色蛮可怜的。            
(4星)	 我竟然看过这么多ATV            
(5星)	 好看的港剧            
(NA)	 冲着陈法蓉和任达华去滴，弱弱的问他们俩究竟还在一起吗？rita真的还喜欢阿聪吗？            
(3星)	 李丽珍很美。。            
(4星)	 看的时候就莫名其妙喜欢演坏人的田蕊妮。。好奇怪。。            
(4星)	 当年真是觉得这个华仔叔叔帅得不得了。虽说美化了，但还是揭露了很多娱乐圈的现实。            
(3星)	 第一次感受到任达华的魅力            
(4星)	 来珠海看的印象最深的一部港剧，有人很喜欢任达华，很man。记得2001年，珠海搞现场开奖的彩票，任达华了，跟电视上差不多。            
(NA)	 儿时记忆 就觉得李丽珍好漂亮。            
(4星)	 当时挺迷的，还特喜欢任达华！            
(NA)	 就是某有tvb的好看啊            
(3星)	 美女s~ 就记得舒屏屏出嫁时那个“一梳梳到尾，二梳白发齐眉，三梳儿孙满堂”            
(NA)	 喜欢屏屏 喜欢屠楚雄 喜欢香子欣            
(4星)	 剧情真TM纠结死我了。。很喜欢陈法蓉。故而给4星。。记得小学时候看的了。。不过真的觉得rita的剧情太不公平了。。。还好，最后还是和屠在一起了。。我喜欢他们俩            
(4星)	 现在才知道里面的四个女孩影射的是朱玲玲 钟楚红和张曼玉的 那个陈可人影射的是陈宝莲吧            
(NA)	 现在重拾这部剧 完全源于上初中时对此剧的遗憾 当C把一叠打印有RITA I LOVE YOU的纸撒满天空的时候 我幼小的心灵无比震颤 那是生命中的第一次震颤 所以 时至今日 十年已去 却依然深刻深刻             
(5星)	 这个剧很好看，ATV也有很多好看的剧啊            
(4星)	 从此爱上陈法蓉，无比喜欢这部剧的感觉            
(5星)	 原来编剧系王晶  经典            
(5星)	 非常好看！！！当年连只看体育节目的细佬都沉迷此剧，难得一家人口味一致。霸气江美仪气场丝毫不输大腕任达华。            
(NA)	 看了开头几集，没继续看好可惜。记得里面有个坏女人陷害女主角不成，自己反而喝了药上了床。看到女主角为了救任达华的孩子，被一起绑架了，正要被强奸，那时候觉得很奇怪，怎么女主角都快被强了，怎么还没人踢门而入救她。然后忘了啥原因，没能继续看，也不知道她被强了没……            
(3星)	 不可磨灭的印象            
