http://movie.douban.com/subject/3065586/	秦始皇与阿房女
(2星)	 当年刘德凯张口一声“A Fang！”雷得我……            
(5星)	 赵雅芝也曾是我心中的女神。            
(4星)	 这是一部感人的搞笑剧            
(3星)	 難道我的童年都在看電視劇嗎            
(4星)	 应该看过，小时候就很喜欢秦始皇。            
(4星)	 巨扯淡，但当年就是每天守着看            
(4星)	 小时候果然是好学生，看了这么多电视剧还能考第一。            
(2星)	 虽然我喜欢赵雅芝，但是这个电视剧没有把“阿房宫”读音读准确，所以我很鄙视。            
(5星)	 小时候经常看的电视剧。            
(3星)	 囧。奴B记得片头曲蛮好听。            
(3星)	 情节都忘了~但是片头曲的画面还记得。            
(3星)	 赵雅芝和刘德凯哎~很强的组合~受不了里面喊嬴政“小蚊子”，酸死了，而且读音里面也有问题。            
(NA)	 美目盼兮、巧笑倩兮的雅芝奶奶，装纯装到一定纯度可谓境界，这才是老萝莉的始祖。            
(3星)	 刘德凯&#34;a fang”的发音对错别论，腔调何其性感魅惑，荼毒了幼小的我。。。            
(3星)	 其实我不喜欢刘德凯的脸啊囧            
(3星)	 哇靠，这部片子都能被翻出来，真是奇迹了都。赵雅芝的美已经是一种习惯了都。特想吃剧中她包的那个中药饺子，好吃又营养。            
(3星)	 这个剧放在今天只好用雷来形容了            
(5星)	 靠，老子当年很感动的。            
(4星)	 啊 赵雅芝            
(3星)	 一般            
(NA)	 赵雅芝啊~            
(4星)	 台湾腔很浓的嬴政和配音版的芝芝阿姨~            
(NA)	 好像演蒙恬的超帅的=。=            
(4星)	 和老爸一起看的！            
(3星)	 = =|||            
(NA)	 喜欢赵雅芝所以跟着看的            
(5星)	 好经典啊！！！            
(3星)	 都忘了我看过这部狗血剧            
(5星)	 当年还很喜欢的            
(3星)	 《秦始皇的情人》这个名儿实在太雷了......电视儿童时代观看。这一切都是为了赵雅芝。            
(4星)	 好小的时候看的！            
(4星)	 回不去的童年            
(3星)	 他给阿房做了个水晶棺呢！            
(4星)	 他拍这片的时候 我刚好从阿房宫路过。            
(4星)	 又记当年            
(4星)	 童年的记忆            
(3星)	 小时候看的            
(3星)	 当时已经在课本上学到应该读成E PANG了，一听到A FANG A FANG的，就特难受……            
(5星)	 好爱啊。。和我妈看得死去活来            
(4星)	 那时候刘德凯太帅了            
(3星)	 小时候看的，弋阳台播的。            
(3星)	 那会儿还fan刘德凯来着，现在，啧啧            
(5星)	 和最好的姐妹儿一起看的剧……好听的主题歌……            
(3星)	 那时候放假天天追着看呢。喜欢里面发明了毛笔的那个人，忘记叫什么了（Fiona告诉我了，叫蒙恬）            
(3星)	 阿房的发型挺美，小时候还帮邻居妹妹梳呢。            
(4星)	 很喜欢阿房女这个名字            
(4星)	 赵雅芝美的            
(4星)	 突然想起这剧又看了两集 小时候看得可欢了            
(3星)	 晕，还有这个。。er pang gong和a fang gong之说流传了挺久。            
(3星)	 小学一二年级的我懂个P啊...只觉得——矮油，这个哥哥长得好像不错~-_-|||从小我就色女么！！&gt;_&lt;雅蠛蝶！！            
(NA)	 对刘德凯的爱呢，是从一帘幽梦持续到这里的            
(3星)	 现在回想起来剧情有够狗血的，不过王思懿在里面很美            
(3星)	 1993            
(5星)	 话剧水平，每个人都出彩。            
(4星)	 其实忘了，但赵雅芝的阿房女还是很惊艳的，好吧，赵雅芝所有的扮相都喜欢            
(4星)	 当年赵姨已经显老了，不过柔光打得刚刚好 =u= 刘德凯扮演的嬴政好可爱油~整天阿房、阿房的叫~念“呃”的确不好听 =3= 后半部讲到炼丹那里就有点没劲了 =3=            
(NA)	 幼儿园翘课的记忆            
(5星)	 小学我演的秦始皇~骞儿演阿房女~晕            
(3星)	 小时候去邻居家看              
(4星)	 赵雅芝那时候真漂亮            
(3星)	 小学的某年暑假，和姐姐每天下午守在电视机前看，讲的什么忘的差不多了，但怎能不记得那些无忧无虑的年少时光。            
(4星)	 主题曲和赵雅芝都很难忘            
(3星)	 赵雅芝还演公主一角            
(5星)	 推荐，芝姐跳舞跳的不错。。里面的主题曲也不错            
(NA)	 彼时他们都好年轻。而我，小屁孩。大爱。            
(4星)	 a fang，现在想起来都觉得狗血。不过不能否认是挺好看的。            
(NA)	 这部剧让我在听到那俩字念e pang 是非常震惊。            
(5星)	 当年我好喜欢看啊啊啊啊啊            
(4星)	 小时候的回忆。我是从刘德凯成为大叔控的？哈哈。里面王思懿真是美死了，活脱脱画里出来的美人。            
(3星)	 又是小时候看的。哈哈            
(5星)	 啧啧 小时候  记得很喜欢的啊 哈哈哈哈            
(2星)	 读e的被读成a，记得田思很喜欢，田思我爱过你            
(3星)	 这都能找到，太感人了            
(4星)	 虽然知道是胡扯但我喜欢里面的演员啊            
(3星)	 我就记得火烧阿房宫了            
(3星)	 反正小时候都爱看的电视剧            
(5星)	 久远的记忆            
(5星)	 忘不了。            
(NA)	 ！！！！            
(5星)	 长大之后才知道 不是阿房女 是E PANG NV...            
(3星)	 至今记得赵雅芝叫秦王“蚊哥”            
(NA)	 考古            
(3星)	 赵雅芝这个漂亮啊～            
(4星)	 儿时的回忆啊            
(3星)	 很小的时候看的...            
(3星)	 嘿嘿,又是全都看过的.            
(4星)	 不知道哪里的版本怎么会有那么土的名字……十年一觉漂泊梦……真的漂泊十年了，看这电视也有十几年了，sigh            
(3星)	 阿房            
(4星)	 纯粹是因为喜欢赵雅芝            
(NA)	 小时候很爱看            
(4星)	 那時還是挺喜歡看的～～            
(3星)	 只记得赵雅芝的美丽。            
(4星)	 当时觉得阿房好美            
(3星)	 赵雅芝很靓，唯一的印象是：粗布小碎花衣裳都那么靓。。            
(4星)	 颠覆的历史剧也很好看哪~            
(4星)	 小时觉得刘德凯和赵雅芝简直太好看了            
(NA)	 隐约看过，怎么记得里面好像有刘晓庆啊            
(2星)	 后来女主死了吧，我记得这是我看的第一部爱情悲剧            
(3星)	 也很经典。            
(3星)	 白素贞穿越到秦朝了？吓我一跳            
(NA)	 尼玛= =一个小姑娘叫“那个旁边的”？敢不敢再乱编一点            
(4星)	 小时候可喜欢赵雅芝啦。。。            
(4星)	 超爱看的            
(5星)	 雅芝姐姐是我心中的仙女！            
(4星)	 没办法 就喜欢赵雅芝啊            
(4星)	 赵雅芝美得一塌糊涂~            
(4星)	 童年記憶。            
(5星)	 童年记忆            
(5星)	 芝姐怎么看都那么美            
(4星)	 童年记忆啊            
(NA)	 别的不记得了 就觉得小木匠的烟熏妆不错            
(3星)	 已经记不得剧情了            
(3星)	 故事确实不咋地，小时候是因为没看完所以成心结了            
(4星)	 小时候的寒暑假可是眼巴巴地等着看啊            
(3星)	 小时候特喜欢看            
(4星)	 喜欢蒙恬将军            
(5星)	 赵雅芝太美太美了!刘德凯好Man好man啊。。有点虐爱的连续剧，但是牵动着我当年幼小的心灵。。            
(NA)	 我擦，以前看过多少这种剧啊！！            
(4星)	 小时候的觉得赵雅芝确实漂亮。现在就没这种感觉了。。            
(4星)	 刘德凯            
(3星)	 小学时的片。情节无稽，最早知道阿房宫就是从这里啦            
(5星)	 小学时候的经典            
(4星)	 三星半 当年哭的稀里哗啦的            
(5星)	 小时候 太子丹后来总算NX了一把            
(4星)	 雅芝雅芝~~            
(NA)	 多少年前的电视剧了 刘德凯一口一个阿芳。。。            
(4星)	 小时候挺喜欢看的。            
(3星)	 哎呀！当年啊！            
(4星)	 美得不得了            
(3星)	 虽然剧情很扯 但当年无比喜欢这两个演员~            
(5星)	 太过于经典了！这部！最记得赵雅芝弹琵琶的镜头！            
(3星)	 很小的时候看的了            
(3星)	 赵雅芝不愧为古装美女            
(3星)	 惊异这片我都看过！            
(5星)	 最爱之一啊，刘德凯赵雅芝、郑少秋赵雅芝都是相得益彰珠联璧合啊！看了这个，我从此力挺秦国，战国史学的超好。            
(3星)	 又是小时候的电视剧了            
(NA)	 我靠这都猜出来了豆瓣你强。。。            
(4星)	 歌曲，过场音乐！！            
(4星)	 那时候超喜欢的！            
(NA)	 很怀念            
(3星)	 死活想不起眼的是什么了            
(4星)	 记忆比较模糊了……            
(4星)	 小时候的记忆，那时候感觉很有趣。            
(4星)	 美好的回忆啊~~~            
(4星)	 那时候啊，是多少年前了，想起另外一部，戏说乾隆。            
(5星)	 其实是不会推荐别人看到·~09年重新看了一次，发现剧情太经不起推敲了。可是居然过了将近10年每个情节都记得一清二楚。看来我当年有多爱这部剧了。现在想起这部剧，回味起了童年的感觉，真的好想回到了过去的经历当中~···SIGH~···            
(3星)	 现在只记得赵雅芝很漂亮，其他的都不记得了。            
(3星)	 恩。。当时就是很奇怪为啥白素贞跟秦始皇搅到一起了            
(5星)	 无意中想起这部片子，那时候还没上小学的我被赵雅芝的美惊为天人，感叹刘德凯的嬴政痴情。现在看来虽然剧情有点小狗血，但与当下一些NC剧相比实在好太多了~~~~            
(3星)	 小时候看的 受不了刘德凯。。。            
(3星)	  非常无语的编剧。。刘德凯还蛮年轻的那时候。。            
(4星)	 怎么现在下载不到了？……遗憾……            
(3星)	 就是感觉阿房和嬴政不来电，别别扭扭的            
(5星)	 对这种片子,已经说不出它影响我有多深...            
(4星)	 小时候超喜欢            
(3星)	 婀旁女            
(4星)	 不是一点点的迷恋过。一度要背着父母看的            
(5星)	 前一阵陪老妈又看了一遍 还是好看            
(3星)	 只记得主题歌了 别的都忘光了            
(4星)	 很好看。不过演义出来的爱情都那么单纯。。。            
(3星)	 真是又臭又长的典范啊。            
(3星)	 小时候的回忆 一点点咯            
(4星)	 童年记忆之一。。。            
(3星)	 谁能猜得到赵雅芝的年龄啊这女人。。。            
(4星)	 赵雅芝是一直都漂亮。初见王思懿，美死了。            
(5星)	 重温十五年前，感情分无法割舍的五分，五分！！！！！！金戈铁马，梦回大秦。。。。            
(5星)	 当时非常非常喜欢看            
(4星)	 哦，美人儿            
(4星)	 主题曲很好听呀~~~            
(3星)	 啊哈记忆里一直是秋官演的始皇诶…            
(4星)	 那是一个赵雅芝的时代。            
(5星)	 小时候很爱看            
(5星)	 当年看得荡气回肠            
(3星)	 小时候看过这个，就喜欢秦始皇了            
(NA)	 小时候看多了电视剧，长大就成脑残，现在正在致力于脑残复原的工作。            
(NA)	 刘德凯，很帅啊            
(3星)	 看过一点而已            
(5星)	 剧中，秦始皇在统一六国的战场上遇到一对夫妻，得知那丈夫参军之前是位小木匠时，赢政挥手放过了他们。他脸上的表情细腻而独特，他一定想起了阿房，想起了美丽的阿房，想起了在赵国的童年，想起了从前他也是位小木匠，如果没有吕不韦的钻空子，也许历史上不会有秦始皇了，在民间只会多一个平凡的木匠。            
(3星)	 又名: 秦始皇的情人什么时候还有个又名。。还这么的。。。。。            
(4星)	 小时候我看过的连续剧还真不少！            
(5星)	 芝姐很美，很清纯，非常喜欢！            
(4星)	 赵雅芝太美了~            
(4星)	 这么多年了。我还记得此剧的情节，还记得主题歌。我真厉害。。。这是为什么呢。            
(3星)	 小时候看的,赵雅芝那时也很漂亮            
(3星)	 记得当初看的时候总是沉浸在赵雅芝演的白素贞中~总觉得白素贞怎么能受这窝囊气啊~            
(4星)	 也不知道某只小时候为什么那么喜欢看。            
(5星)	 http://movie.douban.com/pics/nst.gif            
(5星)	 爱情与政治的角逐。。。凄美爱情让人为之动容！            
(4星)	 在当年推荐推荐            
(NA)	 没看完，很喜欢里面韩非和那个绿衣女，不过想来不得善终            
(4星)	 完全忘记剧情了啊啊啊啊            
(3星)	 赵雅芝，不老的传说啊。对了，当年刘德凯喜欢狼嚎，搞得我们班男生天天都要嚎几声。            
(3星)	 不喜欢他俩的搭配……            
(4星)	 还是租的录像带看的，那时候知道现在还记得，邯郸大饺子            
(5星)	 小时候很喜欢赵雅芝~            
(4星)	 八肉八丝汤什么的最讨厌了~~~~~~~~~~~~~~~~~~~~~~~~~            
(4星)	 小学追着看的~~~又是一部童年回忆~~            
(5星)	 也是老的电视剧了，赵阿姨那是真是漂亮，╮(╯▽╰)╭            
(NA)	 看这个的时候 我老爱学狼叫……            
(NA)	 原来主角有赵雅芝姐姐，膜拜            
(NA)	 儿时觉得刘德凯好帅。            
(5星)	 小时候特别喜欢的~刘德凯和赵雅芝太配了~最后阿房死的时候可不能理解了~虽然后来知道原来历史上有的是e pang宫，而不是a fang~            
(3星)	 当年纯粹为了看芝姐。            
(4星)	 全看了，但是现在几乎想不起来什么了。光记得开头曲——“夷平六国是谁……”            
(NA)	 至今还是很喜欢刘德凯            
(4星)	 小时候跟着老娘一起追的电视剧            
(3星)	 还好有芝芝            
(4星)	 我的两个梦中情人，我圆满了            
(3星)	 那时候一直纠结“阿房”怎么读            
(NA)	 我始终搞不懂为什么刘德凯一直可以做风流倜傥的主角...            
(3星)	 也曾反复看了几遍，喜欢其中的歌舞。            
(NA)	 赵雅芝            
(4星)	 我喜欢秦始皇的那个侍卫和那个风骚的无间道老板娘            
(4星)	 根本就是个操蛋剧，但当年我是一集不落开开心心地看完的            
(4星)	 到现在还有印象呢~~~~~~~~            
(NA)	 当时太喜欢这对男女主角了。刘德凯又帅又有气魄，后来还看了他演的一帘幽梦。赵雅芝不用说了，有气质的美女，那时候她演绎的经典太多了，上海滩，新白娘子传奇。。。不过现在再看这部剧，觉得那时候人说话好文邹啊，假假的。情节也有很多漏洞啊。但是就时就是爱的死去活来~~~            
(NA)	 我记得小时候很喜欢的~！虽然那时候还是不懂事的年龄~            
(NA)	 额，除了记得我看过。。。啥也不记得。。            
(4星)	 在空调房间里看~            
(NA)	 不管多少年后，再看都一样那么那么地喜欢和感动~！以前的演员、电视剧拍的就是好，就是专业！！！！            
(5星)	 姐 爱死他俩了！            
(3星)	 赵阿姨那时候美的            
(NA)	 还有王思懿。。。？完全没印象，只记得刘德凯和赵雅芝。            
(3星)	 仅此一遍..            
(3星)	 看过看过。            
(3星)	 记得赵雅芝演阿房女来着。            
(4星)	 让英雄气短就惟有爱            
(4星)	 只是冲着男女主去看的。王思懿挺让人惊艳的             
(NA)	 07年又看了一遍。。            
(5星)	 天知道我当时多追这剧            
(3星)	 赵雅芝真是漂漂            
(5星)	 我的爱            
(4星)	 如果没记错，嬴政喊的是阿（a）房。多年后，学习《阿房宫赋》，想起当年这在连续剧中成了女孩子的名字，很无语。。。不过就连续剧本身而言，可看性很强。刘德凯，哇。。。            
(3星)	 小时候最爱            
(NA)	 小时的记忆，当时天天守到起看。            
(5星)	 最近又重温了遍，原来本片的名字是叫《秦始皇的情人》。。。但雷过后丝毫没减少我看下去的欲望，片中看到阿房哭泣的样子都会觉得心痛，明知会是个悲剧仍然看完了。才知，世界上不是任何看似完美的事情都会有完美的结局的。            
(5星)	 小时候经常看的片子，找出来重新温习            
(5星)	 青春的印记啊~~~            
(4星)	 觉得刘德凯叔叔那个时候还是挺帅的            
(2星)	 都是自己喜欢的演员，没想到会演成这样。            
(NA)	 就是这片子害我狂爱吃蒸饺。            
(2星)	 when i&#39;m a little girl~..........................................................................................            
(5星)	 《秦始皇与阿房女》经典的扮相，精彩的对白堪称古装电视剧的典范。阿房那一句“无拘无束，永不减弱”是爱之至境。那一段被战争吞噬的尘世间的幸福，却是永远摆不开的依赖。            
(3星)	 为了看赵雅芝 才看它的！            
(4星)	 当时看的还满开心的            
(5星)	 当时很迷，因为这个喜欢秦始皇~            
(3星)	 小时候 暑假追看的古装片            
(4星)	 当年好喜欢的一对啊，曲折啊曲折，虐心啊虐心            
(3星)	 虽然有些拖沓，但那个时代已经属于比较好看的电视剧了            
