http://movie.douban.com/subject/3126135/	雍正小蝶年羹尧
(3星)	 对庹宗华印象最深的就是这部电视剧，雍正的那个“血滴子”，囧。            
(4星)	 不是长得像就可以了            
(5星)	 上初中时看过，一直不懂为什么雍正要杀年羹尧。            
(4星)	 童年记忆            
(3星)	 至今分不清谁是雍正谁是年羹尧 = =            
(NA)	 我受不了哦，为什么90年代中期左右的戏我都看过呢。。。。。。            
(3星)	 90年代庹宗华帅度最高。那时候竟看了不少台湾剧，当时就没觉得好看过，阴森森的吓死个人。对这戏的记忆一是雍正篡改圣谕，一是吕四娘刺杀雍正飙泪自己是某文字狱之后的场景。而且敢情吕四娘是姜宏波演的，这难道是我后来一直觉得姜宏波惊艳的源头？            
(4星)	 最近大家都在看《宫锁心玉》忽然看到百度百科里说顾晓春后来改名为年羹尧，还说年素言后来居深宫养了很多蝴蝶，估计就是暗示她是小蝶。这让我十分惊讶，也觉得很无语，忽然想起小时候看到的一部电视剧，就是这个            
(3星)	 啊啊啊！！！就是这个            
(3星)	 事到如今我不得不承认这是一部烂剧            
(NA)	 这个我居然看过            
(3星)	 爸爸上晚班，一个人在家偷偷看的，忘了是几年级的事了。            
(4星)	 这个名字起得。。太值得深究了。。            
(3星)	 MS扫过一眼，还记得庹宗华的雍正扮相            
(4星)	 具体我记不清了 反正小学时候印象就是雍正帅呆了！！！            
(2星)	 拖拖拉拉的            
(3星)	 怪不得年羹尧这个名字这么耳熟。。。小时候看过啊!            
(NA)	 属于童年的记忆~            
(3星)	 小时候看的 老记得好像有段场景 打断谁的腿来着~            
(3星)	 小时候的事情全不记得了，电视剧一个比一个记得牢，这什么脑子。。。            
(NA)	 ~啊~怀旧~            
(NA)	 那时候我小学二年级。            
(NA)	 里面儿雍正是个虐待狂还是怎样，没看全            
(4星)	 第一部爱看的雍正戏            
(5星)	 小时候看得死去活来的            
(3星)	 偏执狂的爱~            
(3星)	 好狗血的一部戏，小时候居然很喜欢            
(2星)	 毫无历史根据            
(4星)	 记不清了。只记得小时候好朋友特别喜欢。。。            
(NA)	     看了《步步惊心》，突然想到以前看过一部有关雍正的电视剧，查了N多的台湾男演员的名字。才找出来我记忆中那张脸----庹宗华，小学二年级看的，还是印象深刻。特别喜欢小蝶，记得她白头发的样子。            
(NA)	 也是武汉的破落漏风的租房里 躲躲闪闪的日子里 坏坏的电视机没有闭路 跟妈妈一起的电视剧日子            
(3星)	 就记得血滴子了            
(NA)	 现在想想这剧情真狗血            
(2星)	 赓宗华好老。。。            
(5星)	 绝对不是99年的！！！！！应该是95年吧？？！            
(3星)	 小蝶小凤长一样，小时候有点受不了女主被性虐待。            
(3星)	 雍正真是太给力了。。。狂躁症啊喂。。。            
(2星)	 突然想起来小时候看过这个奇葩片.....绝对是虐恋情深的鼻祖！            
(5星)	 = =  我就记得片名了，其他的什么都不记得了。。            
(3星)	 忘了是小学还是什么时候看的，只记得片名。。。            
(3星)	 很久的电视剧了；剧情貌似很纠结，当年还挺爱看的~            
(3星)	 小蝶&amp;年羹堯實在是太苦情了~~            
(3星)	 居然有庹宗华啊            
(5星)	  庹宗华            
(NA)	 台腔太重，偏离历史            
(4星)	 ..............确实看过            
(NA)	 好怀念啊，不管电视剧拍得怎样，总是我最珍贵的童年记忆。            
(2星)	 雷            
(3星)	 居然还记得。记得很清楚，还将给上铺的月妈妈听~~哞~            
(4星)	 剧情都是浮云 星星给涂善妮庹宗华            
(4星)	 對庹宗華印象深刻            
(1星)	  最坑爹的四爷相关剧，没有之一            
(4星)	 只记得这个名字了。            
(3星)	 很小的时候看的，从历史的角度看，就是瞎扯。在此留个纪念~            
(4星)	 庹宗华 1            
(NA)	 妈妈最爱看的电视剧，如今物是人非。            
(4星)	 这个也有，跟我一个姓的台湾大哥            
(4星)	 小时候好喜欢。            
(3星)	 看清穿文是总会想起这部~            
(4星)	 有些东西一旦失去了，就怎么也找不回来了。            
(3星)	 狼太木恶狗……            
(3星)	 小学的记忆            
(4星)	 小蝶爱谁，我一直不懂。雍正爱的是小凤，只不过要小蝶这个替身了。最后，雍正也和顺治似的隐姓埋名了，和吕四娘一起，享受平凡的日子了            
(3星)	 好老好老的一部片子了，我是这么觉得的，是我很小很小的时候看过的            
(3星)	 这剧情简介谁写的？都不带喘气的...            
(NA)	 当时觉得庹宗华很帅            
(4星)	 大清            
(3星)	 雷哇~~~瓊瑤版的年叔叔            
(NA)	 看过5遍了，虐心啊，后来发现插曲来自久石让……            
(3星)	 太拖沓了            
(2星)	 看不下去……            
(4星)	 小时候无法理解着喜欢的一部片子            
