http://movie.douban.com/subject/1786740/	还珠格格第二部
(2星)	 如果说小燕子在还珠1是纯真的表现，很可爱的话，那么在2中就只剩下闹腾，装疯卖傻，想抽她            
(5星)	 我永远爱你小燕子姐姐 尤其当你折磨永琪哥哥的时候            
(5星)	 第二部还是很棒～～            
(2星)	 又臭又长……            
(4星)	 除了有点扯，其他都还好            
(3星)	 香妃很美，萧剑很丑，紫薇依然美，尔康愈加假~~            
(5星)	 经典！            
(5星)	 啊哈哈哈。现在放我还是会看的！            
(4星)	 闹剧。            
(4星)	 紫薇变得很贤惠。            
(5星)	 高一那年暑假第一次看的吧，我最喜欢里面的箫剑了，帅气、潇洒！            
(3星)	 我还看过这季的小说            
(2星)	 加它是为了说，那时已经有点脑子鸟~而且，一下子想起一句狠雷的台词·~“我们回民女子。。。”哇卡卡卡            
(5星)	 经典            
(4星)	 迷得一塌糊涂！            
(3星)	 就是长了点            
(5星)	 小燕子TT            
(3星)	 3.5。这部有点烦小燕子的咋咋呼呼了。100个智者也对付不了一个疯子，因为她会把你的智商拉到跟她一样。且这部开始穷瑶阿姨有那么点疯癫之相了。但对比起新版还珠，我愿意再加半颗星。            
(2星)	 又臭又长            
(3星)	 同1            
(3星)	 青海卫视 黄金档            
(3星)	 第二部有点勉强了，小燕子演过头了。            
(3星)	 - - 罗里巴嗦            
(NA)	 曾经应该是看过的。            
(4星)	 嚯嚯            
(2星)	 烂就烂了吧 还出那么多 我每天陪看好折磨的 5555            
(4星)	 ……            
(3星)	 很一般了，琼瑶从此沉寂，小燕子最后的辉煌            
(4星)	 之所以马克这么老的剧，是因为我爷爷长得特别像里面的萧剑！            
(5星)	 当年我看哭过看笑过啊！就是要给五星啊！五星！！！！            
(5星)	 经典不解释。            
(3星)	 歌比较好听。            
(5星)	 给我的宅童年五星            
(3星)	 小学时代和父母一起看的，不如第一部，但当时看来还不错            
(3星)	 渣了那么一些            
(3星)	 想当年！            
(3星)	 广告时长，可以和我哥打三盘扑克……            
(3星)	 过。            
(5星)	 其实在那时候算很火的电视剧，虽然现在觉得很傻            
(NA)	 毁了            
(3星)	 。。。。            
(5星)	 当时有一集我们家停电了，我们家人都跑到别人家去看，额。            
(3星)	 瘋過頭……            
(5星)	 再看再哭            
(4星)	 那是经典啊！！            
(5星)	 伴随我长大的电视剧啊。我的青春。            
(1星)	 垃圾……做作            
(3星)	 前两部还是可以的            
(5星)	 朱宏嘉的箫剑            
(5星)	 赵薇，林心如最美的时代。            
(5星)	 第二部依然很好看            
(4星)	 怎么说也是经典。。            
(NA)	 那年我小学，啥也不懂、            
(NA)	 著實又長又臭             
(3星)	 哈哈。青春阿。            
(5星)	 绝对可以算是电视剧史上的经典。            
(3星)	 记忆..翻涌...            
(5星)	 比第一部画面华丽            
(4星)	 持续了对第一部的热情            
(5星)	 神话继续。            
(3星)	 谁没看过呀            
(5星)	 当年好看到足以治疗肚子痛            
(3星)	 。。。            
(3星)	 居然看过这个···丢人。            
(3星)	 琼瑶奶奶啊……            
(3星)	 很搞笑虽然很俗套虽然湖南卫视放烂了可是还是喜欢怎么办            
(1星)	 肯定没第一部好            
(3星)	 逃不掉续集的命运            
(4星)	 不如第一部            
(NA)	 那时候那叫一个红啊～            
(2星)	 一个字，比第一部还傻！            
(4星)	 紫薇变美了，赵薇不那么美了……            
(4星)	 经典。            
(4星)	 拍的还是不错的。蛮有意思。            
(3星)	 拍到还珠2我们家就只有我外婆还追剧看了~            
(3星)	 么第一部好看            
(4星)	 大家都狂热            
(4星)	 第二部 前半部分很喜欢 到了逃亡 太久了 就不喜欢看了..            
(2星)	 那个时候的火爆程度 是全家上场呢            
(NA)	 当年我还兴致盎然地看了2。。。            
(4星)	 比不上第一部就是了            
(3星)	 也看了很多遍            
(3星)	 2显然不如1嘛！            
(4星)	 原版人马~~还是很好看！            
(3星)	 比第一部差了，主要出来忒多囧人            
(NA)	 我就记得刚放内剧的时候.正好是中央狂报道法X功的时候...            
(NA)	 我看了，这部剧依然顽固地向我证明了前摇滚女青年和整个世界的隔阂……不不～后来终于发现还是有一些和我同感的陌路人di～            
(3星)	 2没1好，比3好            
(NA)	 垃圾。            
(1星)	 我看过…            
(3星)	 开始胡编            
(4星)	  香妃死了            
(4星)	 湖南衛視的月經，每個暑假都播            
(5星)	 永远的经典            
(4星)	 当年很喜欢！1999.TV            
(5星)	 绝对的经典！！！！            
(NA)	 还是喜欢第一部，第二部感觉是剧情需要编出来的，尤其是....浪迹天涯的时候.太扯淡了.又是因为紫薇说回去就回去了.            
(5星)	 ！！！！！！            
(5星)	 最美丽的故事！没有之一！            
(4星)	 童年回忆=w=            
(4星)	 很经典啊 怎么分数这么低            
