http://movie.douban.com/subject/3660819/	魂断秦淮
(4星)	 片子本身没什么，但是看过这部后，别人演的多尔衮统统忽视掉！            
(5星)	 演员表第一个得是马千珊啊！            
(4星)	 非常的虐……            
(4星)	 那乌衣巷不姓王，莫愁湖鬼夜哭，凤凰台栖枭鸟            
(NA)	 居然有陈道明 我咋个不记得？？？小时候看的 我当时居然十二岁了。。。            
(4星)	 不记得多尔衮，只记得柳如是            
(4星)	 从这一部我才知道有位才女名叫“柳如是”，从这一部我才知道有位演员名叫“马千珊”            
(4星)	 歌超级好听:爱恨难了，为什么不能忘掉……            
(5星)	 ！！超喜欢当年            
(5星)	 主题曲和片尾曲都都很好听，柳如是实在是太美了。我怎么觉得和明哥饰演的多尔衮那么般配呢！！！            
(3星)	 当年觉得陈道明扮相颇囧            
(4星)	 爱片尾曲爱了好多年            
(4星)	 记得            
(4星)	 柳如是~            
(2星)	 披头散发令人纠结            
(5星)	 喜欢柳如是的才情，可惜这部剧又是虐的……最后没有几对终成正果……整个都很凄凄惨惨……            
(4星)	 当年多爱这部剧啊，风儿狂了 云却散了 　　风风雨雨有谁知道 　　一个声音还在梦里 　　那是我无法平静的心跳 　　爱恨难了 有什么不能忘掉 　　梦在梦里的往事是寂寥 　　痛在痛里的心事最煎熬             
