http://movie.douban.com/subject/2073623/	突围行动
(4星)	 编剧是不是故意不happy ending...非要死一两个人才叫新意...            
(3星)	 老套的TVB啊，我是为了学广东话加看马浚伟，不过除他的角色之外其他帅哥都死了……囧            
(4星)	 米雪和岳华老戏骨为剧加分 吴卓羲不演冲动大少爷 太有好感了            
(3星)	 看到杨思琦的一脸故作恶毒状我就难受……            
(2星)	 徐子珊你好雷！            
(3星)	 要不是吴卓羲和徐子珊做主角 这部戏完全可以打四星 徐子珊何谈演技 她根本可以把剧中人演成另一个样子            
(3星)	 没看全，不过貌似后半截还挺精彩的～            
(5星)	 记得吴卓羲死的时候。我哭啊。哈哈。            
(4星)	 马浚伟在里面好帅的            
(3星)	 情节弱智不过杨思琦很漂亮            
(3星)	 编剧很烂~            
(5星)	 突围行动             
(3星)	 好像电视上看的 = =            
(3星)	 绕来绕去要自己突围着看。马明死了真早!!            
(4星)	 阿進死咗~ 垂淚 T  T            
(NA)	 杨思琦演坏人也很棒            
(3星)	 朗表哥是谁演的啊~~~            
(4星)	 我就是喜欢马浚伟啊            
(3星)	 我美好的星期天都给了这些傻瓜剧            
(4星)	 港剧的落莫时代啊。剧情、配角多年没有更新就算了，但是连主角都用几张老脸强撑未免寒碜。新生代竟如此不济么？尤其是女旦，除却年轻，演技和相貌都让人伤心。难怪受众都跑向日韩剧欧美剧去了。            
(4星)	 万事难料            
(5星)	 很好。。马浚伟依然很帅            
(3星)	 全死光            
(5星)	 好看~            
(NA)	 我又ＴＶＢ老            
(2星)	 廖碧儿和陈芷菁好像啊～            
(3星)	 米雪的演技很出彩，奸诈无情，诡计多端。正义的较量，亲属的背叛，终究是一场倾其所有的战争。            
(4星)	 后面狂好看起来了。            
(3星)	 吴卓羲演戏真嫩得够可以            
(4星)	 那时候可不待见珊姐了.......废柴男RON。这剧就看CK妹了            
(4星)	 喜欢吴卓羲不解释            
(3星)	 演员不喜欢.            
(3星)	 记得藏于只狗的秘密            
(3星)	 米雪阿姨真是无敌~            
(3星)	 不喜欢结局            
(NA)	 07            
(3星)	 窝在寝室集体看的~花痴了下后来残了的那个，乖乖仔            
(3星)	 我又无聊了            
(NA)	 大概知道讲什么。。。            
(2星)	 不好看            
(4星)	 我爱港剧            
(4星)	 吴卓羲~~死的也太~~~            
(NA)	 太坏了。我没看完            
(3星)	 办公室政治的启蒙教育            
(3星)	 结局真让我失望            
(3星)	 为啥要日进死。。。TVB而已嘛。来个HAPPY ENDING啊。。            
(4星)	 奸角很出彩啊！            
(3星)	 有点雷的剧情发展~男主竟然像路人甲一样翘掉，囧！            
(2星)	 看了最后 只有反角出彩而已            
