http://movie.douban.com/subject/5384549/	倾世皇妃
(1星)	 一个老女人不服老的玛丽苏剧            
(1星)	 看这片让我有种自取其辱的感觉.........................            
(1星)	 书写的的确不行！！！！            
(1星)	 就林心如这眼光？拍的男人八辈子都没见过女人一样！鉴于评分超级高，给一星拉拉分数。            
(2星)	 说实在的，不太喜欢玛丽苏小说，虽然男主给力，但我受不了这种雷，林心如选剧本不给力啊            
(1星)	 比宫还不靠谱，玛丽苏是种病，得治            
(1星)	 第一集弃剧。没文化的皇上说自己的宝贝公主人尽可夫。编剧是脑残么请问。一星给霍建华的颜。还要无视那华丽丽的大皮草。            
(2星)	 加的那一星完全是为了霍建华和严宽。YY的小说可以无视，可电视剧一年就那么几部，就不能拍部正常的么！！！            
(1星)	 …………这种剧出现在豆瓣简直不让人活………………评分还敢这么高，豆瓣你怎么了豆瓣……            
(3星)	 弃~~林心如老了，两道华丽丽的法令纹~~而且这部片子没有女主角多好            
(5星)	 这本书才应该改名叫《步步惊心》啊有木有！！！越来越喜欢林心如啊有木有！！！自从她演活了窦漪房啊有木有！！！当年的紫薇是个潜力股啊有木有！！！            
(3星)	 片头曲真是太难听了！！！！！！我是来看小霍的            
(3星)	 如果霍建华是男主，如果结局是皆大欢喜，我想我会再给一颗星~            
(1星)	 光看片花就木有兴趣了，苦逼的三角恋。            
(NA)	 林心如那么老 为什么老演美女呢  严宽变胖了            
(2星)	 想到了之前热播的戏《美人心计》，里面俊男靓女也很多！那部戏剧情很精彩，演员也有好几个让人印象深刻的！尤其是几个配角如刘盈、慎儿等很抢戏，而林心如的演绎则还是比较肤浅、本色，人物刻画流于表面！这部新戏看了片花，觉得她只是换了朝代在演绎类似的美人！演技很有局限，木有啥真正的突破！            
(NA)	 在包罗电影网上看完的全集，心如也太自恋了吧。            
(5星)	 加油，心如!            
(2星)	 角色名字倒都起得很琼瑶            
(5星)	 矮油~~帅哥美女~~看着就舒爽            
(5星)	 在万象film上看完了全集，很喜欢严宽。            
(1星)	 20集之前4星，林心如每次发力发飙的时候最可看，惠英红真是震到我了，气场太强悍了；20集之后烂尾了，不值一提            
(1星)	 怎么没有无星的，只想个负分，完全媲美西门大妈的恶心剧情            
(1星)	 我说林大妈，你一把年纪了，就别装纯情玛丽苏了行不？另外编剧大哥，拜托您把初中历史搞及格在来行不，最起码得弄清“北汉”是啥意思吧            
(3星)	 霍建华太他妈倾国倾城了！！            
(1星)	 = = 我擦……我真的不能控制自己想吐槽这部剧的心情……从一开始浮夸的剧情和演员们浮夸的表演……还有太监“十分高超的武艺”……我就已经深深地厌恶到底……林心如也不能拯救我。。。我都不资道是书的问题还素编剧和导演的问题……算了吧。我不想深究了。            
(5星)	 林心如第一部自制剧，是如迷就先给五星再说!!!            
(2星)	 今天闲来无事，看起了《倾世皇妃》。我刹那间觉得《美人心计》也不是那么糟糕呀。套用胡一菲是经典台词，这年头果然电视剧剧评都比电视剧好看。            
(5星)	 我是看林心如来的。            
(2星)	 看在霍建华和袁弘的面子上。            
(3星)	 谁都有可能是别人的棋子。谁都有可能是敌方的探子。算计和反算计淡化了感情这条线，太勾心斗角了，角色过于纯粹，纯的像液体结晶出的固体，不含任何杂质。看的心颇累。女主角的角色被架的很空，不真实的让人有些恍惚。            
(1星)	 #倾世皇妃#这个剧简单来说就是一个百毒不侵的公主和某国皇子哥哥相爱了，和太子弟弟订婚了，后来嫁给了皇帝爹爹，却怀了别国太子的孩子，最后大家全死了。今天看了两集，第一集是林心如挨揍，第二集还是林心如挨揍，演个戏可真心酸啊            
(2星)	 两分给两个男主。。。完全女尊片，接受无能。。            
(1星)	 支持华哥，只看剪辑版！！！            
(3星)	 据说是林心如工作室的首部力作。继《还珠》后，紫薇格格终于又因为一波由90后推起的古装热而红了起来。古装扮相堪比数年前华丽了不少，但激动的劲儿没了。剧本烂透了，但也比《步步惊心》精彩很多，吐槽点还在台词：谁能告诉我心中最爱的皇后戴春荣五代时期还没有“我晕”这种词？            
(1星)	 每个演员都让我失望到内心奔腾而过无数羊驼。。。            
(1星)	 集SM，N角恋，小白宫斗，家庭伦理，科幻医术，玛丽苏，穿越，重生，雷人，CP，万能女主，恋母，幻想的多种流行元素于一身的大集合，中国古装剧的巅峰之作，秒杀宫和新还珠。没有最雷，只有更雷。同时验证芒果台在雷剧的道路上越走越远。            
(1星)	 一分星给严宽的颜，一分星给霍建华的颜……恭喜一对新cp诞生=。=就是这样了            
(1星)	 芒果台 参加的作品 自带避雷针            
(2星)	 我居然看完了一刚！虽然在欣赏过程中无数次有一万只草泥马在心中狂奔。如果美人心计里林心如是圣母，这里就是脑残了。挑战十八岁少女什么的就是为了活体证明“每个女星心中都有西门无恨の残梦”。歌曲唱得水油分离，剧情真的是支离破碎，最好看的是那坑爹的片花。            
(1星)	 电视剧无非求个让观众过瘾所以跌宕起伏，它偏要一路向谷底杀去翻不了身，以为把失火失忆失恋失态失势失心疯揉在一起就是成功了，无可救药。不过惠英红不愧是影后，这么不堪的剧本都能演得那么出彩。            
(3星)	 雷得够诚意，我爱花公公！            
(1星)	 你这个不知廉耻在外面偷男人的烂女人，你老公对你这么好被戴了绿帽子都把气咽回肚子里（连城的脑袋上绿得都能割草了），你居然还能打着真爱的幌子继续跟野男人乱搞！你说马馥雅和孟祁佑怎么能这么不要脸在别人的地盘上随时随地发情，你们是动物啊，你们就不能克制一下，一定一见面就要干柴烈火么。            
(1星)	 第23集里，三个皇子和皇上都争马馥雅，我靠，你们蜀国没女人吗，实在看不下去了！！！！            
(1星)	 给五星的朋友，你们是如何下得了手的            
(2星)	 呵呵呵呵我就是越来越嫌弃林心如，您老真以为自己还是当年那个大明湖畔的夏雨荷啊，腮帮子垂得都快跟我奶有一拼了，您美，您美，全世界您最美。片头片尾都往死里难听，结果一看演出表，瞬间释然了╮(╯▽╰)╭ 白豆腐你那身皮草..................完全找不到看下去的动力了抱歉OTL 刘涛小惊艳w            
(1星)	 一颗星给霍建华。。。你个白豆腐为嘛不去演《甄嬛传》啊？还有~方文山啊。。那真是你写的词吗？你是为了配合剧情才这么写的吗？“倾世皇妃 我不要 好累 ”累你二大爷啊。。。。            
(1星)	 林菇凉眼光太猎奇了，第一次投资就挑了这么个烂本子，看了两集雷的我都笑了。菇凉年纪也不小了，就别再跟杨函数、644她们抢玛丽苏市场了，在这么下去我真担心紫薇会走上西门小恨恨的路线。PS：要说这片子阵容也算强的，花钱给宽哥找个靠谱的配音演员就那么难吗？！            
(1星)	 看到海涛和吴昕就知道又是一雷剧，弃之            
(2星)	 台词被雷            
(1星)	 圣母玛丽苏女主，无脑剧情，浮夸的演技，那后期更是画虫点睛之笔。            
(NA)	 太扯了太扯了这编剧 比新还珠还要糟糕阿 可见再好的主演也拯救不了白烂的剧情            
(1星)	 一定是十一太累了，一定是我脑子进水了，一定是的！！不然肿么会想到瞅一眼这部剧……小说写得就很雷            
(1星)	 太雷了            
(1星)	 好剧本好题材好演员还能拍成这样真不容易啊            
(1星)	 玛丽苏无下限。            
(2星)	 哎，现在的古装剧啊，剧本怎么都往白痴、闹剧的方向走，很扯淡的剧情            
(1星)	 亮点是林心如那张垮了的脸！            
(1星)	 一个老女人的YY之路。            
(1星)	 这都是什么烂剧狗剧…            
(1星)	 雷啊，狗血啊，乱伦啊！！！！尼玛齐了！！！！！            
(1星)	 恶寒，把观众都当傻子了吗？这个剧情，这个台词，这个时间顺序也太混乱了把。小匡子一年之内就长成赵匡胤了，真神奇            
(1星)	 从美人心计开始我就预见了林心如将要走上一条玛丽苏的不归路了...果然渐行渐远啊...            
(1星)	 脑残到我实在看不下去了，弃！            
(1星)	 就是因为吴昕和海涛这两大白痴，我看完第一集就看不下去了。。。            
(1星)	 倾世皇妃，我不要，好累——OTLL作为只看过吐槽小剧场的就是来打个差评而已=-=            
(2星)	 这就是林心如的自我自我膨胀            
(NA)	 现在的古装剧啊，啧啧啧啧。除了连城就没我爱的萌点了。            
(2星)	 其实说实话，我就是为了看美男，真心觉得林心如有挑男人的眼光，至于这剧本身……本来小说写得就已经够过目即忘了！电视剧的剧情本身漏洞好多，细节注意的太不到位了…林心如演技欠火候，严宽在这剧没突破，霍建华演的很不错，老戏骨们就不用说了...后来34集看到连城挂了，我就默默跳到了最后一集。            
(1星)	 尼玛~！！！建议大家不要手贱点进去看~！！先不说我可爱的小霍不明不白的炮灰了，我貌美的宽哥哥被叉成了筛子，林心如大婶一把年纪还在装清纯的圣母玛丽苏，但是请你起码把这故事讲完好不？！！！我自认我看了不少烂尾小说了，但依然不明白这剧想表达啥，简言之，诸位男猪都是女猪复国的炮灰，全死了            
(1星)	 剧情还敢再狗血点吗！！！！！还敢吗！！！！！！！！            
(1星)	 真雷= = 玛丽苏傻逼小言。。。霍建华和严宽好帅啊啊啊            
(1星)	 看了第一集 早知道就不看了。。。太傻比 我觉得我瞬间也傻比了            
(NA)	 =。=            
(1星)	 1星给霍建华的颜。。。。            
(2星)	 天雷剧本+玛丽苏演绎，两颗星分别给严2和霍2            
(NA)	 1            
(1星)	 连成没好结果本来还冲着他取得、倾世皇妃，我不要，好雷。果断弃。            
(1星)	 太恶心了 = =    看了一集就看不下去了             
(1星)	 脑残啊……            
(1星)	 通过此剧我晓得了咩系玛丽苏            
(2星)	 一星给严宽，第一次担纲男主角，再苦B的片子也忍了。一星给给造型，这皮草，这发型，是花了大工夫的。至少都不是辫子头了！霍建华真心气质不行，皮草魁不起来，要是给严宽穿，效果应该好多了。可是两大帅哥也拦不出林大妈卖萌，拦不住天雷滚滚的烂片啊。            
(2星)	 太玛丽苏啊啊啊啊啊！！！！！！！！！！！两个帅哥也不能治愈我啊啊啊啊啊啊啊啊啊啊啊啊啊啊！！！！！！！！！！！！！            
(3星)	 嗷嗷嗷嗷，雷死我算了。一星给霍建华，一星分给坏人控洪小玲、变态弟弟、善良的花爷爷，温润的刘涛和路人甲乙海涛什么的，真心雷。您还敢再假点么？严宽怎么这么假的，说话调调好假，还有林心如您几岁了，还卖萌装嫩么？最后两集弃。            
(NA)	 宽宽~Mua！            
(1星)	 狗血，雷人，毫无逻辑            
(1星)	 疯一样的意淫，又长又臭的裹脚布。            
(1星)	 能给0颗星吗!!!!!!!!!!!!!!!还敢再坑爹一点嘛?!!!!!!!!!!!            
(1星)	 浪费了霍建华一枚大帅哥 马馥雅太不识货了 剧情也好狗血            
(1星)	 看此片，好像陪着林心如一起吃大粪，林心如你爱吃也就罢了，为啥还要塞给我吃？然后还要脑残的HIGH起来，一边装逼一边卖傻，现在换台都要小心，不要一不小心切中湖南卫视，那粪气真的是扑面而来，而且，明粪易躲，脑残难防啊！            
(2星)	 真心不好看！            
(2星)	 山寨裹脚布版《大奥》。            
