http://movie.douban.com/subject/2357272/	戏说慈禧
(NA)	 相比慈禧，我更喜欢的当然是何晴演得慈东。            
(5星)	 俺家高阳老爷爷的本子            
(5星)	 最美丽的情人总是藏在梦背后，别触动他一碰就凋落……小学四、五年级时初看该剧，我非常喜欢。            
(3星)	 没想到演慈禧的女主是大陆的。。。当时听台配音还觉得这女的蛮特别的            
(NA)	 从珊演得很好呢            
(3星)	 对何晴版的慈安太后印象深刻极了。            
(5星)	 要了解一个人，需要把他身上的光环或灰暗去掉。            
(4星)	 何晴的慈安太經典了，馬景濤的肅順很有型            
(NA)	 野史+正史。服装，演技都很认真。            
(5星)	 这女人总让人没办法忽略。该片也是拍慈禧拍得很棒的几部影片之一。            
(5星)	 童年的美好回忆啊，居然还可以看到，感谢互联网。。。            
(5星)	 最好的一个版本 每个人物都很赞 包括景涛哥版的肃顺            
(3星)	 在冬季的院子里，面容冷漠苍白的慈禧，沉默中却有一番硬骨，给我留下了很深的印象。            
(NA)	 我妈长得超像丛珊的            
(5星)	 一直觉得慈禧就该是这部剧中所描述的那样有血有肉，有爱有恨，有期盼也有无奈。她的得与失，情与怨，城府心机，狠毒残忍都被诠释的惟妙惟肖，入目三分。我不再仅仅仇视她，我也同情她。做为一个女人，在那样的时代，她有她的悲哀。当丧夫丧子之后，她也只能寄情于权力了。另外，传说和情生意动堪称经典            
(3星)	 就看了个第一集，还可以，不过比较受不了90年代的电视剧说话腔调            
(3星)	 40            
(4星)	 小时候看得片子，怀念。            
(3星)	 丛珊还是挺大气的  就是这细说慈禧比细说乾隆差不少啊            
(4星)	 荣禄，一声叹息            
(5星)	 最美丽的情感总是藏在梦背后，别触动它 一碰就凋落。            
(4星)	 好过内地的所谓大戏            
(4星)	 何晴那个柔美啊，丛珊那个霸气呀            
(NA)	 飞腾制作都是好东西。只是我们那一辈人，对晚清皇室感情太复杂，何况她砍了谭大人，与我有私怨。            
(5星)	 这一版里的美女真是多啊。。。相比之下现在电视剧里的所谓美女只能是母猴子了。丛珊演技超棒的，不怒自威。何晴演的母后皇太后端庄大方美丽温柔，印象极深刻。可怜的阿鲁特皇后，演员不是太熟，不过也是相当喜欢的。            
(5星)	 同行的人先走，后来的人揣测。唯一能确定的是，我来过。儿女细微心事处，在岁月里淹没。恭亲王邢岷山一身白衣太帅太帅，被咸丰冷落期间气质演的超迷人，和大格格的父女情也很感动。            
(5星)	 童年的回忆！！！超爱！！！            
(NA)	 张公子谈景涛兄时推荐《戏说慈僖》里的肃顺，才发现此剧原来是看过的...            
(5星)	 该片也是拍慈禧拍得很棒的几部影片之一。            
(5星)	 这应该是最经典版的慈禧了            
(3星)	 丛珊和张清芳的插曲            
(4星)	 每隔一阵子就要看看，喜欢经典            
(NA)	 我对耳饰的厌恶大概就从这儿开始的吧            
(5星)	 我喜欢丛珊。            
(4星)	 演慈禧的是北京人，当年我还看过她拍慈禧的访谈节日。当时觉得这戏好好看喔。果然从小我就喜欢清穿……            
(3星)	 看了一点点。            
(3星)	 其实应该给4星的，开始那个片头曲一直在脑海里！丛珊演得不错！            
(5星)	 大爱之一，美妙的回忆。            
(5星)	 难得            
(4星)	 因为看了这剧，一直觉得慈溪就该是丛珊这样的            
(3星)	 小时侯看过，喜欢何晴饰演的慈安            
(3星)	 丛珊挺好看的            
(3星)	 何晴演的美女每次都把女主比下去，但是丛珊很有气质，气场强大            
(4星)	 很美的两位皇太后            
(3星)	 兰儿~            
(5星)	 认识了丛珊，喜欢！！！            
