http://movie.douban.com/subject/4011034/	大女当嫁
(4星)	 “从23岁开始，我就和自己说，爱一个人才能和他一起生活。为了这个人，我等了10年。我不能就这样把自己对付了，不然我不就白等了么。大不了，我再等10年。”            
(4星)	 “从23岁开始，我就和自己说，爱一个人才能和他一起生活。为了这个人，我等了10年。我不能就这样把自己对付了，不然我不就白等了么。大不了，我再等10年。”             
(NA)	 背后有冷风，那是爸和妈一道道期许的小刀子一样的目光。。。我觉得编剧很阴险，但结局安慰了，用不着迁就谁，没有喜欢的，不嫁不嫁。。。            
(5星)	 这个剩女当道的时代，作为一个直挺挺站在剩女队列中的一员，怎能不看这样的剧集。虽然爱情快成为一样奢侈品，但依旧要相信你等待那么多些年的人一定会出现。就算全世界不明白你，总会有一个懂你的人。大雁内心经历的那些承担与坚持，孤独与艰辛终究会有一个好的结果。那就是来之不易的幸福。            
(5星)	 国产连续剧没有一部正经看完的，这一部例外。这些鲜活的人，似乎都似曾相识。我身边也有个叫燕儿的34岁单身女朋友，父母亲友近乎变态的关心，各种各样的相亲，新潮的低龄小男生，外籍的离异大叔，甚至那个爱吃甜食的可爱小老太太，真的是一点都不夸张。跟着小宋佳，哭哭笑笑一场，挺好。            
(4星)	 小宋佳真是个得着的好演员啊，演的都溢出了，看到于小伟这儿就知道到顶了，转了一圈还是在眼前儿的人，鲁园一定要长寿多演几年，是个难得高质又禁看的电视剧，就是这一家子人不着调的有点没谱儿，尤其刘星他爸，太脱臼了            
(3星)	 没人要没人要就5个男人轮着来，虽然挺真实的，不过对女主的评价只有5个字“活该嫁不掉”            
(4星)	 我超级喜欢剧里的奶奶~~好可爱             
(5星)	 周杰是不是很缺钱，自身人品已经不怎么样了，还去演这种角色。            
(4星)	 小宋佳 哥稀罕你            
(5星)	 好片！这片子看得我又是大笑又是掉泪！真好！我要努力生活！！！！            
(4星)	 女人，越老越沉，沉的像个铅球，扔出去，谁都不敢接。            
(5星)	 找个人，来爱我。只因华灯初下，已无可遁形。            
(3星)	 某些地方很假很牵强。            
(4星)	 笑死人了 那些相亲的二百五。。。片头片尾曲都很不错不过到了刘德凯的时候就受不了了 完全快进。。。            
(3星)	 三星半！啊那居然是小宋佳！啊看得我慌死了= =！            
(5星)	 我喜欢小宋佳。这片挺好看的。除了周杰- -！            
(4星)	 “我只是想找一个有感觉的人。这个要求算高吗？”            
(4星)	 我想找个有感情的结婚，难道很奢侈吗？！            
(5星)	 等了那么多年，不能随便，难到这么多年我就白等了吗·            
(4星)	 哈哈哈哈哈哈哈哈哈哈哈            
(5星)	 看得一把鼻涕一把眼泪，又哭又笑的。            
(4星)	 我喜欢看。。            
(5星)	 内地难得的&#34;偶像剧&#34;  典型的宁缺毋滥 还是很反应社会现实的             
(4星)	 只要坚信，就能遇到对的人。PS：我喜欢那奶奶。            
(4星)	 找个人来爱我。几个哥们儿没的说。            
(4星)	 宋佳演的不错，挺好玩儿的剧，奶奶超级可爱，哈哈哈            
(4星)	 还没看完，看完简介，不喜欢结局。喜欢小宋佳，喜欢刘德凯。            
(NA)	 1            
(4星)	 很喜欢那贪吃懂礼的超可爱的奶奶，看到她过世的时候我也哭得不行了...感情这回事，其实想想觉得真挺难的，呵呵，不喜欢就不嫁吧，周围的人逼得比谁都凶，看着真觉得心酸，让我又哭又笑...好歹结局总算完满，也希望每个人都能在谨慎的选择中找到自己想要的感情归宿和快乐生活...            
(4星)	 小宋佳演得挺搞笑~            
(4星)	 剩女们加油啊！！            
(5星)	 哈哈 小宋佳蛮可爱的            
(4星)	 “从23岁开始，我就和自己说，爱一个人才能和他一起生活。为了这个人，我等了10年。我不能就这样把自己对付了，不然我不就白等了么。大不了，我再等10年。”             
(5星)	 不得人要的我很有感触啊~~~            
(5星)	 女人过了三十就是麻烦。事业有成者，在别人看来那就是女强人，男人们看了还不被吓跑？坚守平凡岗位者，在别人看来就是要求太高、眼光太高，要不就是有什么不为人知的问题了。            
(4星)	 人往高处走，眼往低处瞅。。不是宁为玉碎不为瓦全，也不是破罐子破摔，更不是有色眼镜的双重标准。翻来覆去争取的----仅仅是王八瞅绿豆的机率，却也还是很难。社会不需要外强中干的女人，也不认可超凡脱俗的天仙，茕茕孑立注定成为疫情。进门一盏灯，出门一把锁的生活能占有多大市场？            
(5星)	 诙谐，感动，真实。            
(4星)	 我喜欢小宋佳，造型可端庄可妖艳。            
(4星)	 小宋佳❤   插曲也超好听            
(4星)	 奶奶很可爱            
(4星)	 有些东西还是值得等待的            
(5星)	 爱情或是婚姻，都不能将就！            
(4星)	 让我妈跟着看完我就觉得我危机了。。。            
(4星)	 喜欢小宋佳，什么都别说了            
(5星)	 好玩~喜欢宋佳~从23岁开始，我就和自己说，爱一个人才能和他一起生活。为了这个人，我等了10年。我不能就这样把自己对付了，不然我不就白等了么。大不了，我再等10年。”             
(5星)	 大龄女青年的真实写照。看了这部电视剧我才知道了小宋佳- -看来我是有点OUT了，范儿和演技和嗓音都很喜欢的演员。            
(3星)	 找个人来爱我，我害怕孤独！            
(4星)	 纵使一直觉着剧情强调剩女太过，但奶奶离开的时候，泪刷刷直落......            
(4星)	 当剩女只有几个人的时候，是个人问题；当剩女成群的时候，是社会问题。            
(4星)	 还是挺积极向上的么            
(NA)	 好戏，我想找个有感情的结婚 难道很奢侈吗 ？太经典了            
(4星)	 小宋佳的声音真好听。 ——PS：RK EP14            
(4星)	 太喜欢奶奶了            
(4星)	 其实她的要求很高的撒，还不承认，但她命比较好，最后还是等到了            
(4星)	 喜欢小宋佳，喜欢自己现在的状态。。。            
(4星)	 我也是大女。大雁无理取闹时，程闯那一个坚定的拥抱~真温暖。这样的男人不错            
(4星)	 为了那一份爱情的执着            
(4星)	 没怎么仔细看。但是听到片尾曲时心里会咯噔的一下。            
(5星)	 很能感同身受，很喜欢小芸，很喜欢肖唱的片尾曲！特别是那声“哎”，“哎”到我心坎里去了！            
(4星)	 “从23岁开始，我就和自己说，爱一个人才能和他一起生活。为了这个人，我等了10年。我不能就这样把自己对付了，不然我不就白等了么。大不了，我再等10年。”             
(5星)	 非常不错，体现出当代剩女们的真实心理。喜欢小宋佳，演什么像什么，真棒！            
(5星)	 很可爱的一家子.一个人窝在家看,大笑特笑...邻居还以为我疯了呢...            
(5星)	 喜欢小宋佳，这部电视剧太适合她了，她在戏里的的家庭很让人羡慕，虽然总是斗嘴，吵架，但很生活！奶奶更可爱！            
(4星)	 哎！找个人来爱我！            
