http://movie.douban.com/subject/1304397/	欲望都市  第一季 Sex and the City Season 1
(4星)	 一口气追完的美剧,怀疑看了这部所以现在比较爱无能            
(5星)	 欲望都市里，mr.big是真正的从喜欢到爱上再到唯一至爱的carrie。而且我不仅理解mr.big的行为，并且觉得他是剧中最cute最有魅力的人。相比之下那个国内山寨版本的mr,big就恶心死了，举止怪异，性格乖张，言语暴躁，避重就轻不负责任，就一jerk            
(1星)	 看了七集，实在受不了了，这四个阿姨真是有病啊            
(4星)	 惊世骇俗的开头，结尾却大家都屈服了平淡的幸福．每个人都没有找到理想当中的，或者是在现实中找到了不同的．．这是很棒的剧本．就是，但愿别再折腾下去了．跟不完美的现实妥协吧．爱情是没有完美的。            
(5星)	 很多朋友说，这是教女人学坏的一个电视剧。可是个人认为是女性成长的一段经历，不论是朋友、恋人还是家人，四个女主角都经历了不同程度的成长。恩，很美好。            
(2星)	 全部看完了也没觉得喜欢，如果没有那些流行元素，实在乏善可陈。编剧在最后一季还算正常了些，但是前几季实在太欠揍了            
(3星)	 大概同时在看好几部剧的关系，对都市女人剧似乎没什么feel。            
(5星)	 欲望都市是我的美剧NO.1是我的Love Bible是我的命            
(5星)	 每一集的提出疑问产生矛盾然后释怀，前五季慢慢变成隐形人加入她们的人生分享一切。到第六季就开始准备好随时感动大哭，错过艾登这个好男人，幸好有大人物并且到巴黎带凯莉回家。之后重看一遍电影版，除了女孩们真的已经开始变老了没人能阻挡我对她们的爱，它绝对是女人的教科书，永不过气。            
(3星)	 出名到让我找来看了几集。            
(5星)	 我的最爱啊！！！！            
(3星)	 不是我的菜。可能我是性冷淡。            
(5星)	 口语，我就拿它练了！！            
(NA)	 几个中年妇女发梦罢了，还算好看只能说，我能坚持都看完，真不易            
(3星)	 喜欢律师女和公关女            
(5星)	 好看好看~            
(5星)	 2007年，终于看了            
(4星)	 鞋子!!!!            
(4星)	 也许是真实的一面，不是很经看。            
(5星)	 最近没什么可看的，就追老剧看吧。            
(5星)	 还是老的好看            
(4星)	 纽约荡花            
(4星)	 确实是神作            
(5星)	 觉得这是永远无法超越的，这么多年，还是那么喜欢Kerry……            
(5星)	 用了十二天看完~太棒了            
(5星)	 大三理论课            
(5星)	 经典！            
(5星)	 大先生真可爱，谁能不爱上他呢？            
(5星)	 每句台词我都想背            
(5星)	 那么多男人。            
(5星)	 女性意识与女性成长，            
(NA)	 好朋友比好爱情来得坚挺            
(NA)	 先看电影，再看剧集。            
(4星)	 我爱这个剧            
(NA)	 没看完            
(3星)	 还成  吧            
(3星)	 挺无厘头的，只能说不适合我。            
(4星)	 每一个女孩 都渴望遇上她的长腿叔叔！就似Carrie永远迷恋她的大人物Mr.Big一样！            
(4星)	 都市女生，可以考虑看看。作为都市单身女生，一定要看看            
(5星)	 十年一梦            
(5星)	 不错~ 可没看完、、、            
(5星)	 08年7月到09年2月 终于看完了            
(NA)	 有点……但是好看！经典！            
(5星)	 Great show!            
(NA)	 欲望都市            
(5星)	 欲望城市。            
(4星)	 男女关系博物馆            
(NA)	 借着友谊的力量继续向着自己的理想往前走            
(NA)	 最近电视在播，所以就看来着，还成比想像的好            
(NA)	 六年之后, 萨拉·杰西卡·帕克 成了 Carrie Bradshaw 的影子            
(NA)	 :)            
(5星)	 和性有关，不仅是性。            
(3星)	 美剧的启蒙。            
(4星)	 那些态度和观点。那些态度和观点。主要看前面3季的Carry和Mr.Big,还有艾登.            
(NA)	 我的最爱            
(5星)	 一定要看的 我跟进了六年            
(4星)	 sex and the city 欲望都市            
(5星)	 我爱这四个女人，泪流满面的爱她们            
(NA)	 很好看            
(5星)	 我的最爱…………5颗星星太少。。。            
(5星)	 经典            
(5星)	 美剧最爱            
(NA)	 虽然这是个阳光充足的秋天，可阳光，并没有晒暖忧郁，阳光，晒不开一个个化不开的答案。            
(5星)	 诸多美剧中最深刻，最耐回味的一部。            
(NA)	 片名中文應該翻譯成 欲望曼哈頓 好嗎。請注意the city的意思。            
(5星)	 上学期所有的都看了            
(5星)	 还特地买了送内衣的珍藏版            
(5星)	 偶最爱的一部            
(5星)	 性与爱情观的探讨。女人情迷，上瘾中。            
(5星)	 一部经典的女性之作。            
(5星)	 Promise me  you will always be around even when we become old sluts.            
(4星)	 论点精辟···            
(5星)	 我就喜欢美剧紧凑的剧情            
(4星)	 Kleiner Schwanz wie ein Bleistift  Hahahahahaha            
(4星)	 感想有二：不想做剩女；有个G蜜真好            
(5星)	 恋爱教科书，十几年前。。            
(5星)	 断断续续看了两年余，确是可堪称教科书。出乎自己意料之外，看到最后竟最爱samasa，只有她可堪称榜样。最后半集从凯莉蹲在酒店大堂抬头看见Mr.Big开始一直哭到最后。            
(NA)	 Miranda多可爱            
(3星)	 不得不感叹还差美国20年，不过故事还真没啥意思            
(4星)	 Mr. Big            
(3星)	 如此男权。            
(3星)	 电影和电视剧什么区别呢            
(3星)	 其实男人也不容易 有时候觉得女人就是无理取闹~支持无爱sex~哈哈            
(3星)	 一群事儿妈活该没人要            
(5星)	 我又看了。。            
(4星)	 其实我没看完orz            
(5星)	 黄伟文说：“沉闷永远是现实生活的特权。”尽管不喜欢edding，但戏里迭起的高潮，眼花缭乱的邂逅，女人的情谊，对自己和生活的嘲弄，满满的爱（真相），都让我觉得好好看啊！！！            
(5星)	 看过新版预告，回望老版感慨良多。            
(5星)	 电影相比之下就是一砣屎            
(2星)	 没劲，看不下去。            
(5星)	 that&#39;s just fabulous            
(5星)	 我每次煮面食都会睇一集sex and the city.            
(2星)	 对老娘们那点BB事儿不太有兴趣            
(NA)	 嗯，衣服有漂亮的，那个老女人有点可爱            
(4星)	 零星的看过。            
(4星)	 I`M FUCKING LOVING YOU.I love u too but I love me more. Can women have sex like men?             
(5星)	 BIG头好大哦～巨人码子，38岁的女人还是可以活的老好的。            
(NA)	 2008-11-02看的            
(5星)	 严重影响了我人生观的一部美剧，用了1个星期就把6季全看完了            
(4星)	 我会幸福的            
(5星)	 重温第三遍中            
(4星)	 我知道我们是一国的，我们分享，我们温暖，我们勇敢的爱上爱情..            
(NA)	 大大的推荐唉            
(NA)	 everyone is a slut            
(4星)	 老娘要像Carrie一样潇洒            
(5星)	 恋恋不舍的看完，历时两个月零三天            
(4星)	 四朵金花            
(4星)	 女人看            
(5星)	 很喜欢她们的乐观独立            
(3星)	 前面几季好过后面的。最后一季最滥。            
(3星)	 随波逐流的喜剧            
(NA)	 各种爱情观 各种性生活 渴望的友谊            
(4星)	 太多sex受不了            
(5星)	 电影版也出来了            
(4星)	 最爱Samantha，abso-fucking-lutely &amp; starfucks            
(NA)	 值得一看.            
(NA)	 我看的首部美剧，也是很欣赏的一部            
(4星)	 姐妹們的聚會好HAPPY！！！蛤~我們也一樣！！！            
(NA)	 have all the dvd            
(5星)	 起初不是很能接受。            
(NA)	 没看全            
(NA)	 i love it            
(5星)	 哇咔咔~            
(3星)	 第一季            
(5星)	 Can&#39;t love it more~            
(5星)	 so much love about this...            
(4星)	 Mr.Big  哦 something else 有大男人爱的小女人~~~            
(5星)	 美剧挚爱之一。            
(5星)	 必须是经典了            
(3星)	 是因为不是和时代同步看的原因么？丝毫没有20分钟剧的爆点/笑点...平淡的女人事            
(NA)	 想看啊            
(5星)	 只有女人和同志能明白经典在哪里            
(4星)	 .            
(5星)	 终于看完了。            
(5星)	 很经典            
(5星)	 喜欢mr big            
(5星)	 第一季的风格脱离于其他几季，成形期，也很精彩！            
(5星)	 没有看到这部片子的是伪美迷            
(5星)	 非常棒！！！原来mr.big叫john……哈哈哈            
(4星)	 完整看过,还有英语听力记录,累...            
(5星)	 无敌最爱            
(NA)	 what more can i say.老子的landmark no.2            
(5星)	 大二。赞极。            
(5星)	 确实很精彩`            
(5星)	 好看必看            
(NA)	 女人从来都是迷茫的。            
(5星)	 超级喜欢的一部美剧            
(NA)	 很喜欢            
(NA)	 big應該是水瓶座的、            
(5星)	 我最爱的美剧。            
(3星)	 虽然接受不了如此开放的言行，但探讨的问题确是人类共有的——in an explicit way.            
(5星)	 很好！            
(5星)	 第一部全看完的美剧，后来又无数次重看！喜欢里面4个女孩，从她们身上我看到女人琐碎而不乏精致的情感！世上没有一个丑女人，每个女人都应该并有权利得到一份最完整的爱！我想在感情上我还是一个彻头彻尾的完美主义者，我无法说服自己屈从于现实，这就是我的宿命吧。。。            
(NA)	 自我荼毒            
(NA)	 单身挺好            
