http://movie.douban.com/subject/2295767/	魔刀侠情 魔刀俠情
(4星)	 原来就是这个，小时候让我念念不忘的武侠剧。最喜欢他们刚认识时，在屋顶聊天，谈诗，看星星的时候。            
(4星)	 雷人啊雷人            
(4星)	 八大门派死出来跪迎丧贴！XDDD倚天+笑傲+天龙+神雕+雪山。。式的kuso能不好看么！！！主题曲好听得要死啊。片尾曲作词作曲竟然都是温兆伦？！宁同万死碎绮翼，不忍云间两分张。人生如渡客，偏有千世恨。紅日到斜落方最美。任千秋寫滿贊與罪，無奈我仍是最爱你。            
(4星)	 都是那时喜欢的，，，            
(NA)	 我终于找到小时候的那部片子了。哇哈哈哈            
(4星)	 明明知道结局，为什么看到最后还是哭了。洪欣真是个美人胚子。            
(4星)	 小时候看过好像            
(3星)	 洪欣和蔡少芬都是美人            
(4星)	 好年轻的蔡少芬            
(5星)	 很好看的经典，歌也好听            
(4星)	 曲忍又坏又帅，无敌无敌！            
(3星)	 小学四年级还是五年级 在北京看的。记得第一个镜头就是一个草上飞的男人~            
(5星)	 大爱啊。喜欢曲兰陵。雪儿的扮相也不错。            
(NA)	 真的没认出蔡少芬            
(4星)	 那时蔡少芬的脸型像黎姿。            
(4星)	 苍天啊，我当时纠结着洪欣和蔡少芬哪个更好看！            
(5星)	 旧梦依稀！            
(NA)	 ..只记得剧名了            
(4星)	 宁同万死碎绮翼，不思云间两分张            
(NA)	 为什么那时的粤语歌都如此美好？            
(4星)	 很喜欢里面的洪欣            
(4星)	 那就谁都不要喝            
(3星)	 小时 就觉得蔡少芬的古装颜  无敌            
(4星)	 温兆伦，洪欣            
(4星)	 我记得貌似里面有乱伦................            
(5星)	 很好看的电视剧，融合了很多知名的武侠小说的影子，小的时候看的我肝肠寸断啊            
(2星)	 《绝代双骄》＋《倚天屠龙记》剧情。地下城城主，天一教教主，移天神宫宫主，昆仑族长，出来的全是大BOSS！            
(NA)	 洪欣真美            
(4星)	 小时候看的时候觉得洪欣太屌乱了            
(4星)	 90年代的古装剧都不错，虽然我对这部剧已经没什么印象了哈。            
(5星)	 一边是雪儿，一边是曲兰陵，一个是白玫瑰，一个是红玫瑰，一个是你，另一个是她，这让我如何抉择            
(4星)	 当年很喜欢洪欣啊             
(5星)	 尾毛是93年的，明明印象中还没有搬家啊            
(4星)	 宁同万死碎绮翼，不忍云间两分张。很怀念的一部武侠剧，就是结局惨了点，洪欣真美！            
(3星)	 小时候的记忆，哈哈            
(4星)	 对一戒和尚和青青的故事，一直记忆犹新            
(3星)	 很多很多年前的片子，当年我竟然只看了开头，没看到结尾，万恶的读书啊            
(3星)	 很早的古装爱情戏，记得漂亮的雪儿~~            
(4星)	 当年印象最深的是一个人身上的皮被扒了下来，还被抢成了几份~            
(5星)	 聂抗天为什么就是不喜欢古雪呢？            
(3星)	 曾经也喜欢过蔡少芬的啊            
(5星)	 我看过的第一部武侠剧            
(4星)	 突然怀旧想起来标记下            
(5星)	 小时候 我一直在 纠结 该喜欢 哪个女生              
(4星)	 除了兰陵的漂亮之外，这部剧并没有特别出色的地方。第四颗星就当是给温sir，或者是给主题歌的吧。。            
(5星)	 我很小很小的时候看的，印象最深的是戏份多很多的那个女人被炮灰了，正主是我很喜欢的傲娇魔教女。然后女主被她义父强暴，以及最后结局两人在雪山上等死。最近突然想看，以为是吕颂贤和翁虹演的，结果用剧情搜，才发现是我很喜欢的洪欣！现在来看也依旧觉得很好看！那个结局实在是很美很美。            
(3星)	 共生死            
(4星)	 小时候寒暑假回老家时地方有线台最难忘的回忆。            
(5星)	 在天涯上看到一个帖，一个下午和晚上就重温了这部剧。。。记得当年我喜欢的是雪儿，现在却觉得兰陵比较好。。。现在没有什么好看的武侠剧罗。。            
(3星)	 记得片头一幕，曲兰陵在竹林飘掠而过，枝叶把她的半截面具轻轻挂去 。。。            
(5星)	 初中的时候狂迷这部片子，到现在记忆里只剩下男主角叫什么抗天，女一号美得要死，女二号可爱得要死。在天涯在一个怀旧帖无意中看到这部片子，不过楼主说女一号比女二号差得远。导致我怀疑了下当时自己的审美观。还好找来视频一看，恩，我依然觉得洪欣美得要死，即使我审美观有问题，还好这么多年没变。            
(3星)	 两大美女            
(3星)	 雪儿很可爱            
(5星)	 宁同万死碎绮翼,不思云间两分张。唉。。。。。。。            
(5星)	 很多年后才想起，那个胖妹儿就是蔡少芬            
(2星)	 不太记得了            
(4星)	 喜欢兰陵，最爱一戒，哈哈～            
(4星)	 记不住什么了，但是男主最后病到须发皆白还是印象深刻            
(NA)	 洪欣演得姐姐曾经萦绕于我梦中多年            
(NA)	 魂牵梦萦了十几年啊            
