http://movie.douban.com/subject/2157130/	金粉世家
(4星)	 男女主人公再没有超出这部作品的作品            
(5星)	 中考前紧张时间里唯一奢侈的享受，晚自习回家还能看上一集。这世上除了董洁再没人能演出清秋的寂美，葡萄藤下低头，胡同里逆光的稿纸纷飞。林花谢了春红，太匆匆。无奈朝来寒雨，晚来风。胭脂泪，相留醉，几时重。自是人生长恨，水长东。无言独上西楼，月如钩。寂寞梧桐深院，锁清秋。剪不断，理还乱，是离愁。别是一般滋味，在心头。            
(5星)	 其片头及片尾曲，觉得是所有影视作品里和内容镶嵌的最好的了，完全融为一体。由《暗香》的青春浪漫开始，到《让她降落》无奈感叹中华丽落幕，中间的，便是金粉世家众生相的演绎了。            
(4星)	 张恨水遇上董洁，才有这样的金粉世家            
(4星)	 多情自古伤离别 更那堪冷落清秋节            
(4星)	 陈坤是那个年代跨越时空来的吧            
(4星)	 让她降落。            
(4星)	 这个东西害人不浅，从此以后我不在相信婚姻...当年我13，4岁吧..            
(5星)	 陈坤贡献了最好的表演            
(4星)	 我喜欢里面所有的女子 爱恨情仇都那么深刻 尤其喜欢董洁和她手里的那一盆百合            
(4星)	 犹记当年陈坤英俊…现在他长得越来越像亮爷了…囧·　            
(4星)	 恣意妄为，飞扬跋扈，不可一世，独断专横，是金家少爷的特征。无论是老大，还是老七。在错误的时间遇见了他，一切都被改写。不同的生活环境，不同的人生理想，让他们渐行渐远，最终分道扬镳。爱情，是不可挽回的错误，一切只剩下淡淡的回忆。            
(4星)	 刘亦菲很丑            
(4星)	 金燕西&amp;冷清秋.            
(5星)	 因为这部电视剧喜欢上陈坤和董洁.张恨水的故事,荡气回肠,感慨万千..一遍一遍看里面的对白.还有主题曲和片尾曲都非常的好听.            
(5星)	 近现代红楼梦，大人小孩都爱看；董洁为什么要嫁给潘粤明，5555            
(4星)	 金燕西啊~~            
(5星)	 陳坤哥哥，誒            
(4星)	 喜欢里面的董洁~最后结局是啥来着~会被柳永的这首诗也是因为这部剧。            
(4星)	 更哪堪冷落清秋             
(4星)	 哪堪冷落清秋            
(5星)	 陈坤演得不错。            
(4星)	 语文课代表说：“现在晚读，大家把《金榜世家》（实为《世纪金榜》）拿出来~            
(4星)	 想起初三自习回来还硬赖在客厅不走的情景...当时很爱            
(4星)	 时代的悲剧？结局让我内伤了好一阵。            
(5星)	 当年是多么爱董洁啊！记得该剧帅哥美女一大把            
(4星)	 一大片的葵花田            
(4星)	 陈坤。            
(4星)	 好一个冷若清秋            
(5星)	 陈坤的七爷和董洁的清秋，不知叹了多少回            
(4星)	 两个主角真真是选对了人，董杰纯的百合花一样一样，陈坤，忧郁的纨绔也恰倒好处。            
(5星)	 “我无论做什么，你都不会爱我了，只因为我不是你要找的爱人”——忘不了这句表白~~~            
(4星)	 向日葵那段，太美了。            
(5星)	 陈坤 董洁 啊啊啊            
(3星)	 想打飞机就看这部吧            
(4星)	 必须陈坤·～            
(5星)	 第一次发现董洁好漂亮啊。不过现在已经嫁给了潘粤明。所以现在看来这部电视剧感觉是很遥远的事情了啊。            
(4星)	 喜欢陈坤 嘿嘿            
(5星)	 最近突然覺得這劇好文藝也好僑情。。半夜在看            
(4星)	 董洁最美的扮相，内地气质最好的女演员，优雅清丽的百合~而那时初露峥嵘的刘mm，还只是嫩雏，容貌美则美，但缺灵魂~            
(5星)	 画面美，和梦一样；清秋和仙子一样。            
(4星)	 冷清秋非得董洁演不可            
(4星)	 我太喜欢冷清秋这个名字了            
(4星)	 初中看的 那时候觉得特好看 冷清秋 酒不是个凡人能叫的名嘛            
(4星)	 鸳鸯蝴蝶派            
(4星)	 一面燕西一面清秋.            
(4星)	 我喜欢的男女主角            
(4星)	 寂寞梧桐深院锁清秋            
(4星)	 一下子喜欢董洁了            
(5星)	 结尾那叫一个惨..            
(5星)	 冷清秋——此人只应天上有            
(4星)	 认识不少对胃口的艺人。            
(4星)	 哪里再找一个未婚的董洁            
(4星)	 董洁简直就是一朵美丽脱俗的出水芙蓉~            
(4星)	 京华春梦了无痕            
(4星)	 更哪堪冷落清秋。            
(4星)	 深情开始，却是悲情一桩。            
(4星)	 来不及珍惜            
(5星)	 犹见小怜和  固执的喜欢冷清秋            
(4星)	 喜欢陈坤            
(5星)	 央视社会与法频道。我要任性的打五星。张恨水牛逼啊！            
(4星)	 喜欢董洁            
(4星)	 陈坤 叼  董洁 清纯  结局值得猜测 推究            
(4星)	 陈坤和董洁，都还满喜欢的，只是我只喜欢前面那些，后半部分不愿看            
(4星)	 當時很愛看，可能是年少無知吧，竟然很喜歡那種不可能的愛情故事，燕子去了有再來的時候，楊柳枯了有再青的時候，桃花謝了有再開的時候，有誰能告訴我為什麽我們的愛情一去不復返了呢            
(4星)	 从这个时候开始，爱上了“董洁”。            
(5星)	 金燕西，你为什么叫做金燕西            
(4星)	 陳坤！陳坤！            
(5星)	 冷落清秋。。。            
(5星)	 一朝梦初醒 伊人已离去            
(4星)	 陈坤很帅个            
(4星)	 两位主演我很喜欢。            
(5星)	 &#34;燕子去了，有再来的时候；杨柳枯了，有再变的时候；桃花谢了，有再开的的时候。有谁能告诉我，为什么我们之间的日子一去不赴返了。&#34;            
(5星)	 著名小说做剧本 一群有才气的演员（某菲不算在内）特别让我知道了董洁～            
