http://movie.douban.com/subject/4202127/	读心神探 讀心神探
(3星)	 一個人格分裂的案例TVB你準備用幾百遍!!!!!!            
(4星)	 《lie to me》我看过第一集，《读心神探》的确是完全抄袭那个开头啊。不管是抄袭还是借鉴，TVB拍得还是很不错的，我喜欢。            
(NA)	 让我觉得是神探加利略完了又lie to me，TVB也芒果了么?            
(1星)	 太粗糙了，里面的东西好刻意，简直没法同LIE TO ME 相比啊            
(3星)	 剧情什么的都是浮云，看香港警队的帅哥才是正经事。            
(3星)	 這不就是抄lie to me么=        =            
(NA)	 抄归抄，居然还合体了            
(2星)	 拙劣啊… - -毁了林保怡了，十分钟弃            
(4星)	 TVB版的 LIE TO ME，大结局的真唐突            
(4星)	 案子的设计还是挺用心哒~~~            
(2星)	 多么热爱林保怡，多么喜欢大块田，多么迷恋黄宗泽，也真看不下去。抄袭完《神探伽利略》后，又开始折腾《lie to me》。。。            
(2星)	 都山寨了还要拉上自家的家庭纷争戏码TVB你真是烂泥扶不上墙。            
(NA)	 不知道是该说我长大了，还是TVB衰败了。。。            
(NA)	 林保怡嘔心鉅獻。怎麼無線的編劇讀甚麼書都太易猜呢。            
(3星)	 还好只有20集            
(3星)	 和lie to me比。差距啊            
(4星)	 我覺得ok~            
(3星)	 港版的别对我说谎么。=-=！            
(3星)	 lie to me香港版咯···            
(3星)	 和某人YY了下林保怡，然后还看着看着就睡着了。。            
(3星)	 林保怡。。你知不知道你在我心中是最帅的啊。。。。。干嘛要演这种大烂剧！            
(5星)	 熬夜三天把20集全看完，啊~ 我还是那么中意林保怡啊~~ 啊~~ 啊~~             
(3星)	 剧情是有多么的幼稚思密达啊，还读心神探呢，我都能猜出来谁是凶手了，我是奔着黄宗泽来的思密达。            
(3星)	 开头很好接下来烂            
(2星)	 山寨脑神探？            
(1星)	 好垃圾。。。            
(3星)	 翻版什么的，只是结合了中国特有的八卦            
(3星)	 3星是我极限了            
(4星)	 案情不够爱情凑嘛……            
(3星)	 消磨时间时还是可以看看的            
(3星)	 陈总家里几天。            
(3星)	 读心，读来读去累不累啊。            
(1星)	 垃圾！            
(3星)	 完全为了看田蕊妮咯！！！            
(3星)	 山寨            
(4星)	 人生第一部港剧            
(NA)	 陪别人看的...            
(2星)	 拙劣的模仿，2星是给林保怡的。            
(4星)	 作为港片迷，也算是这几年难得比较紧凑的了，当然有点诱捕的嫌疑，而且啰啰嗦嗦分析也挺讨厌的，虽然山寨lie to me，但是有什么关系呢，大家不都在抄嘛！            
(4星)	 好看》《~大爱~集数太少了好可惜~很受用的~            
(3星)	 Bosco            
(4星)	 比想象中好看            
(NA)	 真的很難看。            
(3星)	 模仿美剧够了            
(3星)	 微表情，动作分析什么设计的都挺刻意的，不自然。我看到一群成年人在兰桂坊比转笔，我觉得他妹纯粹为了勾搭黄宗泽，仰天长叹！最后几集蛮有TVB的路数的。能有心去走美剧概念，也不知道是好是坏。            
(4星)	 一开始感觉在抄袭Lie To Me，后来回归港味风格            
(4星)	 嗯嗯，不愧是好久不见的Bowie，真是....好喜欢呀。Bosco、妈DAM和黎诺懿好亲呀~~~            
(3星)	 没有自己的亮点。情节逻辑性太弱。            
(3星)	 发烧三天就竟然就看完了。。。            
(3星)	 有黄宗泽和陈茵薇这一对就看得下去，好萌~            
(4星)	 就喜欢黄宗泽！！            
(3星)	 尼玛就是lie to me啊。。。。黄宗泽是唯一看下去的动力~~            
(4星)	 @蚊多多你可以试一下这个。            
(3星)	 因为黄宗泽才看的 还可以吧            
(4星)	 好喜欢林保怡。            
(3星)	 男女主配角我都很喜欢，不过田蕊妮和林保怡的感情戏太含蓄了智能靠黄宗泽和陈茵薇这对解馋【一边看跛CO一边看炒粉好分裂啊！】20集实在太仓促，很多事情都没法交代，剧情感觉一般，表情捕捉也蛮刻意的，都靠演员撑着。            
(3星)	 擦....是山寨lie to me吧！            
(3星)	 剧情很一般看着前面猜到后面。但是重案小组里每个角色都超可爱！！主要是为了看林保怡。找一找当年看鉴证实录的心情~~虽然漏洞和刻意很多。。但开头标明美国的场景过火了吧= =欺负香港人没来过温哥华么？= =            
(3星)	 消遣            
(4星)	 lie 2 me？            
(2星)	 抄lie to me。。。。没关系 那就抄啊！但是大家的演技可以好一点吗？？？动作什么的都好不自然啊！！！            
(3星)	 三星纯粹给林保怡            
(2星)	 这戏看着真累            
(3星)	 没有那么差吧            
(4星)	 山寨剧，但看得下去            
(4星)	 最後又變成了港式溫馨家庭劇。哎...            
(NA)	 山寨版lie to me             
(4星)	 一般，跟着看呗            
(4星)	 很喜欢看林保怡！            
(4星)	 第一集时觉得山寨LTM山寨得毫无水准，幸亏没有弃掉。后来的剧情完全是走标准TVB路线，Bowie怎么看怎么英俊（嫉妒你的男朋友T_T），BO更是愈发帅气（当年冲上云霄他就是个土豆子…）在剧中感觉他对贝儿真是好sweet…            
(4星)	 为了看林保怡的...            
(2星)	 只看了一集。            
(4星)	 Lie to me made in hongkong            
(NA)	 打铁趁热。            
(3星)	 悬疑剧的要素之一就是各种迹象和线索，包括镜头的运用和演员的表情小动作等，引导观众一步步走向真相。然而当这些征迹成为主题，被刻意夸张并配上主演细致入微的解读，就使原本感性的东西变得公式化脸谱化，失真得令人难以消受了。结尾不如交代一下阿海的后续同时留点白给感情戏，另外一些价值观不认同            
(3星)	 不能跟Lie To Me比啊...            
(5星)	 看在保怡的面子。但是山寨美剧，精髓没有学到。            
(2星)	 看过lie 2 me 再看这剧 就是个杯具            
(NA)	 虽然是山寨版lie to me,再次引发微表情研究小热潮...            
(3星)	 20集的电视剧，俩主角要到最后半集才好上，之前还没半点趋势            
(5星)	 應該會拍2吧            
(2星)	 几烂            
(4星)	 我都好想遇见个玄灵子甘咖算卦大师            
(3星)	 抄袭之作            
(1星)	 讀你妹讀全家心的爛雞巴片。            
(3星)	 可是为什么要这么费力地抄美剧。            
(3星)	 看不下去，弃。友情支持bo给三星。            
(4星)	 结局也太···            
(NA)	 就算是抄袭又怎样-- --为了Bosco也要看到死 （够了你            
(3星)	 目前 两星半。学美剧学得四不像。还失了港剧的味道。            
(2星)	 烂烂烂！！！这几年TVB已经黔驴技穷了嘛？要么抄日剧，要么抄美剧。lie to me            
(3星)	 一開始驚喜.後面就折翼了            
(3星)	 非常一般。            
(NA)	 还不错啦，有点短            
(NA)	 抄不抄的，希望案子精彩点就行            
(3星)	 真的不太好看……            
(3星)	 太明显学lie to me吧。但有聊胜于无。也多学一些心理和肢体语言            
(3星)	 TVB还是不要学美剧比较好……不过当做警匪素材mark着            
(3星)	 OYE,TVB破案片~            
(3星)	 山寨就山寨吧。。有林保怡就够了。。            
(3星)	 田蕊妮和林保怡依然很迷人；陳茵薇笑起來真令人喜歡；黃宗澤這個角色很有喜感            
(4星)	 还是带有很浓的港刑的特色的，借鉴也借鉴的不错。只是用作示范分析的表情做的也太刻意了。。            
(3星)	 &lt;20 完结&gt;①“犯罪嫌疑人”们表现动作太假太夸张②案件拖沓凶手太好猜③中间关于姚Sir他爸的戏份完全没必要竟然拖了整整5集④不喜欢陈茵薇⑤大牌配角们很出彩。其实还是可以看的，最起码还有大小Bo和杜太嘛XD            
(4星)	 点解和LTM比叻，这剧本质上还是很熟悉的港剧套路。剧情实则一般，但因为三个人点四星推荐：陈展鹏（赵文海人格真让人心疼）Bowie叔（无需多说）还有就是杜太了，虽然作为女主无比酱油，但16集和bowie叔聊天那段，看似平淡说着家常就见泪水在眼眶打转，就想起&lt;谁家&gt;里贝儿听二叔吹sax那段，杜太演技超赞            
(4星)	 lie to me的香港版。故事很多地方的设计很做作，做戏的成分很明显。但是有林保怡，黄宗泽和田蕊妮，看看还是不错。所以给四星。            
(3星)	 模仿痕迹严重            
(2星)	 陈词滥调……只有田蕊妮比较亮眼 =3=            
(4星)	 对于港剧还是有很多的感情,让人想起以前的&lt;见证实录&gt;系列.这本几个主角的搭配还是很舒服的相辅相成.还可以学习点微表情哈哈!田蕊妮瘦了好多啊.其实可以一直拍下去集数少了点.            
(NA)	 汇聚TVB众多老牌演员 中国版的lie to me            
(3星)	 还成吧，在家跟吴桑打发时间，看起来还是挺有意思的。            
(4星)	 还不错= =            
(4星)	 陪老爸看完的跨年电视剧。虽然仿lie to me痕迹很重，动作表情语调都不太自然，但。。。做人最重要的是开心嘛，哈哈哈            
(3星)	 向屋头的人普及了下tvb样板戏            
(3星)	 抄袭神马的我就不说鸟~            
(4星)	None
(4星)	 那个读心的技术，真的好用。但是用多了，心酸。            
(NA)	 &gt;&lt;剪辑版  阿海也太苦逼了( &gt;﹏&lt;。) 警校古惑仔造型依旧有型（¯﹃¯）  陈茵薇笑起来是甜啊...但是演起戏来杀伤力太大了...一分钟都顶唔顺...            
(5星)	 情节紧凑，人格分裂演员很出彩，恋情很温馨，黄宗泽更帅了。            
(3星)	 还是老戏骨在撑场面，港版lie to me……            
(3星)	 雖然抄襲 可是黃宗澤還是很帥的……結局無聊            
(NA)	 看到林保怡唱歌的嘴型就性奋！！！            
(3星)	 tvb无人了啊。。。            
(4星)	 似乎每一段案情都不温不火，神探的读心推理也显得有点蹩脚和做作，但是浓厚的本土气息会让整部剧集看起来相当有爱，尤其是剧中穿插的几段轻松的感情线总会让人会心一笑。            
(3星)	 未免也太山寨了吧！            
(4星)	 结局真是欢乐死了啊！！！我就是喜欢看TVB这种大团圆欢喜的大结局啊！！！都看得我忍不住用咆哮体了啊！！！林保怡真是有味道得要死不得了了啊！！！看到他最后和田蕊妮被挤抱在一起开心死了啊！！！港剧你能不能不要这么温馨啊啊啊！！！            
(NA)	 chinese&#34;lie to me&#34;            
(3星)	 全程访lie to me            
(4星)	 第四颗星是专门给雪心的            
(3星)	 三星。多一星给林保怡。            
(3星)	 不及美剧lie to me            
(3星)	 有些不是很准            
(3星)	 春节期间利用了两天 在家把他看完了            
(2星)	 太弱了太弱了，即使扯上犯罪心理和行为心理学什么的还是好弱气好做作。。林保怡你演什么不好演这个。。            
(3星)	 其实完全为了看谢雪心做番好人，不料配角中有在颁奖礼上哭的湿泠泠不识中文的陈茵薇，以及让我想起小时候和哥哥一起看鉴证实录的时光。P这部戏是不是预算紧啊这么仓促，有看头的谢雪心同林保怡田蕊妮都草草收尾。            
(3星)	 模仿lie to me。很明显            
(3星)	 挺不錯的，打發時間~~            
(3星)	 案件复杂过《刑警2010》 但感情戏太烂 没落的tvb            
(5星)	 超好看，有没有续集？            
(3星)	 劣质品~~~            
(NA)	 打发时间 呵呵 寒假100多天太长了滴            
(3星)	 两脚向外说明要跑啊            
(3星)	 看了lie to me，再看这个。没劲。            
(3星)	 TVB没有女演员了吗            
(4星)	 因为最后集的搞笑，多给一cart            
(1星)	 翻拍lie to me 翻得也太恶心了。。。            
(3星)	 很一般，无激情            
(3星)	     儿时最爱林保怡    。            
(3星)	 跨年夜就边上网边跟着家人看完这剧了             
(4星)	 港版Lie To Me，剧情十分易懂呀            
(NA)	 杜太好靓好赞~            
(3星)	 。。。。。。。。。            
(NA)	 看到最后一个案子，实在看不下去了，编剧是时候考虑人民群众日益增长的智商了，差不多每个案子都是第一集就看出来真凶是谁，太没挑战性了。            
(4星)	 案件稍嫌少了点，拍到30集就更好。虽然是翻拍《lie to me》，但是和香港本地特色结合的很好。保怡的家庭似足旧版港剧，动作比起lightman收敛不少，但台词还是好多专业名词……看心姐和蕊妮大出彩，Paula也不错，但是黎诺懿别再打酱油啦！            
(4星)	 將西方犯罪心理學運用到查案過程中,這跟「lie to me」很不一樣,個人認為並沒有抄襲,而且還糅合中國傳統術數和風水學,犯案手法很新穎,有「鑒證實錄」的影子。            
(4星)	 别对我撒谎的港版。还不错。男2号蛮喜欢            
(3星)	 又是抄的哪个剧啊~            
(4星)	 抄米抄咯，抄唔起咩衣家？好睇米得咯~   不過。。好男人都有男朋友了，林保怡，情何以堪。            
(NA)	 结局超逗~            
(3星)	 谋算这种事儿，千万别露白，还露几次。推理也硬的很，漏洞多到无法想象，不过林保怡的爸爸我很喜欢，塑造的很真实~另外结局蛮可爱~            
(3星)	 模仿 &lt;lie to me&gt;             
(NA)	 除了表情略夸张 其他也没什么 挺好的。            
(4星)	 豆瓣介个剧情简介有些雷人and不靠谱..            
(2星)	 香港也刮山寨风了，，，林保仪那张脸老的都耷下来跟我爸一样了，诶，怀念大时代的涛涛            
(5星)	 两天看完了。。还可以啦 TVB的            
(3星)	 那个片头开始就。。很无语~            
(3星)	 打酱油咯！            
(3星)	 由于TVB龙套演员的脸谱化及作为一个资深TVB老粉条对于编剧套路的熟知。这部戏让我看起来是一点悬念都没有。也就是看林保怡的个人表演吧。值得一提的倒是陈展鹏这位哥哥，怎嘛十几年过去了，您看起来还是如此青春啊！本来以为高钧贤会多些戏，结果完全是个打酱油的。-___-            
(4星)	 BOSCO的脸没话说啦            
(3星)	 虽说是参考美剧《lie to me》的破案方式，不过TVB的娱乐精神要比大陆的山寨剧要下功夫，俗话说，做戏做全套。总得而言，几个故事还行，节奏也都还好，和以往TVB的这类剧集的意思都差不多，一边查案，一边穿插讲讲警员的故事，当然少不了感情戏，几乎成了TVB的招牌菜。            
(5星)	 黄宗泽真帅气！好看啊~好久没看TVB了，TVB真是伴我成长啊！！！            
(2星)	 山寨Lie to me            
(3星)	 就是翻版lie to me。看演员吧就。            
(4星)	 好像柯南啊。。。。            
(3星)	 山寨lie to me            
(4星)	 这才符合我的口味|！            
(3星)	 自从他爸出来，他的智商就开始下降……            
(3星)	 编剧明显把观众当白痴了。            
(4星)	 你太man了！            
(4星)	 嗯，就是喜欢看警匪悬疑片啊~~无论港剧还是美剧~~~ 虽说这个片是仿Lie to me，但是没那么严重啦，只是同一素材，而且有林保怡这个大戏骨，看看还是很开心的呀~~~选的粤语版，听着超舒服。。。            
(NA)	 林保怡真老了。。。            
(3星)	 模仿lie to me             
(3星)	 本土化的感觉易于接受 仅此而已            
(NA)	 表情也太浅了吧~            
(4星)	 结局真的是老鼠屎哦。            
(4星)	 哎 又翻美版  我睇的是 黄宗泽             
(3星)	 TVB的编剧越来越差了。            
(4星)	 山寨就山寨，比起《别对我撒谎》，我更喜欢这部听着不“费劲”的港剧。            
(NA)	 你说我最近是有多空。            
(4星)	 抄袭的痕迹太明显，不过港剧能做到这样还是不错滴。            
(NA)	 越来越不吸引人，是编剧的事情还是演员的关系？演员也越来越不好看了.....            
(3星)	 看了4集。一般。            
(4星)	 身体语言密码的电视剧版。            
(4星)	 比lie to me要有大线索 很有TVB的风格            
(4星)	 嗯。虽然它抄袭lie to me .. 但我没看过lie to me .. 我觉得还是不错的, 很少看港片.             
(3星)	 就是在模仿Lie To Me么！            
(3星)	 山寨版lie to me            
(3星)	 仿lie to me仿的不太喜欢。            
(NA)	 读你那个心            
(4星)	 比较潦草            
(3星)	 抄袭lie to me，但是感情戏还不错。            
(2星)	 困死了。。。。。从下午看到现在。啊……去睡觉了。            
(3星)	 适合当背景的片子。不能算完全抄袭lie to me。各自有各自的风格。我还是比较喜欢林保怡。如果有下部还会看的。- -|||            
(3星)	 10-10-30，frog。...            
(NA)	 就大结局了~真没意思            
(4星)	 黄宗泽再现 挺好看的            
(3星)	 8集弃。            
(3星)	 冲着林保怡去看的 陈茵薇在这个戏里好可爱。。            
(4星)	 打发时间看看没什么不好。            
(2星)	 严重抄袭欧美。            
(4星)	 结尾的真仓促。            
(2星)	 画虎画皮难画骨             
(3星)	 港版lie to me            
(NA)	 20101011很一般啊            
(3星)	 无数个写文案的晚上，一边听偶尔看两眼就完了。东拼西凑也算是可以交货的剧集。            
(2星)	 人格分裂同埋记忆宫殿两个case还能看一下。别的都得人惊！            
(2星)	 这部戏的亮点就是：傻强老婆真不赖！            
(2星)	 唉，那个叫啥结尾啊            
(4星)	 同样是山寨，香港还是有技术含量的            
(4星)	 不要讨论山寨与否，还是很TVB的啊            
(3星)	 翻吧翻吧.            
(3星)	 结局牵强得过分了啊            
(NA)	 对Lie to me的高仿 连演员都要是那种和Tim Roth大叔一样有魅力无限的林保怡才有能力来讨论微表情问题 但是他很港台 情节穿插其中给人以悬念 大酒楼家族问题重重、女占卜师借用风水破案、有钱人的财产纠葛与爱欲无伦、明星被恐吓的社会问题、主角的绅士谜团 香港人总能很香港~~            
(NA)	 额，有着浓密睫毛的男生，还真的有杀伤力哎            
(3星)	 画虎画皮难画骨            
(3星)	 美剧+香港生活片，弃之            
(2星)	 哎，把人当笨蛋啊。            
(NA)	 弃            
(3星)	 我忍着忍着就看完了。。。            
(4星)	 我觉得TVB这次拍的更接近我们中国人，lie to me是很牛逼，但是谁他吗的破案真是那样的？没什么好比的，TVB这次拍的很不错。终于跟完了~~            
(4星)	 大爱林保怡，浓浓港剧味            
(3星)	 TVB lie to me 翻版 不过差很远            
(NA)	 虽然是抄袭lie to me但是可以学到东西            
(3星)	 5话弃，比lie2me忒小儿科了            
(3星)	 里面的微表情镜头拍的很没有水准！            
(3星)	 巨无聊，第一集就不给力，还是让我妈看吧，我妈也喜欢林保怡。            
(NA)	 看完lie to me再看這個，感覺無敵山寨囖，copy的好明顯= =，十分鐘就看不下去            
(3星)	 剩林保怡一人独挑大梁。明明不是好看的男人，为什么就是能让人移不开眼睛？从大时代的陈滔滔开始，只看一眼，就留在心里。            
(1星)	 囧。。。            
(3星)	 抄lie to me啊            
(2星)	 典型的TVB结局。。 但是很戳            
(2星)	 剧情还算ok，演员演技实在太差，那可是微表情啊，持续一秒多钟的微表情啊。。。            
