http://movie.douban.com/subject/2153590/	欲望都市 第六季 Sex and the City Season 6
(5星)	 第六季实在是经典            
(5星)	 完美结局            
(5星)	 是的。这样的女人们不一定最后有完满的家庭美好的爱情。但是他们拥有的是10，20，甚至50年的青春和精彩～            
(4星)	 Big`s name is John            
(5星)	 最后一季发现爱。温暖至极。            
(5星)	 Carrie终于回到了纽约，Samantha终于栖身于一个男人，Miranda终于发觉了自己的人情味，Charlotte终于当了妈。断断续续看完了六季，其间辗转了两地三年，我终于在最后一集红了眼眶。            
(5星)	 经典            
(4星)	 我也喜欢samantha了            
(5星)	 终于把最后两集给看了 结尾收的十分温情 如果没有电影做续该有多好 活生生的教科书告诫后人 毋宁贪多            
(5星)	 口语，我就拿它练了！！            
(4星)	 女校日子裏就靠這個消磨了            
(5星)	 An American girl in Paris.            
(5星)	 abso-fucking-lutely            
(4星)	 四个女人N台戏            
(5星)	 不喜欢CARRIE            
(4星)	 小的吖~~你想折磨死我啊?!!            
(5星)	 完美。或许我永远去不了北京，是的或许。            
(5星)	 Not just about sex and love,it&#39;s about relationship.It&#39;s just fabulous!            
(NA)	 其实只看过关于巴黎的两集了 这个封面拍的有质感            
(5星)	 美剧 HBO Sex and the City 电视剧 美国             
(5星)	 哦我喜欢俄国老头子            
(5星)	 经典            
(4星)	 明显感觉这季剧本不行，既没有妙语连珠，也没有特别震颤人心的某个情节。carrie变回长头发后还是一如既往地招人烦，无论是尖叫还是哭，都异常夸张。也难免做妈妈的人了，摆什么表情都是一种老态，let alone romantic。但至少，她们每个人都找到了自己的幸福。            
(5星)	 Carrie对于爱情的不断探索与犹豫不定，Samantha的豪放与坚强，Miranda的理智与犀利，Charlotte对于美好的追求...在这四个女人身上，总能找到些相似的情怀与影子。大爱她们的友谊，也感怀于她们的故事...像月儿说的，彼时漫步于曼哈顿街头的她们，说不定就是哪日行走于北京的我们~            
(5星)	 第六季            
(5星)	 At the end,everybody seems get what they want. Carrie went back to NYC;Charlotte got her baby;Samansa got her lover; Maranda got her life.             
(5星)	 终于看完了，给K发短信告诉他我终于看完了，他说你是不是解脱了。            
(5星)	 MR BIG            
(5星)	 深夜最后一集看得我泪流满面。幸福绝对是会让人感动的东西。            
(4星)	 很为除主角外的三个人感动，而那个凯瑞，不知道是演员演太烂太做作，还是剧情太烂，她的戏就是让我恶心，那个脑残女，所有的苦都是自作孽，自私自恋几乎从不付出，太让我难以忍受了，就连我不太喜欢的那个mr.big都让我觉得可怜,召之即来挥之即去，需要的时候笑的那个甜，不要的时候直接无视            
(4星)	 It&#39;s over~            
(4星)	 时隔多少年了            
(NA)	 moving and touching.             
(5星)	 每句台词我都想背            
(5星)	 big是永远的最爱            
(5星)	 特别喜欢这一季。            
(5星)	 |1042:479|            
(4星)	 挺感人            
(4星)	 i love the girls            
(NA)	 我爱Samantha, 虽然不够美丽，却十分自信和有魅力，她是我想成为的，Miranda比较符合我的情况，可我是要自卑许多。Carrie小女人啊，大家最爱啊，Charlotte，虽然有一切优点，但我不感冒。            
(5星)	 Favourite            
(5星)	 end.            
(3星)	 越来越不喜欢carrie            
(NA)	 miranda和samantha都好帅......carrie真是烦死人了，为什么miranda这么舍不得她走.....            
(4星)	 唉 结束了            
(5星)	 Carrie终于回到了纽约，Samantha终于栖身于一个男人，Miranda终于发觉了自己的人情味，Charlotte终于当了妈。断断续续看完了六季，其间辗转了两地三年，我终于在最后一集红了眼眶。            
(5星)	 finally...            
(NA)	 凯莉越来越招人烦，一副I&#39;m a city girl，我很娇气，你们都要围着我转的自私气息一路持续下去。米兰达真的变得好胖啊，是真怀孕了么？            
(5星)	 哭惨了哦日！            
(5星)	 最爱的美剧，没有之一            
(5星)	 16集内牛满面。艺术家很完美，可是不适合Carrie那磨磨唧唧的性格~            
(4星)	 S那个小男朋友真好(*￣︶￣)y            
(5星)	 友谊万岁！！！            
(5星)	 最后看的我泪流满面有木有啦~谁是谁的 THE ONE            
(5星)	 看完真心哭了。这部剧从头到尾总是不时的触动我的哭点，但明明不是悲剧啊。。。结局真美好，真心感动着她们四个姐妹淘之间的感动。就像结尾的歌唱的那样“you got love!&#34;and YOU GIRLS DESERVE IT!            
(5星)	 最后BGM是是you&#39;ve got love！！！！！大半夜的又让我激动了！总算看完了！！！最后每个人的happy ending都太棒了！让人一点没有在看电影版的欲望了！！！！！            
(5星)	 天知道我是如何极尽拖沓之能事把这6季看完            
(5星)	 在大年三十的晚上，看到了大团圆结局，给力！            
(NA)	 最爱第18集。这部片子我就没当肥皂剧            
(5星)	 DREAMING ENDING            
(NA)	 看过以后有了我的毕业礼服            
(5星)	 各种的痴心等待，各种的苦尽甘来。。。这群活的如此精彩的老女人们。。。愿她们幸福。。。❤You got the love            
(NA)	 还是成双成对的感觉有爱            
(3星)	 想要的爱终会到来。            
(5星)	 结局有够温暖。很喜欢很喜欢！            
(5星)	 我爱这个结尾，太温馨了            
(5星)	 这一季又完美了，但是也结束了，太舍不得了。谢谢欲望都市，感动了我，启迪了我。面对人生中的那些无常变故，在身边的那些不变挚友，需要的仅仅是勇气，爱和相互支持。            
(5星)	 最后这一季给5星~ 哭了 我都~~~            
