http://movie.douban.com/subject/3637738/	刀歌之短刀行
(3星)	 我什么都看过            
(4星)	 其实是被片尾曲里面的沈玉门萌到了才去看的 谁知道他第一集就便当了囧            
(5星)	None
(3星)	 后宫童话剧            
(NA)	 终于找到啦            
(NA)	 片　名：多情刀客无情刀 之 短刀行片　长：14集出　品：香港ATV主要演员：张卫健、焦恩俊、黄文豪、何美钿、刘玉婷　　分集剧情：　　第一集　　“青衣十三楼”是个势力庞大的邪恶组织，江湖上除了武功绝伦的武林盟主“金陵梅绝岭沈家”的沈玉门之外，无人能与之抗衡。青衣楼楼主陈士            
(4星)	 好怀念的感觉 刀歌 一            
(4星)	 作为女人，你是喜欢沈玉门呢？还是喜欢孟小花呢？            
(4星)	 喜欢沈玉门            
(4星)	 就觉得片尾曲非常好听，剧情一般般，张卫健还是蛮出彩的~            
(5星)	 最爱的YY武侠剧啊！！！！！！！！！！！！！！！！！            
(5星)	 张卫健当年，有脸蛋，有演技。            
(4星)	 小时候很爱看这部片子，长大才知道是后宫向            
(NA)	 喜欢这聪明劲儿~            
(1星)	 围在飞哥那看的再+1            
(3星)	 短小精炼，可惜武侠感不强            
(3星)	 本想看刀的，却看到许多巴掌。            
(NA)	 好怀恋啊。沈玉门。孟小花。            
(NA)	 笑着看完的，喜欢。。。。学会自己做自己            
(5星)	 小时候很爱的一部剧            
(4星)	 又是一部男性YY的剧集。            
(4星)	 武侠片里这算很不错的            
(5星)	 配音全是柯南的班底，感觉新一也可以拿菜刀做厨师~            
(4星)	 集数很短，但当时很喜欢看这部电视剧呢，觉得张卫健很帅~            
(4星)	 还是小时候看的 觉得张卫健演得很好嘛 剧情也不错 印象好            
(4星)	 当年非常喜欢的片子，后来就一直没重播过。。。            
(4星)	 以前地方台放了几集就没放了，让我心里一直吊着啊~~好奇            
(3星)	 还算挺有意思的，与原著出入较大，少了那份从容，结局很垃圾，原本可以从一而终的，非得用半集又给了孟小花4个老婆，终究回归张卫健式的无聊。比一比，才知原著的好处。            
(3星)	 其实我一直以为小花会凭着自己对刀的理解创立一门独门武功= =+            
(4星)	 印象最深的是那时候911发生了。            
(NA)	 当年果断也喜欢            
(4星)	 剧情简单毫不拖沓，幽默，电视剧皇帝~张卫健            
(4星)	 为啥给四星，因为这是N多年我难忘的电视剧，为啥不五星，因为它不是我心中完美的标准。            
(NA)	 张卫健真是帅的一踏糊涂，无论是孟小花还是沈玉门            
(4星)	 好久以前看的了            
(5星)	 不可多得的武侠喜剧。。。。            
(5星)	 搞笑，我看了很多遍了。            
(5星)	 真的很好看。。明明很好看。。            
(4星)	 好看            
